iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 206.38297872340425, 198.9119170984456, 206.62234042553192, 210.5420054200542, 209.4764397905759, 201.82291666666666, 209.36675461741424, 214.92021276595744, 205.9946949602122, 213.31536388140162, 211.20734908136484, 204.74934036939314, 199.36675461741424, 205.63342318059298, 198.44919786096256, 198.10026385224273, 217.2340425531915, 211.42857142857142, 218.33333333333334, 223.46883468834687, 226.0483870967742, 205.0131926121372, 206.64021164021165, 201.2, 213.71657754010695, 216.41160949868075, 214.25531914893617, 218.01608579088472, 216.62234042553192, 219.24932975871315, 209.26509186351706, 256.2924281984334, 264.84375, 256.2724935732648, 270.98434004474274, 249.07928388746802,
2, 288.586387434555, 277.07894736842104, 287.40932642487047, 287.52659574468083, 280.4255319148936, 284.1798941798942, 261.38817480719797, 267.598944591029, 260.94240837696333, 274.4652406417112, 269.5811518324607, 245.59366754617415, 251.88829787234042, 253.28912466843502, 245.59895833333334, 257.19251336898395, 292.9381443298969, 302.0954907161804, 301.5425531914894, 300.6036745406824, 314.45623342175065, 276.984126984127, 280.48257372654155, 275.26178010471205, 266.3157894736842, 273.26370757180155, 320.44973544973544, 304.90813648293965, 306.15384615384613, 316.9047619047619, 306.747311827957, 367.15767634854774, 493.2323232323232, 463.4152334152334, 602.5641025641025, 533.7111111111111,
3, 366.4810126582278, 337.8391959798995, 340.85642317380353, 357.6884422110553, 354.375, 351.3775510204082, 310.1980198019802, 317.0843989769821, 320.7124681933842, 316.09022556390977, 316.18226600985224, 316.83937823834196, 337.1957671957672, 315.17241379310343, 322.94736842105266, 321.2303664921466, 382.0448877805486, 370.3439803439803, 374.0821256038647, 395.29562982005143, 390.3422982885086, 382.08877284595303, 378.14323607427053, 361.46529562982005, 352.5459317585302, 359.5263157894737, 453.21525885558583, 424.253164556962, 415.3125, 449.97402597402595, 418.4061696658098, 707.2836538461538, 516.9284064665127, 587.027027027027, 832.7170868347339, 677.832512315271,
4, 449.9519230769231, 401.3114754098361, 388.0048076923077, 389.688995215311, 383.5141509433962, 389.3414634146341, 383.31775700934577, 376.5301204819277, 412.32445520581115, 400.0, 360.98850574712645, 410.8557457212714, 402.28426395939084, 382.58793969849245, 385.26582278481015, 409.22305764411027, 456.48456057007127, 394.43914081145584, 416.8735632183908, 460.55555555555554, 451.12709832134294, 445.1861042183623, 470.2284263959391, 442.4691358024691, 424.652278177458, 431.28395061728395, 529.1884816753927, 514.0648379052369, 500.6510416666667, 531.9191919191919, 503.46633416458855, 759.9748110831234, 538.6506024096385, 743.0540540540541, 976.0124610591901, 809.5714285714286,
5, 484.73809523809524, 464.6666666666667, 424.3619489559165, 401.9910514541387, 423.9269406392694, 420.72463768115944, 440.5301204819277, 392.01814058956916, 497.2098765432099, 466.39506172839504, 421.8181818181818, 493.021582733813, 465.10843373493975, 498.1081081081081, 452.41050119331743, 469.4484412470024, 459.2037470725995, 453.3333333333333, 445.8711217183771, 514.7880299251871, 468.27669902912623, 532.0782396088019, 511.3, 510.24813895781637, 515.5819477434679, 554.2574257425742, 511.56626506024094, 468.6904761904762, 465.3731343283582, 503.94678492239467, 508.20448877805484, 832.2622107969152, 659.1542288557214, 820.4411764705883, 930.7446808510638, 977.4038461538462,
6, 560.3990024937656, 544.1884816753927, 514.7706422018349, 496.0178970917226, 544.7173913043479, 544.0776699029126, 481.85840707964604, 468.0607476635514, 537.5700934579439, 557.9556650246305, 555.9810874704492, 502.8175519630485, 508.4313725490196, 509.2493946731235, 485.60570071258906, 564.5547073791348, 566.5270935960591, 481.0981308411215, 549.320843091335, 495.3681710213777, 513.5198135198135, 582.5380710659898, 628.029197080292, 615.5288461538462, 555.7553956834532, 635.8673469387755, 519.1964285714286, 495.0326797385621, 492.4401913875598, 487.5311203319502, 524.4152744630071, 840.0510204081633, 835.6571428571428, 886.7100977198697, 909.6402877697842, 1018.6622073578595,
7, 602.03125, 631.639344262295, 622.8912466843501, 608.4580498866213, 592.7437641723355, 647.1105527638191, 557.5550660792951, 640.2261306532663, 633.2116788321168, 566.9014084507043, 661.934731934732, 563.7317073170732, 564.7848101265823, 558.7591240875912, 548.0049261083744, 577.975, 633.6775818639799, 537.7136258660508, 597.1776155717762, 555.2347417840375, 587.4185463659148, 598.0678851174935, 652.7154046997389, 607.5294117647059, 615.0985221674877, 625.125, 554.3115124153499, 505.4582484725051, 570.0680272108843, 544.1845493562232, 533.4304932735427, 936.1739130434783, 1255.745341614907, 1008.9438943894389, 899.3674698795181, 960.3010033444816,
8, 639.2753623188406, 667.632241813602, 687.0812182741116, 672.6066350710901, 661.1137440758293, 652.2434367541766, 712.3150357995227, 677.7722772277227, 716.55, 711.7948717948718, 715.868544600939, 577.1670702179176, 627.356608478803, 572.7272727272727, 576.2980769230769, 596.0774818401937, 644.9144254278729, 568.2558139534884, 599.7330097087379, 728.5894206549118, 610.377358490566, 738.0428954423593, 681.8539325842696, 717.713567839196, 677.6501305483029, 663.8235294117648, 596.4827586206897, 589.5217391304348, 640.0707547169811, 635.5733944954128, 606.4236902050114, 1020.0879765395895, 1256.4240506329113, 910.9385113268609, 1197.4827586206898, 1151.4197530864199,
9, 636.0143198090692, 682.6541554959786, 760.8142493638677, 697.6019184652279, 776.2912087912088, 704.1935483870968, 767.6041666666666, 667.7111111111111, 708.9950980392157, 700.8009153318078, 745.7816377171216, 585.609756097561, 625.6435643564356, 580.4018912529551, 642.5194805194806, 662.4093264248704, 635.6306306306307, 731.6622691292876, 591.9120879120879, 622.0092378752887, 611.8468468468468, 784.0051679586563, 730.5524861878453, 713.984375, 763.9825581395348, 672.5994694960212, 648.0095923261391, 636.1572052401747, 655.6594724220623, 671.0, 696.9543147208121, 1193.186119873817, 1246.254295532646, 941.75, 1307.642857142857, 1399.9668874172185,
