iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 2.173120728929385, 2.958904109589041, 2.7437070938215102, 2.4840182648401825, 2.3684210526315788, 2.7020785219399537, 3.19908466819222, 2.699769053117783, 2.4279176201372996, 3.9164733178654294, 3.6267281105990783, 3.9793103448275864, 3.953271028037383, 2.756880733944954, 2.9379310344827587, 3.1628440366972477, 2.7839080459770114, 3.1392111368909514, 3.5232558139534884, 4.442890442890443, 3.5384615384615383, 4.207459207459207, 3.561200923787529, 5.712616822429907, 4.414351851851852, 3.7152777777777777, 4.092807424593968, 5.172985781990521, 3.3364055299539173, 3.6397228637413397, 3.0900692840646653, 3.7842227378190256, 3.839907192575406, 51.49640287769784, 40.323170731707314, 53.28448275862069, 35.5041782729805, 56.99096385542169,
2, 9.254901960784315, 15.47969543147208, 11.160098522167488, 8.673965936739659, 14.408521303258146, 13.786967418546366, 16.25063938618926, 15.239185750636132, 14.162907268170427, 19.162303664921467, 17.872122762148337, 15.908396946564885, 17.861618798955615, 10.503649635036496, 9.347087378640778, 11.049382716049383, 9.684596577017114, 9.71219512195122, 23.09560723514212, 22.345744680851062, 18.792746113989637, 21.07915567282322, 21.349869451697128, 9.28743961352657, 10.029126213592233, 10.21411192214112, 12.926767676767676, 10.174447174447174, 20.067024128686327, 26.022535211267606, 11.919597989949748, 19.64155844155844, 13.516290726817042, 121.85531914893618, 129.52153110047846, 109.80578512396694, 81.01655629139073, 105.08974358974359,
3, 36.79213483146067, 30.502732240437158, 29.529411764705884, 35.162534435261705, 33.92329545454545, 35.27700831024931, 31.185393258426966, 29.0, 34.47107438016529, 33.002747252747255, 35.53333333333333, 37.94662921348315, 32.86141304347826, 24.965968586387433, 24.246753246753247, 25.305039787798407, 24.651041666666668, 25.0, 38.9112426035503, 37.43731778425656, 32.708333333333336, 24.45974025974026, 30.770083102493075, 14.487562189054726, 16.69521410579345, 16.482412060301506, 15.666666666666666, 15.537313432835822, 30.706060606060607, 32.65811965811966, 31.91977077363897, 29.991525423728813, 30.691666666666666, 127.0675105485232, 163.80188679245282, 176.44845360824743, 137.74752475247524, 169.86934673366835,
4, 49.013888888888886, 48.07267441860465, 47.430939226519335, 60.66996699669967, 53.24764890282132, 57.05194805194805, 41.54113924050633, 53.864197530864196, 35.7686170212766, 31.120104438642297, 28.349740932642487, 36.148648648648646, 25.447300771208226, 36.625, 40.04432132963989, 44.69637883008357, 39.29144385026738, 39.09383378016086, 41.91167192429022, 50.69277108433735, 46.23192771084337, 50.00970873786408, 46.69805194805195, 28.005208333333332, 32.07086614173228, 36.084931506849315, 29.285012285012286, 32.1680216802168, 44.714285714285715, 41.315634218289084, 45.15340909090909, 34.878865979381445, 30.902857142857144, 147.02966101694915, 170.37745098039215, 202.6508875739645, 158.19251336898395, 205.7889447236181,
5, 60.93181818181818, 55.18018018018018, 60.294117647058826, 73.69709543568464, 66.7755905511811, 61.691699604743086, 52.89558232931727, 60.82720588235294, 25.54881266490765, 36.70866141732284, 29.724050632911393, 34.433766233766235, 28.446428571428573, 49.75141242937853, 53.45505617977528, 51.67048710601719, 52.50969529085872, 48.12737127371274, 65.2135231316726, 78.70689655172414, 73.59539473684211, 85.43589743589743, 87.21561338289963, 44.468277945619334, 26.378865979381445, 40.20224719101124, 25.821428571428573, 38.779661016949156, 64.06624605678233, 85.17045454545455, 57.403361344537814, 57.38590604026846, 51.702786377708975, 176.25742574257427, 230.4627659574468, 234.29341317365268, 189.06179775280899, 247.1776649746193,
6, 63.39867109634552, 65.33226837060703, 57.491749174917494, 62.24901185770751, 90.39837398373983, 62.85436893203884, 45.84862385321101, 72.37662337662337, 23.14876033057851, 33.70028818443804, 19.552, 29.25655976676385, 25.62111801242236, 45.533527696793, 52.146198830409354, 44.61159420289855, 52.19705882352941, 49.97959183673469, 84.73622047244095, 90.80608365019012, 91.57539682539682, 98.48987854251013, 96.81781376518218, 41.70348837209303, 64.14873417721519, 57.948640483383684, 47.96416938110749, 54.80448717948718, 85.79032258064517, 99.81102362204724, 67.99373040752351, 81.33877551020409, 82.3932584269663, 208.66666666666666, 253.5120481927711, 250.78333333333333, 230.30061349693253, 273.7696335078534,
7, 79.19928825622776, 77.67625899280576, 84.73863636363636, 123.40094339622641, 103.21777777777778, 87.57959183673469, 81.4331797235023, 109.01401869158879, 49.64983164983165, 45.37202380952381, 44.03767123287671, 56.458333333333336, 67.74, 64.19155844155844, 74.81756756756756, 73.09293680297398, 56.638888888888886, 70.76254180602007, 99.73303167420815, 109.1038961038961, 96.87224669603525, 119.08411214953271, 102.84978540772532, 58.89877300613497, 75.48039215686275, 57.46689895470383, 61.89818181818182, 74.74725274725274, 87.03112840466926, 117.07287449392713, 82.48534201954398, 84.72131147540983, 102.22093023255815, 263.4340659340659, 262.4216216216216, 358.8051948051948, 293.4507042253521, 312.09550561797755,
8, 78.67910447761194, 90.0891472868217, 87.90384615384616, 115.09134615384616, 106.53744493392071, 118.429203539823, 75.13084112149532, 113.45652173913044, 67.95220588235294, 58.77852348993289, 57.496350364963504, 65.78245614035087, 64.0625, 80.19366197183099, 101.0114503816794, 90.85384615384615, 68.88214285714285, 86.78228782287823, 109.71627906976744, 122.94222222222223, 121.44700460829493, 144.53603603603602, 106.09756097560975, 75.97627118644068, 75.08560311284047, 77.33333333333333, 83.14163090128756, 76.52651515151516, 97.84942084942085, 119.47709923664122, 101.33812949640287, 111.0886075949367, 101.11397058823529, 320.7012195121951, 311.7307692307692, 422.7083333333333, 343.49645390070924, 369.2848101265823,
9, 104.84937238493724, 104.8099173553719, 100.67469879518072, 117.34615384615384, 108.59907834101382, 133.82272727272726, 106.98557692307692, 102.86255924170617, 69.98233215547704, 80.28682170542636, 76.04032258064517, 81.03180212014134, 66.39781021897811, 108.29019607843138, 108.31967213114754, 105.49811320754716, 96.74045801526718, 102.12015503875969, 130.84924623115577, 124.52459016393442, 147.7557603686636, 139.0304347826087, 123.27777777777777, 87.27272727272727, 93.14, 100.70954356846472, 88.42798353909465, 91.8207171314741, 109.0, 107.76428571428572, 114.72727272727273, 120.79446640316206, 115.74716981132076, 364.69127516778525, 273.020202020202, 472.88732394366195, 391.0496453900709, 296.1301775147929,
