iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 235.49658314350796, 238.875, 241.03496503496504, 239.83448275862068, 243.3732394366197, 239.4292343387471, 244.93411764705883, 234.72808988764044, 244.14953271028037, 245.66129032258064, 244.75352112676057, 239.4, 245.0, 239.72602739726028, 242.58620689655172, 241.37875288683603, 256.45598194130923, 264.49427917620136, 257.414798206278, 255.33557046979865, 263.9189189189189, 240.98360655737704, 237.29032258064515, 239.9516129032258, 239.5537757437071, 249.5467289719626, 248.49220489977728, 262.4036697247706, 256.58351893095767, 266.09589041095893, 269.5, 412.2032520325203, 442.8611111111111, 435.925, 408.4943820224719, 424.42813455657495,
2, 259.9157427937916, 236.01951219512196, 242.46882793017457, 234.14742014742015, 244.53676470588235, 239.67391304347825, 231.21, 241.31851851851852, 240.90769230769232, 255.3324937027708, 237.72616136919316, 239.94618834080717, 243.140625, 251.25333333333333, 240.83783783783784, 255.35616438356163, 304.29046563192907, 320.06081081081084, 322.3692660550459, 319.11581291759467, 315.7550561797753, 273.84, 271.96235294117645, 285.7431818181818, 277.85377358490564, 288.5806451612903, 304.9162995594714, 296.6876355748373, 314.42857142857144, 322.3452914798206, 314.9529147982063, 681.074074074074, 684.6777777777778, 702.5093632958801, 571.9344827586207, 619.4223826714801,
3, 344.5821917808219, 284.24362606232296, 255.53932584269663, 259.40833333333336, 265.62015503875966, 265.8306451612903, 308.1674641148325, 283.70388349514565, 306.83863636363634, 266.40759493670885, 311.73972602739724, 298.42622950819674, 296.52, 301.6190476190476, 294.7325581395349, 302.37028301886795, 421.1446700507614, 445.5623409669211, 402.0076726342711, 432.42455242966753, 429.16751269035535, 312.74678111587986, 297.9765957446809, 311.4255319148936, 326.9076923076923, 328.0626349892009, 351.57547169811323, 341.4310344827586, 383.7481662591687, 433.73815461346635, 354.7734939759036, 1031.9757281553398, 966.9636363636364, 975.0219298245614, 782.0472440944882, 879.8646288209607,
4, 472.59504132231405, 426.3607843137255, 444.0331950207469, 426.48580441640377, 417.54924242424244, 404.7167832167832, 353.3478260869565, 365.68490153172866, 364.0829694323144, 341.6092715231788, 355.89473684210526, 423.2173913043478, 398.0846153846154, 433.7239583333333, 424.00271002710025, 428.7704918032787, 644.7234042553191, 667.375, 594.4924924924925, 653.84375, 653.5783132530121, 353.7126168224299, 346.01162790697674, 382.58198614318707, 375.7110091743119, 399.01650943396226, 490.7837837837838, 507.8459214501511, 581.4119402985075, 628.7608695652174, 524.8515406162466, 1599.68345323741, 1427.840490797546, 1490.644171779141, 1038.1800947867298, 1148.6170212765958,
5, 716.1191335740073, 663.1414141414141, 740.8488372093024, 647.0619469026549, 660.4873096446701, 645.6046511627907, 420.11954022988505, 463.54761904761904, 407.2829736211031, 385.38588235294117, 403.3909090909091, 614.8626198083067, 603.8154362416108, 594.1107871720117, 634.6354838709677, 639.1046931407942, 887.6756756756756, 871.1889763779527, 796.5618374558304, 926.3428571428572, 799.3079470198676, 540.8426666666667, 449.0, 558.6554404145078, 499.3368700265252, 550.0156657963446, 727.4464944649446, 696.3970588235294, 793.0110294117648, 838.2960288808664, 749.6980392156863, 2122.669724770642, 1934.6899224806202, 1717.3825503355704, 1412.863354037267, 1471.8692810457517,
6, 1095.8823529411766, 761.0869565217391, 807.0216216216216, 740.0277777777778, 750.586046511628, 710.3438914027149, 595.688654353562, 609.9866310160428, 583.1473684210526, 474.3284671532847, 604.4656084656085, 745.626334519573, 745.0221402214022, 717.7342192691029, 786.8288590604027, 743.125, 1276.086705202312, 1651.6616541353383, 1245.7428571428572, 1455.9935897435898, 1195.7958115183246, 686.3801169590644, 614.9185393258427, 643.0536193029491, 650.0190735694823, 648.8257372654156, 925.0318725099602, 1007.6130653266332, 1110.6504854368932, 1171.605, 1084.7119565217392, 2232.373831775701, 2307.573913043478, 2464.8, 1804.9924242424242, 1965.4745762711864,
7, 1513.9929078014184, 804.2266009852217, 847.756345177665, 897.6164383561644, 1073.2033898305085, 844.9953488372093, 718.5955056179776, 704.2385057471264, 730.4971264367816, 634.763440860215, 710.2178770949721, 917.489539748954, 873.9380165289256, 802.5343511450382, 890.1992337164751, 841.3557312252965, 1942.0495867768595, 2051.9821428571427, 1497.1690140845071, 2084.3303571428573, 1610.9225352112676, 808.2838709677419, 713.6954022988506, 715.9307479224377, 747.9971098265896, 763.1378299120234, 1220.7354497354497, 1535.0, 1216.6806282722514, 1560.125, 1442.8741721854306, 2491.5257731958764, 2487.574074074074, 2532.8490566037735, 2174.0178571428573, 2092.0,
8, 1782.0655737704917, 1067.7257142857143, 1213.1283783783783, 1419.3310344827587, 1507.1176470588234, 988.5797101449275, 791.3764367816092, 790.1467065868263, 775.622418879056, 709.3050847457627, 782.7608069164265, 889.2307692307693, 1037.3316582914572, 921.061320754717, 999.9608695652174, 933.8440366972477, 1875.024, 2826.0722891566265, 2207.808080808081, 2635.9302325581393, 2410.6774193548385, 962.4925373134329, 796.639880952381, 771.4220963172804, 792.5317220543807, 845.7051671732523, 1436.9171974522294, 1569.9856115107914, 2046.1875, 1720.0071428571428, 1717.717741935484, 2516.25, 2559.4716981132074, 2823.4895833333335, 2649.242105263158, 2492.7291666666665,
9, 1791.1307692307691, 1509.7479674796748, 1337.6993464052287, 1964.9908256880733, 1500.2091503267975, 1835.3636363636363, 843.172619047619, 877.765625, 871.0030864197531, 821.8865671641792, 869.5595238095239, 946.2327586206897, 1203.7005649717514, 1210.0236686390533, 1129.0336538461538, 1098.2124352331607, 2383.4903846153848, 2828.862068965517, 2640.7640449438204, 2840.904761904762, 3316.2571428571428, 1196.2572815533981, 868.1318327974277, 851.1757575757575, 970.2125984251968, 985.9615384615385, 1597.7225806451613, 1970.3706896551723, 1535.316129032258, 1501.5862068965516, 1596.6258503401361, 2836.05376344086, 2943.4086021505377, 3144.9444444444443, 2630.65625, 2696.5934065934066,
