iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 230.97345132743362, 230.68627450980392, 233.87573964497042, 236.44488579940418, 230.06856023506367, 229.7244094488189, 234.48616600790513, 233.54743083003953, 228.15581854043393, 220.74001947419669, 224.41176470588235, 230.95238095238096, 226.74190382728165, 239.66900702106318, 230.25540275049116, 228.11264822134387, 229.6078431372549, 235.8141858141858, 235.00986193293886, 230.7276302851524, 243.55644355644355, 242.75724275724275, 236.66666666666666, 234.7826086956522, 230.61023622047244, 231.12094395280235, 233.18540433925048, 234.51676528599606, 236.44488579940418, 233.4322453016815, 230.70088845014808, 234.65346534653466, 226.25615763546799, 257.38950276243094, 273.8724727838258, 266.5228113440197, 306.2814070351759, 241.71122994652407,
2, 256.4243027888446, 262.4117053481332, 257.2772277227723, 247.2680412371134, 251.65289256198346, 261.10526315789474, 262.1848739495798, 251.7453798767967, 247.40853658536585, 247.69539078156313, 254.73041709053916, 234.3156843156843, 252.7355623100304, 245.34068136272546, 244.63390170511533, 233.73134328358208, 238.92215568862275, 237.46253746253745, 272.8658536585366, 280.04094165813717, 265.2694610778443, 284.4305120167189, 285.8841778697001, 269.04296875, 258.3009708737864, 266.79574056147146, 266.02373887240356, 271.9204655674103, 255.95854922279793, 281.0126582278481, 262.4239350912779, 258.82658359293873, 265.8829676071055, 619.2233009708738, 433.4658187599364, 621.9879518072289, 440.42857142857144, 508.84543761638736,
3, 331.37254901960785, 316.3265306122449, 349.671772428884, 301.0131108462455, 429.19762258543835, 387.68809849521205, 290.5660377358491, 402.63532763532766, 313.70070778564207, 315.19364448857993, 306.1334641805692, 306.1, 309.2307692307692, 297.34561213434455, 319.42013129102844, 313.9840182648402, 291.7470525187567, 290.2519167579409, 396.4747356051704, 397.9428571428571, 392.63698630136986, 398.2311320754717, 425.0596658711217, 378.7671232876712, 385.2201257861635, 370.2928870292887, 381.16545265348594, 381.32911392405066, 326.0475651189128, 391.8484500574053, 368.75, 345.0, 354.31131019036957, 1435.8766233766235, 932.1590909090909, 1237.7450980392157, 1051.1752136752136, 1190.3954802259886,
4, 507.52269779507134, 505.16759776536315, 491.16883116883116, 744.0568475452196, 1200.4048582995952, 1244.4223107569721, 843.0882352941177, 1145.0396825396826, 466.26768226332973, 470.1206140350877, 449.6, 444.42013129102844, 462.6546681664792, 424.4848484848485, 464.75515463917526, 470.13793103448273, 429.4871794871795, 421.6897856242119, 663.76, 670.4905063291139, 664.1109298531811, 757.7512776831346, 687.379421221865, 648.8227146814404, 548.3271375464684, 564.9167733674776, 590.821566110398, 567.3291925465838, 449.25558312655085, 580.7203389830509, 545.8823529411765, 520.2567760342369, 512.434554973822, 2035.4166666666667, 2031.276595744681, 1807.7898550724638, 2062.256809338521, 2070.168067226891,
5, 748.1164383561644, 791.543513957307, 757.4875207986689, 2233.884297520661, 2340.7563025210084, 2394.8, 2060.204081632653, 2265.1639344262294, 721.1325966850828, 741.2448700410397, 709.6503496503497, 658.5958005249344, 769.1751085383502, 762.041884816754, 1082.2033898305085, 1044.6614583333333, 805.5238095238095, 710.5026929982047, 1122.8132387706855, 1102.8216704288939, 1179.064039408867, 1440.13698630137, 1209.8108747044917, 1196.1618257261412, 965.8119658119658, 944.8943661971831, 962.3693379790941, 958.8870431893688, 643.2867132867133, 899.8257839721255, 913.7755102040817, 784.6728971962617, 760.2896341463414, 2451.7021276595747, 2531.313131313131, 2469.0582959641256, 2610.4166666666665, 2499.3478260869565,
6, 1280.050505050505, 1163.1764705882354, 1236.802030456853, 2321.3178294573645, 2301.5243902439024, 2445.9876543209875, 2388.150289017341, 2455.244755244755, 1043.8127090301002, 984.3543046357615, 1018.6500888099467, 1106.1101549053355, 1061.7056856187291, 1551.0086455331411, 2073.684210526316, 2168.7224669603524, 1760.8856088560885, 1588.8524590163934, 1815.8415841584158, 1795.9322033898304, 1889.7482014388488, 2185.740740740741, 2024.551971326165, 1951.197604790419, 1846.857142857143, 1830.0, 1665.4450261780105, 1523.2558139534883, 938.3699633699633, 1404.3478260869565, 1394.6902654867256, 1293.5897435897436, 1190.6504065040651, 2662.84046692607, 2743.4466019417478, 2727.1493212669684, 2802.403846153846, 2756.712962962963,
7, 2052.7675276752766, 1884.4569288389514, 2103.653846153846, 2277.4193548387098, 2350.4784688995214, 2571.212121212121, 2437.16814159292, 2450.507614213198, 1484.9036402569593, 1377.130977130977, 1632.4582338902148, 1569.8497854077252, 1424.6252676659528, 2307.171314741036, 2373.456790123457, 2240.0, 2225.787401574803, 2234.100418410042, 2364.285714285714, 2371.951219512195, 2440.0826446280994, 2462.7906976744184, 2578.6919831223627, 2554.5627376425855, 2497.892720306513, 2551.939655172414, 2381.6151202749143, 2194.53125, 1378.953488372093, 2222.354948805461, 1792.0980926430518, 1944.108761329305, 1713.1648936170213, 2714.5038167938933, 3148.2051282051284, 2947.935779816514, 3179.310344827586, 3094.7236180904524,
8, 2501.7021276595747, 2405.9360730593608, 2538.9908256880735, 2402.608695652174, 2572.3039215686276, 2562.2065727699533, 2544.5378151260506, 2462.8571428571427, 2322.653721682848, 2077.5510204081634, 2314.38127090301, 2104.4117647058824, 2093.069306930693, 2412.2605363984676, 2497.093023255814, 2513.0901287553647, 2511.2704918032787, 2464.1078838174276, 2502.123552123552, 2537.4, 2600.2092050209203, 2592.063492063492, 2602.2088353413656, 2665.758754863813, 2657.0342205323195, 2644.377510040161, 2661.1524163568774, 2525.2688172043013, 2212.453531598513, 2643.653846153846, 2392.673992673993, 2508.955223880597, 2379.421768707483, 2794.007490636704, 3145.873786407767, 2989.4736842105262, 3333.4375, 3116.350710900474,
9, 2636.4224137931033, 2615.972222222222, 2645.701357466063, 2566.3755458515284, 2698.167539267016, 2702.023121387283, 2616.2995594713657, 2579.75, 2489.137931034483, 2376.8333333333335, 2545.1388888888887, 2579.715302491103, 2433.3935018050543, 2439.4052044609666, 2443.5661764705883, 2663.1799163179917, 2653.862660944206, 2515.098039215686, 2531.439393939394, 2647.119341563786, 2575.6972111553787, 2558.823529411765, 2591.9291338582675, 2674.2248062015506, 2673.5849056603774, 2678.8537549407115, 2625.735294117647, 2619.301470588235, 2609.148936170213, 2649.4444444444443, 2662.9482071713146, 2672.0703125, 2546.830985915493, 2962.310606060606, 3290.487804878049, 3125.657894736842, 3645.289855072464, 3389.054726368159,
