iteration, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 876.425702811245, 890.1282051282051, 938.3856502242153, 921.8828451882845, 928.3817427385892, 912.2943722943722, 905.9051724137931, 867.6639344262295, 877.52, 878.3193277310925, 843.7209302325581, 890.0, 868.5245901639345, 913.9024390243902, 877.1729957805907, 860.0, 875.12, 898.75, 945.2608695652174, 891.8220338983051, 870.6201550387597, 901.5040650406504, 957.1889400921659, 878.3333333333334, 880.9876543209876, 896.694214876033, 912.125, 916.0698689956332, 860.1162790697674, 877.8137651821862, 907.1308016877637, 873.9430894308944, 694.4675324675325, 556.0612691466083, 603.3563218390805, 747.8864353312302, 656.4608076009501,
2, 918.4169884169884, 871.1067193675889, 919.957264957265, 863.3712121212121, 865.0588235294117, 889.8765432098766, 884.505928853755, 869.3181818181819, 931.3559322033898, 859.8507462686567, 927.3949579831933, 888.953488372093, 915.843621399177, 912.5619834710744, 879.8467432950191, 913.5483870967741, 900.2, 913.3976833976834, 896.7692307692307, 923.035019455253, 888.4615384615385, 866.4285714285714, 920.36, 892.9317269076305, 896.7058823529412, 884.4401544401544, 902.914979757085, 927.0916334661355, 870.3237410071943, 880.374531835206, 889.3410852713179, 906.953125, 755.014245014245, 657.8886310904873, 642.5267665952891, 759.6368715083798, 731.5513126491646,
3, 850.7216494845361, 878.6281588447654, 811.268115942029, 837.1428571428571, 802.8571428571429, 807.7931034482758, 828.7272727272727, 828.3673469387755, 794.7118644067797, 801.8088737201365, 809.5890410958904, 790.2730375426621, 850.1779359430604, 823.4982332155477, 833.6713286713286, 855.3308823529412, 867.6119402985074, 829.7260273972603, 852.9351535836178, 849.3793103448276, 844.0531561461794, 810.4487179487179, 872.4555160142348, 824.5238095238095, 838.0851063829788, 848.5714285714286, 844.1342756183745, 843.8013698630137, 785.8653846153846, 818.265306122449, 793.8225255972696, 811.4915254237288, 743.5416666666666, 727.1882640586797, 716.8409090909091, 695.8117647058823, 705.483870967742,
4, 662.0879120879121, 628.6075949367089, 604.8520710059172, 584.3137254901961, 590.0, 604.5915492957746, 594.4508670520231, 579.9739583333334, 595.9510869565217, 643.268156424581, 611.2707182320441, 595.7824933687002, 689.9408284023668, 705.9815950920246, 669.9096385542168, 719.8470948012232, 669.8847262247839, 618.7596899224807, 653.4903047091412, 611.2096774193549, 597.379679144385, 608.6772486772487, 765.9752321981424, 724.3515850144092, 762.3404255319149, 760.8132530120482, 749.9408284023668, 558.663101604278, 557.8861788617886, 565.7220708446866, 544.4772117962466, 531.3624678663239, 849.943342776204, 718.0668257756563, 731.7966903073286, 713.716381418093, 764.5657568238213,
5, 465.01138952164007, 455.6108597285068, 334.9019607843137, 352.910447761194, 342.28287841191064, 346.5, 328.719806763285, 387.15555555555557, 402.21709006928404, 407.4943566591422, 364.69767441860466, 435.37931034482756, 524.0246913580247, 504.3276283618582, 544.9742268041238, 489.47115384615387, 503.2530120481928, 405.632183908046, 392.0135746606335, 381.270207852194, 383.6214953271028, 369.25581395348837, 631.8844221105528, 674.4385026737968, 659.8484848484849, 666.2299465240642, 645.5867346938776, 231.90361445783134, 231.95652173913044, 237.5561097256858, 219.09975669099757, 227.78571428571428, 890.0, 847.76, 735.981308411215, 770.2905569007264, 840.185676392573,
6, 467.0892018779343, 464.9425287356322, 361.3895781637717, 409.1666666666667, 371.07142857142856, 434.1470588235294, 352.95629820051414, 432.72727272727275, 455.6306306306306, 437.3661670235546, 404.83516483516485, 476.74418604651163, 511.81598062954, 498.2850241545894, 503.68932038834953, 492.0096852300242, 513.7220843672457, 392.5121951219512, 378.05825242718447, 392.0833333333333, 372.9567307692308, 374.14948453608247, 670.3439803439803, 709.1891891891892, 656.2864077669902, 689.1494845360825, 718.4391534391534, 229.9257425742574, 236.53266331658293, 236.975, 225.28535980148882, 217.73584905660377, 915.1780821917808, 902.4157303370787, 826.0722891566265, 820.5445544554456, 899.5988538681949,
7, 458.4037558685446, 464.6370023419204, 538.4249084249084, 540.7220216606498, 540.3383458646616, 562.689393939394, 440.4424778761062, 463.3544303797468, 465.042194092827, 452.82105263157894, 472.5221238938053, 506.281179138322, 536.6840731070496, 492.6150121065375, 508.390243902439, 526.4285714285714, 504.9512195121951, 393.50383631713555, 374.1794871794872, 441.6161616161616, 379.0, 387.45358090185675, 735.3926701570681, 734.5333333333333, 751.6260162601626, 716.0103626943005, 752.9752066115702, 238.7409200968523, 243.21518987341773, 254.3979057591623, 233.67396593673965, 230.1179245283019, 913.5694822888283, 891.8783068783068, 897.6441102756892, 870.9429280397022, 993.8993710691824,
8, 504.0096618357488, 475.02487562189054, 723.6315789473684, 616.9683257918552, 646.6511627906976, 660.6435643564356, 598.5433070866142, 479.5258620689655, 516.0879120879121, 498.5074626865672, 530.0919540229885, 522.1875, 492.8433734939759, 477.0023419203747, 499.1767554479419, 513.275, 492.48210023866346, 450.75916230366494, 427.6623376623377, 456.97399527186764, 452.11678832116786, 452.0899470899471, 768.7042253521126, 804.4285714285714, 817.6536312849162, 765.1968503937007, 808.8450704225352, 248.72549019607843, 249.30693069306932, 286.01023017902816, 251.83823529411765, 238.19070904645477, 950.5205479452055, 894.6700507614213, 910.9620253164557, 1001.9886363636364, 1016.3888888888889,
9, 487.37100737100735, 489.2289156626506, 767.6878612716763, 658.1, 785.7714285714286, 732.5268817204301, 706.5128205128206, 562.8132387706855, 556.6444444444444, 526.1363636363636, 555.4347826086956, 560.3579952267303, 493.84057971014494, 486.04368932038835, 506.75742574257424, 514.4364508393286, 487.14285714285717, 489.38666666666666, 486.9873417721519, 521.5841584158416, 461.5280898876405, 477.67726161369194, 834.4674556213017, 837.4709302325581, 840.7042253521126, 813.8260869565217, 848.0397727272727, 306.2469733656174, 288.2294264339152, 330.7552083333333, 291.439205955335, 269.01477832512313, 960.2777777777778, 925.5064935064935, 865.1860465116279, 1035.5287009063445, 974.6131805157593,
