iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 17917.647058823528, 17564.36170212766, 17848.64864864865, 16762.17616580311, 17209.473684210527, 16863.775510204083, 16846.907216494845, 17010.416666666668, 16658.163265306124, 17443.85026737968, 17345.502645502645, 17360.20942408377, 17327.748691099478, 16818.46153846154, 17793.478260869564, 17295.833333333332, 16607.65306122449, 17593.193717277485, 17359.16230366492, 17159.78835978836, 17212.105263157893, 17337.76595744681, 17250.26455026455, 16707.61421319797, 16579.695431472082, 16941.666666666668, 16417.085427135677, 17565.78947368421, 16465.151515151516, 17190.052356020944, 17924.598930481283, 9751.79856115108, 9495.985401459853, 9252.573529411764, 12654.621848739496, 8730.30303030303,
2, 15627.722772277228, 16241.624365482234, 15560.29411764706, 15651.0, 15749.253731343284, 16437.755102040817, 16423.737373737375, 14917.874396135267, 16061.306532663317, 16237.688442211056, 15232.850241545893, 16256.345177664974, 16317.171717171717, 16709.79381443299, 16275.5, 15687.623762376237, 15207.843137254902, 15091.304347826086, 14957.004830917875, 15555.882352941177, 15635.78431372549, 16267.692307692309, 16613.131313131315, 15829.5, 16262.944162436548, 16416.836734693876, 15443.203883495145, 15833.004926108375, 14741.232227488152, 15362.745098039215, 15774.019607843138, 14081.18811881188, 9058.885017421602, 12597.446808510638, 9456.382978723404, 13954.09090909091,
3, 13534.562211981567, 12851.754385964912, 12961.434977578476, 12173.305084745763, 13020.79646017699, 11859.82905982906, 13381.19266055046, 12677.97356828194, 13553.125, 13284.304932735426, 13812.556053811659, 12903.056768558952, 13550.44642857143, 13426.48401826484, 13105.263157894737, 13379.638009049773, 11623.75, 10714.229249011858, 12545.531914893618, 12013.636363636364, 12005.39419087137, 12989.823008849558, 15030.76923076923, 13080.80357142857, 13720.833333333334, 12888.646288209608, 11722.727272727272, 11882.572614107883, 11904.13223140496, 12106.198347107438, 11966.528925619834, 14546.153846153846, 20000.581395348836, 13694.273127753304, 22306.748466257668, 14350.0,
4, 9569.201520912547, 8314.335664335664, 8058.053691275168, 8069.69696969697, 8264.137931034482, 8037.373737373738, 9266.548042704626, 8957.553956834532, 9168.57142857143, 9140.860215053763, 9405.109489051094, 9859.695817490494, 10460.227272727272, 9840.89219330855, 9868.16479400749, 9941.328413284133, 6729.041916167665, 6668.59756097561, 7900.986842105263, 6949.050632911392, 7592.307692307692, 8861.672473867597, 10044.615384615385, 9373.161764705883, 9618.65671641791, 10135.0, 7122.397476340694, 7421.474358974359, 7358.7859424920125, 7406.2893081761, 7122.857142857143, 30412.977099236643, 33785.833333333336, 23126.973684210527, 47795.192307692305, 31197.674418604653,
5, 6625.625, 4851.6971279373365, 4332.575757575758, 4574.871794871795, 4782.077922077922, 4712.886597938144, 6762.8398791540785, 6453.474320241692, 6180.6547619047615, 6475.522388059701, 6992.476489028213, 6055.457227138643, 6828.955223880597, 6266.8674698795185, 6578.0185758513935, 6676.829268292683, 4080.392156862745, 4281.173594132029, 4785.677083333333, 5069.736842105263, 4634.438775510204, 5690.437158469946, 5608.07799442897, 5997.674418604651, 5296.0526315789475, 6362.536873156342, 4154.1463414634145, 3531.5555555555557, 4142.482100238663, 3503.14606741573, 3691.6859122401847, 45168.68686868687, 41070.0, 32777.5, 64088.50574712644, 37936.52173913043,
6, 6258.1039755351685, 5026.9541778975745, 4877.0448548812665, 4879.220779220779, 5339.673913043478, 5148.293963254593, 8022.222222222223, 7084.493670886076, 7398.692810457516, 7581.4332247557, 6493.396226415094, 6351.818181818182, 6136.811594202899, 6234.3373493975905, 6641.463414634146, 6865.123456790124, 5090.765171503957, 5325.606469002695, 5053.866666666667, 5664.066852367688, 5049.21875, 6340.469208211143, 6147.214076246334, 6920.504731861199, 5735.537190082645, 6937.694704049844, 4085.714285714286, 4745.90570719603, 5145.128205128205, 4138.1067961165045, 4086.265060240964, 64589.61038961039, 50684.375, 52186.206896551725, 99793.22033898305, 47988.23529411765,
7, 5941.98250728863, 5376.693766937669, 5761.971830985915, 5207.202216066482, 5836.211699164345, 5600.0, 8304.46735395189, 6028.285714285715, 6846.178343949045, 7102.208201892745, 6175.0, 7476.527331189711, 6693.125, 6698.7767584097855, 7147.798742138365, 6847.8125, 4752.763819095478, 5889.014084507042, 5450.41782729805, 5635.068493150685, 6588.857142857143, 6557.771260997068, 5979.0273556231, 6120.797720797721, 6344.699140401146, 6990.153846153846, 4939.030612244898, 4937.467700258398, 4967.839195979899, 4969.329896907217, 4398.004987531172, 89035.0, 86509.09090909091, 85493.54838709677, 309442.1052631579, 75898.6301369863,
8, 6473.2558139534885, 6217.241379310345, 6906.481481481482, 5957.184750733138, 6988.888888888889, 5858.404558404558, 6333.035714285715, 6493.373493975903, 6685.488958990536, 7055.873015873016, 6587.905604719764, 7310.526315789473, 6924.920127795527, 6819.444444444444, 7522.75641025641, 7453.9682539682535, 5245.989304812834, 6172.0, 5571.944444444444, 6601.449275362319, 5886.7768595041325, 5529.234972677596, 6124.776119402985, 6219.883040935672, 6547.41641337386, 8173.202614379085, 5075.835475578406, 5091.603053435115, 5738.522427440634, 5267.012987012987, 4046.829268292683, 226104.0, 285091.6666666667, 279050.0, 829366.6666666666, 140666.66666666666,
9, 6077.528089887641, 7218.731117824774, 6735.866261398176, 6275.146198830409, 7163.076923076923, 7041.955835962145, 6483.77581120944, 6586.764705882353, 7402.5723472668815, 5745.507246376812, 6543.641618497109, 7313.355048859935, 6818.210862619809, 7317.2523961661345, 7943.234323432343, 8024.324324324324, 5358.695652173913, 5933.606557377049, 5836.768802228412, 6307.282913165266, 7020.639534883721, 5906.0109289617485, 6484.326018808777, 5916.24649859944, 7215.3125, 7595.268138801262, 6222.651933701657, 5953.333333333333, 6878.612716763006, 4909.653465346535, 5463.517060367454, 638830.0, 524253.8461538461, 352411.1111111111, 885044.4444444445, 385706.25,
