iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 14.364035087719298, 14.258474576271187, 14.756871035940803, 14.675324675324676, 14.341252699784016, 14.764957264957266, 14.788135593220339, 13.818565400843882, 14.967602591792657, 15.307017543859649, 14.733475479744136, 14.763948497854077, 15.222929936305732, 14.097664543524417, 14.21505376344086, 14.279569892473118, 14.511930585683297, 14.017278617710582, 15.334773218142548, 14.584221748400854, 14.584221748400854, 14.59915611814346, 15.442764578833692, 14.914893617021276, 15.149572649572649, 14.947368421052632, 14.35344827586207, 13.441558441558442, 15.02127659574468, 14.163090128755364, 14.331210191082803, 11.946107784431138, 7.959770114942529, 9.196141479099678, 9.103641456582633, 7.774725274725275,
2, 13.545454545454545, 13.698630136986301, 13.215077605321508, 14.181818181818182, 13.660714285714286, 13.456221198156681, 13.727678571428571, 13.002207505518763, 13.638392857142858, 12.929061784897025, 13.454545454545455, 13.544018058690744, 13.04932735426009, 12.882483370288249, 13.868131868131869, 12.898230088495575, 15.723830734966592, 13.881578947368421, 15.904139433551197, 14.6875, 15.692307692307692, 13.733624454148472, 13.594771241830065, 13.75, 13.969298245614034, 14.013015184381779, 13.775280898876405, 13.632286995515695, 14.662162162162161, 14.231625835189309, 14.342984409799554, 231.34969325153375, 8.690176322418136, 10.638820638820638, 7.60752688172043, 9.917355371900827,
3, 16.095238095238095, 13.557213930348258, 12.56857855361596, 12.609819121447028, 11.855670103092784, 12.411167512690355, 12.155388471177945, 10.57934508816121, 12.027972027972028, 11.42156862745098, 11.694915254237289, 11.592505854800937, 11.435406698564593, 12.631578947368421, 12.870813397129186, 11.800947867298579, 19.597156398104264, 18.43971631205674, 18.470588235294116, 19.29078014184397, 19.452380952380953, 11.751152073732719, 11.733021077283372, 11.209302325581396, 12.248803827751196, 10.116550116550117, 18.791469194312796, 20.116550116550115, 19.40639269406393, 19.51388888888889, 20.359550561797754, 772.8461538461538, 17.252747252747252, 15.792349726775956, 17.434944237918216, 463.67088607594934,
4, 28.19148936170213, 12.364672364672364, 12.988165680473372, 13.333333333333334, 11.613832853025936, 13.853211009174313, 8.567415730337078, 7.574850299401198, 9.013698630136986, 10.857908847184987, 7.197802197802198, 11.170212765957446, 12.096774193548388, 14.088541666666666, 11.974025974025974, 11.357702349869452, 23.682864450127877, 20.67750677506775, 23.19693094629156, 22.46684350132626, 22.026315789473685, 17.080291970802918, 11.280788177339902, 15.295566502463053, 15.075757575757576, 11.802469135802468, 27.650130548302872, 28.644986449864497, 29.947780678851174, 28.839050131926122, 26.80628272251309, 826.7716535433071, 21.555555555555557, 30.75, 20.404040404040405, 807.9527559055118,
5, 66.48648648648648, 16.80701754385965, 14.134275618374557, 16.140350877192983, 14.58904109589041, 17.205882352941178, 8.900709219858156, 4.549356223175966, 4.1516245487364625, 8.362989323843417, 4.695340501792114, 16.30252100840336, 16.53295128939828, 16.906666666666666, 14.859550561797754, 15.988857938718663, 33.940298507462686, 24.70031545741325, 32.44047619047619, 28.20359281437126, 30.486322188449847, 24.97326203208556, 21.314432989690722, 25.667574931880107, 25.258855585831064, 22.979942693409743, 32.87539936102237, 39.4006309148265, 33.66459627329193, 34.857142857142854, 32.29102167182663, 865.7258064516129, 43.940677966101696, 49.84126984126984, 34.56349206349206, 875.1639344262295,
6, 120.54913294797687, 17.120253164556964, 19.65156794425087, 22.476190476190474, 20.957095709570957, 21.485148514851485, 9.176029962546817, 3.3469387755102042, 4.26056338028169, 8.661971830985916, 5.229681978798586, 18.73015873015873, 17.404371584699454, 20.132978723404257, 19.10761154855643, 17.849740932642487, 42.58064516129032, 28.726708074534162, 38.50877192982456, 35.84848484848485, 36.858006042296076, 33.473684210526315, 31.24681933842239, 28.982630272952854, 32.86089238845145, 30.054945054945055, 36.20253164556962, 44.48275862068966, 42.4390243902439, 40.376175548589345, 37.78443113772455, 881.7213114754098, 66.59305993690852, 78.30601092896175, 38.221574344023324, 849.04,
7, 162.1937321937322, 21.474926253687315, 22.28228228228228, 25.511363636363637, 24.567164179104477, 23.08641975308642, 8.713235294117647, 4.691358024691358, 6.213235294117647, 11.067615658362989, 7.593220338983051, 19.576059850374065, 20.155844155844157, 20.74168797953964, 21.945137157107233, 19.522613065326635, 45.31722054380665, 38.263665594855304, 45.92696629213483, 42.65129682997118, 43.01948051948052, 38.2, 39.738219895287955, 35.48235294117647, 37.766497461928935, 42.92620865139949, 38.50877192982456, 47.55351681957187, 43.04709141274238, 49.359756097560975, 44.354354354354356, 899.0983606557377, 93.11170212765957, 91.13333333333334, 46.89054726368159, 859.92,
8, 195.1622418879056, 26.214689265536723, 28.53125, 30.308641975308642, 25.54006968641115, 32.03125, 9.261744966442953, 6.679245283018868, 7.577854671280277, 12.464788732394366, 10.941558441558442, 20.77319587628866, 21.623711340206185, 22.512820512820515, 24.102564102564102, 21.262626262626263, 54.470588235294116, 45.73170731707317, 46.7887323943662, 46.63865546218487, 50.18181818181818, 46.982968369829685, 46.907730673316706, 40.24449877750611, 37.8345498783455, 44.59057071960298, 44.225352112676056, 70.49668874172185, 45.81005586592179, 71.96923076923076, 45.2, 889.1869918699186, 101.07734806629834, 110.04938271604938, 61.9954128440367, 898.360655737705,
9, 219.7826086956522, 30.349206349206348, 30.13888888888889, 37.57575757575758, 27.256944444444443, 29.661016949152543, 9.681528662420382, 10.986394557823129, 13.853211009174313, 11.443661971830986, 9.943977591036415, 23.941798941798943, 28.102564102564102, 24.020356234096692, 28.9769820971867, 23.14720812182741, 63.50877192982456, 45.46742209631728, 55.309973045822105, 57.053824362606235, 76.78260869565217, 52.53363228699551, 46.96078431372549, 44.27536231884058, 45.18518518518518, 47.252252252252255, 49.729729729729726, 169.85559566787003, 57.26775956284153, 176.48745519713262, 51.424418604651166, 901.5447154471544, 127.87292817679558, 124.51536643026004, 93.32288401253919, 904.9180327868852,
