iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 4100.0, 2497.652582159624, 2032.5581395348838, 2233.644859813084, 2545.0236966824646, 2317.5355450236966, 2686.9158878504672, 2341.121495327103, 2529.126213592233, 2383.4951456310678, 2275.700934579439, 2500.0, 2519.230769230769, 2027.5229357798164, 2169.0140845070423, 2638.095238095238, 2294.1176470588234, 2572.8155339805826, 2380.281690140845, 2429.951690821256, 2473.684210526316, 2476.6355140186915, 2571.4285714285716, 2206.5727699530516, 2317.3076923076924, 2905.6603773584907, 2514.285714285714, 2495.098039215686, 2202.7649769585255, 2485.714285714286, 2314.5539906103286, 2736.040609137056, 2955.4455445544554, 2377.3584905660377, 2781.7258883248733, 2497.560975609756,
2, 3416.2162162162163, 2714.285714285714, 2455.958549222798, 2701.492537313433, 2676.7676767676767, 2764.705882352941, 2565.8536585365855, 2743.5897435897436, 2804.0201005025124, 2632.6530612244896, 2861.3861386138615, 2690.721649484536, 2678.048780487805, 2418.269230769231, 3041.025641025641, 2623.115577889447, 2848.4848484848485, 3085.8585858585857, 2653.2663316582916, 2676.7676767676767, 2865.979381443299, 2473.1182795698924, 2453.6082474226805, 2464.285714285714, 2637.7551020408164, 2658.1632653061224, 2192.8934010152284, 2664.97461928934, 2492.3857868020305, 2554.973821989529, 2576.530612244898, 2741.2935323383085, 2009.3457943925234, 2009.5693779904307, 1970.4433497536945, 2350.7109004739336,
3, 3754.491017964072, 3124.324324324324, 2956.2841530054643, 2618.2795698924733, 2864.5833333333335, 2829.6703296703295, 2520.0, 3034.090909090909, 3234.285714285714, 2769.6629213483147, 2513.3689839572194, 2592.5925925925926, 2946.808510638298, 2821.9895287958116, 2677.2486772486773, 2923.469387755102, 3005.5555555555557, 3224.137931034483, 3257.309941520468, 2827.5862068965516, 3254.237288135593, 3000.0, 2882.978723404255, 2718.9189189189187, 2944.4444444444443, 3112.994350282486, 3028.5714285714284, 2827.2251308900522, 2888.8888888888887, 3345.029239766082, 2759.776536312849, 2219.512195121951, 2418.71921182266, 2333.3333333333335, 2454.5454545454545, 2723.076923076923,
4, 3273.2919254658386, 2641.509433962264, 3503.184713375796, 3130.9523809523807, 3119.0476190476193, 2818.181818181818, 3271.604938271605, 3626.5822784810125, 3054.5454545454545, 2982.7586206896553, 3116.9590643274855, 3190.751445086705, 2880.681818181818, 3067.0391061452515, 3220.9302325581393, 2423.529411764706, 3685.897435897436, 3292.9936305732485, 3091.503267973856, 3000.0, 3805.3691275167785, 3058.064516129032, 2608.4337349397592, 2983.0508474576272, 3071.4285714285716, 3607.843137254902, 3031.8471337579617, 3333.3333333333335, 3300.6993006993007, 3525.641025641026, 3570.2479338842977, 2585.3658536585367, 2343.915343915344, 2400.0, 7130.681818181818, 2764.102564102564,
5, 3050.0, 2913.907284768212, 2496.815286624204, 2302.4691358024693, 2483.8709677419356, 2647.4358974358975, 2132.9113924050635, 2119.205298013245, 2602.5641025641025, 2993.4210526315787, 3074.324324324324, 2544.3037974683543, 3262.5, 2897.590361445783, 2935.483870967742, 3240.506329113924, 2328.3582089552237, 2592.8571428571427, 3022.9007633587785, 2496.1832061068703, 2759.3984962406016, 2746.6666666666665, 2502.958579881657, 3150.6849315068494, 2775.5102040816328, 3097.222222222222, 2991.0714285714284, 2512.6050420168067, 3826.530612244898, 3409.8360655737706, 3606.741573033708, 4222.222222222223, 2857.1428571428573, 9236.842105263158, 14982.24852071006, 4064.516129032258,
6, 3206.1068702290077, 2475.862068965517, 2708.3333333333335, 2605.4421768707484, 2688.7417218543046, 2683.8709677419356, 2620.0, 2369.0476190476193, 2713.375796178344, 2906.25, 2175.757575757576, 2949.685534591195, 2896.7741935483873, 2849.7109826589594, 3215.6862745098038, 3090.3225806451615, 3539.8230088495575, 3464.9122807017543, 3738.3177570093458, 3788.9908256880735, 3470.08547008547, 3424.242424242424, 2161.676646706587, 3792.2077922077924, 3588.6075949367087, 3246.268656716418, 3647.0588235294117, 3762.8865979381444, 4188.888888888889, 3163.793103448276, 4867.469879518072, 11600.0, 5572.254335260116, 14577.540106951872, 17523.25581395349, 10861.878453038675,
7, 3975.8064516129034, 2924.137931034483, 2709.2198581560283, 2950.7042253521126, 2607.1428571428573, 2680.851063829787, 2762.5, 2888.198757763975, 2718.1208053691275, 2412.121212121212, 2764.705882352941, 3116.1290322580644, 2814.814814814815, 3412.9032258064517, 3013.3333333333335, 3603.896103896104, 4191.919191919192, 3601.9417475728155, 3632.4786324786323, 3104.3478260869565, 3689.655172413793, 4360.7594936708865, 2839.5061728395062, 7099.337748344371, 4192.307692307692, 4677.966101694915, 4180.952380952381, 4397.727272727273, 4362.6373626373625, 3600.0, 4131.313131313132, 14922.155688622754, 9621.052631578947, 17189.473684210527, 15583.815028901734, 16010.928961748634,
8, 4157.894736842105, 2772.7272727272725, 3350.7462686567164, 3347.517730496454, 2864.285714285714, 3034.965034965035, 2640.7185628742513, 2909.090909090909, 2745.341614906832, 2779.874213836478, 2871.7948717948716, 3394.7368421052633, 3392.8571428571427, 3148.3870967741937, 3222.9299363057326, 4021.276595744681, 3845.4545454545455, 4153.846153846154, 3541.2844036697247, 4336.734693877551, 3709.090909090909, 6557.575757575758, 3452.830188679245, 10707.482993197278, 4878.787878787879, 6447.368421052632, 4917.525773195876, 4010.204081632653, 4395.833333333333, 3833.3333333333335, 4217.821782178218, 19957.317073170732, 19681.81818181818, 16773.19587628866, 15228.72340425532, 19204.6783625731,
9, 3875.0, 2458.6466165413535, 2642.3357664233577, 3426.573426573427, 3584.6153846153848, 2964.5390070921985, 2832.3353293413174, 2596.4912280701756, 2850.9316770186338, 2934.5238095238096, 2588.957055214724, 3271.523178807947, 3696.969696969697, 3565.7894736842104, 2871.7948717948716, 3176.056338028169, 3991.150442477876, 3296.296296296296, 3798.076923076923, 3943.396226415094, 3895.6521739130435, 11564.41717791411, 3575.0, 11303.703703703704, 11863.354037267081, 7084.033613445378, 3650.943396226415, 3866.0714285714284, 3816.326530612245, 3764.1509433962265, 3855.9322033898306, 19745.454545454544, 24932.88590604027, 17890.710382513662, 18666.666666666668, 18221.590909090908,
10, 4145.1612903225805, 3345.3237410071943, 3078.5714285714284, 3125.925925925926, 3511.8110236220473, 3358.208955223881, 3109.756097560976, 3145.4545454545455, 2782.608695652174, 2899.37106918239, 3213.3333333333335, 3132.3529411764707, 3467.6258992805756, 3278.1456953642382, 3211.9205298013244, 3000.0, 3414.6341463414633, 3839.622641509434, 3924.5283018867926, 3641.509433962264, 3412.280701754386, 9576.470588235294, 3714.285714285714, 11801.470588235294, 12875.0, 10894.736842105263, 4368.9320388349515, 3982.608695652174, 4760.416666666667, 4138.6138613861385, 3521.3675213675215, 20313.253012048193, 24707.482993197278, 15938.461538461539, 18716.763005780347, 17145.251396648044,
11, 3992.0, 3221.4285714285716, 3119.402985074627, 3212.5984251968503, 3530.769230769231, 3127.659574468085, 3080.246913580247, 3075.0, 2993.9024390243903, 2690.058479532164, 2957.5757575757575, 3236.4864864864867, 3842.1052631578946, 3234.8993288590605, 3443.6619718309857, 3278.1456953642382, 3561.40350877193, 3971.698113207547, 4221.153846153846, 3345.1327433628317, 3961.904761904762, 9701.754385964912, 3901.734104046243, 10220.0, 14468.531468531468, 10652.173913043478, 4123.809523809524, 3990.566037735849, 4979.381443298969, 4792.079207920792, 3898.1481481481483, 20851.612903225807, 25275.862068965518, 16700.53475935829, 21157.575757575756, 18237.17948717949,
12, 4258.064516129032, 3292.3076923076924, 3265.151515151515, 3327.8688524590166, 3375.0, 3160.5839416058393, 3401.2345679012346, 3132.0754716981132, 2779.220779220779, 2644.578313253012, 2830.409356725146, 3471.014492753623, 2654.9295774647885, 3459.4594594594596, 2972.4137931034484, 3871.212121212121, 3756.3025210084033, 4009.8039215686276, 4069.5652173913045, 3500.0, 3841.121495327103, 11271.084337349397, 11078.43137254902, 10118.88111888112, 16243.055555555555, 11894.736842105263, 3611.650485436893, 3857.1428571428573, 4405.66037735849, 4580.645161290323, 4232.142857142857, 21831.16883116883, 28270.07299270073, 18556.81818181818, 22193.75, 19631.57894736842,
13, 4583.333333333333, 3246.153846153846, 3153.846153846154, 2784.0, 3116.788321167883, 3021.897810218978, 2858.974358974359, 2641.509433962264, 2698.7951807228915, 2787.878787878788, 2858.8957055214723, 3103.896103896104, 3154.3624161073826, 3575.3424657534247, 3358.108108108108, 3601.3986013986014, 3401.6393442622953, 4111.111111111111, 4116.504854368932, 4008.7719298245615, 3747.663551401869, 15216.216216216217, 13018.75, 14656.0, 18865.248226950356, 12063.38028169014, 4050.0, 4220.0, 3698.2758620689656, 4060.0, 4387.096774193548, 20904.761904761905, 28700.787401574802, 17821.22905027933, 22841.772151898735, 20006.172839506173,
14, 4380.530973451328, 3311.4754098360654, 3539.6825396825398, 3231.404958677686, 2976.7441860465115, 3601.6260162601625, 3000.0, 3111.801242236025, 2386.5030674846626, 2469.135802469136, 2987.878787878788, 3174.496644295302, 3357.615894039735, 3763.8888888888887, 3562.9139072847684, 3813.3333333333335, 3857.1428571428573, 3972.972972972973, 4254.7169811320755, 4102.803738317757, 3706.896551724138, 19472.972972972973, 13146.853146853147, 18129.032258064515, 23791.36690647482, 12326.666666666666, 4411.764705882353, 4220.0, 4102.803738317757, 3706.422018348624, 4413.04347826087, 21902.439024390245, 28106.060606060608, 17988.76404494382, 23607.843137254902, 19830.303030303032,
15, 4730.0, 3007.3529411764707, 3201.6129032258063, 2894.308943089431, 2830.8823529411766, 2984.848484848485, 3012.5, 2920.245398773006, 2817.6100628930817, 3301.2820512820513, 2451.8072289156626, 3210.5263157894738, 3578.616352201258, 3266.6666666666665, 3598.684210526316, 3985.9154929577467, 3609.756097560976, 3978.723404255319, 3884.6153846153848, 4350.877192982456, 4061.9469026548672, 23425.675675675677, 13583.892617449665, 19992.85714285714, 22462.585034013606, 13416.666666666666, 4130.0, 4174.757281553398, 3701.0309278350514, 3768.595041322314, 3980.9523809523807, 22950.31055900621, 27573.643410852714, 18959.06432748538, 25473.333333333332, 20294.117647058825,
16, 3801.6528925619837, 3661.417322834646, 3556.451612903226, 3634.782608695652, 3395.3488372093025, 3559.322033898305, 2911.949685534591, 2815.0289017341042, 2945.121951219512, 2795.031055900621, 2911.764705882353, 3121.7948717948716, 3567.5675675675675, 3691.2751677852348, 3480.2631578947367, 5353.383458646616, 3921.0526315789475, 5232.142857142857, 4632.075471698113, 7574.257425742574, 3508.7719298245615, 19480.76923076923, 13880.794701986755, 21187.919463087248, 19792.20779220779, 16358.620689655172, 4452.631578947368, 4346.938775510204, 4265.95744680851, 3846.153846153846, 4336.538461538462, 21879.518072289156, 29544.0, 20512.19512195122, 25080.53691275168, 20703.703703703704,
17, 5118.181818181818, 3259.5419847328244, 4216.0, 3672.1311475409834, 4169.4915254237285, 2976.3779527559054, 2796.1783439490446, 3049.382716049383, 2546.583850931677, 3000.0, 3259.493670886076, 3503.448275862069, 3534.1614906832297, 3165.562913907285, 3770.2702702702704, 5550.0, 4008.9285714285716, 7375.0, 4256.880733944954, 15554.545454545454, 4805.309734513275, 17260.0, 15389.261744966443, 20205.673758865247, 20715.23178807947, 17335.664335664336, 4223.404255319149, 5352.941176470588, 4389.473684210527, 3444.4444444444443, 3588.785046728972, 21936.416184971098, 30658.333333333332, 21462.962962962964, 26764.285714285714, 20769.696969696968,
18, 3882.8828828828828, 3045.4545454545455, 3101.5625, 3793.3884297520663, 4388.888888888889, 3300.8130081300815, 2793.75, 2874.2138364779876, 2950.3105590062114, 2868.75, 3635.8024691358023, 3886.5248226950353, 3864.864864864865, 3589.4039735099336, 3611.4649681528663, 5942.446043165468, 4456.310679611651, 12955.882352941177, 3333.3333333333335, 19508.064516129034, 3860.8695652173915, 20479.72972972973, 18655.172413793105, 20323.529411764706, 19227.58620689655, 18408.163265306124, 4447.916666666667, 5078.651685393258, 3775.5102040816328, 4551.0204081632655, 4233.644859813084, 24832.298136645964, 31826.446280991735, 21801.242236024846, 27725.352112676057, 20913.58024691358,
19, 4551.401869158878, 3094.890510948905, 2888.8888888888887, 7200.0, 5539.68253968254, 3476.190476190476, 2582.8220858895706, 3201.2578616352203, 2557.6923076923076, 3084.848484848485, 2962.7329192546586, 3320.0, 3596.026490066225, 3506.25, 4000.0, 5806.896551724138, 4467.391304347826, 15875.912408759124, 3818.9655172413795, 16791.044776119405, 4030.3030303030305, 21727.891156462585, 20520.27027027027, 21164.0625, 21911.56462585034, 19384.1059602649, 4520.0, 6690.265486725663, 3966.9421487603304, 5540.229885057472, 3774.5098039215686, 26201.2987012987, 30214.285714285714, 21024.69135802469, 26776.978417266186, 22179.48717948718,
