iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 368.1711229946524, 367.30434782608694, 367.2432432432432, 362.83597883597884, 374.0748663101604, 380.6338797814208, 371.8709677419355, 362.85714285714283, 382.5869565217391, 355.63440860215053, 369.23243243243246, 391.50837988826817, 382.56353591160223, 374.8449197860963, 346.5833333333333, 360.7958115183246, 407.3333333333333, 370.7096774193548, 361.4468085106383, 367.63243243243244, 359.34391534391534, 381.95604395604397, 382.46994535519127, 365.25405405405405, 371.6666666666667, 387.6263736263736, 362.3606557377049, 375.3368983957219, 368.02127659574467, 362.1521739130435, 372.58378378378376, 350.22222222222223, 372.48936170212767, 427.49668874172187, 390.79245283018867, 391.3333333333333, 446.9019607843137, 508.62295081967216,
2, 367.1304347826087, 358.14054054054054, 373.4945054945055, 344.4232804232804, 352.10928961748635, 350.86021505376345, 335.44086021505376, 339.9120879120879, 360.17977528089887, 339.63243243243244, 354.8988764044944, 354.82485875706215, 398.69767441860466, 361.741935483871, 334.2315789473684, 347.8510638297872, 336.67724867724866, 367.0382513661202, 348.4021164021164, 358.46153846153845, 373.77777777777777, 404.9318181818182, 367.1777777777778, 380.91620111731845, 368.0662983425414, 373.9672131147541, 354.03314917127074, 379.08196721311475, 360.49162011173183, 352.81720430107526, 353.8636363636364, 363.42857142857144, 382.752688172043, 560.5714285714286, 635.9636363636364, 689.4588235294118, 632.9108910891089, 716.3636363636364,
3, 329.5614973262032, 359.08196721311475, 358.4804469273743, 309.2021857923497, 315.62011173184356, 334.30167597765364, 348.5057471264368, 326.314606741573, 353.35632183908046, 333.02222222222224, 367.67058823529413, 339.2183908045977, 350.79545454545456, 343.89071038251365, 341.4782608695652, 327.379679144385, 329.8695652173913, 374.7586206896552, 431.4742857142857, 383.7647058823529, 365.9310344827586, 400.1058201058201, 397.4237288135593, 370.585635359116, 345.3114754098361, 348.73118279569894, 350.3529411764706, 377.53846153846155, 401.8426966292135, 409.28735632183907, 368.52272727272725, 345.5542857142857, 401.31073446327684, 650.5511811023622, 675.29203539823, 631.0943396226415, 641.4090909090909, 757.6859504132232,
4, 339.30337078651684, 386.90697674418607, 366.02197802197804, 298.7885714285714, 300.49411764705883, 308.0, 295.2888888888889, 314.8670520231214, 379.5092024539877, 350.5121951219512, 362.65060240963857, 315.88023952095807, 352.5609756097561, 349.97849462365593, 345.36170212765956, 349.78494623655916, 311.95854922279796, 354.7391304347826, 754.5333333333333, 648.2547770700637, 588.1939393939394, 649.0299401197605, 751.4206896551724, 436.53333333333336, 368.8125, 426.85990338164254, 355.9207920792079, 434.4271844660194, 640.5128205128206, 613.9060402684564, 593.8461538461538, 538.992125984252, 568.3973509933775, 864.2875816993464, 793.5060240963855, 858.993006993007, 1244.6131386861314, 1101.7483443708609,
5, 350.6741573033708, 403.46820809248555, 428.97777777777776, 298.83040935672517, 297.4610778443114, 316.24844720496895, 252.43428571428572, 287.1715976331361, 386.3647798742138, 375.7046979865772, 379.5584415584416, 364.6233766233766, 366.38461538461536, 326.0327868852459, 315.15555555555557, 323.4725274725275, 309.3821989528796, 319.22162162162164, 3343.6, 3037.9636363636364, 2115.753424657534, 2429.7391304347825, 3481.72, 603.860696517413, 504.52, 627.0, 479.25, 678.9547738693467, 2319.974683544304, 2123.8734177215188, 2228.7462686567164, 1827.4761904761904, 2358.529411764706, 1799.0172413793102, 1389.985401459854, 2401.1304347826085, 4272.34375, 2657.1136363636365,
6, 435.6686390532544, 424.73809523809524, 639.7555555555556, 329.8682634730539, 326.81481481481484, 351.0674846625767, 362.04938271604937, 365.7037037037037, 463.81333333333333, 464.5753424657534, 469.4025974025974, 450.53793103448277, 423.2631578947368, 332.3027027027027, 319.6808510638298, 331.5217391304348, 339.0652173913044, 340.51063829787233, 6319.1578947368425, 4858.5, 5398.0, 5482.0, 5620.65, 798.8260869565217, 712.4646464646464, 816.195652173913, 761.9791666666666, 888.0454545454545, 5132.222222222223, 4913.31914893617, 4732.163265306122, 4491.2830188679245, 5159.434782608696, 5455.169811320755, 4305.639344262295, 5038.2807017543855, 7646.170212765957, 6600.0,
7, 550.2307692307693, 516.2566844919786, 960.918918918919, 380.9079754601227, 365.5121951219512, 435.63870967741934, 380.67469879518075, 401.171974522293, 496.0975609756098, 498.17687074829934, 370.7647058823529, 499.27777777777777, 466.30674846625766, 361.27472527472526, 347.66480446927375, 354.3492063492063, 374.73015873015873, 383.7189189189189, 7032.378378378378, 6069.767441860465, 6025.3, 6785.736842105263, 5885.4358974358975, 965.4457831325301, 959.2, 1111.1592356687897, 893.6983240223464, 1122.3116883116884, 6845.2, 5946.46511627907, 6073.333333333333, 6009.063829787234, 6871.761904761905, 5962.163265306122, 6600.63829787234, 7232.208333333333, 9100.536585365853, 8110.809523809524,
8, 751.170731707317, 703.5529411764705, 2280.133333333333, 448.62893081761007, 432.3466666666667, 455.53939393939396, 453.2163742690058, 428.38709677419354, 447.0144927536232, 448.3529411764706, 462.3448275862069, 464.1219512195122, 378.247619047619, 419.78142076502735, 364.5027322404372, 426.3169398907104, 524.2093023255813, 446.25581395348837, 6717.35, 6798.871794871795, 7143.405405405405, 7137.74358974359, 6576.4, 1336.875, 1151.8701298701299, 1601.0578512396694, 1243.8169014084508, 2130.404255319149, 7937.641025641025, 6060.291666666667, 6653.422222222222, 7281.952380952381, 5995.869565217391, 7832.682926829269, 8424.205128205129, 8293.581395348838, 9952.263157894737, 9043.28205128205,
9, 1072.14598540146, 1147.0625, 4027.0, 455.2704402515723, 478.7517730496454, 574.0277777777778, 529.6091954022988, 446.5135135135135, 570.6896551724138, 398.2608695652174, 578.0523560209424, 388.90384615384613, 488.5888324873096, 607.6, 477.0612244897959, 608.0559440559441, 800.0298507462686, 637.645390070922, 7880.105263157895, 7380.85, 7786.594594594595, 8039.263157894737, 8009.675675675676, 2279.932584269663, 1946.7272727272727, 2705.604938271605, 1657.8761061946902, 3484.369230769231, 7464.238095238095, 6171.583333333333, 6884.045454545455, 7383.227272727273, 6458.04255319149, 8474.736842105263, 10438.4, 8951.268292682927, 11766.823529411764, 9791.842105263158,
