iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 145.47787610619469, 145.3873552983081, 149.04719501335708, 138.82661996497373, 149.53654188948306, 150.0, 150.1875, 148.77208480565372, 128.239608801956, 144.76724137931035, 147.6574977817214, 147.10017574692444, 149.85113835376532, 148.1680071492404, 143.92701998262382, 154.01960784313727, 146.63444639718804, 148.57769973661107, 158.65616311399444, 163.66635249764374, 156.66360294117646, 165.1552210724365, 166.2414131501472, 143.92857142857142, 138.05882352941177, 145.8623693379791, 146.86832740213524, 146.68995633187774, 155.92936802973978, 159.4439295644115, 160.51258992805757, 164.78136882129277, 158.53185595567868, 350.171568627451, 199.50773558368496, 245.51724137931035, 265.9871244635193, 276.5830721003135,
2, 199.85138004246284, 199.9473129610116, 204.71885336273428, 186.41528925619835, 181.14169215086648, 197.45119305856832, 190.83864118895966, 180.04970178926442, 136.71768707482994, 141.26315789473685, 133.32211942809084, 140.19965277777777, 150.663082437276, 174.31183830606352, 168.10476190476192, 181.00502512562815, 163.63720930232557, 177.31683168316832, 277.5856929955291, 259.87377279102384, 225.71428571428572, 243.73737373737373, 253.96662387676508, 153.98767605633802, 155.44303797468353, 151.34941912421806, 136.48739495798318, 152.43794326241135, 250.7246376811594, 211.65397170837866, 251.04381443298968, 244.15701415701415, 226.92961165048544, 730.5581395348837, 494.81792717086836, 523.3333333333334, 661.5410958904109, 589.7826086956521,
3, 301.48867313915855, 341.32978723404256, 336.55913978494624, 179.3006993006993, 175.23476523476523, 192.44635193133047, 172.25, 213.80622837370242, 153.42477876106196, 157.21575649059983, 157.41490340386383, 157.92079207920793, 149.1044776119403, 230.02496878901374, 266.94520547945206, 268.3586206896552, 255.2411994784876, 221.13317757009347, 341.6297786720322, 317.60348583877993, 286.86241610738256, 244.375, 280.8888888888889, 225.69662921348313, 217.6431718061674, 235.6506447831184, 222.74886877828055, 232.4821002386635, 287.02028081123245, 270.6362378976487, 260.5046480743692, 263.78453038674036, 209.16030534351145, 723.8321167883212, 624.7115384615385, 710.6115107913669, 736.9924812030075, 705.5744680851063,
4, 350.56277056277054, 410.07751937984494, 355.6334841628959, 209.4199535962877, 234.4102564102564, 230.60880829015545, 223.975, 261.6174402250352, 233.12710911136108, 211.29511677282377, 225.66401816118048, 228.07432432432432, 219.29592959295928, 270.69209039548025, 262.58345428156747, 270.35714285714283, 274.26686217008796, 261.9073569482289, 393.86706948640483, 385.24916943521595, 326.57327586206895, 391.702786377709, 312.2463768115942, 330.3074433656958, 357.7159309021113, 342.08620689655174, 343.0970149253731, 363.2388663967611, 301.64383561643837, 255.73239436619718, 321.3416815742397, 285.4066985645933, 254.8663853727145, 747.1161048689139, 699.172932330827, 726.7441860465116, 747.276119402985, 722.5704225352113,
5, 466.8181818181818, 487.68558951965065, 471.6479400749064, 353.0453563714903, 355.9307359307359, 354.7669491525424, 373.1796116504854, 368.39080459770116, 416.8501529051988, 373.22515212981745, 312.3376623376623, 337.125, 401.7484008528785, 364.13361169102296, 301.05354058721935, 330.1138519924099, 333.3463035019455, 337.2168905950096, 497.5, 512.5217391304348, 508.5263157894737, 564.8407643312102, 508.75, 446.8181818181818, 457.7118644067797, 462.91545189504376, 458.62179487179486, 483.6024844720497, 431.26050420168065, 426.42857142857144, 421.2087912087912, 437.26190476190476, 388.0612244897959, 737.1283783783783, 696.2996941896024, 748.0714285714286, 754.4137931034483, 774.9110320284698,
6, 486.8199233716475, 513.4934497816594, 503.4199134199134, 437.19879518072287, 432.06997084548107, 425.83561643835617, 418.3142857142857, 424.5682451253482, 472.9708222811671, 441.06435643564356, 452.0432692307692, 401.7400881057269, 487.1220930232558, 369.9078341013825, 344.12026726057906, 357.60593220338984, 368.4782608695652, 355.07246376811594, 487.258064516129, 558.3333333333334, 574.6212121212121, 582.3076923076923, 575.2, 453.6333333333333, 485.5, 500.0287356321839, 464.2028985507246, 476.63956639566396, 445.0552486187845, 499.8154981549815, 452.0679012345679, 447.1786833855799, 455.5223880597015, 775.226480836237, 713.2142857142857, 775.5035971223022, 773.3574007220217, 789.1287878787879,
7, 535.1541850220265, 574.7058823529412, 547.6063829787234, 446.08024691358025, 452.9320987654321, 448.3128834355828, 446.036036036036, 502.8853754940711, 409.1585127201566, 453.38666666666666, 456.89956331877727, 514.5519713261649, 528.0730897009967, 359.17040358744396, 359.52277657266814, 347.97131147540983, 396.15584415584414, 359.35091277890467, 541.25, 586.0824742268042, 623.0188679245283, 615.9677419354839, 589.5, 481.2861736334405, 488.0851063829787, 500.4166666666667, 536.0617760617761, 446.24708624708626, 541.2903225806451, 524.0076335877862, 511.6862745098039, 470.0297619047619, 530.9803921568628, 798.4397163120567, 868.68, 780.4123711340206, 794.9454545454546, 794.0065146579805,
8, 567.713004484305, 589.6062992125984, 554.7196261682243, 427.86486486486484, 432.4802110817942, 488.35403726708074, 479.2733564013841, 510.47297297297297, 449.46466809421844, 517.6038338658147, 440.68817204301075, 538.2941176470588, 555.4929577464789, 379.29347826086956, 409.406528189911, 352.771855010661, 395.149863760218, 391.28146453089244, 628.0, 601.6831683168317, 584.3373493975904, 571.2790697674419, 592.9807692307693, 539.672131147541, 539.8639455782313, 533.5674157303371, 555.5595667870036, 462.9024390243902, 585.9760956175298, 561.0943396226415, 569.8636363636364, 539.4661921708185, 565.4583333333334, 789.6140350877193, 956.0, 810.6093189964158, 794.1516245487364, 790.360655737705,
9, 587.2489082969432, 595.25, 610.2985074626865, 434.3250688705234, 448.2188295165394, 498.88513513513516, 527.1480144404333, 542.8225806451613, 547.816091954023, 586.0079051383399, 505.0, 560.7391304347826, 597.2945205479452, 381.9076923076923, 347.0285714285714, 275.9011627906977, 373.8888888888889, 359.1056910569106, 580.625, 622.3584905660377, 671.6417910447761, 561.2631578947369, 582.0212765957447, 523.1486146095718, 594.3624161073825, 518.9757412398922, 580.9152542372881, 501.4858490566038, 642.1238938053098, 615.1652892561983, 596.8141592920354, 543.9357429718875, 619.5522388059702, 818.3985765124555, 980.8786610878661, 807.7319587628866, 803.8235294117648, 811.6666666666666,
