iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 23.533898305084747, 24.610169491525422, 24.610169491525422, 24.228813559322035, 24.39830508474576, 23.440677966101696, 25.177966101694917, 24.694915254237287, 24.127118644067796, 24.127118644067796, 24.016949152542374, 23.059322033898304, 23.76271186440678, 23.694915254237287, 23.864406779661017, 23.61864406779661, 23.677966101694917, 24.26271186440678, 23.60169491525424, 23.11864406779661, 23.796610169491526, 23.97457627118644, 24.423728813559322, 22.627118644067796, 24.991525423728813, 24.78813559322034, 23.35593220338983, 24.0, 23.38135593220339, 24.610169491525422, 24.059322033898304, 24.38135593220339, 24.550847457627118, 22.572649572649574, 23.559322033898304, 25.964285714285715, 24.264957264957264, 23.38135593220339,
2, 24.271186440677965, 24.5, 24.703389830508474, 24.66949152542373, 24.39830508474576, 24.966101694915253, 24.550847457627118, 24.652542372881356, 23.093220338983052, 23.1864406779661, 24.194915254237287, 24.322033898305083, 23.338983050847457, 24.39830508474576, 23.559322033898304, 24.347457627118644, 24.11864406779661, 23.88135593220339, 23.88135593220339, 24.127118644067796, 24.584745762711865, 24.847457627118644, 24.940677966101696, 23.771186440677965, 24.449152542372882, 24.694915254237287, 23.74576271186441, 24.43220338983051, 23.466101694915253, 24.83050847457627, 24.415254237288135, 24.550847457627118, 24.39830508474576, 24.805084745762713, 23.889830508474578, 24.440677966101696, 24.177966101694917, 25.228813559322035,
3, 24.203389830508474, 24.915254237288135, 26.635593220338983, 26.60683760683761, 26.504273504273506, 26.29059829059829, 25.273504273504273, 25.076271186440678, 24.914529914529915, 27.247863247863247, 25.35042735042735, 25.521367521367523, 24.982905982905983, 24.675213675213676, 24.56779661016949, 25.610169491525422, 24.555555555555557, 24.347457627118644, 24.897435897435898, 25.752136752136753, 26.372881355932204, 24.931623931623932, 26.367521367521366, 24.974358974358974, 24.153846153846153, 25.521367521367523, 23.694915254237287, 25.71186440677966, 24.97457627118644, 27.22689075630252, 28.403361344537814, 27.4017094017094, 26.247863247863247, 23.21186440677966, 23.652542372881356, 25.194915254237287, 23.966101694915253, 24.864406779661017,
4, 21.83050847457627, 30.60169491525424, 29.705882352941178, 27.565217391304348, 29.91304347826087, 26.295652173913044, 28.339130434782607, 26.678260869565218, 27.309734513274336, 27.678260869565218, 26.991304347826087, 25.982456140350877, 24.99122807017544, 27.103448275862068, 25.913793103448278, 27.45689655172414, 27.051724137931036, 26.77777777777778, 26.956521739130434, 26.92105263157895, 27.440677966101696, 28.112068965517242, 25.869565217391305, 33.042735042735046, 21.612068965517242, 22.464285714285715, 19.625, 21.973913043478262, 24.843478260869563, 29.177966101694917, 27.92241379310345, 28.478632478632477, 26.285714285714285, 22.66949152542373, 21.03361344537815, 22.483050847457626, 19.26890756302521, 25.1864406779661,
5, 23.74137931034483, 28.75423728813559, 27.62280701754386, 26.796116504854368, 26.153846153846153, 28.057692307692307, 26.607843137254903, 27.262135922330096, 23.96808510638298, 22.340425531914892, 20.063157894736843, 22.33684210526316, 22.458333333333332, 28.125, 26.053097345132745, 24.9375, 26.919642857142858, 26.115044247787612, 26.72897196261682, 22.56382978723404, 26.194690265486727, 25.228070175438596, 21.785046728971963, 31.65289256198347, 14.333333333333334, 13.353982300884956, 2.1951219512195124, 18.03529411764706, 19.83495145631068, 20.257731958762886, 23.514851485148515, 27.352941176470587, 24.72222222222222, 30.370689655172413, 27.646551724137932, 30.243478260869566, 29.713043478260868, 29.379310344827587,
6, 33.8728813559322, 29.483050847457626, 31.57391304347826, 27.17, 26.35, 26.83, 26.415841584158414, 25.49019607843137, 21.813186813186814, 24.957894736842107, 22.510416666666668, 22.357894736842105, 22.72340425531915, 26.008928571428573, 28.20353982300885, 26.910714285714285, 26.285714285714285, 25.95575221238938, 29.443478260869565, 27.90990990990991, 29.135135135135137, 34.3716814159292, 27.54054054054054, 25.0327868852459, 16.796610169491526, 27.75, 1.2096774193548387, 8.65137614678899, 29.04385964912281, 25.10891089108911, 27.49074074074074, 28.160714285714285, 26.13157894736842, 29.811965811965813, 30.11965811965812, 29.982608695652175, 28.88695652173913, 29.88235294117647,
7, 33.1551724137931, 31.16949152542373, 31.464912280701753, 26.908163265306122, 25.09278350515464, 25.282828282828284, 26.37, 24.94, 14.908256880733944, 24.45263157894737, 22.198019801980198, 22.96875, 23.93548387096774, 29.67543859649123, 27.252173913043478, 26.309734513274336, 26.56637168141593, 28.24778761061947, 30.120689655172413, 30.154545454545456, 32.469565217391306, 30.5625, 28.598130841121495, 18.825, 9.610169491525424, 27.542056074766354, 9.69672131147541, 19.5609756097561, 28.452173913043477, 27.189655172413794, 29.095652173913045, 28.95614035087719, 29.217391304347824, 20.17391304347826, 27.4017094017094, 35.05982905982906, 17.803571428571427, 24.64957264957265,
8, 30.286956521739132, 29.469026548672566, 29.85217391304348, 25.556701030927837, 24.806122448979593, 25.350515463917525, 25.653061224489797, 25.091836734693878, 23.045454545454547, 16.582608695652173, 27.25423728813559, 23.403846153846153, 25.051546391752577, 30.35042735042735, 29.12280701754386, 31.617391304347827, 30.359649122807017, 30.973913043478262, 29.408695652173915, 26.436363636363637, 31.05263157894737, 30.669642857142858, 30.93103448275862, 14.319327731092438, 11.487179487179487, 20.939393939393938, 35.56637168141593, 19.702479338842974, 29.547826086956523, 28.469565217391306, 28.91304347826087, 29.878260869565217, 26.843478260869563, 20.82758620689655, 21.00862068965517, 27.75862068965517, 22.196581196581196, 19.75,
9, 27.47826086956522, 29.82608695652174, 30.391304347826086, 24.897959183673468, 24.649484536082475, 25.4020618556701, 24.632653061224488, 24.79591836734694, 29.413793103448278, 22.462264150943398, 30.412280701754387, 17.385964912280702, 23.121495327102803, 26.629310344827587, 32.30172413793103, 31.752136752136753, 29.88695652173913, 34.55652173913043, 26.350877192982455, 30.392857142857142, 30.362068965517242, 31.289473684210527, 30.49137931034483, 14.635593220338983, 23.0, 29.871559633027523, 41.80952380952381, 25.57758620689655, 27.043478260869566, 28.617391304347827, 28.869565217391305, 29.46086956521739, 26.12280701754386, 25.857142857142858, 24.439655172413794, 49.43103448275862, 26.05263157894737, 20.957264957264957,
10, 26.860869565217392, 29.21551724137931, 31.973913043478262, 25.02970297029703, 25.367346938775512, 24.58252427184466, 25.455445544554454, 27.91089108910891, 7.900826446280992, 10.299065420560748, 40.280701754385966, 30.115384615384617, 25.379310344827587, 27.53846153846154, 29.34188034188034, 30.79310344827586, 21.965811965811966, 32.827586206896555, 24.327433628318584, 30.728070175438596, 30.42105263157895, 31.63716814159292, 29.68103448275862, 24.116071428571427, 23.831858407079647, 30.25242718446602, 36.21551724137931, 26.071428571428573, 23.217391304347824, 29.356521739130436, 28.982608695652175, 27.85217391304348, 26.63888888888889, 53.747747747747745, 27.46551724137931, 60.017391304347825, 24.30275229357798, 17.56896551724138,
11, 26.273504273504273, 27.930434782608696, 34.83620689655172, 31.62162162162162, 29.650943396226417, 25.47747747747748, 31.256637168141594, 30.963636363636365, 0.5609756097560976, 1.8429752066115703, 30.033333333333335, 19.694117647058825, 19.23931623931624, 30.52991452991453, 29.256410256410255, 27.75423728813559, 19.720338983050848, 28.82905982905983, 23.894736842105264, 30.37391304347826, 31.265486725663717, 29.705357142857142, 30.413793103448278, 28.72222222222222, 25.20353982300885, 30.85576923076923, 33.44915254237288, 30.807692307692307, 23.0, 28.62608695652174, 29.547826086956523, 25.643478260869564, 27.354545454545455, 37.35344827586207, 33.582608695652176, 60.0, 41.83620689655172, 20.162393162393162,
12, 30.862068965517242, 32.12068965517241, 36.00854700854701, 28.918181818181818, 31.539823008849556, 24.009090909090908, 27.964601769911503, 30.89189189189189, 2.5365853658536586, 0.3140495867768595, 24.39516129032258, 0.504950495049505, 3.7520661157024793, 32.1025641025641, 29.45299145299145, 28.68103448275862, 19.630252100840337, 32.26495726495727, 25.843478260869563, 31.04310344827586, 29.13157894736842, 30.560344827586206, 28.723214285714285, 29.043478260869566, 23.451327433628318, 27.504504504504503, 30.905172413793103, 33.59649122807018, 22.169642857142858, 27.95689655172414, 31.482758620689655, 24.232758620689655, 24.196428571428573, 27.666666666666668, 39.65217391304348, 60.523809523809526, 33.078947368421055, 26.64957264957265,
13, 35.324786324786324, 30.68103448275862, 35.30508474576271, 31.18918918918919, 29.901785714285715, 26.936936936936938, 28.69090909090909, 29.3302752293578, 1.7983870967741935, 1.2704918032786885, 38.289256198347104, 0.8114754098360656, 11.648, 35.3304347826087, 34.291666666666664, 30.356521739130436, 20.906779661016948, 35.401709401709404, 26.771929824561404, 32.86206896551724, 25.605263157894736, 29.17241379310345, 24.5, 27.657894736842106, 25.66346153846154, 27.75438596491228, 30.095652173913045, 31.042735042735043, 22.142857142857142, 24.278260869565216, 29.387931034482758, 23.895652173913042, 22.642201834862384, 37.060344827586206, 35.83495145631068, 59.508620689655174, 28.605263157894736, 26.735042735042736,
14, 33.35897435897436, 28.017241379310345, 35.504273504273506, 32.252252252252255, 32.166666666666664, 30.115044247787612, 28.296296296296298, 30.357142857142858, 1.1129032258064515, 1.278688524590164, 38.95762711864407, 3.1639344262295084, 38.16935483870968, 30.643478260869564, 33.72268907563025, 30.19298245614035, 18.551724137931036, 34.41379310344828, 27.93859649122807, 28.330434782608695, 25.964601769911503, 29.808695652173913, 24.612068965517242, 24.902654867256636, 20.93548387096774, 28.903508771929825, 30.0, 30.103448275862068, 20.292035398230087, 22.504347826086956, 31.482758620689655, 25.086206896551722, 28.275229357798164, 41.5, 52.53448275862069, 59.6695652173913, 26.125, 29.177966101694917,
15, 30.923076923076923, 29.336206896551722, 32.71551724137931, 29.654867256637168, 30.666666666666668, 30.699115044247787, 29.7027027027027, 30.54310344827586, 1.0483870967741935, 1.4462809917355373, 42.863247863247864, 3.336283185840708, 31.847457627118644, 30.62608695652174, 33.0940170940171, 30.210526315789473, 24.84070796460177, 30.614035087719298, 25.830357142857142, 21.54385964912281, 27.412280701754387, 30.217391304347824, 23.862068965517242, 24.919642857142858, 13.6875, 29.87719298245614, 29.791304347826088, 30.103448275862068, 20.921739130434784, 23.698275862068964, 23.321739130434782, 24.913793103448278, 30.0990990990991, 24.370689655172413, 59.256410256410255, 60.535714285714285, 29.017241379310345, 25.38135593220339,
16, 27.31896551724138, 26.46086956521739, 33.14655172413793, 31.767241379310345, 30.730434782608697, 30.75, 30.295652173913044, 31.473214285714285, 8.336065573770492, 3.966666666666667, 29.594827586206897, 17.57281553398058, 41.7008547008547, 31.243478260869566, 30.77391304347826, 30.271929824561404, 24.68141592920354, 30.62608695652174, 29.359649122807017, 21.884955752212388, 28.46086956521739, 27.831858407079647, 23.017391304347825, 28.707964601769913, 11.127272727272727, 29.74561403508772, 26.50862068965517, 30.069565217391304, 22.49122807017544, 23.03448275862069, 24.617391304347827, 25.191304347826087, 34.35964912280702, 28.234782608695653, 49.19827586206897, 61.0948275862069, 29.923076923076923, 27.295652173913044,
17, 25.31896551724138, 26.905172413793103, 34.327586206896555, 32.189655172413794, 33.87179487179487, 32.8034188034188, 30.707964601769913, 33.208695652173915, 26.49137931034483, 0.4462809917355372, 28.017241379310345, 18.422535211267604, 19.96551724137931, 31.034782608695654, 30.46086956521739, 30.412280701754387, 26.221238938053098, 30.660869565217393, 27.714285714285715, 22.071428571428573, 27.57894736842105, 25.99122807017544, 27.439655172413794, 29.734513274336283, 11.475728155339805, 26.20353982300885, 29.78813559322034, 29.794871794871796, 22.24770642201835, 25.17241379310345, 28.495652173913044, 22.394736842105264, 35.89380530973451, 30.965217391304346, 54.43809523809524, 60.34188034188034, 29.512820512820515, 21.17948717948718,
18, 27.18103448275862, 27.948275862068964, 37.39655172413793, 32.422413793103445, 36.085470085470085, 32.08771929824562, 31.98198198198198, 33.610619469026545, 25.017094017094017, 0.5901639344262295, 29.655172413793103, 7.5625, 18.8411214953271, 32.70434782608696, 30.801724137931036, 30.96551724137931, 27.736842105263158, 33.219298245614034, 28.36283185840708, 25.776785714285715, 27.434782608695652, 30.879310344827587, 26.620689655172413, 29.902654867256636, 14.847619047619048, 27.894736842105264, 30.04201680672269, 29.846153846153847, 22.185185185185187, 23.68103448275862, 24.271929824561404, 22.212389380530972, 34.46491228070175, 31.00854700854701, 59.324786324786324, 61.41025641025641, 29.094017094017094, 15.649572649572649,
19, 30.923076923076923, 26.870689655172413, 36.59322033898305, 33.27350427350427, 38.41880341880342, 31.905982905982906, 33.333333333333336, 33.771186440677965, 5.7317073170731705, 0.4180327868852459, 29.982608695652175, 31.386138613861387, 30.772727272727273, 32.189655172413794, 32.043103448275865, 33.43103448275862, 28.310344827586206, 35.19130434782609, 27.20175438596491, 26.84070796460177, 29.57391304347826, 31.301724137931036, 24.00862068965517, 29.876106194690266, 21.732142857142858, 27.18421052631579, 30.15126050420168, 29.974137931034484, 25.63157894736842, 23.878260869565217, 28.16521739130435, 24.23008849557522, 34.8859649122807, 54.136752136752136, 57.48717948717949, 62.35897435897436, 27.862068965517242, 14.923076923076923,
20, 34.060344827586206, 29.347826086956523, 36.14529914529915, 32.3448275862069, 38.76068376068376, 33.94915254237288, 34.40677966101695, 35.24576271186441, 14.51639344262295, 0.30833333333333335, 31.05217391304348, 38.78260869565217, 31.25, 30.54310344827586, 32.9051724137931, 33.19827586206897, 20.358974358974358, 38.25, 28.47826086956522, 25.424778761061948, 25.221238938053098, 31.905172413793103, 27.82758620689655, 29.94736842105263, 29.778761061946902, 22.59633027522936, 29.18487394957983, 30.0, 25.30701754385965, 24.370689655172413, 32.31896551724138, 21.587719298245613, 32.5, 48.220338983050844, 41.627450980392155, 64.15151515151516, 29.483050847457626, 20.491525423728813,
21, 39.922413793103445, 29.482758620689655, 36.11965811965812, 32.15652173913043, 40.888888888888886, 35.33898305084746, 37.26724137931034, 34.439655172413794, 19.421487603305785, 0.3305785123966942, 35.643478260869564, 18.4, 30.53448275862069, 30.663793103448278, 33.63793103448276, 31.413793103448278, 20.905172413793103, 41.162393162393165, 27.83478260869565, 24.775862068965516, 28.424778761061948, 30.017241379310345, 26.017094017094017, 30.0, 27.435185185185187, 24.345454545454544, 30.18487394957983, 30.0, 24.026315789473685, 25.370689655172413, 36.76724137931034, 24.582608695652173, 26.767676767676768, 45.610169491525426, 32.530434782608694, 58.31111111111111, 33.88135593220339, 24.152542372881356,
22, 44.724137931034484, 28.56896551724138, 35.243478260869566, 35.956896551724135, 35.70940170940171, 36.452991452991455, 37.743589743589745, 30.295652173913044, 29.462184873949578, 0.19834710743801653, 31.77391304347826, 12.180327868852459, 30.121739130434783, 30.025641025641026, 34.93103448275862, 31.396551724137932, 22.00862068965517, 38.61206896551724, 30.689655172413794, 25.11111111111111, 28.379310344827587, 25.6, 26.863247863247864, 30.0, 27.77777777777778, 24.424778761061948, 31.45378151260504, 30.00854700854701, 25.24561403508772, 24.99137931034483, 41.46551724137931, 41.1140350877193, 18.778761061946902, 59.965811965811966, 35.530434782608694, 59.921052631578945, 52.98290598290598, 28.48739495798319,
