iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 1.2674591381872213, 1.3268219383921864, 1.383969465648855, 1.3000739098300074, 1.391566265060241, 1.2864506627393226, 1.328136599851522, 1.248542274052478, 1.2451851851851852, 1.3255813953488371, 1.3288288288288288, 1.2522255192878338, 1.3091317365269461, 1.3078651685393259, 1.2905153099327857, 1.3768996960486322, 1.279970215934475, 1.2640949554896141, 1.3340840840840842, 1.2815750371471026, 1.2869955156950672, 1.3569277108433735, 1.3265765765765767, 1.3504144687264505, 1.3262839879154078, 1.3512084592145015, 1.3004484304932735, 1.3035982008995501, 1.3952959028831562, 1.2494497432134997, 1.3497390007457122, 1.2375366568914956, 1.319910514541387, 1.634375, 1.7621681415929205, 2.02463768115942, 1.8594594594594596, 2.0635994587280106,
2, 1.206794682422452, 1.3315589353612167, 1.3945736434108527, 2.1306191687871077, 2.583639705882353, 2.758522727272727, 2.0829805249788316, 3.1462925851703405, 1.3556067588325653, 1.3587786259541985, 1.3993808049535603, 1.297583081570997, 1.2571428571428571, 1.290151515151515, 1.2808734939759037, 1.3242009132420092, 1.3050075872534144, 1.3181126331811264, 1.4823529411764707, 1.4696745562130178, 1.401167031363968, 1.5074183976261128, 1.488441461595824, 1.2707554225878832, 1.3246354566385266, 1.3059984813971146, 1.4180834621329212, 1.3190839694656489, 1.6712749615975422, 1.850528025995126, 1.857487922705314, 1.8017446471054719, 1.69002284843869, 9.055961070559611, 13.841481481481482, 10.104283054003725, 9.13345864661654, 6.553398058252427,
3, 1.3193087903831706, 1.4676923076923076, 1.3716323296354993, 8.835051546391753, 10.691570881226054, 9.876838235294118, 8.785714285714286, 10.871401151631478, 1.289204097714736, 1.3005551149881047, 1.3437001594896332, 1.303585657370518, 1.2427107959022852, 1.3335955940204562, 1.316535433070866, 1.3417322834645669, 1.2879499217527386, 1.3130914826498423, 5.30719794344473, 5.854054054054054, 4.816326530612245, 5.57845744680851, 5.804347826086956, 1.2816679779701023, 1.4480784955028618, 1.317905918057663, 1.2840283241542092, 1.3208469055374592, 7.70236220472441, 7.837881219903692, 7.848242811501597, 6.534383954154728, 8.219869706840392, 22.15711252653928, 31.6866028708134, 24.406779661016948, 17.629533678756477, 27.914221218961625,
4, 1.839382940108893, 2.488517745302714, 1.9449112978524743, 21.3125, 26.324590163934428, 25.226006191950464, 18.649874055415616, 25.803125, 1.35277516462841, 1.4254510921177588, 1.348107109879963, 1.340648854961832, 1.311214953271028, 1.328138528138528, 1.4234470691163605, 1.3452484742807322, 1.4333034914950762, 1.2771084337349397, 14.482678983833718, 15.250596658711217, 13.562780269058296, 14.516129032258064, 15.254807692307692, 1.4249439880507841, 1.1818181818181819, 1.1617550753110675, 1.214002642007926, 1.2046543463381245, 15.997590361445782, 16.562653562653562, 15.129330254041571, 16.02158273381295, 15.912114014251781, 35.79291553133515, 59.10682492581602, 43.92032967032967, 26.21515892420538, 68.16944444444445,
5, 9.914081145584726, 11.02547770700637, 9.395061728395062, 47.07172995780591, 59.994974874371856, 58.14070351758794, 36.88636363636363, 67.16666666666667, 1.38, 1.2989536621823616, 1.3051359516616314, 1.29783693843594, 1.337519623233909, 1.3011120615911036, 1.3204134366925064, 1.427027027027027, 1.3772563176895307, 1.3991596638655461, 22.72072072072072, 24.009493670886076, 22.62390670553936, 24.441358024691358, 23.395770392749245, 1.110569105691057, 1.001763668430335, 1.8615771812080537, 1.6447963800904977, 1.5360406091370558, 25.980707395498392, 27.375, 28.92948717948718, 26.69578313253012, 24.92528735632184, 52.78547854785479, 85.55755395683454, 77.72243346007605, 49.366279069767444, 91.52287581699346,
6, 17.435567010309278, 16.53864734299517, 16.26341463414634, 69.32291666666667, 78.29411764705883, 86.24858757062147, 68.18137254901961, 90.96685082872928, 1.4023569023569022, 1.3758169934640523, 1.3521341463414633, 1.3327702702702702, 1.2504012841091492, 2.6346718903036237, 2.3119047619047617, 2.172827172827173, 1.8446601941747574, 1.6534391534391535, 33.31439393939394, 36.652, 29.15593220338983, 33.55223880597015, 33.785714285714285, 3.1475409836065573, 2.6519337016574585, 6.7176470588235295, 5.156441717791411, 3.535971223021583, 34.4014598540146, 43.324786324786324, 43.3941908713693, 34.26132404181185, 35.223443223443226, 66.59469696969697, 107.14285714285714, 92.89615384615385, 58.44755244755245, 96.81412639405204,
7, 21.106100795755967, 24.380165289256198, 22.034031413612567, 116.71764705882353, 128.3735632183908, 124.07142857142857, 130.10055865921788, 146.35031847133757, 1.6646341463414633, 1.4891518737672584, 1.588785046728972, 1.5751295336787565, 1.2955523672883789, 4.962102689486553, 7.1958146487294465, 4.572928821470245, 2.7988394584139265, 2.8233502538071065, 43.70614035087719, 47.76255707762557, 41.99596774193548, 49.399103139013455, 52.29326923076923, 6.148, 4.381270903010034, 11.10593220338983, 7.49859943977591, 6.114678899082569, 45.808510638297875, 53.04854368932039, 54.467289719626166, 43.0, 51.48458149779736, 89.80973451327434, 101.78971962616822, 99.50643776824035, 81.6068376068376, 88.44871794871794,
8, 24.413513513513514, 28.302395209580837, 25.207602339181285, 193.11428571428573, 208.43243243243242, 219.6642857142857, 188.75, 202.74814814814815, 2.6626984126984126, 3.5678233438485805, 1.8180451127819548, 2.718032786885246, 2.136015325670498, 10.953818827708703, 10.315614617940199, 10.525285481239804, 7.850658857979502, 8.772307692307692, 53.4780487804878, 57.52709359605911, 57.783018867924525, 62.175, 63.265957446808514, 6.4581430745814306, 7.061994609164421, 17.855263157894736, 12.79109589041096, 8.0, 60.03864734299517, 62.328125, 66.52577319587628, 53.98190045248869, 62.80288461538461, 140.02197802197801, 137.43654822335026, 116.71090047393365, 93.70697674418605, 116.56132075471699,
9, 29.98787878787879, 33.144295302013425, 29.735562310030396, 303.87, 303.625, 318.3425925925926, 264.72727272727275, 277.8709677419355, 2.393617021276596, 2.6062322946175636, 1.6221198156682028, 2.5220588235294117, 1.8836443468715698, 14.030864197530864, 13.725910064239828, 13.175238095238095, 10.785223367697595, 11.219554030874786, 64.47916666666667, 73.875, 69.74874371859296, 79.90155440414507, 72.6927374301676, 12.455156950672645, 9.808264462809918, 20.661931818181817, 13.227969348659004, 12.099391480730223, 66.93908629441624, 75.32142857142857, 91.86857142857143, 72.03030303030303, 79.55958549222798, 165.98295454545453, 136.36269430051814, 144.33163265306123, 121.33862433862434, 150.7089947089947,
10, 39.11808118081181, 48.229838709677416, 34.985915492957744, 334.7625, 350.8019801980198, 370.21590909090907, 346.0485436893204, 327.4583333333333, 4.104046242774566, 2.109375, 2.830258302583026, 2.232283464566929, 2.1265474552957357, 18.937947494033413, 18.91176470588235, 17.686230248306998, 11.720670391061452, 13.9375, 84.37777777777778, 96.81920903954803, 93.33152173913044, 101.64772727272727, 89.35260115606937, 13.287305122494432, 12.146938775510204, 22.678571428571427, 19.035164835164835, 16.60880195599022, 89.54098360655738, 100.8932584269663, 124.04294478527608, 94.80555555555556, 116.88953488372093, 174.71604938271605, 164.5359477124183, 137.17582417582418, 147.6551724137931, 154.54494382022472,
11, 55.71238938053097, 61.924528301886795, 55.113122171945705, 367.90909090909093, 372.6829268292683, 390.0821917808219, 368.79411764705884, 336.43333333333334, 4.122222222222222, 2.4058500914076784, 3.627019089574156, 3.91875, 3.45, 24.06084656084656, 20.982097186700766, 23.745257452574524, 15.456331877729257, 19.791666666666668, 105.67647058823529, 126.9047619047619, 127.89285714285714, 170.1851851851852, 111.36875, 16.04663212435233, 17.327981651376145, 28.928571428571427, 25.295238095238094, 21.78717201166181, 120.0, 132.3435582822086, 152.28758169934642, 115.96022727272727, 137.21472392638037, 191.6095890410959, 185.7396449704142, 175.98843930635837, 158.31410256410257, 158.0,
12, 70.0780487804878, 73.21, 67.78350515463917, 354.74242424242425, 389.5, 405.5079365079365, 372.09589041095893, 360.72058823529414, 4.638888888888889, 4.108108108108108, 5.7634228187919465, 4.284132841328414, 6.276119402985074, 28.484240687679083, 22.92162162162162, 32.14375, 18.896788990825687, 24.6524064171123, 160.8535031847134, 166.50980392156862, 148.12422360248448, 215.55555555555554, 147.67361111111111, 16.2375, 22.85175879396985, 36.296747967479675, 29.071428571428573, 27.065359477124183, 148.24223602484471, 157.125786163522, 197.78014184397162, 158.64779874213838, 189.20408163265307, 190.53892215568862, 180.94736842105263, 186.95569620253164, 165.25730994152048, 212.22784810126583,
