iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 2227.441926345609, 2245.7008547008545, 2237.2942857142857, 2241.707246376812, 2304.561046511628, 2138.3201133144476, 2206.350724637681, 2205.3746397694526, 2149.8664772727275, 2322.654069767442, 2128.184659090909, 2185.9514285714286, 2233.011594202899, 2219.9085714285716, 2208.6824512534818, 2135.2022471910113, 2265.421965317919, 2198.974063400576, 2359.0317002881843, 2188.64406779661, 2230.8725212464587, 2157.1045197740114, 2174.0983146067415, 2159.6397694524494, 2174.912181303116, 2145.4647887323945, 2219.173410404624, 2219.4314285714286, 2272.176300578035, 2140.7843137254904, 2063.1352112676054, 2253.9648093841643, 2218.230547550432, 4064.0037735849055, 3588.742537313433, 3434.866894197952, 2205.645077720207, 3193.2492012779553,
2, 2170.5, 1999.4930747922438, 1964.650704225352, 2047.1387283236995, 2023.0714285714287, 2107.025641025641, 2111.121387283237, 2108.5965417867437, 2321.374269005848, 2281.485465116279, 2218.529239766082, 2220.2228571428573, 2326.0, 2086.184573002755, 2120.4187327823693, 2127.836565096953, 2083.5067385444745, 2015.1329639889198, 2252.276836158192, 2032.909090909091, 2130.3513513513512, 2264.6284916201116, 2135.3756756756757, 2215.636887608069, 2323.4736842105262, 2167.7623188405796, 2348.8240469208213, 2230.9331395348836, 2018.2727272727273, 1976.0803324099722, 2062.8481375358165, 1982.8869565217392, 2087.940509915014, 5543.383673469388, 3667.381443298969, 4748.680412371134, 4088.358361774744, 3843.6334405144694,
3, 1949.850267379679, 1812.2931937172775, 2021.3204419889503, 2515.1666666666665, 2553.6636904761904, 2288.6203966005664, 2405.919770773639, 2513.0890804597702, 2288.429411764706, 2383.6961651917404, 2071.96231884058, 2167.3958944281526, 2166.2705882352943, 2491.4742547425476, 2495.3123287671233, 2459.4865591397847, 2310.522077922078, 2418.091922005571, 2213.1913746630726, 2037.6648793565685, 2077.633952254642, 2160.7479892761394, 1959.2732095490717, 2497.993883792049, 2547.746987951807, 2163.8230337078653, 2211.651296829971, 2405.7227138643066, 2017.7456140350878, 1913.0603448275863, 2019.6162790697674, 2063.1934523809523, 1892.8703170028818, 6116.022813688213, 4105.42996742671, 4807.209677419355, 4650.847176079734, 4345.087878787879,
4, 2094.6675324675325, 2132.4128205128204, 2036.1820652173913, 3767.214705882353, 3882.2416918429003, 3656.678018575851, 3611.4434523809523, 3557.5317919075146, 2249.474777448071, 2362.676012461059, 2221.656346749226, 2310.5229357798166, 2392.078369905956, 2767.3430079155673, 2637.5108108108107, 2724.9601063829787, 2555.7885117493474, 2600.4849315068495, 2502.298591549296, 2644.557803468208, 2380.7871148459385, 2373.350974930362, 2488.3813559322034, 2412.047197640118, 2843.1646341463415, 2578.3994082840236, 2402.900293255132, 2509.423780487805, 2013.6916167664672, 1956.6272189349113, 1830.6451612903227, 1828.1351351351352, 1893.2225519287833, 6442.072796934866, 4710.268852459017, 5006.209375, 4849.724919093851, 4573.454545454545,
5, 2429.3664122137407, 2688.455525606469, 2160.3155080213905, 4460.991017964072, 4401.691428571428, 4390.48948948949, 4159.158501440922, 4447.551515151516, 2752.34250764526, 3034.595394736842, 2870.0093457943926, 3059.5779220779223, 2932.7079365079367, 2775.122340425532, 2910.3684210526317, 2765.77868852459, 2712.7263157894736, 2787.549738219895, 2724.106824925816, 3038.788643533123, 2829.0751445086707, 2854.700296735905, 2693.2781065088757, 3071.171348314607, 3300.135802469136, 2616.7384196185285, 3046.2947976878613, 2875.3037249283666, 1985.4510385756676, 2284.3395638629286, 1996.6149253731344, 1777.6432926829268, 2174.137931034483, 7235.768595041322, 4753.5798045602605, 4734.731927710844, 5024.458860759493, 4687.340425531915,
6, 2391.5493670886076, 2731.707182320442, 2475.266149870801, 5033.0058139534885, 4681.082152974504, 4896.494252873563, 4746.450424929179, 4655.34188034188, 3468.2985074626868, 3384.4815950920247, 3537.809677419355, 3296.4640718562873, 3394.416918429003, 2818.4495912806537, 3006.526462395543, 2665.3128491620114, 2941.3053221288515, 2859.920844327177, 3263.4166666666665, 3132.384126984127, 3090.8796296296296, 3257.517027863777, 3002.6942675159235, 2677.048351648352, 3680.889534883721, 2572.0719101123595, 3076.2733990147785, 3007.6414141414143, 2268.2909090909093, 2544.487421383648, 2189.840978593272, 2192.903426791277, 2427.8417721518986, 6524.175572519084, 4921.570491803279, 4800.779456193353, 4625.331343283582, 4596.667664670658,
7, 2768.6272493573265, 2924.7486033519554, 3073.672463768116, 4903.58217270195, 4653.808108108108, 5012.753541076488, 4812.626373626374, 5058.994100294985, 3589.9444444444443, 3974.7685185185187, 3555.721875, 3722.031339031339, 3678.316417910448, 3009.037333333333, 2927.4986301369863, 2983.390313390313, 3020.7414772727275, 2971.618918918919, 3492.8227848101264, 3078.776699029126, 3490.296178343949, 3180.066878980892, 3230.415335463259, 2188.3106457242584, 3361.2046035805624, 2211.2859712230215, 2441.2653846153844, 2290.0596153846154, 2377.652037617555, 2476.475903614458, 2600.1858974358975, 2269.1442006269594, 2468.1803797468356, 6904.677290836654, 4977.192926045016, 5069.18670886076, 4683.377976190476, 4860.041009463723,
8, 3089.9945205479453, 3033.6720867208674, 2887.7051671732524, 5164.125714285714, 4897.972067039106, 5491.4047619047615, 4758.051490514905, 4945.796089385475, 3821.087431693989, 3979.6378830083568, 4038.5512048192772, 4264.465909090909, 4161.847953216375, 3227.231671554252, 3104.2249322493226, 2920.793956043956, 3202.121301775148, 2921.8478873239437, 3746.622950819672, 3604.055737704918, 3566.6039603960394, 3498.330097087379, 3349.996894409938, 2400.3537906137185, 2885.8118161925604, 1877.5367762128326, 2078.627946127946, 1753.108024691358, 2543.3353474320243, 2758.130699088146, 2443.835483870968, 2587.7420382165606, 2633.4647435897436, 6683.177165354331, 5342.817869415808, 5330.451298701299, 4977.2910216718265, 4710.775,
9, 3536.710691823899, 3108.0641711229946, 3064.770642201835, 5178.188405797101, 5293.422740524781, 5099.595375722543, 5111.922190201729, 5207.0, 4004.768194070081, 3953.859078590786, 3887.504109589041, 4168.506666666667, 4101.573726541555, 3042.450402144772, 3062.835164835165, 3204.2144772117963, 3261.38904109589, 3154.442857142857, 3748.045871559633, 3976.591503267974, 3530.87898089172, 3674.525806451613, 3558.6170886075947, 2367.2807971014495, 2520.5602294455066, 2158.304498269896, 1931.608, 1351.8196078431372, 2663.765765765766, 2960.5047318611987, 2645.278846153846, 2424.939024390244, 3093.465573770492, 6545.324324324324, 5362.956666666667, 5419.688741721854, 4828.936555891239, 4682.80122324159,
