iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 811.1111111111111, 821.4285714285714, 762.5, 1033.3333333333333, 769.2307692307693, 945.4545454545455, 843.75, 850.0, 910.5263157894736, 856.25, 872.0, 718.1818181818181, 727.7777777777778, 895.4545454545455, 885.7142857142857, 769.2307692307693, 711.7647058823529, 719.047619047619, 766.6666666666666, 643.75, 907.1428571428571, 768.75, 826.6666666666666, 1122.2222222222222, 750.0, 816.0, 766.6666666666666, 822.2222222222222, 960.0, 827.7777777777778, 938.8888888888889, 836.3636363636364, 754.1666666666666, 378.125, 678.9473684210526, 500.0, 646.6666666666666, 563.1578947368421,
2, 722.2222222222222, 723.5294117647059, 727.7777777777778, 813.6363636363636, 776.4705882352941, 686.6666666666666, 573.6842105263158, 735.2941176470588, 845.0, 523.5294117647059, 604.5454545454545, 664.7058823529412, 616.6666666666666, 681.25, 750.0, 605.2631578947369, 584.2105263157895, 642.8571428571429, 826.3157894736842, 555.5555555555555, 722.7272727272727, 714.2857142857143, 664.2857142857143, 690.9090909090909, 620.0, 594.7368421052631, 660.8695652173913, 513.0434782608696, 685.7142857142857, 477.77777777777777, 610.0, 437.5, 650.0, 668.75, 675.0, 621.0526315789474, 641.1764705882352, 493.75,
3, 621.4285714285714, 623.8095238095239, 732.0, 580.0, 484.61538461538464, 585.7142857142857, 623.5294117647059, 733.3333333333334, 694.7368421052631, 546.1538461538462, 710.7142857142857, 392.0, 655.5555555555555, 690.9090909090909, 638.0952380952381, 534.7826086956521, 554.5454545454545, 638.4615384615385, 621.7391304347826, 527.2727272727273, 620.0, 466.6666666666667, 520.0, 704.7619047619048, 590.4761904761905, 545.4545454545455, 656.5217391304348, 551.4285714285714, 425.9259259259259, 327.58620689655174, 529.1666666666666, 561.9047619047619, 400.0, 913.0434782608696, 762.5, 800.0, 615.0, 487.5,
4, 628.5714285714286, 550.0, 726.0869565217391, 631.25, 477.4193548387097, 573.3333333333334, 453.3333333333333, 493.75, 645.4545454545455, 537.5, 497.72727272727275, 572.4137931034483, 445.7142857142857, 650.0, 566.6666666666666, 533.3333333333334, 471.42857142857144, 670.0, 625.925925925926, 541.1764705882352, 661.9047619047619, 464.2857142857143, 500.0, 557.1428571428571, 556.25, 576.1904761904761, 686.3636363636364, 504.3478260869565, 607.1428571428571, 525.0, 550.0, 682.6086956521739, 538.2352941176471, 675.0, 770.8333333333334, 360.0, 554.5454545454545, 616.6666666666666,
5, 652.9411764705883, 363.1578947368421, 502.77777777777777, 496.875, 400.0, 468.42105263157896, 470.5882352941176, 469.2307692307692, 457.14285714285717, 571.4285714285714, 572.2222222222222, 470.3703703703704, 425.0, 638.0952380952381, 544.4444444444445, 492.3076923076923, 426.6666666666667, 544.0, 468.0, 538.0952380952381, 400.0, 394.11764705882354, 521.7391304347826, 568.75, 412.5, 592.5925925925926, 843.5897435897435, 552.9411764705883, 411.7647058823529, 559.0909090909091, 504.0, 539.1304347826087, 569.2307692307693, 778.3783783783783, 802.0, 465.51724137931035, 617.6470588235294, 733.3333333333334,
6, 695.6521739130435, 258.3333333333333, 466.6666666666667, 492.3076923076923, 550.0, 592.3076923076923, 347.36842105263156, 537.5, 511.42857142857144, 579.3103448275862, 510.0, 414.5833333333333, 641.6666666666666, 565.2173913043479, 760.0, 768.421052631579, 431.8181818181818, 514.2857142857143, 602.5641025641025, 642.3076923076923, 562.9629629629629, 552.6315789473684, 570.8333333333334, 794.1176470588235, 376.6666666666667, 700.0, 952.9411764705883, 587.5, 520.0, 677.2727272727273, 717.3913043478261, 512.0, 600.0, 1205.5555555555557, 938.2352941176471, 952.258064516129, 547.3684210526316, 875.0,
7, 822.2222222222222, 383.3333333333333, 371.42857142857144, 435.29411764705884, 441.37931034482756, 400.0, 491.6666666666667, 528.5714285714286, 487.5, 511.7647058823529, 629.5454545454545, 443.39622641509436, 554.2857142857143, 560.0, 611.1111111111111, 723.0769230769231, 347.36842105263156, 600.0, 724.0, 605.8823529411765, 625.0, 620.0, 674.074074074074, 707.4074074074074, 562.5, 681.25, 841.1764705882352, 644.4444444444445, 695.2380952380952, 600.0, 580.7692307692307, 659.0909090909091, 609.5238095238095, 1525.0, 1497.0684039087948, 1356.159420289855, 871.4285714285714, 1150.4132231404958,
8, 810.0, 560.0, 348.4848484848485, 369.5652173913044, 427.27272727272725, 445.0, 346.15384615384613, 618.75, 579.1666666666666, 661.1111111111111, 616.9230769230769, 519.3877551020408, 585.0, 675.0, 533.3333333333334, 683.3333333333334, 405.55555555555554, 691.6666666666666, 632.3529411764706, 642.8571428571429, 680.0, 638.8888888888889, 696.0526315789474, 755.0, 718.5185185185185, 826.3157894736842, 800.0, 655.5555555555555, 727.2727272727273, 716.6666666666666, 833.3333333333334, 658.695652173913, 737.5, 1550.0, 1609.7560975609756, 1783.6734693877552, 1179.787234042553, 1474.3243243243244,
9, 882.1428571428571, 518.75, 276.47058823529414, 533.3333333333334, 443.75, 385.7142857142857, 481.8181818181818, 609.0909090909091, 441.1764705882353, 539.2857142857143, 731.1475409836065, 544.047619047619, 635.483870967742, 580.0, 551.7241379310345, 690.4761904761905, 439.1304347826087, 736.3636363636364, 676.9230769230769, 646.1538461538462, 575.609756097561, 577.7777777777778, 653.8461538461538, 838.8059701492538, 725.925925925926, 859.0909090909091, 759.1836734693877, 790.0, 709.0909090909091, 745.4545454545455, 710.0, 825.0, 845.4545454545455, 1912.5, 2208.5858585858587, 1926.7657992565055, 1583.941605839416, 1813.5135135135135,
