iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 8411.627906976744, 8154.761904761905, 7751.162790697675, 8050.0, 8210.975609756097, 8054.022988505747, 8191.566265060241, 8100.0, 8528.75, 8337.037037037036, 8146.987951807229, 8267.045454545454, 8073.563218390805, 8695.180722891566, 8064.367816091954, 8785.714285714286, 8706.666666666666, 8645.555555555555, 9030.588235294117, 9646.913580246914, 9624.137931034482, 8064.367816091954, 7729.545454545455, 8080.0, 8280.487804878048, 8160.0, 8572.727272727272, 8880.232558139534, 8218.181818181818, 8880.952380952382, 8561.627906976744, 3512.5, 3995.3125, 5395.774647887324, 4321.739130434783, 3801.5625,
2, 11897.894736842105, 12068.888888888889, 11506.0, 11626.881720430107, 11695.505617977527, 11557.777777777777, 13096.774193548386, 13060.227272727272, 11913.333333333334, 11890.425531914894, 11721.27659574468, 12936.666666666666, 11173.863636363636, 11729.032258064517, 12106.741573033707, 11850.526315789473, 12565.625, 12800.0, 12756.842105263158, 12369.387755102041, 13905.376344086022, 11546.739130434782, 12867.032967032967, 12365.168539325843, 13420.87912087912, 12343.333333333334, 11332.58426966292, 11746.666666666666, 12571.42857142857, 11058.241758241758, 13502.150537634408, 7939.6551724137935, 9588.57142857143, 20615.51724137931, 12125.714285714286, 8929.72972972973,
3, 18725.8064516129, 12607.608695652174, 12217.64705882353, 14531.818181818182, 16397.727272727272, 14917.64705882353, 19042.708333333332, 20159.782608695652, 20192.134831460673, 19189.247311827956, 18870.0, 16318.75, 17010.344827586207, 17456.842105263157, 17215.05376344086, 15941.237113402061, 20375.0, 19148.42105263158, 19024.468085106382, 19860.43956043956, 19041.75824175824, 16358.241758241758, 19815.217391304348, 19475.862068965518, 19417.777777777777, 17420.454545454544, 14880.898876404495, 14703.157894736842, 15894.252873563219, 11151.685393258427, 17941.489361702126, 23376.470588235294, 25093.67088607595, 56091.25, 51853.73134328358, 28563.157894736843,
4, 25164.634146341465, 19520.54794520548, 19333.333333333332, 25446.753246753247, 26361.25, 22162.666666666668, 28551.162790697676, 29433.333333333332, 32141.975308641977, 30144.18604651163, 28906.09756097561, 25457.777777777777, 21519.78021978022, 23214.606741573032, 24789.772727272728, 22969.31818181818, 28497.674418604653, 27442.85714285714, 28111.23595505618, 28813.095238095237, 25482.278481012658, 31517.441860465115, 29123.25581395349, 30737.078651685395, 31229.885057471263, 25931.764705882353, 21130.379746835442, 20574.324324324323, 20643.90243902439, 15212.987012987012, 21941.379310344826, 45735.48387096774, 54698.50746268657, 75532.39436619719, 87782.35294117648, 68276.78571428571,
5, 29097.058823529413, 20796.666666666668, 24837.931034482757, 25832.25806451613, 24238.98305084746, 20900.0, 31068.333333333332, 27588.405797101448, 39067.56756756757, 30112.5, 58154.83870967742, 25915.47619047619, 22997.46835443038, 30349.367088607596, 28732.941176470587, 27500.0, 26422.388059701494, 33628.813559322036, 31556.451612903227, 33183.05084745763, 25312.698412698413, 47622.03389830508, 54463.07692307692, 48325.757575757576, 46446.3768115942, 30970.909090909092, 16588.235294117647, 11906.153846153846, 19086.956521739132, 11458.064516129032, 22426.86567164179, 65654.41176470589, 77529.6875, 86176.11940298507, 82105.6338028169, 82555.10204081633,
6, 34649.253731343284, 31886.206896551725, 43453.7037037037, 40807.142857142855, 45261.11111111111, 48718.64406779661, 29884.615384615383, 35367.64705882353, 61922.58064516129, 37804.91803278688, 56242.25352112676, 24435.632183908045, 19875.324675324675, 30207.894736842107, 29771.951219512193, 32006.172839506173, 38968.91891891892, 36316.12903225807, 42403.1746031746, 34800.0, 34537.878787878784, 49167.1875, 65935.82089552238, 52729.50819672131, 42089.705882352944, 44844.642857142855, 24241.935483870966, 12155.737704918032, 18728.169014084506, 10782.089552238805, 19364.516129032258, 82568.33333333333, 87667.64705882352, 103208.06451612903, 98218.33333333333, 100991.66666666667,
7, 44759.09090909091, 40371.42857142857, 61305.40540540541, 62886.4406779661, 69275.0, 62680.39215686275, 44228.78787878788, 55656.45161290323, 64988.23529411765, 54668.25396825397, 72319.29824561403, 31097.4358974359, 25332.05128205128, 34040.50632911392, 28635.714285714286, 28148.809523809523, 51736.70886075949, 44778.873239436616, 36282.8125, 38254.79452054795, 45146.666666666664, 57524.59016393442, 67964.61538461539, 68755.93220338984, 62667.2131147541, 60728.070175438595, 22244.827586206895, 15688.059701492537, 34369.565217391304, 12605.172413793103, 20084.782608695652, 98042.85714285714, 101506.25, 106009.67741935483, 107287.5, 110994.8275862069,
8, 58336.92307692308, 57433.898305084746, 71719.60784313726, 80311.29032258065, 91392.45283018867, 86796.49122807017, 62655.882352941175, 68900.0, 70410.16949152542, 72921.05263157895, 60406.34920634921, 30834.615384615383, 32790.0, 28455.95238095238, 33290.47619047619, 36319.27710843374, 60171.05263157895, 46288.05970149254, 51830.882352941175, 51897.260273972606, 59346.3768115942, 55815.625, 77163.9344262295, 75059.67741935483, 75683.60655737705, 50603.07692307692, 22632.352941176472, 16460.655737704918, 29544.0, 14298.275862068966, 19348.14814814815, 104641.53846153847, 104838.09523809524, 111738.98305084746, 110147.61904761905, 105554.09836065574,
9, 62309.67741935484, 91339.34426229508, 95018.51851851853, 96281.03448275862, 90464.58333333333, 77410.2564102564, 63900.0, 66645.28301886792, 70827.86885245901, 67485.24590163934, 64333.333333333336, 34516.666666666664, 35358.53658536585, 39480.95238095238, 32222.077922077922, 41066.23376623377, 63714.51612903226, 58977.27272727273, 62542.64705882353, 51822.22222222222, 66618.57142857143, 52936.76470588235, 73655.55555555556, 75758.06451612903, 78407.8125, 77958.33333333333, 25388.88888888889, 15714.0625, 19372.30769230769, 17584.48275862069, 18042.85714285714, 112327.41935483871, 100417.46031746031, 109154.09836065574, 111821.31147540984, 112683.60655737705,
