iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 3246.969696969697, 3170.5479452054797, 3420.472440944882, 3407.6612903225805, 3334.926470588235, 3336.4285714285716, 3423.4848484848485, 3200.7751937984494, 3308.5271317829456, 3367.7272727272725, 3301.5267175572517, 3236.923076923077, 3224.4274809160306, 3246.6911764705883, 3087.05035971223, 3551.503759398496, 3543.700787401575, 3505.859375, 3389.453125, 3170.802919708029, 3237.847222222222, 3120.8333333333335, 3219.8581560283687, 3333.453237410072, 3194.814814814815, 3457.5, 3361.8518518518517, 3084.4444444444443, 3424.6031746031745, 3333.211678832117, 3295.925925925926, 2486.5714285714284, 2463.13672922252, 2541.3366336633662, 2862.5874125874125, 3343.560606060606,
2, 3585.2272727272725, 3374.1830065359477, 3289.8026315789475, 3376.2237762237764, 3518.8888888888887, 3435.5704697986575, 3334.8275862068967, 3374.6376811594205, 3355.821917808219, 3597.9591836734694, 3687.0833333333335, 3353.921568627451, 3324.3333333333335, 3250.6493506493507, 3542.8082191780823, 3258.5616438356165, 3451.7123287671234, 3376.056338028169, 3464.855072463768, 3469.8675496688743, 3586.713286713287, 3336.6666666666665, 3447.5352112676055, 3324.074074074074, 3258.7248322147652, 3426.8707482993195, 3386.4779874213837, 3451.655629139073, 3247.75641025641, 3445.4545454545455, 3543.4931506849316, 2469.5544554455446, 2527.8543307086616, 4072.072072072072, 2994.0, 2976.4150943396226,
3, 3249.4117647058824, 3395.535714285714, 3318.103448275862, 3325.1445086705203, 3335.1744186046512, 3286.263736263736, 3438.9880952380954, 3361.5625, 3382.0689655172414, 3542.1052631578946, 3217.6646706586826, 3175.8720930232557, 3160.5714285714284, 3169.0751445086707, 3261.0778443113772, 3293.714285714286, 3289.3939393939395, 3331.3888888888887, 3308.6592178770948, 3375.151515151515, 3380.909090909091, 3290.229885057471, 3341.194968553459, 3260.382513661202, 3209.8314606741574, 3247.604790419162, 3276.5895953757226, 3011.3259668508285, 3238.3977900552486, 3223.2954545454545, 3353.9634146341464, 1915.6645569620252, 2982.9145728643216, 3060.883280757098, 3369.590643274854, 3541.4835164835163,
4, 3294.6236559139784, 2992.6395939086296, 3066.0975609756097, 3131.1170212765956, 3019.035532994924, 2971.96261682243, 2926.063829787234, 3030.3482587064677, 2908.6592178770948, 2959.840425531915, 3007.8212290502793, 2844.3946188340806, 3003.170731707317, 2969.090909090909, 2832.535885167464, 2999.769585253456, 3214.358974358974, 3337.1134020618556, 3234.6994535519125, 3202.1052631578946, 3180.25, 3157.766990291262, 3197.4137931034484, 3344.632768361582, 3347.9695431472082, 3182.0, 3045.0520833333335, 2925.714285714286, 2970.603015075377, 2961.256544502618, 3169.836956521739, 3397.4806201550387, 5067.941176470588, 5716.7525773195875, 4521.856287425149, 4901.521739130435,
5, 2853.0150753768844, 2731.516587677725, 2703.623188405797, 2723.5023041474656, 2684.7926267281105, 2750.480769230769, 2540.5, 2854.968944099379, 2603.021978021978, 2639.0776699029125, 2537.3563218390805, 2640.0, 2688.9795918367345, 2755.2529182879375, 2697.314049586777, 2698.4, 3121.345029239766, 2906.084656084656, 3107.978723404255, 2981.4814814814813, 2973.399014778325, 3047.598253275109, 2936.5116279069766, 3047.8365384615386, 3023.604060913706, 2855.744680851064, 2910.372340425532, 2738.177339901478, 2771.4634146341464, 2649.519230769231, 2704.102564102564, 4904.829545454545, 9042.116182572614, 8777.567567567568, 6194.672131147541, 10285.714285714286,
6, 3018.4895833333335, 2841.2195121951218, 2818.25, 2696.6824644549765, 2675.6544502617803, 2706.280193236715, 2601.25, 2798.8950276243095, 2640.1477832512314, 2581.3953488372094, 2801.2755102040815, 2708.2, 2835.3305785123966, 2688.4297520661157, 2687.6494023904384, 2717.584745762712, 3017.7710843373493, 2917.8362573099416, 3134.2105263157896, 2752.097902097902, 3033.1550802139036, 2982.1739130434785, 2834.318181818182, 3049.0, 3133.031674208145, 3231.904761904762, 2723.936170212766, 2630.097087378641, 2907.7720207253888, 2692.929292929293, 2732.446808510638, 5965.740740740741, 14444.964028776978, 15801.438848920863, 10880.5, 14157.344632768361,
7, 3065.0510204081634, 2850.523560209424, 2855.392156862745, 2669.0140845070423, 2700.735294117647, 2800.25641025641, 2587.81512605042, 2880.7894736842104, 2770.289855072464, 2574.8936170212764, 2904.901960784314, 2839.3305439330543, 2738.6831275720165, 2799.163179916318, 2708.227848101266, 2763.278008298755, 3248.159509202454, 3091.0071942446043, 2980.1724137931033, 2841.4285714285716, 3206.3291139240505, 3001.0416666666665, 2920.1923076923076, 3160.945273631841, 3168.8073394495414, 3221.75, 2722.9166666666665, 2845.5882352941176, 3053.2544378698226, 2822.093023255814, 2742.6470588235293, 8139.322916666667, 20926.923076923078, 21371.2389380531, 16565.546218487394, 19121.259842519685,
8, 2985.164835164835, 2809.5108695652175, 2694.358974358974, 2630.1507537688444, 2925.845410628019, 2658.0568720379147, 2781.6582914572864, 2596.6960352422907, 2852.925531914894, 2722.685185185185, 2870.243902439024, 2703.896103896104, 2827.1008403361343, 2746.595744680851, 2752.3012552301257, 2844.8497854077254, 3190.3614457831327, 3020.610687022901, 3007.8947368421054, 2633.3333333333335, 3096.1805555555557, 3183.505154639175, 3217.25, 3350.990099009901, 3291.1363636363635, 3202.644230769231, 2967.391304347826, 2715.5844155844156, 2882.8651685393256, 2692.663043478261, 2842.603550295858, 13644.21768707483, 22726.666666666668, 33921.969696969696, 20632.038834951458, 25473.958333333332,
9, 3050.5347593582887, 2822.5146198830407, 2772.3076923076924, 2880.057803468208, 2619.597989949749, 2713.0208333333335, 2758.3333333333335, 2560.0760456273765, 2871.6216216216217, 2643.1603773584907, 2953.757225433526, 2762.7155172413795, 2844.255319148936, 2827.8508771929824, 2802.0, 2833.125, 3336.858974358974, 3166.2162162162163, 3038.4615384615386, 2838.1294964028775, 3161.58940397351, 3160.0478468899523, 3175.1269035532996, 3192.233009708738, 3435.5140186915887, 3336.2244897959185, 2827.409638554217, 2980.3680981595094, 2875.7668711656443, 2778.6111111111113, 2716.577540106952, 19172.63157894737, 26459.615384615383, 34535.38461538462, 26647.590361445782, 30464.935064935064,
