iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 169.3801652892562, 162.01923076923077, 150.44230769230768, 159.2962962962963, 161.8846153846154, 161.53429602888087, 160.87786259541986, 166.34453781512605, 163.7701612903226, 154.28861788617886, 164.87603305785123, 158.41509433962264, 158.51923076923077, 159.21641791044777, 142.8673835125448, 159.515503875969, 157.85714285714286, 149.82078853046596, 159.67307692307693, 161.84824902723736, 162.0260223048327, 155.13671875, 153.09615384615384, 161.02996254681648, 153.95491803278688, 158.59073359073358, 159.03041825095056, 155.17307692307693, 163.6144578313253, 167.0, 156.23134328358208, 186.18320610687022, 302.46527777777777, 192.91666666666666, 185.73809523809524, 307.22972972972974,
2, 136.86746987951807, 197.35887096774192, 232.33031674208144, 280.8904109589041, 272.0550847457627, 236.63179916317992, 170.09756097560975, 185.91836734693877, 171.92307692307693, 177.72511848341233, 161.3095238095238, 159.0874524714829, 153.6654135338346, 157.71863117870723, 151.2781954887218, 155.76628352490422, 163.0441640378549, 155.1169590643275, 170.0, 160.16871165644173, 163.55855855855856, 162.45019920318725, 154.01960784313727, 173.14285714285714, 159.53586497890296, 163.015873015873, 166.93910256410257, 159.09495548961425, 158.77742946708463, 178.0858085808581, 184.71246006389777, 709.6666666666666, 993.4732824427481, 750.6439393939394, 3025.5479452054797, 785.4642857142857,
3, 188.54166666666666, 1600.5494505494505, 1635.1648351648353, 1428.1683168316831, 1219.633027522936, 1756.6666666666667, 177.63274336283186, 185.34146341463415, 180.28169014084506, 175.33333333333334, 174.72602739726028, 134.43478260869566, 142.78996865203763, 147.7987421383648, 149.59119496855345, 149.98275862068965, 469.09090909090907, 590.0632911392405, 595.5059523809524, 863.2269503546099, 600.1840490797546, 131.40102827763496, 132.3013698630137, 133.71391076115486, 124.89766081871345, 136.4766081871345, 289.95762711864404, 411.7894736842105, 398.6470588235294, 303.23943661971833, 360.9313725490196, 1242.1374045801526, 3108.987341772152, 961.5646258503401, 6923.586956521739, 833.516129032258,
4, 666.5540540540541, 3307.878787878788, 2926.8571428571427, 2918.402777777778, 2367.266666666667, 2806.6438356164385, 130.71847507331378, 151.52573529411765, 138.71929824561403, 185.44392523364485, 142.29241877256317, 160.79365079365078, 156.72360248447205, 164.5065789473684, 167.67741935483872, 162.11974110032364, 5200.416666666667, 5408.085106382979, 5086.734693877551, 5515.217391304348, 4263.0, 145.7107843137255, 132.00488997555013, 141.18251928020567, 162.8613569321534, 147.89002557544757, 2531.6666666666665, 3758.4166666666665, 2956.076923076923, 1713.314606741573, 2944.5, 5041.166666666667, 6115.66037735849, 4795.583333333333, 17315.0, 3262.162162162162,
5, 5813.928571428572, 7011.413043478261, 7559.565217391304, 6452.156862745098, 6523.9, 7841.666666666667, 135.15320334261838, 122.32193732193733, 121.59946236559139, 132.17325227963525, 140.04285714285714, 592.4172185430464, 606.7132867132867, 601.6030534351145, 1503.9156626506024, 597.9545454545455, 12025.0, 8524.342105263158, 13193.518518518518, 13424.137931034482, 9626.621621621622, 274.6309963099631, 342.95258620689657, 228.56666666666666, 218.61301369863014, 284.43223443223445, 7483.125, 7557.790697674419, 6449.666666666667, 6651.818181818182, 7182.386363636364, 6881.3725490196075, 9131.585365853658, 7684.444444444444, 17514.03846153846, 5056.25,
6, 7975.810810810811, 8753.75, 10079.761904761905, 8531.063829787234, 8339.68085106383, 9488.720930232557, 179.62540716612378, 154.67700258397932, 159.7545219638243, 168.45454545454547, 196.94189602446482, 4921.634615384615, 4081.9444444444443, 4592.857142857143, 4622.542372881356, 4640.882352941177, 14224.807692307691, 13167.0, 18183.125, 16006.481481481482, 13326.166666666666, 1063.4306569343066, 1388.6190476190477, 699.0548780487804, 499.2396313364055, 1835.6741573033707, 13334.5, 8102.065217391304, 7880.108695652174, 10995.277777777777, 6979.9, 14585.806451612903, 16285.961538461539, 11853.823529411764, 20041.346153846152, 6610.384615384615,
7, 10781.666666666666, 12885.694444444445, 11271.5, 10698.5, 10126.860465116279, 10677.560975609756, 258.03921568627453, 204.2112676056338, 285.6293706293706, 157.14285714285714, 226.3132911392405, 4584.545454545455, 3421.474358974359, 5514.363636363636, 4025.1428571428573, 4535.238095238095, 21558.0, 28241.176470588234, 19781.304347826088, 20725.909090909092, 25698.235294117647, 2742.4698795180725, 3478.3802816901407, 2789.8125, 1600.892857142857, 5389.489795918367, 11396.486486486487, 8354.69387755102, 6937.222222222223, 10554.358974358975, 7628.333333333333, 37216.07142857143, 24129.52380952381, 16153.703703703704, 34341.17647058824, 8066.111111111111,
8, 9288.536585365853, 13672.285714285714, 17372.85714285714, 12148.648648648648, 12984.861111111111, 14681.969696969696, 385.46875, 359.9, 1048.046357615894, 313.7557603686636, 303.7544483985765, 3442.3125, 2872.554347826087, 5140.396825396825, 4753.515625, 4337.045454545455, 22095.68181818182, 17897.59259259259, 21852.916666666668, 26451.842105263157, 30942.352941176472, 3910.0, 4521.640625, 5581.388888888889, 4193.615384615385, 7320.487804878048, 12730.857142857143, 9918.953488372093, 8290.918367346938, 10793.90243902439, 9266.59090909091, 50450.833333333336, 26623.75, 42822.916666666664, 47787.142857142855, 11601.857142857143,
9, 13062.5, 15043.142857142857, 17765.344827586207, 12216.25, 17187.5, 14184.714285714286, 1043.5570469798658, 1016.1724137931035, 5106.037735849057, 767.3148148148148, 834.5588235294117, 3239.7727272727275, 2678.45, 4737.68115942029, 4448.214285714285, 3735.121951219512, 16250.833333333334, 22935.0, 21888.75, 24649.130434782608, 33115.9375, 5804.016393442623, 7350.4, 8757.625, 5997.090909090909, 12775.454545454546, 13107.837837837838, 12542.142857142857, 10301.046511627907, 10246.279069767443, 9369.782608695652, 34813.88888888889, 39162.5, 30673.157894736843, 41023.75, 19173.478260869564,
