iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, -18.519083969465647, -17.984375, -19.16030534351145, -17.740458015267176, -18.549618320610687, -18.108527131782946, -18.28358208955224, -18.296875, -18.303030303030305, -18.28787878787879, -17.65891472868217, -18.215384615384615, -18.213740458015266, -18.015267175572518, -18.610687022900763, -17.782945736434108, -18.232558139534884, -18.360902255639097, -18.39097744360902, -18.26865671641791, -18.492537313432837, -18.345864661654137, -18.030075187969924, -18.2, -18.29230769230769, -17.969924812030076, -17.968503937007874, -18.213740458015266, -17.92248062015504, -18.527131782945737, -18.0, -18.213740458015266, -17.784615384615385, -18.962962962962962, -18.622222222222224, -18.895522388059703, -18.728682170542637, -18.53030303030303,
2, -18.583941605839417, -18.916030534351144, -19.01492537313433, -18.83582089552239, -18.507462686567163, -18.76691729323308, -17.73134328358209, -18.637037037037036, -18.51094890510949, -18.736842105263158, -18.573529411764707, -18.125, -18.313432835820894, -17.96969696969697, -18.306569343065693, -18.791044776119403, -18.584615384615386, -17.83582089552239, -18.13953488372093, -17.954198473282442, -18.119402985074625, -18.22222222222222, -17.75, -18.13533834586466, -18.83582089552239, -18.53435114503817, -18.251851851851853, -18.39097744360902, -18.3206106870229, -18.294117647058822, -18.043795620437955, -18.514705882352942, -18.09090909090909, -17.9375, -18.325925925925926, -17.637931034482758, -9.428571428571429, -18.234375,
3, -19.159420289855074, -19.125925925925927, -19.182481751824817, -19.007407407407406, -18.88888888888889, -19.25925925925926, -18.773722627737225, -18.978102189781023, -18.875912408759124, -18.977777777777778, -18.582089552238806, -18.83582089552239, -18.405797101449274, -18.685714285714287, -18.402985074626866, -18.37037037037037, -18.59090909090909, -18.753623188405797, -18.53543307086614, -17.908396946564885, -18.62686567164179, -18.56923076923077, -18.746268656716417, -18.63235294117647, -18.647058823529413, -18.863636363636363, -18.37593984962406, -19.32846715328467, -19.125925925925927, -18.060606060606062, -18.338461538461537, -18.303030303030305, -18.8, -7.5, -15.363636363636363, -2.4444444444444446, -1.3333333333333333, -13.142857142857142,
4, -20.290076335877863, -20.87878787878788, -20.242424242424242, -21.68421052631579, -21.441176470588236, -21.28358208955224, -21.208955223880597, -21.899280575539567, -20.103703703703705, -20.0, -19.79259259259259, -20.34285714285714, -20.16058394160584, -19.926470588235293, -19.257575757575758, -19.441860465116278, -19.507246376811594, -19.562043795620436, -19.918032786885245, -19.906976744186046, -20.107692307692307, -20.42105263157895, -19.891472868217054, -19.389312977099237, -20.057971014492754, -19.855072463768117, -19.969924812030076, -19.6793893129771, -20.20740740740741, -20.416, -20.42105263157895, -20.032, -20.536585365853657, -2.2222222222222223, -3.111111111111111, -0.8888888888888888, -1.3333333333333333, -5.111111111111111,
5, -21.9, -22.106382978723403, -22.115384615384617, -23.65909090909091, -23.456521739130434, -23.347826086956523, -23.34090909090909, -23.39325842696629, -21.227272727272727, -21.565217391304348, -21.486238532110093, -22.094117647058823, -22.08, -20.704, -20.192, -19.984251968503937, -20.33587786259542, -20.488188976377952, -21.674418604651162, -21.91891891891892, -22.26923076923077, -22.058823529411764, -22.0, -20.03305785123967, -20.48780487804878, -20.50793650793651, -21.0, -21.106796116504853, -22.795180722891565, -22.627450980392158, -22.349206349206348, -22.41509433962264, -22.47457627118644, -1.1111111111111112, -1.3333333333333333, -1.7777777777777777, -1.3333333333333333, -2.0,
6, -21.181818181818183, -22.055555555555557, -21.682539682539684, -23.630769230769232, -22.987951807228917, -23.083333333333332, -23.36111111111111, -23.35483870967742, -20.86111111111111, -21.506849315068493, -21.28421052631579, -20.892307692307693, -21.476923076923075, -19.61061946902655, -19.7984496124031, -19.704918032786885, -19.868852459016395, -20.28125, -21.945945945945947, -21.3, -21.627906976744185, -21.675675675675677, -21.291666666666668, -20.21978021978022, -19.84375, -19.78, -20.26086956521739, -20.263736263736263, -22.533333333333335, -22.205128205128204, -21.853658536585368, -21.238095238095237, -22.512820512820515, -1.5555555555555556, -1.3333333333333333, -2.4444444444444446, -2.0, -1.5555555555555556,
7, -21.89041095890411, -21.52112676056338, -21.647058823529413, -23.0625, -22.93548387096774, -22.8, -22.333333333333332, -23.1864406779661, -20.567164179104477, -20.333333333333332, -21.0, -20.53968253968254, -20.985507246376812, -19.75221238938053, -19.630252100840337, -19.361344537815125, -19.559322033898304, -19.482758620689655, -21.75, -20.78048780487805, -21.244444444444444, -21.28, -21.4, -19.833333333333332, -20.20689655172414, -19.75862068965517, -19.962962962962962, -19.636363636363637, -21.294117647058822, -21.644444444444446, -21.027027027027028, -21.21951219512195, -22.205128205128204, -4.0, -1.7777777777777777, -2.6666666666666665, -1.5555555555555556, -1.5555555555555556,
8, -21.346153846153847, -21.403508771929825, -21.23076923076923, -22.8, -22.6, -22.966666666666665, -22.62962962962963, -22.70886075949367, -20.529411764705884, -20.0, -20.22222222222222, -20.92753623188406, -20.633333333333333, -19.072727272727274, -19.27433628318584, -19.617391304347827, -18.774774774774773, -19.966101694915253, -21.087719298245613, -20.714285714285715, -20.714285714285715, -20.776119402985074, -21.155555555555555, -18.975609756097562, -19.463414634146343, -20.51063829787234, -19.51219512195122, -19.5, -22.095238095238095, -21.142857142857142, -21.47826086956522, -20.6, -22.048780487804876, -0.4444444444444444, -1.7777777777777777, -1.5555555555555556, -2.0, -1.5555555555555556,
9, -20.933333333333334, -21.48, -21.586206896551722, -22.627450980392158, -22.296296296296298, -22.612903225806452, -22.03448275862069, -22.207792207792206, -20.15625, -19.875, -20.62686567164179, -20.507462686567163, -20.523809523809526, -18.256880733944953, -19.843478260869563, -18.038095238095238, -18.47787610619469, -19.517857142857142, -20.96875, -20.91304347826087, -19.608695652173914, -19.873015873015873, -19.82758620689655, -19.353846153846153, -18.428571428571427, -19.379310344827587, -19.85, -18.923076923076923, -21.7, -20.0, -21.23404255319149, -19.953488372093023, -21.21951219512195, -2.6666666666666665, -1.5555555555555556, -2.0, -0.6666666666666666, -1.7777777777777777,
