iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6, 1.7866666666666666, 0.37333333333333335, 13.346666666666666, 0.3466666666666667,
2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 111.16901408450704, 40.093333333333334, 20.24, 172.93548387096774, 15.053333333333333,
3, 0.0, 0.0, 0.28, 0.05333333333333334, 0.0, 0.0, 0.3466666666666667, 0.013333333333333334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.64, 0.4266666666666667, 0.38666666666666666, 0.6266666666666667, 0.04, 0.3466666666666667, 0.22666666666666666, 0.0, 0.0, 0.8, 0.0, 0.37333333333333335, 0.0, 0.05333333333333334, 0.0, 489.4117647058824, 256.3137254901961, 159.28358208955223, 522.060606060606, 120.5774647887324,
4, 0.04, 0.0, 0.4666666666666667, 1.3733333333333333, 0.3333333333333333, 0.06666666666666667, 1.8133333333333332, 2.72, 4.426666666666667, 2.76, 0.8666666666666667, 2.8, 2.12, 1.5466666666666666, 0.0, 0.9333333333333333, 0.8, 2.6266666666666665, 1.72, 0.92, 0.4266666666666667, 0.92, 2.8933333333333335, 1.8266666666666667, 1.16, 0.21333333333333335, 3.4266666666666667, 1.4266666666666667, 0.6933333333333334, 0.0, 1.5733333333333333, 1.2533333333333334, 763.5833333333334, 564.3333333333334, 323.22727272727275, 914.9, 504.875,
5, 0.12, 2.4, 1.28, 1.24, 0.9333333333333333, 1.1333333333333333, 2.1066666666666665, 2.3333333333333335, 1.52, 1.6933333333333334, 6.12, 1.4933333333333334, 1.5333333333333334, 2.493333333333333, 1.1866666666666668, 3.3066666666666666, 3.2133333333333334, 55.64, 64.48, 63.14666666666667, 52.44, 49.14666666666667, 68.89189189189189, 38.333333333333336, 10.186666666666667, 3.013333333333333, 57.29333333333334, 4.4, 67.86666666666666, 0.0, 33.10666666666667, 2.8, 895.8571428571429, 854.2380952380952, 497.3529411764706, 1047.9444444444443, 724.5833333333334,
6, 3.04, 4.8133333333333335, 9.506666666666666, 3.6133333333333333, 3.32, 2.16, 8.706666666666667, 11.506666666666666, 11.44, 17.36, 7.293333333333333, 9.506666666666666, 31.053333333333335, 16.826666666666668, 2.493333333333333, 16.813333333333333, 5.573333333333333, 132.57333333333332, 177.41538461538462, 147.36764705882354, 159.71014492753622, 125.82432432432432, 189.6969696969697, 147.34722222222223, 96.53333333333333, 81.4, 135.54054054054055, 77.53333333333333, 141.01408450704224, 2.8666666666666667, 132.26027397260273, 62.45333333333333, 1147.8235294117646, 922.05, 857.4285714285714, 1221.25, 1082.0555555555557,
7, 6.493333333333333, 66.18666666666667, 133.4, 109.25675675675676, 105.87323943661971, 35.0, 116.34666666666666, 79.16, 81.98666666666666, 119.82191780821918, 65.13333333333334, 79.70666666666666, 120.94520547945206, 107.82666666666667, 30.2, 109.8, 73.50666666666666, 345.4418604651163, 417.9736842105263, 365.9756097560976, 305.3777777777778, 208.06666666666666, 407.8421052631579, 259.5686274509804, 254.8490566037736, 239.08928571428572, 213.6271186440678, 160.1044776119403, 391.15384615384613, 4.866666666666666, 352.4146341463415, 154.77941176470588, 1327.0, 1238.9375, 1026.4736842105262, 1357.5333333333333, 1235.0625,
8, 102.58666666666667, 159.4142857142857, 378.219512195122, 323.0444444444444, 352.92857142857144, 159.8939393939394, 347.4418604651163, 195.08196721311475, 190.67741935483872, 241.5185185185185, 188.3939393939394, 212.66666666666666, 185.65079365079364, 213.8135593220339, 111.54666666666667, 201.61016949152543, 142.63013698630138, 514.5757575757576, 586.0, 554.258064516129, 534.28125, 456.22857142857146, 558.1935483870968, 449.80555555555554, 424.2972972972973, 670.2692307692307, 284.92, 408.94444444444446, 525.030303030303, 78.58666666666667, 527.34375, 385.7435897435897, 1517.6923076923076, 1346.9333333333334, 1267.625, 1930.8, 1324.1333333333334,
9, 191.3125, 406.3076923076923, 622.2413793103449, 517.59375, 591.0333333333333, 343.2093023255814, 598.448275862069, 461.22857142857146, 364.15, 436.8918918918919, 353.57142857142856, 426.7027027027027, 356.7857142857143, 336.6744186046512, 222.0, 326.72727272727275, 313.0444444444444, 731.4, 787.2608695652174, 777.5833333333334, 791.5, 619.1071428571429, 661.6666666666666, 632.7142857142857, 567.0, 695.7692307692307, 539.6129032258065, 516.2727272727273, 717.6, 161.27941176470588, 744.5833333333334, 534.875, 1428.4285714285713, 1384.4285714285713, 1521.6923076923076, 1742.4166666666667, 1691.3333333333333,
10, 389.56410256410254, 583.6428571428571, 645.6296296296297, 790.9130434782609, 782.25, 593.8333333333334, 765.9583333333334, 587.9333333333333, 486.45454545454544, 538.3333333333334, 519.6875, 560.2258064516129, 401.6756756756757, 397.9736842105263, 307.9555555555556, 368.8292682926829, 401.60526315789474, 773.9130434782609, 945.578947368421, 995.0555555555555, 787.0869565217391, 820.5909090909091, 924.5, 871.1428571428571, 761.0, 820.4782608695652, 732.875, 614.3571428571429, 828.8181818181819, 380.0731707317073, 738.1666666666666, 775.5416666666666, 1773.5454545454545, 1582.0, 1752.1666666666667, 1788.0, 1872.6363636363637,
11, 628.3928571428571, 735.3333333333334, 883.9047619047619, 951.05, 962.1, 689.8846153846154, 974.3684210526316, 600.6896551724138, 602.0357142857143, 636.25, 652.7037037037037, 650.3928571428571, 439.6666666666667, 457.05555555555554, 383.8205128205128, 472.1714285714286, 420.5945945945946, 992.6315789473684, 1037.0, 953.7, 921.2, 816.5454545454545, 1082.2222222222222, 935.2, 990.3157894736842, 979.4, 858.0952380952381, 833.8095238095239, 900.85, 654.8148148148148, 889.3809523809524, 861.1428571428571, 1890.2, 1799.4545454545455, 1855.6363636363637, 1958.0, 1619.5833333333333,
12, 699.2692307692307, 787.8695652173913, 1048.611111111111, 1107.9411764705883, 962.85, 868.0, 1100.235294117647, 686.0769230769231, 764.4583333333334, 701.48, 692.3461538461538, 710.48, 428.55263157894734, 455.42857142857144, 420.4871794871795, 482.1470588235294, 423.5405405405405, 1131.9411764705883, 1198.625, 1014.5263157894736, 1052.5, 976.4736842105264, 1112.111111111111, 1244.0625, 1084.2777777777778, 1184.125, 1169.7058823529412, 930.35, 924.5, 781.5416666666666, 897.8095238095239, 963.5263157894736, 2083.8, 1872.7272727272727, 2227.0, 2023.7, 1703.4166666666667,
13, 846.6818181818181, 914.85, 1112.2941176470588, 1194.0625, 1147.7058823529412, 960.7, 1186.1764705882354, 732.0, 895.2380952380952, 844.4761904761905, 742.1666666666666, 988.421052631579, 467.3142857142857, 405.5128205128205, 456.3333333333333, 485.42857142857144, 417.2105263157895, 1166.5882352941176, 1255.0666666666666, 1105.764705882353, 1211.0, 1128.1764705882354, 1337.8, 1167.5294117647059, 1151.4705882352941, 1327.4666666666667, 1305.1333333333334, 985.8421052631579, 1071.2777777777778, 880.3333333333334, 1001.2105263157895, 905.4, 2268.4444444444443, 1843.090909090909, 2203.777777777778, 1926.090909090909, 1943.8,
14, 1025.111111111111, 1158.8235294117646, 1113.8235294117646, 1296.2666666666667, 1123.4117647058824, 1061.1666666666667, 1563.8333333333333, 813.9565217391304, 888.2857142857143, 860.3809523809524, 848.6190476190476, 872.8095238095239, 475.6470588235294, 426.5263157894737, 419.0263157894737, 486.55882352941177, 421.6216216216216, 1468.8461538461538, 1441.5714285714287, 1209.625, 1283.4666666666667, 1225.375, 1435.2857142857142, 1552.3076923076924, 1332.5333333333333, 1356.5333333333333, 1359.8666666666666, 1000.3888888888889, 1198.4375, 861.5714285714286, 1111.0, 959.45, 2015.1, 2062.8, 1993.9, 2030.2, 2222.3333333333335,
