iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, -92.92592592592592, -93.71212121212122, -93.48872180451127, -93.22556390977444, -92.94029850746269, -93.28358208955224, -94.05185185185185, -93.52985074626865, -93.44776119402985, -93.05925925925926, -93.57575757575758, -92.92592592592592, -92.78030303030303, -93.16541353383458, -92.59701492537313, -92.90977443609023, -92.06818181818181, -92.6, -91.34586466165413, -92.02985074626865, -92.19402985074628, -93.74626865671642, -93.64925373134328, -93.50746268656717, -93.40601503759399, -93.33333333333333, -92.0962962962963, -93.30147058823529, -93.29629629629629, -91.66666666666667, -93.34328358208955, -92.43703703703704, -93.73333333333333, -91.57777777777778, -92.28888888888889, -92.35766423357664,
2, -90.62962962962963, -91.13333333333334, -90.6390977443609, -91.73684210526316, -90.84848484848484, -90.94029850746269, -91.56390977443608, -91.95522388059702, -91.52631578947368, -90.70370370370371, -90.98507462686567, -90.89473684210526, -91.25373134328358, -91.32835820895522, -92.11278195488721, -92.41044776119404, -89.46212121212122, -89.52631578947368, -89.5111111111111, -87.93939393939394, -91.42537313432835, -92.07462686567165, -91.60740740740741, -91.63703703703703, -91.54135338345864, -91.75187969924812, -90.77941176470588, -92.05970149253731, -89.01503759398496, -91.76691729323308, -89.94852941176471, -84.60902255639098, -89.27407407407408, -87.6029411764706, -90.23880597014926, -88.15555555555555,
3, -89.33082706766918, -89.04511278195488, -90.28358208955224, -88.9172932330827, -90.25373134328358, -88.93333333333334, -90.34328358208955, -90.12592592592593, -91.34328358208955, -90.10218978102189, -90.08955223880596, -89.38805970149254, -91.13533834586467, -90.8955223880597, -90.25373134328358, -89.74074074074075, -88.96969696969697, -90.45185185185186, -88.11194029850746, -88.3609022556391, -89.55639097744361, -90.61194029850746, -90.32592592592593, -90.6390977443609, -90.21481481481482, -89.96268656716418, -90.91176470588235, -91.4, -91.41481481481482, -91.77941176470588, -90.50746268656717, -83.58394160583941, -84.55555555555556, -82.07407407407408, -84.88888888888889, -83.45588235294117,
4, -87.25563909774436, -88.59701492537313, -89.11940298507463, -90.2089552238806, -88.54074074074074, -88.65925925925926, -89.04511278195488, -89.67910447761194, -89.87218045112782, -89.83088235294117, -90.52592592592593, -88.61940298507463, -89.2089552238806, -89.74074074074075, -88.5, -88.96212121212122, -87.55223880597015, -87.03676470588235, -86.4888888888889, -85.81481481481481, -88.03030303030303, -87.4087591240876, -89.06716417910448, -89.19117647058823, -89.21897810218978, -88.30827067669173, -90.83703703703704, -90.75735294117646, -90.07299270072993, -91.54814814814814, -88.36764705882354, -77.6029411764706, -80.88235294117646, -78.92700729927007, -77.92592592592592, -78.78260869565217,
5, -86.8529411764706, -86.27407407407408, -89.85074626865672, -88.12781954887218, -87.0223880597015, -88.25373134328358, -88.73333333333333, -87.75, -88.39259259259259, -88.73529411764706, -87.68888888888888, -86.47368421052632, -86.88059701492537, -88.32330827067669, -87.83823529411765, -87.21323529411765, -85.11278195488721, -86.21481481481482, -83.22388059701493, -84.0962962962963, -86.35338345864662, -85.95555555555555, -85.0, -86.61194029850746, -85.84210526315789, -86.3587786259542, -89.2992700729927, -89.3037037037037, -89.82352941176471, -88.28571428571429, -89.43795620437956, -77.66423357664233, -73.55147058823529, -69.46268656716418, -71.53030303030303, -74.67625899280576,
6, -84.84444444444445, -85.58208955223881, -86.25185185185185, -87.25185185185185, -85.7925925925926, -85.40601503759399, -86.74264705882354, -85.61313868613139, -87.13333333333334, -86.60583941605839, -87.5925925925926, -84.83703703703704, -85.55970149253731, -85.6962962962963, -85.58823529411765, -83.74074074074075, -82.85714285714286, -81.8529411764706, -79.72058823529412, -80.35074626865672, -82.4962962962963, -81.15151515151516, -83.14925373134328, -85.58208955223881, -82.22556390977444, -84.10606060606061, -86.26470588235294, -90.06569343065694, -86.44117647058823, -86.75373134328358, -87.12592592592593, -64.39416058394161, -66.29007633587786, -57.289855072463766, -67.47368421052632, -65.15441176470588,
7, -82.62962962962963, -82.14074074074074, -81.17777777777778, -85.8970588235294, -83.06716417910448, -81.46666666666667, -84.27067669172932, -85.28888888888889, -84.88235294117646, -83.4812030075188, -84.77037037037037, -84.67164179104478, -82.46268656716418, -82.45185185185186, -85.78518518518518, -81.69172932330827, -79.85074626865672, -78.17647058823529, -76.19259259259259, -72.72388059701493, -79.16541353383458, -74.50757575757575, -81.78195488721805, -82.44360902255639, -77.18939393939394, -80.71428571428571, -82.4, -87.23529411764706, -84.97058823529412, -85.25185185185185, -83.375, -40.93382352941177, -62.16923076923077, -44.422222222222224, -55.985074626865675, -52.71851851851852,
8, -80.71111111111111, -73.57777777777778, -78.01492537313433, -82.20588235294117, -76.17424242424242, -80.66917293233082, -83.57777777777778, -82.44360902255639, -82.28888888888889, -84.96268656716418, -82.93382352941177, -81.19259259259259, -79.39097744360902, -80.2074074074074, -82.61194029850746, -77.03030303030303, -72.71111111111111, -67.6390977443609, -68.71641791044776, -67.66666666666667, -72.92537313432835, -69.99253731343283, -76.6268656716418, -79.97014925373135, -68.04511278195488, -73.8, -77.78358208955224, -83.26119402985074, -80.24626865671642, -80.39259259259259, -78.11851851851851, -12.379310344827585, -43.213740458015266, -28.42962962962963, -29.432835820895523, -45.9264705882353,
9, -76.45925925925926, -68.97727272727273, -75.85925925925926, -78.91044776119404, -74.58518518518518, -72.81481481481481, -80.67647058823529, -81.01470588235294, -78.625, -83.17037037037036, -78.60740740740741, -76.6842105263158, -75.63636363636364, -68.76296296296296, -80.625, -76.66911764705883, -62.50375939849624, -61.00757575757576, -65.18656716417911, -57.3587786259542, -67.31111111111112, -64.55147058823529, -65.40441176470588, -73.94776119402985, -58.6, -66.53731343283582, -64.25954198473282, -81.73134328358209, -76.5, -78.91176470588235, -70.95488721804512, 8.774193548387096, -26.072992700729927, -16.198529411764707, -5.340277777777778, -33.63503649635037,
