iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 76.18524332810047, 76.36220472440945, 74.0909090909091, 75.42768273716952, 73.29770992366412, 71.90108191653786, 74.33229813664596, 76.796875, 69.41984732824427, 70.9553158705701, 70.24615384615385, 75.62790697674419, 66.33181126331812, 72.9860031104199, 70.80123266563945, 70.75153374233129, 76.37362637362638, 71.93447737909517, 82.2275641025641, 83.75399361022365, 83.74800637958533, 82.22222222222223, 83.55305466237942, 71.92546583850931, 73.198127925117, 71.51234567901234, 76.89274447949526, 73.68174726989079, 80.42993630573248, 81.4785373608903, 82.26771653543307, 82.13826366559485, 80.83993660855785, 163.91389432485323, 127.92580101180438, 125.88235294117646, 254.3142144638404, 130.90747330960855,
2, 123.56140350877193, 117.45583038869258, 111.2, 104.17543859649123, 96.63157894736842, 90.69256756756756, 92.32111692844677, 98.75438596491227, 84.55298013245033, 82.52459016393442, 89.89915966386555, 85.52631578947368, 87.47927031509121, 107.38907849829351, 102.03672787979967, 107.01388888888889, 103.98989898989899, 108.64864864864865, 141.25899280575538, 139.1741472172352, 137.76386404293382, 139.03636363636363, 137.79783393501805, 106.1082910321489, 105.8603066439523, 105.81939799331104, 109.64041095890411, 109.5368782161235, 143.20652173913044, 140.5745062836625, 141.41843971631207, 142.2841726618705, 137.07142857142858, 262.0209973753281, 311.41993957703926, 324.83644859813086, 957.6506024096385, 849.5665634674923,
3, 190.6762295081967, 185.20874751491053, 188.99598393574297, 179.04950495049505, 170.33333333333334, 147.34104046242774, 151.34099616858236, 140.55449330783938, 163.6563071297989, 155.07142857142858, 159.63702359346644, 159.81785063752278, 161.44927536231884, 178.25147347740668, 174.4208494208494, 177.99212598425197, 180.1771653543307, 185.73385518591, 205.8227848101266, 201.9578947368421, 200.31185031185032, 200.02079002079003, 193.1762295081967, 175.6497175141243, 172.2634508348794, 168.40148698884758, 176.4638783269962, 176.8939393939394, 198.2546201232033, 200.96774193548387, 199.70772442588728, 202.01257861635222, 201.28099173553719, 270.87628865979383, 890.7333333333333, 535.5786350148368, 1856.6153846153845, 1349.85347985348,
4, 227.98578199052133, 239.5601851851852, 222.68065268065268, 247.85046728971963, 225.94235033259423, 223.18584070796462, 215.84988962472406, 218.54625550660793, 239.5043103448276, 229.2407809110629, 220.4056795131846, 216.1720430107527, 218.48360655737704, 215.8574610244989, 219.95444191343964, 222.52272727272728, 228.8679245283019, 217.9185520361991, 238.01909307875894, 228.3009708737864, 219.08450704225353, 225.05694760820046, 225.77464788732394, 259.7539149888143, 251.2987012987013, 233.42984409799556, 227.01793721973095, 270.02267573696145, 223.39449541284404, 245.06172839506172, 245.07177033492823, 231.1764705882353, 232.46478873239437, 493.98809523809524, 1343.3576642335765, 1174.1868512110727, 2304.8101265822784, 1974.08,
5, 258.7096774193548, 270.61538461538464, 251.93121693121694, 310.57065217391306, 441.87150837988827, 582.6586102719033, 335.4901960784314, 331.301775147929, 241.5695067264574, 283.96088019559903, 325.848623853211, 255.74766355140187, 243.18906605922552, 236.6421568627451, 245.66502463054186, 246.74129353233832, 246.66666666666666, 239.06633906633905, 310.15915119363393, 269.8936170212766, 306.5040650406504, 272.02046035805625, 249.89769820971867, 285.8033573141487, 307.3849878934625, 291.69117647058823, 265.2450980392157, 359.1770573566085, 662.5075528700906, 491.0126582278481, 320.94240837696333, 548.9029535864979, 257.09923664122135, 871.8064516129032, 2067.330677290837, 2490.2, 3130.4102564102564, 2703.601694915254,
6, 330.3672316384181, 331.8888888888889, 324.8126801152738, 512.2727272727273, 669.3103448275862, 466.8862275449102, 411.6932907348243, 438.0968858131488, 243.65740740740742, 265.03722084367246, 290.8490566037736, 272.2439024390244, 269.421686746988, 251.94871794871796, 251.82051282051282, 260.87179487179486, 257.8225806451613, 279.0537084398977, 322.37704918032784, 294.4235924932976, 293.1266846361186, 449.33962264150944, 275.8082191780822, 339.5068493150685, 341.0886075949367, 371.03092783505156, 277.54430379746833, 487.79291553133515, 451.6531165311653, 382.14285714285717, 313.94179894179894, 374.8548812664908, 278.4401114206128, 1938.1171548117154, 2658.143459915612, 3207.6050420168067, 3510.574712643678, 3558.1363636363635,
7, 353.463687150838, 365.27932960893855, 261.04046242774564, 752.563025210084, 591.2732919254659, 860.5228758169935, 528.5425101214574, 665.6, 267.9, 272.9441624365482, 313.45238095238096, 298.07106598984774, 353.5733333333333, 256.2032085561497, 261.8635170603674, 317.0822281167109, 261.42857142857144, 269.59785522788206, 318.6435331230284, 399.7142857142857, 342.27777777777777, 507.28613569321533, 353.4375, 441.8230563002681, 400.05037783375315, 360.23622047244095, 303.42857142857144, 450.47222222222223, 480.3581267217631, 377.27777777777777, 329.0163934426229, 479.64285714285717, 257.6750700280112, 2711.030042918455, 3038.1385281385283, 3788.5096153846152, 3517.901234567901, 3555.2466367713005,
8, 396.96629213483146, 508.60182370820667, 278.27794561933536, 882.4372759856631, 652.4731182795699, 1318.1818181818182, 772.9166666666666, 1020.1953125, 271.3681592039801, 301.1886304909561, 348.1527093596059, 302.4146981627297, 334.31168831168833, 254.20212765957447, 264.6900269541779, 285.47314578005114, 263.03370786516854, 269.7275204359673, 311.86915887850466, 407.4631268436578, 372.5816023738872, 580.9846153846154, 391.6857142857143, 390.82228116710877, 423.80352644836273, 373.2283464566929, 320.7552083333333, 547.909604519774, 475.4016620498615, 539.325513196481, 381.2290502793296, 1030.8650519031141, 270.7780979827089, 3199.184549356223, 3182.5, 3992.56038647343, 3852.2413793103447, 3911.2796208530804,
9, 507.5149700598802, 555.375, 338.2621951219512, 1122.7719298245613, 1109.3288590604027, 1099.1304347826087, 983.6363636363636, 1066.1812297734627, 305.41237113402065, 304.3298969072165, 336.97115384615387, 384.08, 432.5130890052356, 261.0810810810811, 266.47058823529414, 281.8918918918919, 270.9141274238227, 281.42091152815016, 776.5929203539823, 464.41269841269843, 504.42379182156134, 865.8131487889274, 354.2814371257485, 456.9866666666667, 393.725, 518.5558583106267, 346.5891472868217, 693.4545454545455, 576.8895348837209, 596.8358208955224, 679.2261904761905, 951.7684887459807, 501.28279883381924, 3961.3888888888887, 3280.246305418719, 4690.659898477157, 4106.88622754491, 4244.473684210527,
10, 655.3726708074535, 696.8493150684932, 522.4691358024692, 1333.3941605839416, 1523.003663003663, 1421.9354838709678, 1072.3131672597865, 1400.4810996563574, 321.9230769230769, 309.68992248062017, 365.1449275362319, 361.4322916666667, 458.3510638297872, 329.70509383378015, 262.53229974160206, 300.48661800486616, 271.2129380053908, 275.7105263157895, 1004.3307086614174, 725.7608695652174, 913.6290322580645, 1008.3571428571429, 378.49056603773585, 548.7246376811594, 614.2936288088642, 435.9383033419023, 422.39473684210526, 838.5151515151515, 442.2316384180791, 505.6969696969697, 623.1339031339031, 1718.5873605947954, 1708.1454545454546, 4424.40594059406, 3552.462311557789, 5940.3448275862065, 4120.705128205128, 5226.496815286624,
11, 659.8480243161094, 970.5882352941177, 638.125, 1707.1863117870723, 1840.4347826086957, 1588.7074829931973, 1506.282527881041, 1649.641577060932, 337.25888324873097, 253.1358024691358, 407.4, 326.2435233160622, 414.98721227621485, 290.10309278350513, 270.1554404145078, 268.63425925925924, 266.56992084432716, 265.8031088082902, 1115.9328358208954, 1164.1632653061224, 1038.9224137931035, 1196.654135338346, 404.0823970037453, 523.5785953177258, 788.1176470588235, 561.1325966850828, 505.4820936639118, 1322.2033898305085, 734.1533546325878, 708.8709677419355, 519.4117647058823, 1895.1838235294117, 1613.6917562724013, 5015.945945945946, 3772.303664921466, 6427.440476190476, 3925.9375, 6176.241134751773,
12, 777.7483443708609, 1313.822393822394, 656.5263157894736, 2194.1767068273093, 2052.8, 1907.5274725274726, 1503.7885462555066, 1988.697318007663, 389.3333333333333, 279.106699751861, 356.9059405940594, 372.18997361477574, 350.325, 285.7474226804124, 265.3652392947103, 232.06611570247935, 276.7616580310881, 266.9189189189189, 1171.633466135458, 1547.3221757322176, 965.8649789029536, 1528.555133079848, 368.3018867924528, 684.5045045045046, 811.9308357348704, 699.7935103244838, 540.7002801120448, 1369.8986486486488, 1326.328125, 944.7540983606557, 705.4970760233919, 1769.2201834862385, 1655.071942446043, 5364.576271186441, 3922.5130890052355, 7087.901234567901, 4207.0, 6714.202898550725,
13, 1102.1376811594203, 1480.3846153846155, 681.9934640522875, 2474.5414847161574, 2340.3414634146343, 2176.2053571428573, 1584.1984732824428, 2331.5384615384614, 364.8837209302326, 293.5532994923858, 324.11622276029055, 345.8839050131926, 344.79695431472084, 302.421875, 279.8966408268734, 165.10268562401265, 274.8302872062663, 300.6442577030812, 1332.7230046948357, 2107.318181818182, 864.6153846153846, 1978.2478632478633, 371.62393162393164, 1054.258064516129, 917.8425655976677, 926.7371601208459, 600.819209039548, 1513.655172413793, 1510.1503759398497, 1560.2919708029196, 1001.6556291390729, 1494.468085106383, 1608.3216783216783, 5561.695906432748, 4106.436781609195, 7368.9375, 4219.885057471264, 6668.5,
14, 1020.1587301587301, 1338.3272727272727, 1013.0716723549488, 2649.1928251121076, 2538.2272727272725, 2239.317073170732, 1736.4822134387352, 2725.890410958904, 363.5338345864662, 309.7916666666667, 331.2562814070352, 396.1256544502618, 349.4601542416452, 324.42455242966753, 259.11227154047, 172.97939778129953, 290.40871934604905, 289.9145299145299, 1629.952606635071, 2212.511848341232, 1222.938596491228, 2363.03738317757, 366.2962962962963, 1234.5454545454545, 923.2258064516129, 867.7058823529412, 620.1662049861496, 1491.986531986532, 2085.64, 1881.2448132780082, 1154.0753424657535, 731.7134831460675, 1091.172638436482, 5646.0, 4182.202380952381, 7970.0, 4789.4375, 6868.652482269504,
15, 825.3721682847896, 1728.69918699187, 1049.859649122807, 2600.5855855855857, 2364.0178571428573, 2610.1492537313434, 2438.2300884955753, 2607.316017316017, 345.3956834532374, 308.0263157894737, 339.3654822335025, 345.63307493540054, 324.8854961832061, 290.0735294117647, 265.4973821989529, 187.45484400656815, 275.3370786516854, 287.4725274725275, 1184.5588235294117, 2386.2176165803107, 1547.345971563981, 2534.5853658536585, 358.25688073394497, 1437.7617328519855, 1457.142857142857, 1003.6253776435045, 812.9032258064516, 1850.4710144927535, 2518.302752293578, 1524.1825095057034, 1639.5454545454545, 638.0169971671388, 764.8203592814372, 5832.349397590361, 4211.511627906977, 8222.697368421053, 6090.287769784172, 7290.588235294118,
16, 1219.5940959409595, 1890.2714932126696, 1381.634241245136, 2798.6046511627906, 2683.8364779874214, 2544.5320197044334, 2582.232558139535, 2773.0697674418607, 313.8425925925926, 327.55263157894734, 347.7749360613811, 333.275, 335.45226130653265, 279.568345323741, 256.5263157894737, 193.99641577060933, 273.80434782608694, 287.23118279569894, 1958.0645161290322, 2673.224043715847, 1630.2577319587629, 2333.5377358490564, 470.7070707070707, 1458.804347826087, 1777.086330935252, 1614.9645390070923, 908.5106382978723, 2246.5637065637065, 2507.8661087866108, 1435.9139784946237, 1635.888888888889, 1054.7138047138046, 500.28011204481794, 5890.421686746988, 4459.212121212121, 8049.659863945578, 6444.671532846715, 7046.616541353384,
17, 1571.0526315789473, 2082.5, 1783.625, 2880.657276995305, 2817.8285714285716, 2752.6395939086296, 2693.6190476190477, 2613.883495145631, 334.2018779342723, 307.3936170212766, 318.08290155440415, 343.93401015228426, 315.4114713216958, 211.19180633147113, 242.34986945169712, 183.48294434470378, 287.59887005649716, 319.2204301075269, 2142.0481927710844, 2921.468926553672, 1908.994708994709, 2494.5, 708.4177215189874, 1895.056179775281, 1749.8161764705883, 1783.2962962962963, 1273.3779264214047, 2250.3474903474903, 2564.3333333333335, 1460.888888888889, 1551.841155234657, 1492.2568093385214, 903.738019169329, 6216.211180124224, 4730.875, 8356.388888888889, 6754.338235294118, 7306.136363636364,
18, 1659.7844827586207, 2505.45, 1688.4162895927602, 2801.376146788991, 2767.7272727272725, 2976.536312849162, 2726.321243523316, 2813.3168316831684, 308.37899543378995, 331.7789757412399, 319.3333333333333, 383.12820512820514, 342.40932642487047, 183.2200647249191, 222.3224043715847, 176.2316176470588, 280.58171745152356, 300.27777777777777, 2533.089005235602, 2936.497175141243, 2081.5135135135133, 2925.027932960894, 662.3369565217391, 2190.7171314741036, 1885.0, 1877.8927203065134, 1407.5432525951558, 2773.2217573221756, 2648.143459915612, 2080.3004291845496, 1516.984126984127, 1586.7729083665338, 1430.3597122302158, 6296.5, 4946.038961038961, 8935.684931506848, 6992.835820895522, 7551.925925925926,
19, 1683.3478260869565, 2701.7582417582416, 1681.2204724409448, 3037.675675675676, 2945.2127659574467, 2969.2105263157896, 2788.0193236714977, 2945.970873786408, 330.6088992974239, 330.62330623306235, 352.2281167108753, 361.83879093198993, 328.7886597938144, 175.77235772357724, 185.58823529411765, 187.5201612903226, 262.989417989418, 275.3488372093023, 2555.5263157894738, 3013.4939759036147, 2193.3333333333335, 3347.710843373494, 733.75, 2311.501976284585, 2101.785714285714, 1818.301886792453, 1500.1067615658362, 2729.0794979079496, 2896.8722466960353, 1255.590909090909, 1124.4333333333334, 1549.879518072289, 1435.812274368231, 6335.569620253164, 5778.057553956834, 8944.315068493152, 7501.007751937985, 8022.424242424242,
20, 1855.5760368663593, 2830.78125, 1758.091286307054, 3364.438775510204, 3046.358695652174, 3248.7096774193546, 2767.0616113744077, 3058.78640776699, 347.5118483412322, 329.91803278688525, 298.4575835475578, 353.69620253164555, 328.69674185463657, 179.48717948717947, 207.7325581395349, 180.91324200913243, 263.0890052356021, 303.586387434555, 2896.648936170213, 3256.7123287671234, 2440.505617977528, 3235.065789473684, 635.2631578947369, 2324.7244094488187, 2266.3636363636365, 2016.5250965250966, 1805.5384615384614, 2783.4177215189875, 2838.6936936936936, 512.1245421245421, 1486.4233576642337, 2142.217391304348, 2030.88, 6392.830188679245, 5722.198581560284, 9199.720279720279, 7647.76, 8586.72,
21, 2037.0697674418604, 2992.3030303030305, 2366.507177033493, 3156.893203883495, 2773.9901477832514, 3199.6111111111113, 3038.258706467662, 3060.24154589372, 313.60849056603774, 332.75401069518716, 324.9234693877551, 292.48210023866346, 333.56435643564356, 197.96511627906978, 205.7593123209169, 220.62222222222223, 258.0916030534351, 322.81167108753317, 2883.523316062176, 3209.884393063584, 2797.8571428571427, 3187.5977653631285, 683.0386740331492, 2670.2510460251046, 2383.0801687763715, 2351.5767634854774, 1944.1796875, 2921.5859030837005, 3046.747572815534, 1075.122950819672, 2004.344262295082, 2113.930131004367, 2099.3548387096776, 6414.331210191082, 6186.592592592592, 9213.472222222223, 7644.88, 8799.504132231405,
22, 2185.6650246305417, 3377.657142857143, 2627.401129943503, 3286.521739130435, 3216.476683937824, 3109.6373056994817, 3082.0873786407765, 3176.507177033493, 291.47121535181236, 350.13513513513516, 352.3697916666667, 297.74881516587675, 327.8072289156627, 221.8708240534521, 238.64864864864865, 210.1330376940133, 281.1458333333333, 346.47058823529414, 2843.1472081218276, 3247.348484848485, 3113.8853503184714, 3367.235294117647, 936.0714285714286, 2320.1612903225805, 2398.793103448276, 2404.564315352697, 1825.7735849056603, 3314.6478873239435, 2932.512315270936, 1946.6028708133972, 2083.8260869565215, 2178.59649122807, 2317.520325203252, 6650.258064516129, 6797.380952380952, 9253.958333333334, 8184.214876033057, 8660.569105691056,
23, 2262.3333333333335, 3232.303370786517, 2695.78125, 3114.840425531915, 3078.842105263158, 3540.273224043716, 3139.950248756219, 3305.0785340314137, 208.83248730964468, 323.6939313984169, 408.60215053763443, 310.49295774647885, 360.8816120906801, 201.0561797752809, 222.10843373493975, 262.0902612826603, 279.5, 325.3580901856764, 2914.232804232804, 3366.8518518518517, 3027.5862068965516, 3620.55900621118, 950.3636363636364, 2563.189655172414, 2684.343891402715, 2396.0084033613443, 1763.2567049808429, 3146.986301369863, 3188.826530612245, 2594.6428571428573, 1808.73417721519, 2188.5087719298244, 2647.5416666666665, 6742.774193548387, 6940.887096774193, 9474.82269503546, 8610.833333333334, 8395.905511811023,
