iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 410.64935064935065, 400.43290043290045, 404.1921397379913, 359.14163090128756, 368.9956331877729, 376.7543859649123, 347.77292576419217, 388.19383259911893, 368.3898305084746, 380.2608695652174, 348.8235294117647, 412.35555555555555, 392.5438596491228, 375.27896995708153, 388.73362445414847, 383.20346320346323, 426.1946902654867, 384.7826086956522, 442.09606986899564, 373.49794238683126, 431.30434782608694, 413.3050847457627, 447.1304347826087, 407.9148936170213, 417.4561403508772, 411.1894273127753, 404.0692640692641, 417.9372197309417, 415.4867256637168, 390.9704641350211, 401.98275862068965, 404.17021276595744, 444.26666666666665, 287.5313807531381, 295.26970954356847, 290.9836065573771, 309.004329004329, 346.86695278969955,
2, 390.80168776371306, 496.4102564102564, 382.1276595744681, 412.42798353909467, 401.89300411522635, 383.9840637450199, 386.9879518072289, 402.0576131687243, 458.8841201716738, 438.728813559322, 382.880658436214, 414.0163934426229, 432.1161825726141, 437.25, 436.4655172413793, 456.0483870967742, 464.0506329113924, 456.11336032388664, 654.0350877192982, 634.1071428571429, 662.4434389140272, 685.1785714285714, 729.7247706422019, 459.75206611570246, 446.8085106382979, 461.6666666666667, 417.9591836734694, 488.25531914893617, 725.0943396226415, 780.9569377990431, 687.5925925925926, 621.8884120171674, 632.9464285714286, 420.3252032520325, 499.75, 240.87649402390437, 405.609756097561, 421.93277310924367,
3, 726.9724770642201, 649.2241379310345, 482.33644859813086, 292.6605504587156, 372.991452991453, 334.7136563876652, 359.51020408163265, 359.23728813559325, 474.672131147541, 405.1219512195122, 428.06584362139915, 412.1285140562249, 393.359375, 607.0292887029289, 550.4035874439462, 626.695278969957, 552.8270042194093, 627.7056277056278, 1168.4375, 988.1159420289855, 1095.228426395939, 1049.6907216494844, 1207.157894736842, 724.6222222222223, 726.7567567567568, 764.2592592592592, 694.025974025974, 710.8597285067873, 946.1224489795918, 960.4950495049505, 1038.274111675127, 979.3170731707318, 873.3333333333334, 741.1715481171548, 873.7614678899082, 537.7118644067797, 854.027149321267, 941.1267605633802,
4, 684.4976076555024, 794.3809523809524, 797.0334928229665, 307.5206611570248, 331.3392857142857, 370.3703703703704, 375.86497890295357, 337.96610169491527, 572.0, 565.5021834061135, 547.2727272727273, 525.0643776824035, 577.7292576419214, 710.6912442396314, 794.1509433962265, 757.5961538461538, 792.258064516129, 678.046511627907, 862.2330097087379, 858.8235294117648, 789.3457943925233, 753.5514018691589, 897.2413793103449, 615.1304347826087, 589.9159663865546, 705.972850678733, 653.2188841201717, 633.5344827586207, 931.7703349282297, 929.2307692307693, 852.8155339805825, 821.9704433497537, 868.7203791469194, 1131.5238095238096, 1272.340425531915, 828.0717488789238, 1330.5759162303666, 1218.3333333333333,
5, 578.9285714285714, 596.7741935483871, 507.0642201834862, 269.64912280701753, 429.73214285714283, 353.7037037037037, 337.8813559322034, 204.6031746031746, 352.78008298755185, 277.7685950413223, 398.9873417721519, 268.3261802575107, 289.11290322580646, 549.4642857142857, 819.6190476190476, 686.2672811059908, 750.6532663316583, 623.768115942029, 393.15315315315314, 329.07563025210084, 356.3265306122449, 387.35537190082647, 357.9253112033195, 341.68, 286.56370656370655, 323.5146443514644, 341.1023622047244, 326.17760617760615, 360.4878048780488, 430.63291139240505, 287.06349206349205, 366.55737704918033, 510.5128205128205, 2759.2156862745096, 3562.4074074074074, 1071.047619047619, 2533.7974683544303, 2461.032258064516,
6, 697.8604651162791, 744.5771144278607, 614.3396226415094, 381.45922746781116, 461.991341991342, 408.92857142857144, 344.79338842975204, 354.5, 372.78008298755185, 378.53061224489795, 353.6290322580645, 307.4074074074074, 347.22222222222223, 852.1327014218009, 942.7053140096618, 845.3333333333334, 788.6567164179105, 821.8867924528302, 423.8333333333333, 321.5079365079365, 382.97520661157023, 416.4102564102564, 281.796875, 404.8412698412698, 385.68, 439.5798319327731, 370.7883817427386, 347.14285714285717, 418.06722689075633, 323.87351778656125, 292.24, 375.57377049180326, 391.3807531380753, 3459.4202898550725, 3305.6666666666665, 2593.8853503184714, 3365.8156028368794, 3882.1374045801526,
7, 714.7222222222222, 938.2, 540.7407407407408, 605.5752212389381, 532.1461187214612, 480.8256880733945, 445.2991452991453, 457.6991150442478, 613.0088495575221, 522.4242424242424, 493.4166666666667, 474.91379310344826, 619.0783410138249, 932.3300970873786, 1140.5154639175257, 825.1162790697674, 1038.7628865979382, 1115.3846153846155, 502.54545454545456, 333.07086614173227, 418.135593220339, 477.280701754386, 366.07287449392715, 426.4978902953587, 485.12605042016804, 558.1818181818181, 427.5833333333333, 460.08474576271186, 540.0913242009133, 434.87394957983196, 360.7258064516129, 352.42798353909467, 391.52542372881356, 3831.176470588235, 3800.3174603174602, 3246.7123287671234, 3807.1111111111113, 4202.480620155039,
8, 885.8128078817734, 994.3, 546.2831858407079, 787.1153846153846, 776.0386473429952, 562.152466367713, 485.45454545454544, 505.7264957264957, 836.4651162790698, 610.6666666666666, 679.7333333333333, 759.5283018867924, 850.2857142857143, 999.6059113300493, 1128.5714285714287, 967.9802955665025, 1067.6767676767677, 962.6086956521739, 433.94190871369295, 388.03212851405624, 543.1718061674009, 479.48497854077254, 363.22314049586777, 516.5217391304348, 566.4888888888889, 677.2727272727273, 621.0666666666667, 594.2727272727273, 400.2510460251046, 540.0858369098712, 362.520325203252, 419.4117647058824, 421.9491525423729, 4471.52, 4021.3953488372094, 3772.205882352941, 4641.311475409836, 5337.857142857143,
9, 1018.4771573604061, 1264.8128342245989, 549.3103448275862, 1124.7368421052631, 1305.3260869565217, 612.1461187214612, 492.3404255319149, 634.6976744186046, 933.1428571428571, 863.1219512195122, 998.1909547738693, 958.6206896551724, 970.6796116504854, 993.6363636363636, 1090.1492537313434, 1014.9514563106796, 1070.341463414634, 1169.8461538461538, 600.3603603603603, 446.0425531914894, 511.93277310924367, 389.2173913043478, 403.1939163498099, 849.5049504950495, 730.373831775701, 948.2828282828283, 847.156862745098, 897.9904306220096, 395.54655870445345, 671.8672199170124, 287.64478764478764, 505.11210762331837, 435.79831932773106, 5379.469026548672, 4817.4789915966385, 4546.4, 5110.3448275862065, 5781.308411214954,
10, 1283.6363636363637, 1619.1616766467066, 747.5, 1382.2826086956522, 1768.2424242424242, 802.8708133971292, 706.2100456621005, 782.1052631578947, 1226.0824742268042, 1231.5897435897436, 1330.6806282722514, 1201.111111111111, 1183.1155778894472, 1040.8, 1169.238578680203, 1180.5154639175257, 1184.4559585492227, 1085.3731343283582, 799.5433789954338, 459.43548387096774, 619.3721973094171, 452.18884120171674, 553.2793522267207, 1227.461139896373, 1195.5555555555557, 1237.2972972972973, 1546.4285714285713, 1279.0673575129533, 570.3896103896104, 1006.4253393665158, 371.14624505928856, 474.3333333333333, 610.0869565217391, 6031.509433962264, 5141.565217391304, 5004.873949579832, 6201.165048543689, 6582.4,
11, 1534.4, 1804.0963855421687, 993.4653465346535, 2197.735849056604, 2139.746835443038, 974.3689320388349, 954.7826086956521, 1236.7021276595744, 1369.6808510638298, 1515.3846153846155, 1509.3548387096773, 1575.2222222222222, 1510.108695652174, 1075.7635467980297, 1202.828282828283, 1081.1650485436894, 1242.2916666666667, 1168.6734693877552, 939.2558139534884, 703.4188034188035, 990.5314009661836, 673.9814814814815, 625.2173913043479, 1656.2790697674418, 1440.3314917127072, 1780.6024096385543, 2018.6335403726707, 1696.8235294117646, 720.5217391304348, 1572.063492063492, 715.5855855855856, 670.3964757709251, 620.4273504273505, 6508.73786407767, 5777.798165137615, 5788.181818181818, 6223.461538461538, 6745.050505050505,
12, 1839.0184049079755, 1616.8181818181818, 1005.7560975609756, 2687.671232876712, 2445.562913907285, 1543.8202247191011, 1462.054054054054, 2241.146496815287, 1500.5347593582887, 1686.242774566474, 1930.414201183432, 1826.3157894736842, 1837.4566473988439, 1192.3711340206185, 1283.1088082901554, 1229.128205128205, 1152.7638190954774, 1116.3819095477386, 1000.6392694063927, 909.4930875576036, 1482.7173913043478, 851.7535545023696, 863.4061135371179, 2155.897435897436, 1805.939393939394, 1948.7951807228915, 2470.9210526315787, 1952.1686746987953, 782.4137931034483, 1900.561797752809, 1343.248730964467, 892.9680365296804, 717.787610619469, 6765.252525252526, 6779.595959595959, 6333.333333333333, 6327.884615384615, 7604.130434782609,
13, 1915.3293413173653, 1892.2424242424242, 1138.8059701492537, 2903.076923076923, 3253.1386861313867, 1991.219512195122, 1991.2883435582821, 2625.3424657534247, 1861.860465116279, 2055.0920245398775, 2231.4285714285716, 1924.4705882352941, 2216.8098159509204, 1138.0904522613066, 1205.3731343283582, 1158.019801980198, 1323.5978835978835, 1308.4816753926702, 1161.4563106796118, 1022.6046511627907, 1658.0434782608695, 1376.7195767195767, 934.3636363636364, 2600.2721088435374, 2008.0, 2250.3797468354433, 2705.753424657534, 2480.0, 979.0950226244344, 1999.0697674418604, 1666.7403314917126, 1191.9417475728155, 776.2831858407079, 8270.454545454546, 7878.0, 6823.4, 7834.782608695652, 8839.036144578313,
14, 2111.125, 2222.420382165605, 1179.004975124378, 3103.0, 3907.8740157480315, 2318.5897435897436, 2264.458598726115, 2711.3888888888887, 1970.5325443786983, 2426.274509803922, 2211.3207547169814, 2096.6863905325445, 2505.064935064935, 1274.4791666666667, 1372.1739130434783, 1247.51269035533, 1173.7313432835822, 1334.8148148148148, 1149.4117647058824, 1056.1137440758293, 2203.6585365853657, 1381.340206185567, 1110.9615384615386, 2769.3055555555557, 2362.5165562913908, 2844.6153846153848, 2807.9166666666665, 2391.5384615384614, 1010.9677419354839, 2366.9182389937105, 2017.6047904191616, 1527.2727272727273, 813.8461538461538, 8795.0, 8330.574712643678, 7013.4, 8754.35294117647, 9321.707317073171,
