iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 217.8391959798995, 225.4364089775561, 213.8676844783715, 204.48877805486285, 193.01745635910225, 195.8227848101266, 186.10421836228286, 183.3743842364532, 201.8796992481203, 206.0759493670886, 187.65743073047858, 176.84729064039408, 176.7156862745098, 184.43627450980392, 195.30456852791878, 195.8852867830424, 204.23940149625935, 195.53349875930522, 197.75, 202.13032581453635, 200.6265664160401, 214.35768261964736, 196.69211195928753, 188.93034825870646, 184.93827160493828, 196.44670050761422, 197.99498746867167, 203.11720698254365, 191.0, 201.24378109452735, 180.0251256281407, 195.76059850374065, 77.76595744680851, 84.25357873210633, 126.33587786259542, 115.0, 134.74576271186442,
2, 213.1578947368421, 236.0759493670886, 209.59595959595958, 190.0497512437811, 190.8641975308642, 181.8181818181818, 209.17085427135677, 184.65346534653466, 159.70149253731344, 204.53400503778337, 168.87019230769232, 197.51243781094527, 205.88235294117646, 199.26289926289925, 180.51470588235293, 192.38329238329237, 201.25, 158.94117647058823, 191.19897959183675, 178.18627450980392, 168.61575178997614, 179.05569007263924, 209.35897435897436, 186.08247422680412, 213.75, 165.95238095238096, 188.79310344827587, 168.42105263157896, 194.8780487804878, 183.7708830548926, 179.87951807228916, 167.97619047619048, 177.68817204301075, 128.33333333333334, 185.63685636856368, 75.38022813688212, 164.54545454545453,
3, 168.38235294117646, 188.3838383838384, 136.50442477876106, 122.04899777282851, 155.10204081632654, 127.17622080679405, 124.62039045553145, 135.0356294536817, 136.53366583541148, 147.91666666666666, 137.52913752913753, 151.64556962025316, 163.92857142857142, 173.53658536585365, 158.8095238095238, 170.6855791962175, 153.20665083135393, 116.83991683991684, 131.0752688172043, 129.52586206896552, 111.14519427402863, 131.25, 173.21867321867322, 178.21522309711287, 186.72086720867208, 146.81603773584905, 156.4516129032258, 96.1839530332681, 132.7922077922078, 143.7078651685393, 116.18942731277534, 125.4601226993865, 196.43799472295515, 147.57085020242914, 195.0261780104712, 139.77011494252875, 262.64204545454544,
4, 89.71291866028709, 117.09844559585493, 99.79035639412997, 99.6774193548387, 100.94142259414225, 90.43010752688173, 86.14718614718615, 95.28301886792453, 80.16241299303944, 118.18181818181819, 87.35498839907193, 93.65853658536585, 112.09302325581395, 115.33018867924528, 126.23529411764706, 116.97674418604652, 112.41457858769931, 88.59060402684564, 85.72938689217759, 99.08045977011494, 80.17241379310344, 101.65562913907284, 168.70026525198938, 127.08333333333333, 141.78272980501393, 126.69902912621359, 108.78552971576228, 63.10782241014799, 59.8605577689243, 74.01247401247402, 59.65447154471545, 62.21995926680244, 186.53846153846155, 314.3487858719647, 222.16358839050133, 241.66666666666666, 286.5606936416185,
5, 60.11494252873563, 72.16867469879519, 72.85067873303167, 77.29357798165138, 58.671171171171174, 83.29519450800915, 60.430839002267575, 35.578947368421055, 40.990990990990994, 41.83673469387755, 40.60475161987041, 46.60087719298246, 75.70093457943925, 94.24460431654676, 89.69194312796209, 91.19718309859155, 102.20417633410673, 64.7196261682243, 70.48997772828508, 55.90909090909091, 73.36244541484716, 43.51230425055928, 105.03978779840848, 86.91709844559585, 116.4819944598338, 82.45192307692308, 72.85714285714286, 91.32124352331606, 83.20987654320987, 86.5482233502538, 78.08564231738035, 65.21739130434783, 243.44919786096256, 337.84355179704016, 239.501312335958, 278.125, 357.10306406685237,
6, 51.25, 52.92056074766355, 79.55607476635514, 67.41706161137441, 72.11538461538461, 79.07542579075425, 64.56876456876456, 45.770065075921906, 32.937365010799134, 36.84782608695652, 38.19599109131403, 42.53897550111358, 97.89603960396039, 90.25641025641026, 94.28571428571429, 87.37623762376238, 105.12820512820512, 112.40601503759399, 123.31670822942644, 93.01204819277109, 92.7710843373494, 84.9009900990099, 92.17506631299734, 95.35519125683061, 114.02777777777777, 84.46115288220551, 89.45945945945945, 103.42105263157895, 97.16981132075472, 120.99236641221374, 99.29378531073446, 101.44736842105263, 350.13774104683193, 328.372591006424, 247.69647696476966, 321.1796246648794, 359.94962216624685,
7, 39.39732142857143, 62.94536817102138, 76.23529411764706, 70.80378250591016, 97.58454106280193, 102.33415233415234, 85.35108958837772, 44.37229437229437, 40.54347826086956, 36.486486486486484, 42.58474576271186, 44.28251121076233, 123.62204724409449, 94.31818181818181, 104.73300970873787, 91.75392670157068, 98.95104895104895, 126.6304347826087, 137.53462603878117, 115.5440414507772, 145.78804347826087, 128.99484536082474, 124.79564032697547, 77.79291553133515, 124.04371584699453, 80.43478260869566, 71.25, 104.97237569060773, 111.93820224719101, 113.90374331550802, 103.14285714285714, 107.92207792207792, 365.6164383561644, 386.3333333333333, 278.4931506849315, 302.25563909774434, 377.44063324538257,
8, 53.200883002207505, 69.0909090909091, 82.5, 97.9064039408867, 68.85441527446301, 106.70103092783505, 78.27669902912622, 43.87308533916849, 55.56745182012848, 46.69603524229075, 54.25764192139738, 42.69911504424779, 110.07281553398059, 94.56521739130434, 99.1686460807601, 106.65859564164649, 111.95899772209567, 123.93162393162393, 154.80225988700565, 116.75062972292191, 152.20385674931129, 136.11111111111111, 165.50802139037432, 114.24581005586592, 140.3899721448468, 79.35779816513761, 68.24146981627297, 114.1304347826087, 124.72826086956522, 132.10227272727272, 108.37912087912088, 125.76142131979695, 405.241935483871, 418.0952380952381, 273.9024390243902, 370.17543859649123, 360.3359173126615,
9, 75.45871559633028, 79.43107221006565, 99.23857868020305, 110.5, 90.78624078624078, 111.09693877551021, 96.34146341463415, 48.24175824175824, 55.64159292035398, 58.081896551724135, 51.71306209850107, 54.54545454545455, 98.00884955752213, 103.39578454332553, 120.3962703962704, 107.56501182033097, 118.04932735426009, 151.1627906976744, 154.6218487394958, 131.92612137203167, 169.43661971830986, 155.88235294117646, 158.46354166666666, 122.77628032345014, 139.00523560209425, 84.1541755888651, 66.21621621621621, 110.80332409972299, 119.140625, 150.0, 111.12637362637362, 155.5256064690027, 345.87628865979383, 478.5365853658537, 281.6666666666667, 436.9458128078818, 416.57754010695186,
