iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 676.5060240963855, 520.720823798627, 549.5575221238938, 458.65248226950354, 617.5454545454545, 677.6511627906976, 553.360655737705, 685.4157303370787, 633.7206572769953, 578.2517482517483, 620.2962962962963, 588.552036199095, 552.6321839080459, 469.7877358490566, 550.8675799086758, 455.02392344497605, 540.952380952381, 551.0044642857143, 858.698296836983, 698.8925438596491, 763.0952380952381, 643.7706855791962, 712.122969837587, 565.1494252873563, 653.6609071274298, 559.8474178403756, 702.3515439429929, 545.6885593220339, 794.4211822660099, 689.5217391304348, 736.3926940639269, 934.5733333333334, 832.5678733031674, 1061.9724770642201, 137.5635593220339, 364.36893203883494, 328.62068965517244, 1370.3960396039604,
2, 716.5271966527197, 948.8867924528302, 693.2287822878229, 1190.2125, 1360.775, 563.9177489177489, 1029.7654320987654, 1400.121359223301, 743.6151960784314, 795.4022988505748, 923.8305489260143, 910.2977667493797, 690.958230958231, 1454.7892271662763, 1578.2127192982457, 576.6111111111111, 1289.4909502262444, 930.8659217877095, 1415.3738317757009, 1235.5784061696659, 1869.1898734177216, 1998.2177033492824, 1580.5675675675675, 1347.2544080604534, 945.7175925925926, 1214.7916666666667, 1613.0695443645084, 1427.9404466501242, 430.36649214659684, 436.08294930875576, 367.5414364640884, 409.7535211267606, 1005.6395348837209, 3078.4732824427483, 1352.5, 2947.3645320197043, 3227.9140127388537, 3769.710144927536,
3, 1241.357142857143, 2345.059523809524, 1695.4314720812183, 2440.2335164835163, 2121.4772727272725, 2446.6393442622953, 2488.6178861788617, 2025.7180156657964, 1711.3936170212767, 1072.354124748491, 1756.972860125261, 1289.6467991169977, 1235.1781970649895, 1997.3252688172042, 1855.0416666666667, 406.02777777777777, 1907.8103837471783, 2020.4154727793696, 2276.4933333333333, 2318.761574074074, 2478.978978978979, 2427.151335311573, 2327.2413793103447, 2191.2583518930956, 1926.6142557651992, 1891.5756302521008, 2253.0751708428247, 2337.569892473118, 304.36619718309856, 239.90506329113924, 856.8589743589744, 574.2424242424242, 877.4594594594595, 3746.035856573705, 3052.05035971223, 6666.631578947368, 4651.023809523809, 4167.242990654206,
4, 534.6538461538462, 619.1089108910891, 752.7105263157895, 3185.026595744681, 3043.3060109289618, 2518.343023255814, 2657.22602739726, 3060.072463768116, 2824.0060240963853, 2454.6349557522126, 2690.023419203747, 2597.355769230769, 2379.3969298245615, 1946.2303664921467, 1024.1322314049587, 370.8988764044944, 759.9806201550388, 2494.4214876033056, 2083.793103448276, 2170.7950530035337, 2137.136563876652, 2404.266666666667, 2218.9080459770116, 2801.2894736842104, 2725.441919191919, 2613.9285714285716, 2919.26582278481, 2813.083756345178, 1132.9651162790697, 1133.2544378698226, 1880.0211864406779, 2232.773279352227, 1561.1224489795918, 7042.631578947368, 3728.4242424242425, 6664.32, 6633.9655172413795, 5304.0878378378375,
5, 361.13861386138615, 149.11214953271028, 108.40336134453781, 3244.5833333333335, 3529.9056603773583, 3182.246376811594, 3250.0, 3364.230769230769, 3092.9974811083125, 3098.344262295082, 2830.714285714286, 3099.601593625498, 2902.121212121212, 373.0508474576271, 802.7397260273973, 1714.2095588235295, 471.54901960784315, 2252.132075471698, 897.063492063492, 597.7027027027027, 330.6730769230769, 1684.7307692307693, 1461.5555555555557, 3010.899470899471, 2995.4591836734694, 2840.4117647058824, 2975.1104972375692, 2965.3365384615386, 1836.4150943396226, 256.71232876712327, 337.20238095238096, 2312.0, 1896.1194029850747, 4961.39705882353, 7097.5, 8378.75, 9394.095744680852, 9933.026315789473,
6, 169.17391304347825, 88.51351351351352, 111.83035714285714, 3463.936170212766, 3287.0, 3251.4583333333335, 3268.061224489796, 3915.6481481481483, 3068.496240601504, 3135.0219298245615, 3476.375968992248, 2969.25, 3074.2792792792793, 594.4039735099337, 421.42857142857144, 1349.3902439024391, 436.04477611940297, 2001.5737051792828, 701.858407079646, 250.05747126436782, 512.6315789473684, 2431.3758389261743, 1304.4551282051282, 2671.8, 3160.1941747572814, 2893.4951456310678, 2671.497005988024, 2968.834196891192, 1933.271028037383, 1576.4492753623188, 460.35353535353534, 2725.942028985507, 1457.1641791044776, 9624.134615384615, 7200.3125, 9697.5, 10179.308510638299, 7490.245901639344,
7, 324.0860215053763, 42.605633802816904, 70.8433734939759, 3478.478260869565, 3738.235294117647, 3310.8653846153848, 3142.9411764705883, 6166.458333333333, 2782.5524475524476, 3111.0, 3168.713768115942, 3028.5377358490564, 2836.78391959799, 780.2777777777778, 724.375, 1978.5, 389.7241379310345, 1150.6201550387598, 578.1018518518518, 542.536231884058, 1039.095238095238, 2659.433962264151, 625.9469696969697, 2582.2413793103447, 2288.051948051948, 2534.794520547945, 1913.4529147982062, 2769.1353383458645, 1416.7032967032967, 2223.5064935064934, 1011.0952380952381, 2762.2950819672133, 1656.2080536912752, 12269.625850340137, 8613.369565217392, 9707.456140350878, 11407.666666666666, 8282.18085106383,
8, 61.03658536585366, 338.8524590163934, 171.875, 5054.6551724137935, 4913.89705882353, 4373.125, 3409.4897959183672, 7186.039603960396, 2664.2746113989638, 2714.673076923077, 1671.4646464646464, 2785.0904977375567, 2860.5963302752293, 341.6412213740458, 1292.121212121212, 2889.223602484472, 234.33673469387756, 932.5735294117648, 1973.4782608695652, 1293.1746031746031, 1609.5263157894738, 2708.5643564356437, 1945.7558139534883, 4298.458333333333, 2920.074074074074, 2607.196261682243, 2675.4504504504503, 3220.0, 1907.6063829787233, 2350.6962025316457, 2456.9736842105262, 2773.189655172414, 2160.9126984126983, 12882.823129251701, 9886.279069767443, 10057.169811320755, 12207.561728395061, 10220.411764705883,
9, 946.1643835616438, 433.0769230769231, 31.557377049180328, 5803.116883116883, 5577.764705882353, 4503.793103448276, 4496.428571428572, 7470.517241379311, 2800.801282051282, 2871.2195121951218, 2432.7412280701756, 2727.09595959596, 2849.9015748031497, 1352.5714285714287, 1470.0, 3174.462365591398, 2027.109375, 2156.9776119402986, 2577.4375, 2596.5254237288136, 2631.5833333333335, 2722.9444444444443, 2657.6582278481014, 3496.2179487179487, 4276.793893129771, 3117.4175824175823, 3181.801801801802, 2200.709219858156, 2566.2, 2364.7916666666665, 2680.6666666666665, 2668.366336633663, 2905.0613496932515, 12526.333333333334, 8164.571428571428, 12278.218390804597, 13415.608695652174, 12227.105263157895,
