iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, -9.72, -9.866666666666667, -9.386666666666667, -10.026666666666667, -10.783783783783784, -9.986666666666666, -10.386666666666667, -10.256756756756756, -10.2, -10.31081081081081, -9.945945945945946, -9.986666666666666, -9.586666666666666, -10.16, -10.64864864864865, -9.573333333333334, -10.44, -10.85135135135135, -9.95945945945946, -10.635135135135135, -9.48, -9.866666666666667, -10.16, -9.893333333333333, -9.554054054054054, -8.763157894736842, -9.72, -9.413333333333334, -10.213333333333333, -9.813333333333333, -9.746666666666666, -10.453333333333333, -10.986486486486486, -11.905405405405405, -10.905405405405405, -12.0,
2, -11.876712328767123, -11.5, -11.797297297297296, -11.986301369863014, -11.68918918918919, -11.95890410958904, -11.972602739726028, -11.905405405405405, -11.121621621621621, -12.67123287671233, -12.364864864864865, -11.175675675675675, -11.135135135135135, -11.63013698630137, -11.287671232876713, -11.202702702702704, -13.833333333333334, -13.444444444444445, -13.11111111111111, -13.625, -13.944444444444445, -10.797297297297296, -11.108108108108109, -10.391891891891891, -12.547945205479452, -10.0, -13.63888888888889, -13.402777777777779, -13.416666666666666, -13.875, -13.277777777777779, -11.013333333333334, -11.108108108108109, -10.824324324324325, -10.986486486486486, -10.662162162162161,
3, -14.305555555555555, -13.493150684931507, -13.054794520547945, -13.191780821917808, -13.67123287671233, -12.547945205479452, -13.444444444444445, -13.643835616438356, -14.0, -13.698630136986301, -13.986301369863014, -13.194444444444445, -12.256756756756756, -13.73611111111111, -13.575342465753424, -12.944444444444445, -13.166666666666666, -13.972222222222221, -14.319444444444445, -13.777777777777779, -13.178082191780822, -14.708333333333334, -13.61111111111111, -12.479452054794521, -14.732394366197184, -12.191780821917808, -11.753424657534246, -13.38888888888889, -12.405405405405405, -12.712328767123287, -12.625, -10.864864864864865, -9.666666666666666, -11.297297297297296, -11.698630136986301, -11.356164383561644,
4, -17.1, -15.126760563380282, -15.625, -15.208333333333334, -14.652777777777779, -15.26388888888889, -15.605633802816902, -15.73611111111111, -15.591549295774648, -15.194444444444445, -15.125, -15.23943661971831, -14.23611111111111, -15.152777777777779, -13.986301369863014, -15.472222222222221, -11.662162162162161, -10.662162162162161, -12.405405405405405, -12.232876712328768, -11.527027027027026, -16.771428571428572, -16.642857142857142, -15.450704225352112, -16.52857142857143, -16.271428571428572, -13.63013698630137, -14.774647887323944, -13.847222222222221, -14.041666666666666, -14.347222222222221, -10.391891891891891, -8.93421052631579, -9.626666666666667, -9.56578947368421, -10.92,
5, -17.957142857142856, -15.845070422535212, -15.67605633802817, -16.253521126760564, -16.211267605633804, -16.070422535211268, -15.5, -16.055555555555557, -14.295774647887324, -15.788732394366198, -15.732394366197184, -16.535211267605632, -15.535211267605634, -16.08450704225352, -14.86111111111111, -14.972222222222221, -13.069444444444445, -12.635135135135135, -11.972972972972974, -13.095890410958905, -13.273972602739725, -14.916666666666666, -15.23611111111111, -15.887323943661972, -15.492957746478874, -16.704225352112676, -13.774647887323944, -14.126760563380282, -10.514705882352942, -12.98611111111111, -14.154929577464788, -9.56, -6.32051282051282, -9.32, -6.792207792207792, -9.64864864864865,
6, -15.28169014084507, -16.267605633802816, -17.35211267605634, -16.02777777777778, -16.112676056338028, -16.183098591549296, -13.333333333333334, -13.597222222222221, -13.028169014084508, -13.902777777777779, -13.23943661971831, -15.63888888888889, -16.25, -15.04225352112676, -14.25, -14.666666666666666, -12.513513513513514, -14.041666666666666, -11.72972972972973, -13.123287671232877, -13.972222222222221, -11.383561643835616, -10.680555555555555, -14.464788732394366, -11.756756756756756, -13.86111111111111, -12.416666666666666, -14.347222222222221, -15.549295774647888, -13.930555555555555, -13.541666666666666, -9.31578947368421, -6.012820512820513, -8.671052631578947, -8.727272727272727, -6.259740259740259,
7, -14.166666666666666, -16.098591549295776, -15.98611111111111, -15.068493150684931, -16.112676056338028, -15.267605633802816, -12.48611111111111, -13.01388888888889, -11.438356164383562, -13.647887323943662, -12.26388888888889, -15.416666666666666, -14.61111111111111, -15.069444444444445, -14.194444444444445, -14.26027397260274, -12.069444444444445, -14.083333333333334, -11.567567567567568, -13.5, -12.208333333333334, -11.18918918918919, -9.675675675675675, -12.876712328767123, -11.054054054054054, -10.89041095890411, -13.140845070422536, -14.01388888888889, -14.375, -13.191780821917808, -12.931506849315069, -8.428571428571429, -6.5064935064935066, -6.32051282051282, -8.025974025974026, -4.846153846153846,
8, -12.95890410958904, -16.09722222222222, -15.930555555555555, -15.76056338028169, -15.472222222222221, -15.472222222222221, -13.941176470588236, -13.271428571428572, -12.194444444444445, -14.985507246376812, -13.071428571428571, -13.777777777777779, -15.416666666666666, -14.194444444444445, -14.661971830985916, -14.930555555555555, -12.23943661971831, -12.287671232876713, -10.36986301369863, -12.41095890410959, -10.75, -11.547945205479452, -10.613333333333333, -12.67123287671233, -11.32, -11.287671232876713, -10.58904109589041, -11.753424657534246, -11.216216216216216, -11.266666666666667, -12.575342465753424, -5.949367088607595, -5.090909090909091, -5.445783132530121, -5.558441558441558, -7.551282051282051,
9, -11.135135135135135, -15.458333333333334, -16.253521126760564, -15.732394366197184, -15.458333333333334, -15.333333333333334, -14.602941176470589, -13.173913043478262, -12.371428571428572, -13.352112676056338, -14.17142857142857, -14.75, -15.04225352112676, -14.63888888888889, -14.273972602739725, -14.208333333333334, -11.219178082191782, -10.86111111111111, -9.84, -13.930555555555555, -11.305555555555555, -12.567567567567568, -11.54054054054054, -12.547945205479452, -10.405405405405405, -11.246575342465754, -9.726027397260275, -11.506849315068493, -9.675675675675675, -9.175675675675675, -9.906666666666666, -5.291139240506329, -3.8205128205128207, -3.7560975609756095, -3.935064935064935, -5.662337662337662,
