iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 27.689243027888445, 26.534653465346533, 32.306163021868784, 26.58102766798419, 28.9, 29.58167330677291, 29.067460317460316, 32.66129032258065, 29.5, 25.0499001996008, 27.38095238095238, 32.53012048192771, 28.942115768463072, 32.142857142857146, 25.197628458498023, 26.534653465346533, 27.09163346613546, 28.44311377245509, 32.93172690763052, 27.84431137724551, 31.2375249500998, 31.349206349206348, 29.2, 28.685258964143426, 22.115384615384617, 27.99607072691552, 20.525291828793776, 38.13387423935091, 34.02777777777778, 28.58565737051793, 26.54075546719682, 30.985915492957748, 33.43434343434343, 60.107816711590296, 67.37012987012987, 52.868852459016395, 57.544378698224854, 69.59876543209876,
2, 38.265306122448976, 38.477366255144034, 36.99186991869919, 43.135245901639344, 38.775510204081634, 36.49484536082474, 44.57202505219207, 39.9789029535865, 41.358024691358025, 40.970873786407765, 38.855421686746986, 49.688149688149686, 34.332688588007734, 39.91853360488798, 39.463220675944335, 41.3, 36.2, 37.24696356275304, 39.315352697095435, 46.88796680497925, 43.63817097415507, 42.33870967741935, 42.244897959183675, 35.87174348697395, 32.436974789915965, 36.507936507936506, 35.38732394366197, 43.99585921325052, 44.36008676789588, 43.926247288503255, 44.62719298245614, 41.55982905982906, 48.4304932735426, 164.8148148148148, 146.875, 202.4390243902439, 218.45637583892616, 217.59259259259258,
3, 48.87892376681614, 51.97215777262181, 48.775055679287306, 51.196172248803826, 52.46305418719212, 53.53658536585366, 59.07960199004975, 56.54320987654321, 46.62447257383966, 48.14049586776859, 47.97441364605544, 49.054621848739494, 47.325102880658434, 46.21052631578947, 46.30801687763713, 47.18162839248434, 43.655913978494624, 48.056155507559396, 59.51776649746193, 64.43569553805774, 58.72235872235872, 59.79899497487437, 61.48825065274151, 39.957264957264954, 34.75609756097561, 38.49372384937239, 32.40556660039761, 46.276595744680854, 55.118110236220474, 59.46666666666667, 55.18617021276596, 57.23514211886305, 61.885245901639344, 364.0, 301.8987341772152, 460.5633802816901, 474.468085106383, 461.5131578947368,
4, 56.9364161849711, 72.22222222222223, 58.8235294117647, 112.17948717948718, 88.13559322033899, 85.546875, 93.4, 95.1171875, 37.15596330275229, 41.08796296296296, 37.701149425287355, 42.325581395348834, 39.86486486486486, 49.40758293838863, 50.46948356807512, 50.0, 50.59101654846336, 48.25174825174825, 66.60958904109589, 78.62453531598513, 78.02197802197803, 101.47058823529412, 70.8029197080292, 45.67307692307692, 37.66375545851528, 44.874715261959, 45.32293986636971, 47.83132530120482, 55.60747663551402, 64.26282051282051, 67.8688524590164, 60.294117647058826, 66.28664495114006, 457.7464788732394, 506.4625850340136, 461.4583333333333, 496.83098591549293, 481.94444444444446,
5, 70.8695652173913, 76.57657657657657, 85.32338308457712, 94.9367088607595, 79.43037974683544, 91.50943396226415, 110.33333333333333, 81.52866242038216, 13.333333333333334, 13.32518337408313, 16.108247422680414, 13.092269326683292, 14.952153110047847, 42.23684210526316, 46.13259668508287, 39.26701570680628, 41.00817438692098, 46.60326086956522, 102.94117647058823, 144.3452380952381, 92.81437125748504, 134.66666666666666, 174.35897435897436, 41.48936170212766, 32.64563106796116, 44.315245478036175, 22.058823529411764, 42.819148936170215, 52.57936507936508, 52.42914979757085, 92.91845493562232, 59.7609561752988, 69.95515695067265, 635.2272727272727, 489.07284768211923, 494.2307692307692, 622.463768115942, 559.3525179856115,
6, 106.5934065934066, 150.29761904761904, 100.28089887640449, 109.35483870967742, 83.44155844155844, 86.7741935483871, 94.77124183006536, 92.81045751633987, 11.89873417721519, 11.686746987951807, 12.337662337662337, 13.022113022113022, 13.100961538461538, 49.31318681318681, 42.61213720316623, 42.486338797814206, 39.92042440318303, 41.16094986807388, 163.37579617834396, 122.58064516129032, 164.80263157894737, 183.10344827586206, 168.66666666666666, 41.53439153439153, 42.175066312997345, 42.71978021978022, 36.59090909090909, 44.140625, 124.21875, 123.03921568627452, 82.98969072164948, 77.85714285714286, 163.8709677419355, 846.5648854961833, 411.0759493670886, 594.2307692307693, 635.5633802816901, 533.0985915492957,
7, 172.7810650887574, 140.3846153846154, 262.17105263157896, 118.95424836601308, 107.32484076433121, 108.70967741935483, 100.0, 139.67741935483872, 16.17283950617284, 15.573770491803279, 15.25, 13.875598086124402, 11.842105263157896, 52.65625, 58.088235294117645, 48.28125, 54.01234567901235, 47.68115942028985, 172.26027397260273, 121.01910828025478, 174.14965986394557, 286.55172413793105, 161.61971830985917, 46.276595744680854, 48.026315789473685, 38.72282608695652, 47.027027027027025, 58.76712328767123, 189.2405063291139, 220.38216560509554, 143.2258064516129, 157.96178343949043, 244.7019867549669, 704.0650406504066, 490.72847682119203, 807.5, 827.7777777777778, 615.8783783783783,
8, 191.30434782608697, 163.96103896103895, 201.00671140939596, 137.2549019607843, 168.70967741935485, 117.41935483870968, 134.31372549019608, 124.50331125827815, 18.85441527446301, 16.27358490566038, 17.737789203084834, 14.492753623188406, 16.742081447963802, 74.15094339622641, 86.15384615384616, 67.57246376811594, 72.83018867924528, 48.323170731707314, 191.21621621621622, 159.80392156862746, 205.36912751677852, 207.43243243243242, 245.25547445255475, 43.47826086956522, 71.32132132132132, 52.05882352941177, 40.755208333333336, 60.0, 250.65359477124184, 191.0, 259.5238095238095, 145.45454545454547, 158.44155844155844, 717.741935483871, 429.6666666666667, 893.362831858407, 866.5254237288135, 628.6259541984733,
9, 172.0, 156.57894736842104, 197.41935483870967, 154.5751633986928, 131.78807947019868, 128.8961038961039, 148.99328859060404, 146.66666666666666, 17.89099526066351, 16.590389016018307, 20.51948051948052, 19.04176904176904, 15.315315315315315, 95.89041095890411, 110.31390134529148, 112.8440366972477, 100.67873303167421, 75.36496350364963, 217.01388888888889, 200.67567567567568, 229.3918918918919, 278.2312925170068, 229.49640287769785, 53.43283582089552, 90.89219330855019, 60.63291139240506, 31.818181818181817, 71.09144542772862, 285.5345911949685, 142.71523178807948, 228.81944444444446, 189.14473684210526, 199.02597402597402, 999.5495495495495, 705.078125, 1270.1923076923076, 1249.1150442477876, 772.0472440944882,
10, 190.40697674418604, 144.09937888198758, 237.58169934640523, 178.85906040268458, 151.32450331125827, 165.1006711409396, 156.0810810810811, 173.50993377483445, 15.669856459330143, 16.32420091324201, 22.86096256684492, 19.19191919191919, 13.19290465631929, 96.85990338164251, 96.99570815450643, 147.91666666666666, 112.55506607929516, 96.86192468619247, 200.34722222222223, 249.34640522875816, 358.9655172413793, 311.7857142857143, 315.35714285714283, 47.46031746031746, 89.64143426294821, 86.46112600536193, 52.65625, 67.54143646408839, 265.13157894736844, 263.04347826086956, 211.82432432432432, 186.09271523178808, 253.0201342281879, 772.2222222222222, 828.9915966386554, 1113.4615384615386, 1648.5849056603774, 931.4655172413793,
