iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 44.56928838951311, 38.40304182509506, 38.63636363636363, 41.523809523809526, 45.124282982791584, 40.831758034026464, 43.51145038167939, 41.72932330827068, 46.0377358490566, 44.19475655430712, 41.61849710982659, 44.6124763705104, 44.402277039848194, 42.285714285714285, 50.0, 47.817836812144215, 53.2319391634981, 37.84786641929499, 41.57303370786517, 44.3159922928709, 40.83969465648855, 42.18455743879473, 46.41509433962264, 44.3159922928709, 39.92740471869328, 47.195357833655706, 45.36862003780718, 43.28358208955224, 50.64695009242144, 35.53875236294896, 47.87644787644788, 40.150093808630395, 39.25233644859813, 93.5361216730038, 121.62629757785467, 54.159592529711375, 124.77718360071302, 177.38095238095238,
2, 40.83969465648855, 45.25252525252525, 46.449136276391556, 44.3609022556391, 37.66990291262136, 47.32824427480916, 40.2321083172147, 44.48598130841121, 51.01663585951941, 54.74860335195531, 40.816326530612244, 45.67219152854512, 52.22437137330754, 51.80952380952381, 51.94805194805195, 46.35514018691589, 48.96421845574388, 52.63157894736842, 63.27683615819209, 89.23076923076923, 83.84615384615384, 75.88785046728972, 86.49706457925636, 212.14128035320087, 43.95229982964225, 156.67396061269147, 167.54563894523326, 39.37823834196891, 40.80882352941177, 105.26315789473684, 73.07692307692308, 71.42857142857143, 75.0, 281.453154875717, 503.265306122449, 218.140589569161, 367.935871743487, 453.84615384615387,
3, 43.190661478599225, 71.37096774193549, 60.53169734151329, 51.96261682242991, 55.81395348837209, 42.8849902534113, 56.15079365079365, 46.61654135338346, 151.34099616858236, 150.09746588693957, 110.03787878787878, 130.26315789473685, 202.62626262626262, 110.49618320610686, 75.09225092250922, 75.139146567718, 87.66355140186916, 101.15606936416185, 93.57277882797732, 115.57223264540337, 161.8, 134.4294003868472, 112.04588910133843, 181.30252100840337, 359.2356687898089, 171.5811965811966, 280.4301075268817, 375.377969762419, 99.45553539019964, 149.8046875, 77.00729927007299, 102.77777777777777, 123.03262955854127, 569.6969696969697, 642.0408163265306, 546.0, 621.5139442231076, 596.8627450980392,
4, 84.11214953271028, 139.09626719056973, 129.30693069306932, 85.9047619047619, 91.58699808795411, 85.09316770186335, 76.5625, 80.07590132827325, 212.95938104448743, 191.90751445086704, 164.21845574387947, 238.0952380952381, 227.29044834307993, 168.54368932038835, 131.1663479923518, 123.47328244274809, 140.3041825095057, 127.68361581920904, 184.64491362763914, 136.53136531365314, 193.34600760456274, 209.51492537313433, 159.50095969289828, 139.14728682170542, 146.0446247464503, 130.97165991902833, 141.98782961460446, 111.41199226305609, 119.140625, 209.90291262135923, 43.24894514767932, 140.47619047619048, 146.588693957115, 600.0, 833.1775700934579, 598.8394584139265, 655.6451612903226, 690.2494331065759,
5, 84.43223443223444, 187.73584905660377, 124.4367417677643, 142.2680412371134, 138.64628820960698, 155.10204081632654, 168.02721088435374, 173.04147465437788, 146.98581560283688, 155.51601423487546, 140.0, 167.65734265734267, 151.40350877192984, 215.41425818882468, 177.7570093457944, 187.77777777777777, 156.90298507462686, 170.62043795620437, 221.98019801980197, 111.14808652246256, 133.15412186379928, 210.27027027027026, 242.61241970021413, 156.52951699463327, 181.43133462282398, 171.75141242937852, 188.0373831775701, 190.8745247148289, 197.68421052631578, 334.0681362725451, 48.99777282850779, 136.7032967032967, 253.58565737051794, 603.3582089552239, 2119.396551724138, 601.9342359767892, 1447.0588235294117, 920.8672086720867,
6, 160.53169734151328, 219.17808219178082, 196.81050656660412, 244.2080378250591, 170.54631828978623, 218.50117096018735, 247.2684085510689, 234.28571428571428, 170.01795332136444, 167.02898550724638, 168.13186813186815, 180.10849909584087, 180.14311270125225, 224.52471482889734, 249.4208494208494, 245.10556621880997, 222.81368821292776, 220.9125475285171, 411.6630669546436, 532.7146171693736, 557.4766355140187, 544.759825327511, 496.420581655481, 123.47972972972973, 180.66298342541435, 173.24478178368122, 179.36507936507937, 156.48994515539306, 305.60165975103735, 542.8571428571429, 158.05785123966942, 388.6752136752137, 451.61290322580646, 822.5512528473804, 6056.880733944954, 601.9157088122605, 3279.558011049724, 1082.6979472140763,
7, 220.78774617067833, 405.8455114822547, 281.2244897959184, 347.2289156626506, 249.7596153846154, 205.91016548463358, 253.84615384615384, 295.91346153846155, 172.1631205673759, 180.99630996309963, 200.1851851851852, 199.08424908424908, 182.90441176470588, 198.87429643527204, 229.50191570881225, 209.7804391217565, 224.29378531073445, 200.37174721189592, 643.2038834951456, 723.8726790450928, 702.4064171122994, 921.978021978022, 626.5508684863523, 198.75666074600355, 204.12757973733582, 217.76061776061775, 172.07792207792207, 149.54954954954954, 500.66815144766144, 720.0, 143.71002132196162, 461.2691466083151, 642.4242424242424, 1223.6593059936909, 8128.571428571428, 592.4812030075188, 7823.1578947368425, 1828.4552845528456,
8, 265.6319290465632, 646.189376443418, 385.51020408163265, 450.9661835748792, 306.426735218509, 252.8395061728395, 327.735368956743, 390.64039408866995, 242.58188824662813, 249.16512059369202, 238.46153846153845, 191.93548387096774, 222.7969348659004, 274.22680412371136, 200.80160320641284, 280.5496828752643, 205.94059405940595, 227.9022403258656, 692.9471032745591, 1082.3170731707316, 864.6884272997032, 1428.719723183391, 755.5844155844156, 253.69718309859155, 254.49640287769785, 256.3600782778865, 143.20457796852648, 200.0, 668.1372549019608, 755.8139534883721, 239.1509433962264, 630.6763285024155, 676.4988009592327, 3817.721518987342, 8395.121951219513, 714.2276422764228, 8794.565217391304, 2792.4242424242425,
9, 338.9583333333333, 707.5425790754258, 415.9919028340081, 459.80629539951576, 383.3333333333333, 373.5, 544.3835616438356, 464.9874055415617, 273.7769080234834, 194.73684210526315, 217.85063752276866, 243.1640625, 262.0352250489237, 439.73799126637556, 357.9295154185022, 466.1795407098121, 347.5991649269311, 417.9871520342612, 774.8091603053435, 1578.102189781022, 1224.5033112582782, 1883.0645161290322, 837.6373626373627, 181.92592592592592, 268.48591549295776, 270.8480565371025, 142.090395480226, 206.09318996415772, 693.8931297709923, 854.3010752688172, 239.45945945945945, 765.2741514360313, 658.3529411764706, 6683.838383838384, 9041.558441558442, 3753.939393939394, 12270.422535211268, 1982.918149466192,
10, 464.03326403326406, 672.9268292682926, 477.8705636743215, 537.6884422110553, 426.3157894736842, 593.3503836317135, 1294.1780821917807, 570.0, 294.4230769230769, 320.6060606060606, 294.0936863543788, 327.13675213675214, 285.8316221765914, 571.5555555555555, 522.9122055674518, 596.420581655481, 401.656314699793, 510.44776119402985, 770.843989769821, 2173.0593607305937, 1771.5415019762845, 2383.9449541284403, 1043.2432432432433, 153.5966149506347, 269.9145299145299, 247.42765273311898, 270.3049759229535, 362.0626151012891, 810.1333333333333, 984.6820809248555, 527.2251308900524, 899.4666666666667, 749.8783454987835, 8092.941176470588, 7422.580645161291, 11053.125, 13298.550724637682, 8130.952380952381,
11, 541.9287211740042, 754.70737913486, 548.3050847457627, 498.24120603015075, 474.54545454545456, 867.0299727520436, 3009.6045197740114, 627.3684210526316, 401.8556701030928, 262.79527559055117, 341.4486921529175, 313.8671875, 273.8878143133462, 623.5431235431236, 641.1363636363636, 605.5684454756381, 537.5, 580.365296803653, 847.0588235294117, 2776.315789473684, 1855.6451612903227, 2498.5365853658536, 1404.152249134948, 323.0, 267.63754045307445, 236.0759493670886, 414.5132743362832, 531.3373253493014, 1075.9643916913947, 1151.3513513513512, 861.0079575596817, 1042.2857142857142, 806.5326633165829, 8681.39534883721, 7770.212765957447, 10993.75, 12295.890410958904, 9452.702702702703,
12, 587.4468085106383, 786.1728395061729, 586.228813559322, 662.8808864265928, 474.1860465116279, 942.5981873111782, 4071.328671328671, 844.0922190201729, 404.8484848484849, 293.30783938814534, 306.3706563706564, 329.43469785575047, 313.59223300970876, 588.3777239709443, 591.1214953271028, 500.4796163069544, 586.6515837104073, 615.242494226328, 932.7077747989276, 2916.7567567567567, 2066.5236051502147, 3025.2688172043013, 2550.0, 590.8523908523908, 487.229862475442, 302.7826086956522, 329.2282430213465, 620.4690831556503, 1388.7417218543046, 1600.3533568904593, 907.5842696629213, 1170.4819277108434, 884.1823056300268, 10648.684210526315, 8459.770114942528, 10741.538461538461, 13842.424242424242, 5983.928571428572,
13, 634.7639484978541, 867.3575129533679, 661.0993657505286, 1210.7913669064749, 833.5038363171356, 895.7317073170732, 3043.820224719101, 1108.0229226361032, 408.59375, 313.7860082304527, 296.00760456273764, 411.62324649298597, 345.5795677799607, 606.1576354679803, 577.7777777777778, 554.8926014319809, 519.2660550458716, 561.9277108433735, 1136.44578313253, 3576.0736196319017, 2107.659574468085, 3135.955056179775, 3691.1392405063293, 651.9565217391304, 683.0663615560641, 584.7533632286995, 512.4260355029586, 676.355748373102, 1700.0, 2011.1570247933885, 983.1428571428571, 1215.4545454545455, 1036.6279069767443, 11858.333333333334, 10470.27027027027, 10934.375, 13969.69696969697, 5430.081300813008,
14, 714.8648648648649, 946.4, 689.0557939914163, 1725.1046025104602, 983.4688346883469, 1036.5325077399382, 1638.4615384615386, 1388.719512195122, 434.1846758349705, 331.6633266533066, 328.35820895522386, 421.4428857715431, 347.42063492063494, 612.8329297820824, 666.6666666666666, 635.4916067146283, 549.7607655502393, 570.3614457831326, 1359.6091205211726, 4440.875912408759, 2270.6666666666665, 3326.627218934911, 5736.936936936937, 656.1822125813449, 624.7727272727273, 498.25, 560.8333333333334, 814.5882352941177, 2114.830508474576, 2229.074889867841, 1202.1671826625386, 1350.320512820513, 1521.2454212454213, 12764.179104477613, 10639.473684210527, 10573.134328358208, 14384.615384615385, 7958.620689655172,
15, 753.4562211981566, 1034.3575418994412, 695.6427015250545, 3003.2258064516127, 1128.2122905027934, 1436.2369337979094, 2713.8297872340427, 1720.945945945946, 462.15686274509807, 400.3883495145631, 399.2766726943942, 488.715953307393, 431.97556008146637, 722.4691358024692, 635.1089588377724, 680.3921568627451, 579.8122065727699, 588.968824940048, 1589.9641577060931, 5673.684210526316, 2160.8695652173915, 2998.3516483516482, 5766.071428571428, 662.1978021978022, 585.4545454545455, 545.6359102244389, 716.9491525423729, 903.4825870646766, 1701.1029411764705, 2861.780104712042, 2347.2340425531916, 1519.7952218430034, 1966.949152542373, 12870.149253731342, 11459.154929577464, 11283.076923076924, 14553.125, 8439.024390243903,
