iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 2077.2447916666665, 2429.837837837838, 2375.8201058201057, 2454.224598930481, 2268.2722513089006, 2415.0, 2377.3655913978496, 2271.1170212765956, 2291.6402116402114, 2299.4708994708994, 2310.6382978723404, 2309.73544973545, 2287.81914893617, 2256.340206185567, 2210.25641025641, 2265.78125, 2562.780748663102, 2568.042328042328, 2512.670157068063, 2500.1052631578946, 2544.9206349206347, 2313.936170212766, 2226.7708333333335, 2321.2631578947367, 2192.5263157894738, 2341.818181818182, 2407.7659574468084, 2379.5263157894738, 2366.9270833333335, 2321.082474226804, 2324.6875, 2721.6393442622953, 2123.5862068965516, 2684.393063583815, 1825.207100591716, 1822.1142857142856,
2, 2898.4656084656085, 3457.103825136612, 3328.4574468085107, 3355.9358288770054, 3363.010752688172, 3398.641304347826, 3459.3650793650795, 3601.4285714285716, 3547.945945945946, 3594.863387978142, 3472.645502645503, 3240.7027027027025, 3230.0, 3294.375, 3304.7340425531916, 3305.0802139037432, 3167.7419354838707, 3152.1164021164022, 3254.2391304347825, 3068.8020833333335, 3075.2631578947367, 3365.6216216216217, 3256.223404255319, 3298.9247311827958, 3386.7934782608695, 3378.7978142076504, 3145.053191489362, 3013.7823834196893, 3168.858695652174, 3140.5405405405404, 3202.4324324324325, 5401.058201058201, 3856.6666666666665, 4849.523809523809, 5570.643274853801, 2510.5813953488373,
3, 2816.5511363636365, 3874.5405405405404, 3835.5434782608695, 3854.331550802139, 3643.3155080213905, 3850.2162162162163, 4358.288770053476, 4359.73544973545, 4219.841269841269, 4169.947916666667, 4212.708333333333, 3813.6065573770493, 3752.896174863388, 3768.941798941799, 3950.989010989011, 3790.2127659574467, 2841.657142857143, 2791.1428571428573, 2863.876404494382, 2829.060773480663, 2626.810810810811, 3471.4207650273224, 3329.3370165745855, 3250.3208556149734, 3411.988950276243, 3329.6774193548385, 2786.3333333333335, 2681.3259668508285, 2654.6666666666665, 2716.6666666666665, 2622.2043010752686, 6167.210526315789, 7630.26455026455, 6105.189189189189, 7487.513812154696, 2730.506329113924,
4, 2019.5367231638418, 4194.67032967033, 4464.94623655914, 4148.888888888889, 4176.502732240438, 4021.957671957672, 4441.755319148936, 4686.595744680851, 4417.263157894737, 4565.744680851064, 4345.263157894737, 3799.3548387096776, 4184.581005586592, 3904.4845360824743, 4173.465909090909, 3892.153846153846, 2169.6341463414633, 2007.9518072289156, 2099.2261904761904, 1971.4117647058824, 2092.2023809523807, 3451.6393442622953, 3176.8306010928964, 3109.51871657754, 3225.1063829787236, 3351.436170212766, 2082.125, 1931.9642857142858, 1887.4705882352941, 1962.9375, 1980.4268292682927, 7394.021739130435, 8300.729166666666, 6844.75935828877, 8051.789473684211, 3283.59477124183,
5, 1454.5606936416184, 4408.288770053476, 4857.165775401069, 4734.75935828877, 4575.291005291006, 5054.308510638298, 4770.8421052631575, 4699.684210526316, 4420.208333333333, 4687.291666666667, 4668.848167539267, 3720.3314917127072, 4112.349726775957, 4050.335195530726, 3804.5405405405404, 3793.9893617021276, 1684.6820809248554, 1468.5798816568047, 1529.9378881987577, 1683.8235294117646, 1517.6785714285713, 3043.7096774193546, 2913.480662983425, 2847.5661375661375, 2916.043956043956, 3214.0526315789475, 1193.0817610062893, 1093.6842105263158, 1186.125, 1181.7763157894738, 1051.7721518987341, 7468.28125, 8574.232804232804, 7609.895833333333, 8585.513513513513, 4078.870056497175,
6, 1758.9545454545455, 5234.5161290322585, 5548.716577540107, 5177.228260869565, 5605.3005464480875, 6139.68085106383, 5549.521276595745, 5355.106382978724, 4353.888888888889, 5005.677083333333, 4867.736842105263, 3829.7340425531916, 3944.7027027027025, 4090.8241758241757, 4118.415300546448, 3797.228260869565, 1897.5675675675675, 1813.9080459770114, 1749.5808383233532, 1876.9101123595506, 1850.5988023952095, 3524.3783783783783, 3256.2032085561495, 3233.5449735449733, 3229.946808510638, 3587.2727272727275, 1352.8402366863904, 1240.506329113924, 1416.2424242424242, 1240.2366863905324, 1024.6783625730993, 8181.229946524064, 8868.010752688173, 8133.4031413612565, 8589.09090909091, 5241.20218579235,
7, 1964.2670454545455, 6146.402116402116, 6272.328042328042, 6340.4812834224595, 6154.0625, 7234.574468085107, 5953.75, 6278.7434554973825, 5776.818181818182, 5677.760416666667, 6021.9473684210525, 3645.561224489796, 4149.94708994709, 4253.048128342246, 4135.561497326204, 4163.695652173913, 1977.111111111111, 1912.6436781609195, 1986.0588235294117, 1777.9781420765028, 2088.7577639751553, 4037.771739130435, 3852.324324324324, 3867.486631016043, 3704.1397849462364, 4445.891891891892, 1273.7931034482758, 1519.89010989011, 1438.5635359116022, 1314.4692737430169, 1196.0, 8043.894736842105, 8931.774193548386, 8720.748663101604, 8344.19689119171, 6352.974358974359,
8, 1946.0056179775281, 7113.8421052631575, 7376.755319148936, 6788.795811518325, 7753.544973544974, 7616.321243523316, 6361.088082901554, 6702.835051546392, 6547.589743589743, 6310.673575129534, 6236.649746192893, 3963.4715025906735, 4484.866310160428, 4439.047619047619, 4261.497326203208, 4397.5, 1971.7021276595744, 1947.5, 1995.207100591716, 1973.551912568306, 1860.888888888889, 4715.105263157895, 4862.826086956522, 4419.315789473684, 4236.968085106383, 4908.7692307692305, 1333.5955056179776, 1974.5054945054944, 1494.7457627118645, 1294.406779661017, 1522.4175824175825, 7481.3861386138615, 8719.578947368422, 8348.092783505155, 8408.704663212435, 8985.882352941177,
9, 2033.252808988764, 7974.840425531915, 7578.8359788359785, 7207.914438502674, 8243.989361702128, 8173.526315789473, 6848.263157894737, 6979.576719576719, 6671.573604060914, 6505.235602094241, 6483.068783068783, 4572.65625, 4913.989361702128, 5301.80412371134, 4568.526315789473, 5073.297872340426, 2021.2994350282486, 2138.0459770114944, 2161.8072289156626, 1863.050847457627, 1987.0555555555557, 5435.9375, 6006.141304347826, 5068.054054054054, 4853.13829787234, 5583.989637305699, 1426.936416184971, 2074.94623655914, 1507.017543859649, 1292.6900584795321, 1947.8804347826087, 7034.545454545455, 8407.435897435897, 8315.837563451776, 8047.25, 8603.979591836734,
