iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 515.1291512915129, 475.0, 478.8888888888889, 471.003717472119, 540.9090909090909, 495.5882352941176, 461.2781954887218, 509.7378277153558, 497.74436090225566, 554.7169811320755, 476.2773722627737, 501.86567164179104, 449.07749077490774, 448.33948339483396, 507.86516853932585, 444.5255474452555, 580.223880597015, 526.5917602996254, 605.3231939163499, 595.8490566037735, 510.90225563909775, 535.5805243445693, 520.9737827715355, 508.61423220973785, 549.433962264151, 455.1094890510949, 554.8872180451128, 508.95522388059703, 532.8358208955224, 569.5817490494296, 563.4328358208955, 570.2898550724638, 587.0036101083033, 536.9175627240144, 584.1726618705036, 692.2535211267606,
2, 807.3643410852713, 535.9550561797753, 507.6923076923077, 584.469696969697, 532.9588014981273, 568.3206106870228, 598.0988593155894, 670.3846153846154, 713.8461538461538, 674.1312741312742, 628.5171102661596, 536.7041198501872, 574.074074074074, 578.2771535580524, 611.0266159695817, 516.2878787878788, 1259.5141700404859, 1068.8259109311741, 1294.238683127572, 1251.8367346938776, 1331.404958677686, 926.8482490272373, 929.0836653386455, 1097.5510204081634, 1042.1052631578948, 876.4, 1314.8148148148148, 1307.3469387755101, 1387.1369294605809, 1284.3621399176955, 1228.9256198347107, 1204.3902439024391, 4690.25974025974, 4400.0, 3486.43216080402, 8017.105263157895,
3, 2214.4796380090497, 603.0188679245283, 589.0566037735849, 607.5471698113207, 564.5985401459855, 561.6236162361623, 556.6037735849056, 674.9063670411985, 843.2950191570882, 747.1264367816092, 629.1044776119403, 752.7131782945736, 697.7011494252873, 808.5603112840467, 870.817120622568, 825.0996015936255, 3604.368932038835, 2408.5585585585586, 3274.1626794258373, 3758.291457286432, 3571.5686274509803, 2328.3783783783783, 2566.822429906542, 2963.0841121495328, 2728.5714285714284, 1882.0960698689955, 3760.4060913705584, 3154.726368159204, 3206.930693069307, 3492.682926829268, 3171.4975845410627, 11242.452830188678, 10039.60396039604, 11935.714285714286, 10296.402877697841, 15863.106796116504,
4, 6203.389830508475, 405.63380281690144, 476.678445229682, 464.4128113879004, 452.8169014084507, 502.8776978417266, 388.47457627118644, 596.1538461538462, 2177.4590163934427, 855.8303886925795, 598.2332155477031, 1497.5510204081634, 1121.686746987952, 1334.8, 1506.3492063492063, 1279.2, 6420.496894409938, 6915.6626506024095, 6823.270440251572, 7159.1463414634145, 6377.070063694267, 6079.329608938548, 5476.687116564417, 7157.317073170731, 6296.6292134831465, 5410.526315789473, 7400.632911392405, 6420.496894409938, 5444.767441860465, 7245.454545454545, 6806.586826347306, 33763.46153846154, 9650.485436893205, 19251.764705882353, 17787.628865979383, 22218.60465116279,
5, 9829.605263157895, 626.3513513513514, 1174.31906614786, 684.4765342960288, 465.1006711409396, 900.711743772242, 1985.593220338983, 3809.5238095238096, 10037.41935483871, 3652.7659574468084, 2505.5335968379445, 3549.0, 2857.6576576576576, 4767.0, 5104.522613065326, 4043.867924528302, 9825.179856115108, 10668.61313868613, 9850.0, 7707.638888888889, 10292.592592592593, 8733.116883116883, 7879.72027972028, 10693.478260869566, 8684.07643312102, 9705.263157894737, 11119.685039370079, 9694.244604316547, 8104.0, 9055.102040816326, 9853.731343283582, 21574.39024390244, 11456.818181818182, 17921.34831460674, 22946.153846153848, 21688.636363636364,
6, 11505.223880597016, 2618.4331797235022, 4639.877300613497, 3706.32183908046, 3969.3693693693695, 6810.46511627907, 4951.923076923077, 11534.265734265735, 11276.923076923076, 9767.09677419355, 9136.477987421384, 5140.764331210191, 4360.355029585799, 7853.374233128834, 7519.018404907975, 7211.801242236025, 11253.333333333334, 11229.457364341086, 12613.675213675213, 13848.214285714286, 10843.2, 12125.396825396825, 8398.518518518518, 10018.978102189782, 10819.565217391304, 10000.694444444445, 11781.818181818182, 11108.264462809917, 9439.69465648855, 12774.789915966387, 13285.321100917432, 34980.357142857145, 16191.666666666666, 21467.058823529413, 27548.571428571428, 19543.8202247191,
7, 14987.85046728972, 5435.172413793103, 7021.705426356589, 5320.805369127517, 11671.223021582733, 10484.873949579833, 6316.911764705882, 13168.503937007874, 13572.95081967213, 9337.179487179486, 9007.5, 7872.18045112782, 6184.76821192053, 9491.608391608392, 10066.923076923076, 8151.388888888889, 15321.212121212122, 15221.698113207547, 16795.744680851065, 16566.315789473683, 11771.304347826086, 12633.050847457627, 9486.290322580646, 12383.898305084746, 13458.677685950413, 12049.20634920635, 11347.413793103447, 12604.62962962963, 12380.0, 14270.642201834862, 13430.927835051547, 33358.333333333336, 16115.068493150686, 22450.0, 31365.079365079364, 19040.860215053763,
8, 16039.39393939394, 8457.894736842105, 9877.358490566037, 7771.186440677966, 15636.521739130434, 12348.076923076924, 7815.447154471544, 11465.413533834586, 18670.29702970297, 11007.857142857143, 12510.077519379845, 8900.847457627118, 6663.448275862069, 11397.47899159664, 11507.207207207208, 9141.538461538461, 19478.409090909092, 18398.876404494382, 17354.945054945056, 19595.121951219513, 15374.226804123711, 14830.0, 11107.826086956522, 14408.653846153846, 15594.0, 13928.03738317757, 14515.30612244898, 14073.333333333334, 16652.941176470587, 16758.76288659794, 15425.609756097561, 32212.698412698413, 15662.162162162162, 24906.666666666668, 31027.69230769231, 19660.919540229886,
9, 15398.019801980197, 10630.0, 10744.23076923077, 9969.23076923077, 18860.0, 11814.018691588784, 8365.51724137931, 13328.070175438597, 14745.283018867925, 12642.635658914729, 13103.53982300885, 12955.445544554455, 11563.392857142857, 12036.752136752137, 11966.97247706422, 11513.157894736842, 17271.11111111111, 16852.873563218393, 19239.53488372093, 19779.22077922078, 16802.222222222223, 18363.541666666668, 12424.271844660194, 15882.35294117647, 20358.620689655174, 17844.444444444445, 17242.696629213482, 12585.29411764706, 16571.25, 17846.590909090908, 15713.483146067416, 32937.70491803279, 17810.44776119403, 23427.272727272728, 29900.0, 20027.5,
10, 15871.27659574468, 13018.888888888889, 13298.947368421053, 10933.673469387755, 16747.115384615383, 14090.0, 10482.828282828283, 17200.0, 14802.830188679245, 20805.434782608696, 13605.309734513274, 11869.158878504673, 10349.57264957265, 12951.851851851852, 13854.368932038835, 11075.892857142857, 19358.44155844156, 15938.823529411764, 20521.518987341773, 18658.97435897436, 15111.23595505618, 26325.0, 16367.777777777777, 22317.977528089887, 19246.875, 17001.052631578947, 13805.494505494506, 15384.615384615385, 18005.0, 19497.560975609755, 18545.679012345678, 31781.53846153846, 19031.74603174603, 23935.526315789473, 29087.671232876713, 22948.61111111111,
11, 15469.565217391304, 14808.333333333334, 13418.627450980392, 11851.020408163266, 18222.58064516129, 16315.47619047619, 10031.775700934579, 14247.422680412372, 16724.528301886792, 20653.684210526317, 15478.0, 11757.692307692309, 11766.666666666666, 13098.165137614678, 14577.0, 11814.414414414414, 21781.333333333332, 20728.947368421053, 18834.21052631579, 20395.890410958906, 18700.0, 21295.121951219513, 17384.782608695652, 16704.040404040403, 19817.171717171717, 21014.606741573032, 17668.60465116279, 16330.487804878048, 19136.0, 15990.47619047619, 17378.20512820513, 35231.74603174603, 17143.283582089553, 25395.833333333332, 28306.756756756757, 23117.567567567567,
12, 17244.18604651163, 14387.356321839081, 13160.952380952382, 12449.0, 18123.91304347826, 16065.555555555555, 9861.206896551725, 18907.865168539327, 16003.448275862069, 21559.375, 17741.747572815533, 12919.387755102041, 12827.551020408164, 13422.772277227723, 14443.434343434343, 12095.238095238095, 21436.0, 19391.780821917808, 22867.14285714286, 23258.20895522388, 19098.684210526317, 21485.882352941175, 16598.947368421053, 18864.516129032258, 21897.82608695652, 21867.85714285714, 20322.077922077922, 18821.25, 17680.76923076923, 18090.0, 20015.78947368421, 34862.5, 17849.23076923077, 26154.929577464787, 31020.289855072464, 23883.561643835616,
13, 21082.894736842107, 15243.20987654321, 13931.372549019608, 13255.102040816326, 18065.0, 15923.0, 11383.760683760684, 19065.957446808512, 17298.18181818182, 23940.0, 19968.68686868687, 12975.510204081633, 11149.056603773584, 14861.224489795919, 13855.445544554455, 12351.42857142857, 22681.428571428572, 21060.0, 23507.352941176472, 25625.757575757576, 18787.012987012986, 19470.103092783505, 15682.291666666666, 22621.951219512193, 22502.17391304348, 10100.0, 20335.714285714286, 18321.79487179487, 16858.44155844156, 19012.987012987014, 17947.36842105263, 36478.688524590165, 18365.079365079364, 25498.61111111111, 33072.72727272727, 24144.444444444445,
14, 18487.17948717949, 15951.898734177215, 14111.111111111111, 14960.227272727272, 17869.0, 16443.298969072166, 12933.035714285714, 17215.151515151516, 14983.783783783783, 24633.673469387755, 17173.394495412846, 15194.736842105263, 12780.808080808081, 14540.0, 15288.541666666666, 12830.097087378641, 21397.058823529413, 22050.0, 22157.971014492752, 22380.597014925374, 22769.117647058825, 21660.43956043956, 16146.067415730337, 24668.354430379746, 22967.777777777777, 26882.05128205128, 20276.056338028167, 16411.68831168831, 19985.915492957745, 16482.926829268294, 18675.342465753423, 36671.186440677964, 19327.868852459018, 25784.50704225352, 35338.09523809524, 24319.23076923077,
15, 21617.80821917808, 16098.71794871795, 15432.65306122449, 13492.156862745098, 19091.836734693876, 16573.737373737375, 14278.640776699029, 16932.98969072165, 15616.981132075472, 26391.57894736842, 16745.945945945947, 14930.526315789473, 13770.103092783505, 14194.897959183674, 13773.0, 12350.0, 21755.223880597016, 20335.135135135137, 21888.571428571428, 23135.384615384617, 21762.5, 21687.951807228917, 17981.11111111111, 19561.79775280899, 24958.75, 23498.780487804877, 18622.972972972973, 18139.18918918919, 22068.65671641791, 17265.384615384617, 19695.652173913044, 35321.311475409835, 18473.846153846152, 25488.732394366198, 31911.764705882353, 26219.444444444445,
16, 20467.5, 16084.0, 15424.468085106382, 13741.584158415842, 21166.666666666668, 17740.217391304348, 14107.843137254902, 18951.546391752578, 17265.74074074074, 27370.32967032967, 20764.077669902912, 14276.041666666666, 13743.010752688173, 13773.19587628866, 15031.521739130434, 13096.0, 22538.805970149253, 20118.309859154928, 23489.855072463768, 25514.754098360656, 21673.684210526317, 23944.736842105263, 18341.379310344826, 20310.112359550563, 25081.01265822785, 26902.702702702703, 20669.117647058825, 18212.162162162163, 20239.436619718308, 19293.333333333332, 17254.666666666668, 34222.22222222222, 18660.9375, 25550.704225352114, 32474.626865671642, 25794.666666666668,
17, 19283.13253012048, 16050.632911392406, 15225.263157894737, 14368.68686868687, 20870.0, 17495.698924731183, 14841.584158415842, 16379.245283018869, 19060.78431372549, 29378.16091954023, 21326.73267326733, 14693.684210526315, 12730.0, 15072.916666666666, 14656.25, 12616.037735849057, 23409.23076923077, 21856.521739130436, 24595.384615384617, 22547.619047619046, 22186.25, 23285.185185185186, 15345.833333333334, 24727.5, 26119.753086419754, 21476.543209876545, 19950.0, 18262.5, 22756.060606060608, 17760.0, 19279.710144927536, 34912.903225806454, 16747.14285714286, 25669.014084507042, 29464.383561643837, 28652.11267605634,
18, 19413.095238095237, 16424.39024390244, 15387.09677419355, 14711.702127659575, 20256.043956043955, 17703.157894736843, 15198.039215686274, 16196.296296296296, 15501.834862385322, 27855.78947368421, 17913.20754716981, 14386.315789473685, 12431.372549019608, 13089.423076923076, 13998.979591836734, 14011.578947368422, 23658.46153846154, 21189.855072463768, 22585.29411764706, 23498.4375, 24816.666666666668, 23293.42105263158, 15043.298969072164, 21003.488372093023, 23711.494252873563, 26679.166666666668, 21547.058823529413, 19695.652173913044, 21321.739130434784, 18761.11111111111, 18301.44927536232, 33641.269841269845, 16633.802816901407, 25286.11111111111, 36085.48387096774, 28416.438356164384,
19, 18746.98795180723, 16025.274725274725, 15626.08695652174, 15037.234042553191, 18346.236559139787, 18747.727272727272, 14416.161616161617, 18552.47524752475, 16781.55339805825, 28370.32967032967, 16516.216216216217, 14084.375, 12363.106796116504, 14959.79381443299, 15365.263157894737, 13117.0, 24385.714285714286, 22609.23076923077, 23887.5, 21471.875, 22717.80821917808, 28306.84931506849, 19318.29268292683, 20727.710843373494, 26522.5, 23860.0, 19205.555555555555, 22010.76923076923, 20055.714285714286, 18618.309859154928, 18658.571428571428, 33935.9375, 17425.373134328358, 25277.14285714286, 30742.85714285714, 30171.014492753624,
20, 21392.85714285714, 17790.58823529412, 14923.157894736842, 14894.68085106383, 18295.652173913044, 19011.11111111111, 14123.300970873786, 18087.878787878788, 16811.764705882353, 26690.816326530614, 17043.859649122805, 14697.777777777777, 12912.121212121212, 14330.30303030303, 13169.23076923077, 12880.0, 25143.75, 22695.3125, 25000.0, 24177.777777777777, 23661.428571428572, 31201.44927536232, 21230.76923076923, 23596.103896103898, 23034.146341463416, 23527.027027027027, 20963.235294117647, 22330.303030303032, 20268.65671641791, 19715.714285714286, 20064.615384615383, 32307.575757575756, 18789.23076923077, 24706.84931506849, 31305.797101449276, 32430.76923076923,
21, 18642.391304347828, 17217.777777777777, 15726.595744680852, 15437.777777777777, 18186.956521739132, 17779.787234042553, 14016.0, 18221.875, 15747.058823529413, 27940.659340659342, 18497.0, 14253.684210526315, 12406.862745098038, 13766.666666666666, 14749.484536082475, 14046.39175257732, 25778.78787878788, 23724.1935483871, 23849.27536231884, 26349.15254237288, 24819.444444444445, 26317.80821917808, 19406.25, 22755.0, 26827.272727272728, 23828.571428571428, 20118.840579710144, 22951.5625, 20349.253731343284, 20110.144927536232, 21472.727272727272, 36355.0, 18763.076923076922, 25198.61111111111, 32783.333333333336, 34516.39344262295,
22, 19300.0, 19305.95238095238, 16466.29213483146, 15497.826086956522, 18291.397849462366, 17589.130434782608, 13950.0, 17632.352941176472, 14897.169811320755, 27076.666666666668, 18582.178217821784, 13327.835051546392, 14195.78947368421, 13501.980198019803, 13624.752475247526, 13519.191919191919, 23575.714285714286, 22910.9375, 24058.823529411766, 25563.793103448275, 24278.87323943662, 27531.50684931507, 19420.731707317074, 20357.831325301206, 25846.753246753247, 21004.761904761905, 20834.328358208953, 21968.65671641791, 21973.846153846152, 20408.695652173912, 19335.82089552239, 34418.75, 19264.0625, 24638.35616438356, 31229.41176470588, 35247.54098360656,
23, 19155.81395348837, 18650.0, 15273.684210526315, 14968.08510638298, 18772.222222222223, 18810.227272727272, 13479.816513761469, 17391.26213592233, 16542.0, 27917.582417582416, 19254.081632653062, 13634.69387755102, 12802.020202020201, 11970.37037037037, 13816.666666666666, 12614.423076923076, 26717.1875, 24529.032258064515, 23655.882352941175, 24715.78947368421, 23615.068493150684, 27984.931506849316, 20680.51948051948, 23791.13924050633, 25162.82051282051, 24608.0, 21746.969696969696, 21542.85714285714, 20737.31343283582, 22294.117647058825, 22487.5, 36808.19672131148, 17916.176470588234, 25291.549295774646, 28494.520547945205, 32875.38461538462,
24, 20379.518072289156, 17871.11111111111, 16602.17391304348, 15835.869565217392, 19612.5, 18922.988505747126, 16230.30303030303, 20169.072164948455, 17278.72340425532, 24101.052631578947, 20517.525773195877, 12977.450980392157, 11737.735849056604, 13066.666666666666, 13462.745098039215, 12948.039215686274, 26175.757575757576, 24498.387096774193, 26712.30769230769, 25058.620689655174, 27031.34328358209, 26845.070422535213, 21674.074074074073, 22107.317073170732, 23072.289156626506, 27777.14285714286, 23162.5, 21600.0, 20777.272727272728, 21533.823529411766, 20025.757575757576, 34785.71428571428, 18419.402985074626, 26707.462686567163, 29084.285714285714, 33688.88888888889,
25, 19255.81395348837, 19313.186813186814, 16291.397849462366, 15879.310344827587, 18982.222222222223, 18974.418604651164, 14619.801980198019, 18040.625, 18460.21505376344, 29610.344827586207, 18635.353535353537, 13255.0, 13485.148514851486, 14095.876288659794, 14714.285714285714, 11140.54054054054, 23805.797101449276, 25080.32786885246, 26343.076923076922, 24698.275862068964, 24898.529411764706, 26014.666666666668, 18462.79069767442, 20565.384615384617, 24915.584415584417, 25478.08219178082, 22643.076923076922, 21210.29411764706, 22281.967213114753, 21436.363636363636, 20109.375, 34166.153846153844, 17566.666666666668, 26150.72463768116, 27163.88888888889, 31490.76923076923,
26, 20511.904761904763, 19521.34831460674, 16307.52688172043, 15287.09677419355, 18571.428571428572, 18683.14606741573, 17496.774193548386, 16531.632653061224, 18559.139784946237, 25221.978021978022, 18820.0, 12409.25925925926, 12280.76923076923, 12680.582524271844, 13078.640776699029, 12767.619047619048, 24128.985507246376, 26005.0, 28777.049180327867, 23863.333333333332, 28163.636363636364, 27981.690140845072, 20307.79220779221, 24001.28205128205, 27219.736842105263, 25370.12987012987, 23393.846153846152, 21437.31343283582, 22493.548387096773, 22489.0625, 22556.451612903227, 33083.07692307692, 18378.37837837838, 26632.352941176472, 27456.716417910447, 32630.15873015873,
