iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 0.22624434389140272, 0.4608294930875576, 0.21978021978021978, 0.449438202247191, 0.43383947939262474, 0.0, 0.0, 0.21052631578947367, 1.82648401826484, 0.44543429844098, 0.0, 0.46511627906976744, 1.1160714285714286, 0.6410256410256411, 0.22371364653243847, 0.0, 0.0, 0.22935779816513763, 0.2222222222222222, 0.0, 0.0, 0.0, 0.21929824561403508, 0.2375296912114014, 0.22075055187637968, 0.0, 0.0, 0.42105263157894735, 0.0, 0.19723865877712032, 0.0, 0.0, 0.2079002079002079, 3.314917127071823, 0.0, 0.5076142131979695, 0.0, 1.8633540372670807,
2, 0.6389776357827476, 0.0, 0.0, 0.0, 0.19455252918287938, 0.8048289738430584, 0.0, 0.0, 0.8695652173913043, 0.0, 0.0, 0.0, 0.0, 0.4048582995951417, 0.0, 0.2840909090909091, 0.0, 0.0, 0.4132231404958678, 0.0, 0.0, 0.228310502283105, 0.0, 0.7389162561576355, 0.0, 0.0, 0.0, 0.0, 0.23148148148148148, 0.48661800486618007, 0.27472527472527475, 0.0, 0.2958579881656805, 25.0, 0.0, 11.11111111111111, 30.0, 0.0,
3, 2.272727272727273, 0.0, 14.705882352941176, 0.2375296912114014, 0.0, 0.0, 0.0, 0.0, 0.9746588693957114, 0.0, 0.0, 0.0, 0.0, 0.6109979633401222, 0.0, 0.3546099290780142, 0.0, 0.0, 0.0, 0.0, 0.19083969465648856, 0.0, 0.2145922746781116, 0.3460207612456747, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32786885245901637, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0,
4, 26.666666666666668, 0.0, 0.0, 0.4132231404958678, 0.0, 0.0, 0.0, 0.0, 0.3937007874015748, 0.0, 0.0, 0.0, 0.0, 1.256281407035176, 0.0, 1.6326530612244898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 11.11111111111111, 0.0, 0.0,
5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6451612903225806, 0.0, 0.5681818181818182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.22222222222222, 0.0, 0.0, 0.0,
6, 0.0, 0.0, 0.0, 2.1739130434782608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8658008658008658, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 77.77777777777777, 0.0, 0.0, 0.0,
7, 0.0, 44.44444444444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24330900243309003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23980815347721823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
10, 22.22222222222222, 11.11111111111111, 0.0, 0.0, 0.0, 0.0, 30.76923076923077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6944444444444444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
11, 11.11111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.20754716981132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24937655860349128, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5376344086021505, 0.0, 0.0, 0.0, 0.0, 0.0, 9.090909090909092, 0.0, 0.0, 0.0,
12, 0.0, 0.0, 0.0, 2.1739130434782608, 0.0, 0.0, 17.77777777777778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.199203187250996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.333333333333334, 0.0, 0.0, 0.0,
13, 11.11111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0408163265306123, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 36.36363636363637, 0.0, 0.0, 0.0,
