iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 269.58579881656806, 262.09486166007906, 269.3975903614458, 266.97813121272367, 265.5688622754491, 260.3976143141153, 260.45098039215685, 272.0523138832998, 263.62919132149904, 267.4549098196393, 266.5069860279441, 266.7261904761905, 262.26640159045724, 259.08548707753476, 255.54240631163708, 258.05555555555554, 276.6933867735471, 293.5772357723577, 294.9186991869919, 274.3168316831683, 268.2549019607843, 259.2110453648915, 277.2289156626506, 276.9539078156313, 261.9169960474308, 265.4473161033797, 263.89432485322897, 274.50704225352115, 260.218253968254, 279.0725806451613, 265.47808764940237, 565.8980044345898, 521.936936936937, 562.6865671641791, 647.5462962962963, 765.0523560209424,
2, 380.6471816283925, 386.9037656903766, 385.2431289640592, 367.35849056603774, 378.71308016877634, 389.0021231422505, 380.9166666666667, 370.7578947368421, 379.36842105263156, 383.80549682875267, 361.53209109730847, 354.0246406570842, 335.1844262295082, 353.14928425357874, 350.71868583162217, 365.41052631578947, 390.88421052631577, 400.126582278481, 369.04564315352695, 403.25379609544467, 405.93684210526317, 392.64033264033264, 367.55102040816325, 357.5, 394.03326403326406, 372.9045643153527, 412.99349240780913, 376.6737288135593, 389.1666666666667, 395.61290322580646, 400.55187637969095, 1084.747191011236, 888.9295039164491, 808.4085510688836, 1160.4419889502763, 1143.1940298507463,
3, 621.9239904988124, 696.0201511335013, 619.7355769230769, 631.3625304136253, 605.2594339622641, 681.2189054726368, 749.4601542416452, 630.6127450980392, 692.3940149625935, 701.007556675063, 686.2222222222222, 543.5067873303168, 571.6083916083916, 558.6682242990654, 490.8744394618834, 563.1336405529954, 613.9099526066351, 519.3695652173913, 555.626423690205, 590.5924170616114, 587.4022988505748, 627.1860465116279, 654.2615012106537, 613.0516431924883, 674.2718446601941, 619.5226730310262, 597.7857142857143, 550.3944315545243, 571.6028708133971, 571.1137440758293, 608.1463414634146, 1282.1301775147929, 1021.3872832369942, 1071.7514124293784, 1208.802395209581, 1105.639534883721,
4, 903.879781420765, 1148.622754491018, 1033.9769452449568, 1089.3529411764705, 1077.1181556195966, 1021.9209039548023, 1089.4082840236686, 1071.9533527696792, 1171.5105740181268, 1130.615835777126, 1093.491124260355, 874.1643059490085, 859.1899441340782, 854.8930481283422, 843.3870967741935, 921.7174515235457, 789.675, 732.793017456359, 809.4832041343669, 903.4153005464481, 825.1670951156813, 971.5447154471544, 967.6044568245126, 1009.9445983379501, 957.479674796748, 854.7696476964769, 845.6363636363636, 685.3827160493827, 795.1256281407035, 778.3947368421053, 745.484693877551, 1438.440366972477, 1217.5700934579438, 1212.0711974110031, 1339.6699669966997, 1432.2185430463576,
5, 1043.536231884058, 1277.7910447761194, 1313.5202492211838, 1423.4876543209878, 1367.3831775700935, 1279.296636085627, 1215.1818181818182, 1208.060606060606, 1303.9506172839506, 1159.5664739884394, 1431.40625, 1009.0588235294117, 984.4797687861271, 911.5489130434783, 1115.1351351351352, 1066.3265306122448, 907.9177377892031, 890.0806451612904, 1045.6460674157304, 1010.7438016528926, 1058.9693593314764, 1029.1780821917807, 1195.4624277456646, 1150.9972299168976, 1114.0226628895184, 1093.6627906976744, 1016.57223796034, 794.8571428571429, 847.3697270471464, 901.1413043478261, 811.8346253229975, 1567.8964401294497, 1518.4406779661017, 1384.7079037800688, 1350.0655737704917, 1639.7288135593221,
6, 1101.5561959654178, 1590.485436893204, 1576.9871794871794, 1421.0153846153846, 1465.4603174603174, 1507.2903225806451, 1289.1358024691358, 1152.7520435967303, 1500.063492063492, 1351.6207951070337, 1433.312693498452, 1036.5722379603399, 963.2520325203252, 920.5540897097625, 1178.3529411764705, 1036.2952646239555, 977.1957671957672, 952.5405405405405, 1088.3513513513512, 1080.2785515320334, 1222.8531073446327, 1206.8545994065282, 1349.2307692307693, 1168.225352112676, 1264.084084084084, 1319.1520467836258, 1049.7214484679666, 910.5974025974026, 887.7, 935.8666666666667, 924.7905759162304, 1757.0205479452054, 1702.108843537415, 1415.4901960784314, 1446.8150684931506, 1687.5415282392028,
7, 1084.985835694051, 1727.2277227722773, 1615.3488372093022, 1662.2653721682848, 1669.271523178808, 1641.525974025974, 1487.5155279503106, 1280.1724137931035, 1556.8181818181818, 1384.0056818181818, 1635.6129032258063, 1328.9719626168223, 1253.7724550898204, 1151.9701492537313, 1397.9113924050632, 1363.936507936508, 986.8592964824121, 1012.1542553191489, 1150.718085106383, 1180.6301369863013, 1270.0281690140846, 1226.4139941690962, 1325.0733137829911, 1316.6470588235295, 1413.4615384615386, 1309.214501510574, 1098.686327077748, 914.8578811369509, 897.3350253807107, 1014.9090909090909, 939.2746113989638, 1764.0350877192982, 1843.610108303249, 1608.2978723404256, 1515.2142857142858, 1790.2777777777778,
8, 1153.1179775280898, 1851.7056856187291, 1630.5993690851735, 1696.5901639344263, 1792.8145695364237, 1621.875, 1674.5253164556962, 1500.123076923077, 1791.27868852459, 1555.6495468277947, 1795.514950166113, 1482.532894736842, 1465.2698412698412, 1324.2592592592594, 1380.9815950920245, 1537.6470588235295, 1024.1624365482232, 1089.1860465116279, 1272.5142857142857, 1139.5430107526881, 1440.121212121212, 1173.0259365994236, 1381.4369501466276, 1378.7869822485206, 1347.3511904761904, 1346.797583081571, 1008.1377551020408, 944.3908629441624, 915.3708439897698, 1013.5189873417721, 932.5822784810126, 2004.4981412639406, 2236.0392156862745, 1769.812734082397, 1699.7769516728624, 1858.3032490974729,
9, 1360.6508875739646, 1868.2333333333333, 1812.828947368421, 1831.3087248322147, 1844.6464646464647, 1712.6582278481012, 1846.5016501650166, 1622.2292993630574, 1825.6666666666667, 1482.887537993921, 1797.7474402730375, 1551.4426229508197, 1558.3168316831684, 1486.1920529801325, 1527.4333333333334, 1602.4584717607972, 1209.8230088495575, 1192.9573170731708, 1370.2402402402402, 1328.139534883721, 1665.8598726114649, 1282.2781065088757, 1585.375, 1573.878205128205, 1495.638629283489, 1449.1358024691358, 1018.7765957446809, 987.972972972973, 954.4297082228117, 1057.1159029649596, 945.4060913705583, 2113.7078651685392, 2105.296442687747, 1843.3584905660377, 1877.0114942528735, 1937.3977695167287,
