iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 2453.804347826087, 2214.242424242424, 2430.0, 2376.021505376344, 2352.0, 2398.0851063829787, 2315.0, 2375.5789473684213, 2374.7872340425533, 2102.2, 2348.6021505376343, 2292.783505154639, 2279.8958333333335, 2398.8172043010754, 2255.408163265306, 2405.1063829787236, 2261.546391752577, 2233.939393939394, 2298.556701030928, 2399.468085106383, 2460.7526881720432, 2492.717391304348, 2436.8478260869565, 2376.1702127659573, 2340.0, 2243.030303030303, 2445.8241758241757, 2354.3617021276596, 2410.537634408602, 2339.7916666666665, 2353.125, 2320.1041666666665, 2374.0425531914893, 2048.9690721649486, 1856.5555555555557, 1656.8367346938776, 2237.4444444444443, 2182.9166666666665,
2, 2527.717391304348, 2490.8695652173915, 2256.3, 2536.9565217391305, 2536.276595744681, 2613.483146067416, 2455.744680851064, 2426.875, 2255.1546391752577, 2398.3695652173915, 2282.6041666666665, 2178.6, 2137.2549019607845, 2560.21978021978, 2483.191489361702, 2440.2105263157896, 2368.061224489796, 2594.4565217391305, 2245.5670103092784, 2384.9473684210525, 2382.021276595745, 2202.3469387755104, 2298.315789473684, 2508.6021505376343, 2334.5833333333335, 2298.686868686869, 2178.0582524271845, 2444.2708333333335, 2355.9375, 2573.186813186813, 2486.304347826087, 2220.990099009901, 2529.5604395604396, 2808.2558139534885, 2575.9302325581393, 2176.5555555555557, 3327.974683544304, 3130.121951219512,
3, 2067.2549019607845, 2087.9411764705883, 2218.865979381443, 2248.4, 2440.625, 2190.2912621359224, 2094.6666666666665, 2242.4752475247524, 2044.1346153846155, 2170.9278350515465, 2065.8653846153848, 2164.9, 1921.8691588785048, 2450.612244897959, 2485.3684210526317, 2552.043010752688, 2447.1134020618556, 2301.717171717172, 2372.0, 2353.1182795698924, 1928.5185185185185, 2437.282608695652, 2103.269230769231, 2237.3469387755104, 2166.930693069307, 2263.061224489796, 2259.4897959183672, 2337.7083333333335, 2080.4950495049507, 2263.75, 2000.4807692307693, 2035.8653846153845, 2109.2156862745096, 6132.407407407408, 3528.875, 4562.835820895522, 5893.928571428572, 6428.679245283019,
4, 1809.7169811320755, 1640.1694915254238, 2201.3, 1808.8392857142858, 1870.3603603603603, 1799.3693693693695, 1820.0900900900901, 1907.4766355140187, 2020.9803921568628, 1993.6893203883494, 2025.0961538461538, 1949.3396226415093, 1894.811320754717, 1970.6542056074766, 2277.4257425742576, 2217.7227722772277, 2004.9074074074074, 2036.5094339622642, 2625.3333333333335, 3089.512195121951, 1697.5862068965516, 2669.887640449438, 2923.9285714285716, 2060.8823529411766, 1824.2201834862385, 1847.7981651376147, 2170.618556701031, 2014.4117647058824, 2343.6458333333335, 2511.9101123595506, 2061.8627450980393, 2170.824742268041, 2335.5208333333335, 8272.222222222223, 4262.173913043478, 6112.881355932203, 7129.2, 7624.893617021276,
5, 2472.3595505617977, 2265.9574468085107, 2918.4146341463415, 1831.5384615384614, 1847.2641509433963, 1713.119266055046, 1789.4285714285713, 2014.2857142857142, 1796.1904761904761, 1711.3392857142858, 1789.7247706422017, 2003.2, 1785.904761904762, 1809.7222222222222, 1804.375, 2026.7924528301887, 1583.25, 1770.701754385965, 4039.5652173913045, 4611.5625, 2879.0588235294117, 4691.147540983607, 4423.174603174603, 2630.769230769231, 2241.6494845360826, 2916.32183908046, 2608.6666666666665, 2031.4423076923076, 4136.231884057971, 3818.676470588235, 3235.0, 2688.235294117647, 4353.939393939394, 8872.558139534884, 5740.163934426229, 6763.620689655172, 8033.673469387755, 8316.0,
6, 4207.5, 3000.125, 4770.327868852459, 2728.235294117647, 3028.987341772152, 2928.2716049382716, 2685.529411764706, 3427.2, 2418.936170212766, 2273.684210526316, 2096.9, 2368.6021505376343, 2465.3932584269664, 2762.3863636363635, 2756.4444444444443, 2733.258426966292, 2985.8823529411766, 2134.9523809523807, 5783.090909090909, 5506.724137931034, 5286.315789473684, 6095.8490566037735, 5547.7192982456145, 5029.846153846154, 4028.6486486486488, 5409.180327868852, 4960.923076923077, 4668.955223880597, 5621.724137931034, 5487.19298245614, 6010.555555555556, 5598.392857142857, 6015.272727272727, 8857.333333333334, 6693.770491803279, 7886.470588235294, 9064.444444444445, 8215.0,
7, 6090.555555555556, 4385.0, 6005.8490566037735, 3884.9295774647885, 3762.5, 4664.761904761905, 3461.780821917808, 5383.103448275862, 3967.4647887323945, 3321.8987341772154, 3486.9333333333334, 3814.507042253521, 3330.864197530864, 3903.8356164383563, 3571.688311688312, 4351.641791044776, 4800.4838709677415, 3613.2, 6805.8, 6709.411764705882, 6212.222222222223, 6648.6274509803925, 6261.153846153846, 6356.5, 5474.603174603175, 5920.0, 5815.714285714285, 6245.593220338983, 6647.818181818182, 6577.115384615385, 6653.921568627451, 6743.2, 6695.471698113208, 9977.073170731708, 7895.892857142857, 8117.450980392156, 9464.09090909091, 8741.777777777777,
8, 6365.2830188679245, 6492.35294117647, 6786.6, 4725.909090909091, 4974.444444444444, 5650.847457627118, 5082.71186440678, 5844.736842105263, 5149.206349206349, 4717.1875, 5327.627118644068, 5299.661016949152, 4855.538461538462, 4521.470588235294, 4287.794117647059, 4873.492063492064, 5343.666666666667, 4521.3432835820895, 7645.106382978724, 6929.607843137255, 6590.384615384615, 7339.7959183673465, 7471.041666666667, 6892.5, 6738.9473684210525, 7511.454545454545, 6593.050847457627, 6828.983050847458, 7477.4, 7250.6, 7277.6, 7453.673469387755, 8038.75, 10130.238095238095, 8474.716981132075, 8538.4, 9936.511627906977, 8868.636363636364,
9, 6708.076923076923, 7057.254901960784, 7177.959183673469, 6069.672131147541, 5894.0, 6389.827586206897, 5559.666666666667, 6318.983050847458, 6614.444444444444, 5559.6551724137935, 5765.1612903225805, 5462.622950819672, 5469.836065573771, 4442.2535211267605, 4854.6875, 4769.85294117647, 6035.438596491228, 5206.7213114754095, 7314.705882352941, 7665.744680851064, 7146.8, 7660.816326530612, 8301.95652173913, 6558.4375, 7295.438596491228, 7382.105263157895, 6813.166666666667, 6915.833333333333, 7561.698113207547, 7472.941176470588, 6936.981132075472, 7786.382978723404, 7944.693877551021, 10525.75, 9024.8, 8748.541666666666, 10060.952380952382, 9397.380952380952,
10, 7015.294117647059, 6485.892857142857, 7510.2040816326535, 6498.225806451613, 6392.833333333333, 6778.3050847457625, 6066.349206349207, 6181.269841269841, 7280.943396226415, 6863.148148148148, 6557.627118644068, 5928.983050847458, 5969.166666666667, 4704.0, 5362.063492063492, 5017.714285714285, 5197.727272727273, 5595.806451612903, 8062.244897959184, 8029.375, 7825.833333333333, 7972.857142857143, 8642.608695652174, 6401.060606060606, 6839.836065573771, 6990.967741935484, 6323.538461538462, 6576.71875, 8303.469387755102, 7893.265306122449, 7932.745098039216, 8138.085106382979, 8413.469387755102, 10454.25, 8819.607843137255, 9167.021276595744, 9710.454545454546, 9592.380952380952,
11, 7623.2, 6953.7037037037035, 7582.8, 6566.7213114754095, 6020.461538461538, 6879.666666666667, 6002.727272727273, 6902.5, 7300.363636363636, 6992.0, 6277.741935483871, 6662.456140350877, 6080.327868852459, 4744.084507042254, 4621.232876712329, 5133.823529411765, 5195.820895522388, 5839.0, 8494.893617021276, 8884.222222222223, 7956.8, 8365.833333333334, 8729.148936170213, 6834.354838709677, 6498.307692307692, 7278.813559322034, 6590.615384615385, 6443.2835820895525, 8030.6, 8106.734693877551, 8540.833333333334, 8643.829787234043, 8536.041666666666, 10496.341463414634, 9584.893617021276, 9227.446808510638, 9745.90909090909, 9127.272727272728,
12, 7107.222222222223, 7460.192307692308, 8343.829787234043, 6883.166666666667, 6244.307692307692, 7146.610169491525, 6105.223880597015, 6792.786885245901, 6357.5, 6479.4915254237285, 6040.4838709677415, 7365.272727272727, 6538.813559322034, 4554.305555555556, 4817.35294117647, 4703.0, 4958.676470588235, 5539.6875, 8812.978723404256, 8843.91304347826, 7858.6274509803925, 8762.608695652174, 9492.666666666666, 6177.121212121212, 6904.426229508197, 7265.689655172414, 6429.701492537313, 6763.809523809524, 7705.882352941177, 8559.583333333334, 9149.777777777777, 9217.555555555555, 8003.469387755102, 9527.5, 9495.869565217392, 9067.872340425532, 9363.777777777777, 9694.52380952381,
13, 7526.538461538462, 7773.333333333333, 8345.918367346938, 6468.253968253968, 6900.166666666667, 7274.576271186441, 6712.096774193548, 6489.375, 6520.5084745762715, 7011.818181818182, 5569.558823529412, 7030.892857142857, 6417.28813559322, 4646.231884057971, 4163.378378378378, 4176.164383561644, 5316.825396825397, 5638.387096774193, 9026.595744680852, 8866.808510638299, 8711.041666666666, 8005.6, 8460.208333333334, 6263.28125, 6195.441176470588, 7044.426229508197, 6500.46875, 6482.878787878788, 8550.833333333334, 8717.234042553191, 9677.5, 9023.617021276596, 8212.857142857143, 10224.761904761905, 9253.829787234043, 9609.318181818182, 9325.869565217392, 9535.581395348838,
14, 7855.686274509804, 7556.862745098039, 8645.217391304348, 7477.543859649123, 7174.745762711865, 7741.090909090909, 7513.508771929824, 7030.0, 6513.793103448276, 7346.545454545455, 6262.295081967213, 6859.642857142857, 6621.551724137931, 4076.6216216216217, 4006.7105263157896, 4133.2, 4330.958904109589, 4778.840579710145, 8553.265306122448, 9131.739130434782, 8841.063829787234, 8891.91489361702, 8963.617021276596, 5859.130434782609, 6718.548387096775, 6759.84375, 6275.522388059701, 6919.354838709677, 9489.545454545454, 9368.863636363636, 9429.777777777777, 9422.222222222223, 8841.08695652174, 9629.302325581395, 8603.8, 9328.260869565218, 9186.739130434782, 9072.045454545454,
15, 7941.3725490196075, 7479.423076923077, 7929.019607843137, 7047.457627118644, 6702.419354838709, 7694.736842105263, 7881.454545454545, 7178.813559322034, 6689.482758620689, 6243.666666666667, 5649.545454545455, 6255.901639344263, 6033.809523809524, 3856.753246753247, 4279.733333333334, 4446.197183098591, 3946.025641025641, 4410.138888888889, 8915.744680851063, 8615.510204081633, 8424.081632653062, 9450.222222222223, 9237.173913043478, 5837.826086956522, 6937.0, 6386.461538461538, 6544.6875, 6424.242424242424, 9042.444444444445, 9314.222222222223, 9439.333333333334, 9234.347826086956, 8864.347826086956, 10103.809523809523, 9579.565217391304, 9631.555555555555, 9170.425531914894, 10258.75,
16, 8246.122448979591, 8157.142857142857, 8212.244897959185, 7485.438596491228, 7256.379310344828, 7683.333333333333, 7136.949152542373, 7658.392857142857, 5852.615384615385, 5906.507936507936, 5232.058823529412, 6266.393442622951, 5436.515151515152, 4462.028985507246, 4009.87012987013, 4338.767123287671, 4050.7894736842104, 4273.5526315789475, 9337.777777777777, 8563.877551020409, 9065.652173913044, 8877.5, 9024.347826086956, 6370.615384615385, 6651.290322580645, 6431.25, 6402.307692307692, 6234.558823529412, 9371.555555555555, 9627.209302325582, 9534.09090909091, 9904.186046511628, 9380.222222222223, 10455.5, 9298.260869565218, 9779.545454545454, 9993.809523809523, 9339.772727272728,
