iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 753.3624454148471, 772.114537444934, 713.2735426008969, 682.5431034482758, 716.3348416289592, 766.9166666666666, 724.6825396825396, 718.4507042253521, 811.8009478672985, 742.15, 744.8611111111111, 708.3809523809524, 709.95, 765.183486238532, 748.0487804878048, 786.405529953917, 739.0430622009569, 746.0409556313994, 882.6765799256506, 756.5073529411765, 885.0, 878.4230769230769, 664.6666666666666, 761.2785388127854, 710.3211009174312, 764.6902654867257, 712.8508771929825, 820.6741573033707, 876.5432098765432, 759.9233716475096, 802.5547445255474, 812.3715415019763, 502.1641791044776, 342.7232142857143, 556.3306451612904, 441.51851851851853, 446.46840148698885,
2, 858.3142857142857, 909.0489913544668, 834.6407185628742, 839.4328358208955, 810.7246376811594, 757.2521246458923, 839.4545454545455, 790.3284671532847, 827.0110701107011, 760.1060070671379, 773.4090909090909, 673.8768115942029, 731.8575851393189, 744.4444444444445, 811.1343283582089, 721.9047619047619, 783.5384615384615, 1008.2808022922636, 964.9428571428572, 931.1461318051576, 1020.9850746268656, 1031.910447761194, 870.952380952381, 880.8206686930091, 874.7560975609756, 863.730407523511, 837.9228486646884, 811.6480446927375, 983.1003039513678, 954.5882352941177, 977.3198847262248, 934.1643059490085, 998.0338983050848, 1246.2717770034844, 1129.5323741007194, 950.2622950819672, 1262.0996441281138,
3, 893.8317757009346, 964.1818181818181, 958.8821752265861, 703.1896551724138, 807.3595505617977, 787.8813559322034, 745.4545454545455, 868.7683284457478, 857.5071633237823, 800.3399433427762, 838.3381924198251, 821.8367346938776, 865.233918128655, 899.0778097982709, 793.3236994219653, 821.8413597733711, 887.046783625731, 1122.970297029703, 1244.6503496503497, 1251.4705882352941, 1244.251700680272, 1650.2991452991453, 854.1256830601093, 880.0557103064067, 870.2445652173913, 867.5068493150685, 876.0614525139665, 1077.2645739910313, 1065.593220338983, 1210.093023255814, 1247.9770992366412, 1204.264705882353, 2442.8643216080404, 2725.0, 3178.5714285714284, 2763.358778625954, 2752.8358208955224,
4, 1433.8425925925926, 1098.5767790262173, 1354.5652173913043, 169.0909090909091, 870.1680672268908, 1154.7843137254902, 637.4285714285714, 777.1236559139785, 741.0290237467018, 714.5572916666666, 751.2962962962963, 633.4673366834171, 1204.5701357466064, 941.1949685534591, 1223.6909871244636, 1274.3589743589744, 1067.8087649402391, 2623.6046511627906, 2204.388489208633, 2875.217391304348, 3246.103896103896, 3085.923566878981, 812.1657754010695, 863.75, 1010.3197674418604, 952.5595238095239, 1014.9577464788732, 2024.109589041096, 1466.51376146789, 2068.009478672986, 1871.1627906976744, 2312.755905511811, 4616.739130434783, 4312.278481012659, 4668.148148148148, 4438.90625, 4592.7027027027025,
5, 2794.8427672955977, 2276.4596273291927, 2798.684210526316, 1295.0, 1296.304347826087, 1864.4943820224719, 1052.9032258064517, 579.8076923076923, 563.1898734177215, 500.9478672985782, 696.9090909090909, 480.87264150943395, 3983.0379746835442, 2455.776397515528, 3386.5, 3690.842105263158, 2682.0779220779223, 3459.655172413793, 3980.1408450704225, 3857.0491803278687, 4431.09375, 4586.363636363636, 1130.9966777408638, 1019.5483870967741, 1124.963503649635, 1640.120481927711, 1257.0287539936103, 3432.293577981651, 2723.712121212121, 3091.1627906976746, 2533.359375, 3412.24, 5015.588235294118, 5647.777777777777, 5590.357142857143, 5234.864864864865, 5598.529411764706,
6, 3918.923076923077, 4502.12962962963, 4547.551020408163, 1984.126984126984, 3934.109589041096, 3918.9830508474574, 3178.740157480315, 770.9550561797753, 720.8641975308642, 801.6959064327485, 881.1309523809524, 1000.716723549488, 8015.151515151515, 5337.209302325581, 5770.185185185185, 7762.954545454545, 5667.931034482759, 4822.307692307692, 5226.153846153846, 5045.833333333333, 5015.0, 5196.363636363636, 2494.3298969072166, 1941.7796610169491, 2414.3961352657007, 3166.0365853658536, 2195.6338028169016, 4488.260869565217, 4683.561643835616, 4846.133333333333, 4150.724637681159, 4692.5641025641025, 5267.878787878788, 4946.666666666667, 5882.222222222223, 6240.3125, 6667.954545454545,
7, 5504.615384615385, 5286.216216216216, 4768.125, 3234.814814814815, 4804.130434782609, 5975.333333333333, 5023.913043478261, 1195.268817204301, 1185.8208955223881, 1572.283464566929, 1394.765625, 1614.6818181818182, 8936.538461538461, 6082.5, 7050.526315789473, 9232.222222222223, 7910.5, 6260.0, 4966.0, 5106.666666666667, 4987.777777777777, 4522.727272727273, 3858.3703703703704, 3794.755244755245, 3573.5443037974683, 4495.0, 4025.1063829787236, 5628.571428571428, 5077.692307692308, 7538.4, 4688.461538461538, 4573.75, 5951.573033707865, 5721.428571428572, 5883.770491803279, 6097.894736842105, 6031.0,
8, 7813.75, 5609.2307692307695, 5841.111111111111, 3964.0625, 4649.347826086957, 6151.818181818182, 5363.461538461538, 2063.655462184874, 2698.0662983425414, 3239.4039735099336, 2505.2542372881358, 3359.570552147239, 8118.333333333333, 7770.952380952381, 7877.222222222223, 9692.926829268292, 8213.725490196079, 6083.333333333333, 6492.727272727273, 5781.111111111111, 4710.0, 4875.0, 5189.1752577319585, 5555.0, 4298.275862068966, 5124.117647058823, 4984.68085106383, 7382.941176470588, 5742.5, 7745.833333333333, 5864.666666666667, 5709.0, 5700.46875, 6504.821428571428, 5580.3448275862065, 6594.918032786885, 6554.117647058823,
9, 9940.0, 7716.363636363636, 5425.227272727273, 5725.666666666667, 4807.037037037037, 5638.387096774193, 6494.782608695652, 3248.3552631578946, 4413.0097087378645, 5326.037735849057, 3231.328671328671, 4450.267857142857, 6824.237288135593, 8369.0, 6576.935483870968, 8202.368421052632, 9022.32142857143, 6325.641025641025, 7713.636363636364, 5846.666666666667, 5245.555555555556, 4980.0, 7172.222222222223, 6772.708333333333, 5935.714285714285, 5073.333333333333, 4965.0, 7796.8421052631575, 6144.615384615385, 6351.764705882353, 6325.0, 5367.222222222223, 6040.833333333333, 5770.967741935484, 5913.615384615385, 6598.211382113821, 7033.75,
