iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, -177.27737226277372, -277.5081967213115, -218.70503597122303, -272.88990825688074, -235.28682170542635, -203.1484375, -268.4070796460177, -223.59504132231405, -274.41584158415844, -188.54609929078015, -245.9268292682927, -276.3302752293578, -259.9111111111111, -279.78761061946904, -219.7248322147651, -269.22137404580155, -157.2875, -168.8159509202454, -161.38255033557047, -138.92485549132948, -224.06299212598427, -232.25396825396825, -215.57746478873239, -269.0813008130081, -224.92142857142858, -286.73873873873873, -209.2962962962963, -187.04964539007094, -203.1171875, -215.9111111111111, -233.656, -129.67391304347825, -88.85185185185185, -11.737463126843657, -84.496, -10.707317073170731,
2, -135.43979057591622, -150.1157894736842, -91.50236966824644, -136.99514563106797, -95.93478260869566, -156.99425287356323, -242.90625, -158.5912408759124, -228.23076923076923, -139.75862068965517, -154.91538461538462, -276.18, -231.57142857142858, -169.79738562091504, -211.5, -173.0, -52.622489959839356, -28.605341246290802, -39.16896551724138, -45.31818181818182, -45.08490566037736, -180.02366863905326, -154.19270833333334, -141.79518072289156, -124.44502617801047, -135.7195767195767, -74.15277777777777, -57.55263157894737, -82.3896103896104, -57.892857142857146, -105.14507772020725, -14.911290322580646, -3.5271317829457365, -1.7065767284991569, -34.92248062015504, -5.641065830721003,
3, -98.18483412322274, -75.25357142857143, -46.06344410876133, -85.16835016835017, -60.275193798449614, -58.402877697841724, -180.6604938271605, -118.53694581280789, -119.23605150214593, -156.03305785123968, -159.32335329341316, -160.22340425531914, -137.1764705882353, -144.5909090909091, -153.34444444444443, -150.55614973262033, -31.839857651245552, -36.369942196531795, -14.647849462365592, -25.968023255813954, -14.476973684210526, -186.05714285714285, -231.95081967213116, -160.85064935064935, -87.37089201877934, -113.86153846153846, -33.648809523809526, -46.50892857142857, -30.3502538071066, -23.757142857142856, -33.97427652733119, -2.6927835051546394, -0.6364452423698385, 0.0, -6.851239669421488, -6.416666666666667,
4, -50.74301675977654, -35.756637168141594, -29.358862144420133, -98.05714285714286, -36.675097276264594, -29.184, -139.44776119402985, -94.78448275862068, -65.26966292134831, -69.72108843537416, -105.16091954022988, -140.0, -122.66917293233082, -183.8015873015873, -119.5548780487805, -129.18471337579618, -15.346625766871165, -28.545, -8.967845659163988, -18.682539682539684, -7.136054421768708, -25.528497409326423, -31.573099415204677, -71.22330097087378, -188.69306930693068, -38.975903614457835, -23.365384615384617, -19.378205128205128, -14.612903225806452, -24.3, -31.681818181818183, -1.377906976744186, -0.008028545941123996, 0.0, -2.3877551020408165, -6.112903225806452,
5, -35.05263157894737, -87.07894736842105, -36.36455696202532, -116.26415094339623, -35.25221238938053, -28.329959514170042, -90.13917525773196, -72.29943502824858, -45.2909604519774, -57.74226804123711, -63.191489361702125, -192.4453125, -693.3333333333334, -268.27450980392155, -123.5657894736842, -244.8815789473684, -14.813432835820896, -4.509090909090909, -10.071428571428571, -39.73737373737374, -3.111111111111111, -10.46900269541779, -42.640776699029125, -31.256521739130434, -22.879828326180256, -24.38738738738739, -26.418181818181818, -41.625, -7.854700854700854, -17.323809523809523, -24.18421052631579, -0.16651825467497774, 0.0, 0.0, -1.5846153846153845, 0.0,
6, -54.77777777777778, -130.2, -29.995884773662553, -57.528985507246375, -35.67156862745098, -56.766129032258064, -68.07906976744187, -44.6953125, -31.335463258785943, -47.911949685534594, -224.82222222222222, -446.93939393939394, -177.66666666666666, -876.0769230769231, -291.7352941176471, -158.27380952380952, -13.529411764705882, -12.4, -31.097560975609756, -8.05, -9.80952380952381, -4.6937984496124034, -20.46794871794872, -21.379032258064516, -11.386243386243386, -17.185964912280703, -36.37735849056604, -32.44444444444444, -24.137931034482758, -17.416666666666668, -20.228571428571428, -0.02077922077922078, 0.0, -0.43952802359882004, -2.527027027027027, 0.0,
7, -40.48913043478261, -84.1891891891892, -19.685185185185187, -56.82222222222222, -35.72932330827068, -25.162790697674417, -14.024861878453038, -28.786666666666665, -12.086848635235732, -40.46511627906977, -171.15, -576.695652173913, -181.34545454545454, -393.05882352941177, -289.2040816326531, -40.62903225806452, -41.86666666666667, -45.0, -1.8225806451612903, -3.74468085106383, -19.548387096774192, -5.2727272727272725, -9.565217391304348, -4.827205882352941, -6.4063745019920315, -11.053846153846154, -17.606060606060606, -9.194444444444445, -7.375, -17.593220338983052, -16.75, 0.0, 0.0, 0.0, -0.893048128342246, -0.7567567567567568,
8, -47.5875, -51.375, -31.464646464646464, -51.98765432098765, -22.058823529411764, -38.467532467532465, -16.0641592920354, -87.55882352941177, -4.994094488188976, -46.333333333333336, -80.16504854368932, -383.75, -201.34782608695653, -227.87878787878788, -205.89473684210526, -58.65346534653465, -28.875, -26.52, -13.833333333333334, -104.0, -40.0, -5.508, -4.319702602230484, -5.052863436123348, -2.1645021645021645, -7.2407407407407405, -117.03225806451613, -85.88461538461539, -15.24, -4.489795918367347, -30.551724137931036, -0.055232558139534885, 0.0, 0.0, -1.5792349726775956, 0.0,
9, -28.047619047619047, -44.333333333333336, -66.42857142857143, -99.6896551724138, -10.420168067226891, -30.821428571428573, -8.786666666666667, -61.93589743589744, -4.754980079681275, -33.79090909090909, -63.582089552238806, -413.70588235294116, -1005.8, -76.53333333333333, -562.8888888888889, -103.21052631578948, -31.842105263157894, -236.2, -17.535714285714285, -18.419354838709676, -24.583333333333332, -8.300429184549357, -2.4813084112149535, -4.166112956810632, -3.4794520547945207, -6.777777777777778, -27.210526315789473, -82.13793103448276, -28.133333333333333, -7.2, -5.473684210526316, 0.0, 0.0, -0.10460251046025104, -1.703125, 0.0,
