iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, -20.263940520446095, -20.333333333333332, -20.20149253731343, -20.219330855018587, -20.313653136531364, -20.308823529411764, -20.30514705882353, -20.333333333333332, -20.36231884057971, -20.37818181818182, -20.348920863309353, -20.339483394833948, -20.22962962962963, -20.309963099630995, -20.31985294117647, -20.326007326007325, -20.234200743494423, -20.407942238267147, -20.323529411764707, -20.434782608695652, -20.33823529411765, -20.394160583941606, -20.225925925925925, -20.304029304029303, -20.39194139194139, -20.30909090909091, -20.288888888888888, -20.297794117647058, -20.255555555555556, -20.40072202166065, -20.28782287822878, -20.447183098591548, -20.522807017543858, -20.454225352112676, -20.51578947368421, -20.459074733096084,
2, -20.090225563909776, -20.294117647058822, -20.309963099630995, -20.356363636363636, -20.355072463768117, -20.26277372262774, -20.389285714285716, -20.35251798561151, -20.381294964028775, -20.4645390070922, -20.414285714285715, -20.25925925925926, -20.16296296296296, -20.304029304029303, -20.28985507246377, -20.374545454545455, -20.363636363636363, -20.24175824175824, -20.381294964028775, -20.298181818181817, -20.39350180505415, -20.27173913043478, -20.316363636363636, -20.375, -20.32490974729242, -20.304029304029303, -20.241509433962264, -20.11832061068702, -19.599137931034484, -19.94, -20.342960288808666, -20.533807829181494, -20.451957295373667, -20.43859649122807, -20.391304347826086, -20.482394366197184,
3, -18.65, -20.45, -20.454225352112676, -20.46315789473684, -20.405693950177938, -20.37857142857143, -20.392857142857142, -20.446428571428573, -20.45964912280702, -20.557491289198605, -20.31560283687943, -20.3, -20.39051094890511, -20.48409893992933, -20.376344086021504, -20.43525179856115, -20.07509881422925, -19.26, -20.2831541218638, -20.294545454545453, -20.19921875, -20.491408934707902, -20.46875, -20.604895104895103, -20.482142857142858, -20.278745644599304, -17.776536312849164, -18.289772727272727, -17.3625, -18.197802197802197, -19.438356164383563, -20.132575757575758, -20.701818181818183, -20.313653136531364, -20.59375, -20.24170616113744,
4, -15.859375, -20.691525423728812, -20.70805369127517, -20.651877133105803, -20.656462585034014, -20.683673469387756, -20.571969696969695, -19.991071428571427, -20.384920634920636, -20.030888030888033, -19.733606557377048, -20.004048582995953, -20.174468085106383, -20.00429184549356, -20.056, -20.138339920948617, -17.013793103448275, -17.340740740740742, -17.241176470588236, -18.460526315789473, -16.933774834437084, -20.11832061068702, -20.35114503816794, -20.244, -20.597744360902254, -19.92549019607843, -15.296551724137931, -15.869918699186991, -14.575, -15.515151515151516, -16.46938775510204, -13.759398496240602, -19.627118644067796, -19.330985915492956, -19.674242424242426, -19.27956989247312,
5, -13.104166666666666, -20.821782178217823, -20.861290322580643, -20.8474025974026, -20.552901023890787, -20.83495145631068, -20.70391061452514, -19.25531914893617, -20.12707182320442, -18.065656565656564, -19.786729857819907, -19.341463414634145, -19.11464968152866, -19.051612903225806, -17.773006134969325, -19.872093023255815, -14.086021505376344, -15.574074074074074, -13.194915254237289, -15.565217391304348, -14.61344537815126, -19.193236714975846, -18.92391304347826, -18.745945945945945, -20.335135135135136, -18.083769633507853, -11.882352941176471, -12.604651162790697, -11.766990291262136, -13.350427350427351, -16.672, -11.153153153153154, -15.4625, -17.949494949494948, -17.333333333333332, -13.735294117647058,
6, -13.548076923076923, -20.3768115942029, -20.6426116838488, -20.50181818181818, -20.150197628458496, -20.739864864864863, -19.164285714285715, -18.348484848484848, -19.675, -15.624113475177305, -18.674074074074074, -16.940119760479043, -18.1953125, -17.937007874015748, -17.369230769230768, -19.575757575757574, -10.971428571428572, -14.721649484536082, -11.738317757009346, -3.0428571428571427, -11.27, -18.37162162162162, -18.797202797202797, -17.08695652173913, -20.125, -16.675324675324674, -9.764150943396226, -10.323076923076924, -8.315217391304348, -9.829268292682928, -14.504672897196262, -1.1494252873563218, -14.16, -14.988095238095237, -15.983050847457626, -6.05,
7, -9.56842105263158, -18.934065934065934, -20.024, -20.017094017094017, -18.254335260115607, -20.11627906976744, -19.5, -19.11111111111111, -20.167664670658684, -14.8203125, -17.5, -14.533333333333333, -17.166666666666668, -15.166666666666666, -16.31578947368421, -18.8796992481203, -8.2987012987013, -12.425, -9.51685393258427, -0.2698412698412698, -4.035714285714286, -15.46875, -16.73913043478261, -17.103703703703705, -20.510204081632654, -14.6484375, -5.49438202247191, -8.423728813559322, -5.222222222222222, 3.9056603773584904, -8.847058823529412, 8.224719101123595, -5.4, -7.695121951219512, -9.8, -5.407407407407407,
8, -7.219512195121951, -17.73728813559322, -17.5, -18.0, -13.146788990825687, -17.547445255474454, -19.8125, -18.08490566037736, -20.541176470588237, -9.403846153846153, -14.73076923076923, -13.228571428571428, -17.358333333333334, -14.810344827586206, -15.690909090909091, -17.68702290076336, -3.9846153846153847, -9.63888888888889, -7.863636363636363, 5.444444444444445, 0.07692307692307693, -8.588235294117647, -16.0, -13.157407407407407, -19.121739130434783, -10.891089108910892, 2.1710526315789473, -5.708333333333333, -0.07142857142857142, 9.10909090909091, -3.760869565217391, 17.169642857142858, 0.8604651162790697, -1.7142857142857142, -6.875, 1.0333333333333334,
9, -2.417910447761194, -13.879310344827585, -12.106796116504855, -10.410526315789474, -7.979381443298969, -13.785714285714286, -19.010309278350515, -16.013698630136986, -18.324786324786324, -6.747252747252747, -10.4, -10.318965517241379, -16.68867924528302, -13.74766355140187, -14.46218487394958, -17.564102564102566, 4.5, -7.338028169014085, -0.7671232876712328, 8.55056179775281, 3.388235294117647, -8.032967032967033, -9.955223880597014, -11.13265306122449, -16.46511627906977, -11.941747572815533, 2.4225352112676055, -2.116279069767442, 3.7349397590361444, 13.434782608695652, -5.317647058823529, 18.556451612903224, 9.8125, 4.584615384615384, 0.9302325581395349, 7.2727272727272725,
