iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 151.01706036745406, 158.52047556142668, 157.0291777188329, 167.15552523874487, 160.81536388140162, 157.42343541944075, 151.6711229946524, 152.9431216931217, 173.00944669365722, 162.24489795918367, 159.35828877005346, 151.63989290495314, 157.2005383580081, 167.6330150068213, 158.76010781671158, 160.27815468113977, 153.85135135135135, 159.85155195681511, 163.0420054200542, 166.19241192411923, 164.96575342465752, 168.79240162822254, 168.55600539811067, 158.25503355704697, 155.48862115127176, 163.90750670241286, 156.04138851802404, 151.90253671562084, 182.0600272851296, 169.95257452574526, 172.31292517006804, 171.18243243243242, 167.94871794871796, 244.14893617021278, 286.43847487001733, 343.155737704918, 215.16335227272728, 325.31847133757964,
2, 217.8720445062587, 221.42857142857142, 246.38728323699422, 200.5994358251058, 209.01988636363637, 203.27169274537695, 214.3113342898135, 215.6025824964132, 150.62997347480106, 165.92741935483872, 165.82321187584344, 156.7476383265857, 166.40939597315437, 188.9958734525447, 185.85753803596128, 193.31476323119776, 172.59158751696066, 181.8526170798898, 259.9702380952381, 274.03417533432395, 274.0629685157421, 267.46268656716416, 265.22222222222223, 196.74825174825176, 190.03424657534248, 213.11018131101812, 209.53212290502793, 198.34739803094234, 240.32846715328466, 256.9767441860465, 239.69072164948454, 243.22533136966126, 250.2569750367107, 562.7840909090909, 785.8624454148471, 801.1709601873537, 699.1853360488799, 858.0627705627705,
3, 300.7375776397516, 299.805900621118, 317.8515625, 295.4361873990307, 291.69354838709677, 288.5869565217391, 322.5323624595469, 305.19323671497585, 272.9389312977099, 301.52985074626866, 302.3809523809524, 259.02061855670104, 280.42986425339365, 295.5177743431221, 302.073732718894, 324.8820754716981, 278.738670694864, 279.27382753403936, 358.3333333333333, 356.7953020134228, 352.7049180327869, 342.4107142857143, 356.03885135135135, 304.10685805422645, 346.491935483871, 307.81990521327015, 332.11538461538464, 338.99842271293375, 340.3782894736842, 315.5309033280507, 304.8335974643423, 326.0108864696734, 329.6603475513428, 967.9545454545455, 2059.9837662337663, 2001.6768292682927, 1924.9305555555557, 2636.4503816793895,
4, 432.695810564663, 452.7726432532348, 431.4631956912029, 464.4935344827586, 424.10714285714283, 435.4575163398693, 464.16309012875536, 475.20661157024796, 334.8256735340729, 365.46644844517186, 362.06349206349205, 402.328431372549, 360.15503875968994, 447.0502901353965, 431.7467652495379, 425.6076388888889, 441.4132379248658, 397.84330985915494, 466.23762376237624, 489.7894736842105, 457.4850299401198, 486.49897330595485, 470.89322381930185, 425.3125, 494.41923774954626, 410.44973544973544, 428.14159292035396, 418.6860068259386, 525.109649122807, 513.5728542914171, 451.00767754318616, 486.626746506986, 419.05940594059405, 2924.0066225165565, 3593.4210526315787, 3927.8947368421054, 4153.64406779661, 4140.775401069519,
5, 578.7735849056604, 528.7694013303769, 587.0179948586118, 710.7913669064748, 732.6164874551971, 681.140350877193, 579.8158640226629, 751.7350157728706, 441.5268456375839, 408.2932692307692, 417.4006908462867, 394.1006600660066, 402.50865051903116, 553.908188585608, 485.95641646489105, 550.7201646090535, 554.1125541125541, 516.9767441860465, 637.1501272264632, 660.8356940509915, 634.527027027027, 625.5844155844156, 624.9266862170088, 507.8752642706131, 604.4759825327511, 551.002004008016, 525.1619870410367, 566.8776371308016, 617.8664921465969, 670.4659949622167, 589.3278301886793, 542.6308539944904, 535.1728723404256, 3203.061224489796, 3775.1077586206898, 4442.015706806283, 4700.714285714285, 4409.349593495935,
6, 648.5243055555555, 603.7535410764873, 727.076677316294, 670.0, 1294.5497630331754, 718.2464454976304, 810.6986899563319, 936.8544600938967, 665.421052631579, 549.7844827586207, 566.8279569892474, 622.8313253012049, 671.3020833333334, 647.1341463414634, 586.1585365853658, 541.3690476190476, 603.7530266343825, 797.7146814404432, 774.2857142857143, 688.1172839506173, 746.4185393258427, 719.9061662198392, 690.9313725490196, 617.0854271356784, 629.2214912280701, 633.4650112866817, 665.2542372881356, 606.6125290023202, 713.4090909090909, 1026.1749347258485, 867.9230769230769, 638.2154882154882, 918.6395759717315, 4187.368421052632, 4486.578947368421, 4454.807692307692, 5168.472906403941, 4108.730158730159,
7, 789.1544117647059, 848.7889273356401, 831.115107913669, 808.9712918660288, 1988.7931034482758, 1278.2085561497327, 1888.5467980295566, 1782.8869047619048, 1103.485254691689, 981.578947368421, 1083.240997229917, 1044.018817204301, 760.3139013452915, 909.5013477088949, 727.514367816092, 673.1155778894472, 660.6299212598425, 665.8482142857143, 1192.7285318559557, 640.717299578059, 1030.2867383512544, 1085.9848484848485, 987.0, 781.3858695652174, 712.6231527093596, 594.3009118541033, 724.3006993006993, 985.8910891089109, 734.516129032258, 916.2457912457912, 896.7770034843205, 914.4941634241245, 904.0513833992095, 4025.8333333333335, 4689.041095890411, 5774.305555555556, 5243.333333333333, 4573.214285714285,
8, 847.1273291925465, 786.4620938628159, 811.4695340501792, 950.7537688442211, 2030.9615384615386, 1337.041884816754, 1901.0309278350514, 845.3389830508474, 2062.8676470588234, 1186.842105263158, 1681.0102301790282, 1539.1833810888252, 829.8913043478261, 930.835734870317, 648.876404494382, 625.4929577464789, 790.1515151515151, 1073.2558139534883, 1587.9664179104477, 765.9090909090909, 1281.5555555555557, 1598.5849056603774, 1331.1241610738255, 869.4736842105264, 718.6599423631123, 605.0578034682081, 672.4765258215963, 817.4549549549549, 762.5, 766.7056074766355, 771.9618055555555, 822.140221402214, 927.2980501392758, 3802.7272727272725, 4652.272727272727, 9401.68918918919, 7382.142857142857, 4783.214285714285,
9, 681.4423076923077, 870.9940652818991, 783.0327868852459, 1969.551282051282, 1349.6815286624203, 1411.842105263158, 2735.96256684492, 1151.197604790419, 2330.1612903225805, 1305.4428044280444, 1260.376044568245, 2306.9285714285716, 1425.9803921568628, 1552.8425655976675, 947.3870056497175, 875.0783699059562, 1066.6909620991253, 1402.4305555555557, 2346.9931271477662, 1060.5088495575221, 1106.063829787234, 2251.7979452054797, 2129.5171339563863, 925.9717314487633, 1018.4121621621622, 938.37890625, 1095.2247191011236, 884.1, 1291.9715447154472, 895.4106280193237, 740.1459854014598, 756.1158798283262, 1471.938775510204, 4779.761904761905, 7119.871794871795, 14033.75, 7819.1558441558445, 8882.211538461539,
10, 777.295918367347, 1637.4587458745875, 992.1, 2632.1428571428573, 3188.9802631578946, 2754.608938547486, 2889.4662921348313, 1842.2897196261683, 2010.8848314606741, 2016.6666666666667, 1266.0714285714287, 2790.297450424929, 1800.513698630137, 1619.7692307692307, 1322.7401129943503, 1208.28611898017, 1580.5473372781064, 1751.9970414201184, 2013.9355742296918, 1059.5505617977528, 2165.0641025641025, 2506.7835365853657, 2034.8214285714287, 1109.3531468531469, 1574.9303621169915, 1352.5096525096526, 1236.5728900255754, 1994.6245733788396, 1220.2620967741937, 923.1308411214953, 749.244966442953, 1463.0296610169491, 1431.8877551020407, 4562.931034482759, 9126.0, 14898.369565217392, 12138.356164383562, 10402.29357798165,
11, 1009.7165991902834, 1946.8085106382978, 2226.9736842105262, 3191.780821917808, 3700.574712643678, 3093.0397727272725, 3205.1666666666665, 2996.212121212121, 2472.6495726495727, 2009.7222222222222, 939.8014440433213, 2033.0976863753212, 2236.25, 1827.818991097923, 1867.857142857143, 1734.9415204678362, 1868.194842406877, 1821.4899713467048, 1463.4375, 1643.371212121212, 2870.483193277311, 2360.0318471337578, 978.7301587301587, 1090.1442307692307, 1737.142857142857, 1154.3478260869565, 1243.641975308642, 1412.6373626373627, 1614.1221374045801, 1139.5642201834862, 847.1666666666666, 1379.6006944444443, 3320.390625, 6400.0, 11787.5, 12431.976744186046, 13847.635135135135, 13240.80459770115,
12, 1068.0, 1825.8064516129032, 2926.063829787234, 3461.298076923077, 3919.542253521127, 3614.0, 3827.7083333333335, 3849.4565217391305, 1877.8959810874705, 2362.7757352941176, 1465.3921568627452, 1388.1733021077284, 2100.0, 1765.02849002849, 1394.8347107438017, 1840.1988636363637, 1817.6638176638176, 1871.9740634005764, 1278.9301310043668, 2543.3467741935483, 2817.843866171004, 2346.5714285714284, 892.3295454545455, 1992.4615384615386, 1663.1105398457585, 1363.3647798742138, 1064.8263027295286, 1999.6594005449592, 2210.7913669064747, 1029.18410041841, 843.0, 1485.7142857142858, 2909.982014388489, 6928.125, 13921.25, 12764.0625, 14747.826086956522, 13608.227848101265,
13, 2144.8443579766536, 2214.0794223826715, 2629.00641025641, 3882.983193277311, 3970.2380952380954, 3725.0, 3923.25, 3728.5416666666665, 1810.618932038835, 2215.6045751633987, 2417.5373134328356, 1887.146529562982, 2418.521126760563, 1872.1153846153845, 1844.1051136363637, 1734.861111111111, 1428.8612565445026, 1526.1936339522547, 1731.2790697674418, 2475.3968253968255, 2116.747572815534, 3036.645962732919, 2258.4690553745927, 1534.516129032258, 1738.573407202216, 1593.7931034482758, 1390.36312849162, 1761.607142857143, 1324.1097922848664, 1081.7142857142858, 842.1052631578947, 2048.860182370821, 2889.4200626959246, 12288.40579710145, 14161.458333333334, 12387.820512820514, 13901.666666666666, 15178.57142857143,
14, 2334.0384615384614, 2165.7986111111113, 2010.0, 3568.548387096774, 4295.3488372093025, 3724.448529411765, 3859.438775510204, 4292.718446601942, 1966.3239074550129, 2591.166077738516, 2051.065573770492, 2135.974025974026, 1665.5526992287919, 1489.5714285714287, 1956.7548746518105, 1879.9168975069251, 1373.0576441102758, 1184.6774193548388, 2089.2441860465115, 2316.6666666666665, 2189.469453376206, 3496.3934426229507, 3014.967105263158, 2154.6721311475408, 2306.6199376947043, 2197.4358974358975, 1476.3418079096045, 1555.7339449541284, 836.0271903323263, 1317.832167832168, 912.5, 1659.4972067039107, 2698.0442176870747, 12867.410714285714, 14217.857142857143, 15310.795454545454, 15266.111111111111, 14697.916666666666,
15, 1855.0, 2902.2401433691757, 3137.072243346008, 3596.6019417475727, 4430.6122448979595, 3863.1386861313867, 5484.848484848485, 4562.132352941177, 2270.172910662824, 2359.6730245231606, 1566.2121212121212, 2575.0700280112046, 1902.5, 1701.2893982808023, 2135.842541436464, 2038.9044943820224, 1174.4303797468353, 1468.8295165394402, 2911.46694214876, 2203.134328358209, 2908.7638376383766, 3522.202166064982, 3157.276119402985, 2358.4150326797385, 2602.5162337662337, 2482.8178694158078, 1769.0615835777126, 2154.7038327526134, 562.7622377622378, 1722.8915662650602, 1039.6288209606987, 2000.9562841530055, 2919.1640378548896, 13593.30357142857, 12742.372881355932, 14701.190476190477, 14803.658536585366, 15783.482142857143,
16, 1758.365019011407, 3472.169811320755, 3472.3107569721114, 4010.7558139534885, 4713.366336633663, 4295.666666666667, 5938.01652892562, 4167.857142857143, 1842.7205882352941, 1403.3653846153845, 1160.2240896358544, 2820.508982035928, 2251.068376068376, 2645.4615384615386, 1059.5011876484562, 1333.6609336609336, 942.6959619952494, 1457.875, 3270.78853046595, 2635.27397260274, 3470.089285714286, 3662.4007936507937, 3494.4649446494464, 2497.7056962025317, 2864.3485915492956, 2309.0460526315787, 1965.4984423676012, 2302.36013986014, 459.9770642201835, 2619.722222222222, 1246.1352657004832, 2949.4475138121547, 2412.3720136518773, 14610.975609756097, 13768.965517241379, 15713.775510204081, 15463.775510204081, 16691.847826086956,
17, 1928.80859375, 3829.3307086614172, 3700.4065040650407, 4075.0, 5370.075757575758, 5130.0, 8702.314814814816, 4747.151898734177, 1989.6774193548388, 2110.3571428571427, 1699.223163841808, 2314.868804664723, 2195.7042253521126, 2269.122023809524, 1277.0, 1235.8374384236454, 1640.2564102564102, 1398.0450236966824, 3421.9607843137255, 3785.813492063492, 3819.4954128440368, 4049.06103286385, 3463.934426229508, 2399.8355263157896, 3081.5018315018315, 3131.968641114983, 2383.9403973509934, 2869.569288389513, 479.5302013422819, 2627.4764150943397, 1907.6848249027237, 3081.4606741573034, 2604.4014084507044, 13897.142857142857, 14389.166666666666, 17856.410256410258, 14357.5, 16506.363636363636,
18, 3286.4150943396226, 3663.407258064516, 3953.099173553719, 4667.916666666667, 5922.935779816514, 6054.0, 8701.470588235294, 4606.854838709677, 1839.9242424242425, 1768.0194805194806, 2046.9604863221884, 1831.0089020771513, 1941.1854103343464, 1826.4705882352941, 1662.8140703517588, 1144.909793814433, 2449.9273255813955, 1985.1145038167938, 3648.660714285714, 3603.285714285714, 4093.75, 4062.3456790123455, 3844.713656387665, 2727.707006369427, 3358.8403041825095, 3278.0701754385964, 2627.8688524590166, 3039.507299270073, 1007.9545454545455, 3530.8429118773947, 1632.7554744525548, 3207.070707070707, 2665.9836065573772, 13880.833333333334, 15864.864864864865, 15625.0, 16200.0, 16973.684210526317,
19, 3893.305439330544, 4090.425531914894, 4012.2317596566522, 4474.509803921569, 6475.274725274725, 7354.672897196262, 8998.097826086956, 5466.265060240964, 1657.679180887372, 1974.5847176079735, 2681.2919463087246, 2128.678678678679, 1935.316265060241, 1506.0945273631842, 2462.133333333333, 1496.3647959183672, 2659.74930362117, 1464.6882494004797, 3631.3106796116504, 3868.8118811881186, 4136.666666666667, 4185.358565737052, 3752.9411764705883, 3316.9776119402986, 3466.9, 3252.3076923076924, 2627.5800711743773, 3472.3360655737706, 1786.71875, 2969.561403508772, 2495.706106870229, 3123.9830508474574, 2883.969465648855, 16265.51724137931, 15704.166666666666, 17814.204545454544, 17419.0, 16929.166666666668,
20, 4000.8264462809916, 4086.7965367965367, 4266.328828828829, 5928.082191780822, 7953.235294117647, 9165.489130434782, 10530.9375, 6097.074468085107, 2550.0814332247555, 2552.223926380368, 2823.952095808383, 2844.3627450980393, 1548.4567901234568, 1755.8035714285713, 2537.6721763085397, 2563.0985915492956, 2525.6830601092897, 2196.056338028169, 4097.408536585366, 3989.9171270718234, 4265.306122448979, 4231.308411214954, 4030.9322033898306, 3516.0919540229884, 3560.0, 3521.2655601659753, 3411.164122137405, 3083.695652173913, 2601.2295081967213, 1686.6740088105728, 2572.9961832061067, 3308.3636363636365, 3574.5391705069123, 13642.045454545454, 16916.071428571428, 17975.925925925927, 17046.56862745098, 18353.977272727272,
21, 4198.908296943231, 4278.47533632287, 4355.339805825242, 6637.341772151899, 9758.561643835616, 9679.06976744186, 10207.575757575758, 8146.527777777777, 1744.758064516129, 2731.25, 3023.0095541401274, 2563.111888111888, 1861.2068965517242, 2077.8994845360826, 3032.703488372093, 2400.74931880109, 2586.4958448753464, 2174.9338624338625, 4146.478873239436, 4046.5773809523807, 4511.820652173913, 4383.717948717948, 4186.280487804878, 3460.3991596638657, 3707.3809523809523, 3629.889298892989, 3758.738938053097, 3602.004716981132, 2912.729357798165, 1516.622340425532, 2944.5817490494296, 3397.589285714286, 3958.75, 16536.11111111111, 17868.589743589742, 20331.060606060608, 17847.727272727272, 19225.0,
22, 4337.04128440367, 4633.252427184466, 4480.778894472362, 7514.74358974359, 9587.373737373737, 10934.558823529413, 12634.65909090909, 7689.6875, 3580.9446254071663, 2944.452887537994, 3008.253205128205, 3324.158249158249, 2713.9937106918237, 1967.7339901477833, 3212.4260355029587, 2966.404011461318, 2648.931623931624, 2292.587601078167, 4210.085227272727, 4039.344262295082, 4438.576158940397, 4537.4331550802135, 4071.732026143791, 3973.128342245989, 3754.3010752688174, 3828.8533834586465, 3983.248730964467, 3888.8736263736264, 2594.675925925926, 1890.4255319148936, 2521.5587044534414, 3936.6438356164385, 4179.260089686099, 16221.052631578947, 17748.275862068964, 17888.06818181818, 18148.026315789473, 19771.511627906977,
23, 4365.70351758794, 4782.894736842105, 4637.28813559322, 8231.593406593407, 10413.0, 11184.48275862069, 13070.253164556962, 9719.135802469136, 3007.0287539936103, 3345.2302631578946, 3123.3870967741937, 2768.730407523511, 2973.1918238993712, 2951.714285714286, 2791.547277936963, 2355.958904109589, 3159.056886227545, 2509.2329545454545, 4377.232142857143, 4099.056603773585, 4406.603773584906, 4719.745222929936, 4106.077348066298, 4082.541899441341, 3566.5562913907283, 4040.0201612903224, 3903.286384976526, 3804.1666666666665, 2333.50622406639, 2822.663551401869, 2484.1111111111113, 4161.764705882353, 4363.656387665198, 18810.416666666668, 19296.527777777777, 21510.46511627907, 18823.780487804877, 18402.717391304348,
