iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 1471.432664756447, 1438.2521489971348, 1421.3239436619717, 1399.9719101123596, 1453.7142857142858, 1459.2022792022792, 1424.1761363636363, 1492.764705882353, 1482.991202346041, 1449.059829059829, 1431.5014164305949, 1455.1142857142856, 1458.2857142857142, 1498.9149560117303, 1482.3546511627908, 1445.6657223796035, 1473.5734870317003, 1433.9154929577464, 1445.1585014409222, 1459.6811594202898, 1460.5730659025787, 1446.5329512893982, 1477.9941860465117, 1492.8362573099416, 1457.3219373219374, 1453.4782608695652, 1471.9540229885058, 1472.332361516035, 1500.5014749262536, 1517.2700296735904, 1477.1014492753623, 793.9823008849557, 880.5290102389079, 836.5415549597856, 849.3719008264463, 861.0166919575114,
2, 1532.842105263158, 1369.2287234042553, 1402.127659574468, 1397.4520547945206, 1566.5650969529086, 1411.359773371105, 1376.759493670886, 1342.1463414634147, 1455.916230366492, 1309.5903614457832, 1352.1695760598504, 1554.4077134986226, 1538.1571815718157, 1535.4520547945206, 1575.2941176470588, 1506.4088397790056, 1772.1802325581396, 1664.6153846153845, 1605.4202898550725, 1709.5762711864406, 1662.0923913043478, 1684.8342541436464, 1582.3342175066314, 1582.5606469002696, 1620.4, 1518.047493403694, 1918.855421686747, 1796.9911504424779, 1778.5087719298247, 1838.9880952380952, 1768.3333333333333, 2235.1453488372094, 2221.734104046243, 2245.203488372093, 2248.3125, 1933.0094786729858,
3, 1837.027027027027, 1910.4261363636363, 1960.9537572254335, 1953.780487804878, 2012.3030303030303, 1992.065868263473, 1748.358208955224, 1729.066985645933, 1828.1136950904393, 1731.0287081339713, 1847.3170731707316, 1825.6838905775076, 1885.0857142857142, 1955.6838905775076, 1854.437689969605, 1873.1486880466473, 2010.21021021021, 1955.945945945946, 1952.245508982036, 2022.1686746987953, 1976.5465465465466, 2071.492957746479, 1990.3561643835617, 1973.6827195467422, 2006.3911845730026, 1956.2087912087911, 1855.1367781155016, 1945.6160458452723, 1927.5820895522388, 1958.3081570996978, 1910.3458213256483, 2483.678929765886, 3400.5185185185187, 2492.5324675324673, 2465.3289473684213, 2286.1731843575417,
4, 2270.8333333333335, 2016.7559523809523, 2069.1017964071857, 2039.537037037037, 2168.4146341463415, 2100.4601226993864, 2348.0, 2136.5753424657532, 2269.9112426035504, 2221.191135734072, 2398.2521489971346, 2108.7719298245615, 2248.3699059561127, 2212.262996941896, 2174.1017964071857, 2020.3869047619048, 2156.716417910448, 2306.93009118541, 2114.402332361516, 2343.805031446541, 2138.711656441718, 2312.1533923303837, 2443.673469387755, 2348.7905604719763, 2474.277456647399, 2454.1194029850744, 2184.2814371257487, 2188.7577639751553, 2163.0409356725145, 2112.3076923076924, 2193.2218844984804, 3106.4900662251657, 3984.0329218106995, 2583.364779874214, 2520.326797385621, 2379.023668639053,
5, 2251.8808777429467, 2269.6463022508037, 2189.1768292682927, 2179.3993993993995, 2289.7096774193546, 2176.2654320987654, 2820.606936416185, 2451.183431952663, 2604.1744548286606, 2785.131195335277, 2686.25748502994, 2246.9604863221884, 2312.429906542056, 2286.203703703704, 2391.5923566878982, 2265.4654654654655, 2447.875816993464, 2417.176470588235, 2281.3333333333335, 2627.645051194539, 2213.425925925926, 2468.3841463414633, 2906.079027355623, 2738.7096774193546, 2772.2955974842766, 2696.1377245508984, 2273.1391585760516, 2282.3529411764707, 2295.0, 2316.156462585034, 2288.7539936102235, 4368.357142857143, 4521.769911504425, 2660.4716981132074, 2984.1176470588234, 2466.121212121212,
6, 2326.065573770492, 2329.1126279863483, 2428.2252559726962, 2340.2027027027025, 2345.3535353535353, 2395.6862745098038, 2958.0851063829787, 2805.4727793696275, 2776.529411764706, 2988.75, 2896.970588235294, 2362.1895424836603, 2404.4444444444443, 2501.6501650165014, 2437.9611650485435, 2511.2861736334407, 2764.101694915254, 2821.26582278481, 2502.716049382716, 2705.0320512820513, 2563.1974921630094, 2879.6802325581393, 3121.132075471698, 3108.0664652567975, 2988.628048780488, 3014.100294985251, 2438.2252559726962, 2375.310344827586, 2406.2629757785467, 2408.1533101045297, 2394.6020761245672, 5827.88, 5302.753623188406, 2767.403846153846, 3354.5962732919256, 2547.2136222910217,
7, 2419.6363636363635, 2534.788732394366, 2760.2867383512544, 2403.943661971831, 2398.181818181818, 2767.210144927536, 3132.292817679558, 3187.0029673590507, 3098.125, 3117.4193548387098, 3102.7456647398844, 2532.624584717608, 2743.076923076923, 2632.866894197952, 2667.205387205387, 2735.762711864407, 3286.050724637681, 3263.1103678929767, 3185.9363957597175, 3093.2413793103447, 2833.3333333333335, 3080.089552238806, 3220.264900662252, 3247.9299363057326, 3199.7444089456867, 3241.3333333333335, 2604.9097472924186, 2464.8070175438597, 2482.8985507246375, 2490.551470588235, 2528.736059479554, 6546.639344262295, 5494.7663551401865, 3638.190476190476, 4121.056338028169, 2598.3870967741937,
8, 2480.579150579151, 2822.015503875969, 2941.4765100671143, 2522.0, 2453.6496350364964, 3338.5992217898834, 3206.2170087976538, 3341.6614420062697, 3208.885630498534, 3341.01226993865, 3243.385093167702, 2633.6633663366338, 2978.032258064516, 2411.12462006079, 2773.605442176871, 2967.151702786378, 3592.4615384615386, 3598.4697508896797, 3446.8498168498168, 3495.985130111524, 3420.387323943662, 3335.273311897106, 3424.931506849315, 3391.408934707904, 3377.7241379310344, 3691.2195121951218, 2677.843866171004, 2571.490909090909, 2601.3584905660377, 2526.5185185185187, 2574.291044776119, 6992.323651452282, 5871.121495327103, 4999.48717948718, 5171.129707112971, 2647.6751592356686,
9, 2492.568093385214, 3359.923076923077, 3737.8707224334603, 2687.3880597014927, 2536.176470588235, 3894.0329218106995, 3325.382262996942, 3404.514106583072, 3245.030674846626, 3767.363344051447, 3445.844155844156, 2837.872340425532, 3097.4074074074074, 2909.1616766467064, 2995.1677852348994, 3196.644951140065, 3769.6812749003984, 3905.2509652509652, 3949.1338582677167, 3925.8527131782944, 3676.6788321167883, 4296.24521072797, 3923.186813186813, 4295.6349206349205, 3502.135231316726, 4567.620967741936, 2717.007299270073, 2503.2490974729244, 2643.2, 2565.868725868726, 2567.2862453531598, 7361.308016877637, 6286.602870813397, 6469.297520661157, 6283.935185185185, 2663.1347962382447,
