iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 20.699925539836187, 26.761678543151227, 13.572433192686358, 18.89644746787604, 16.949152542372882, 17.779503105590063, 21.71099928109274, 11.760660247592847, 32.840466926070036, 21.81409295352324, 22.403560830860535, 17.55669348939283, 21.703703703703702, 19.48148148148148, 20.674157303370787, 15.750915750915752, 26.18510158013544, 24.166666666666668, 25.76350822239624, 46.58703071672355, 41.31641554321967, 10.139165009940358, 31.221374045801525, 52.789342214820984, 18.80466472303207, 32.87781350482315, 20.649819494584836, 27.265685515104572, 33.048211508553656, 20.207253886010363, 25.868725868725868, 448.8752556237219, 481.40589569161, 424.14414414414415, 349.4875549048316, 537.3831775700935,
2, 96.579476861167, 181.951871657754, 195.89743589743588, 151.34099616858236, 163.27044025157232, 147.13216957605985, 55.60821484992101, 58.79204892966361, 70.30878859857482, 92.73066169617894, 60.9375, 35.015290519877674, 46.85099846390169, 38.149847094801224, 48.012470771629, 57.98525798525799, 344.5171849427169, 545.5913978494624, 430.7070707070707, 458.1967213114754, 429.36802973977694, 48.289578361177405, 195.50425273390036, 60.24590163934426, 225.25714285714287, 79.14285714285714, 320.54574638844304, 305.9451219512195, 326.8370607028754, 376.69565217391306, 415.2700186219739, 3975.432525951557, 3111.842105263158, 1541.8181818181818, 1460.7843137254902, 2199.438202247191,
3, 619.506726457399, 400.7707129094412, 536.3106796116505, 367.7121771217712, 457.97665369649803, 398.4182776801406, 149.3762993762994, 100.0, 125.0, 149.84326018808778, 93.56477561388654, 78.24956672443675, 80.11996572407884, 74.93837304847987, 77.16204869857263, 101.38169257340242, 780.0613496932515, 972.0, 814.5772594752186, 956.9620253164557, 1045.6140350877192, 141.50156412930136, 81.3488759367194, 145.2216748768473, 78.86178861788618, 146.68705402650357, 764.8058252427185, 846.2871287128713, 794.0334128878281, 926.775956284153, 782.4146981627297, 9441.409691629957, 7103.6697247706425, 3032.4, 4559.245283018868, 8589.297658862877,
4, 1048.1572481572482, 830.4785894206549, 936.6576819407009, 865.5555555555555, 696.6321243523316, 699.0929705215419, 283.1896551724138, 230.1864801864802, 227.37955346650998, 255.0591327201051, 218.562874251497, 167.00404858299595, 594.3014705882352, 443.3993399339934, 444.5324881141046, 444.3786982248521, 1851.360544217687, 1953.1353135313532, 1784.0490797546013, 1964.3243243243244, 1807.0080862533694, 222.31237322515213, 236.37274549098197, 300.53134962805524, 360.71842410196984, 625.2411575562701, 1700.5730659025787, 1690.782122905028, 2024.1721854304635, 1409.32944606414, 1757.6779026217228, 17228.282828282827, 18001.5873015873, 6817.760617760618, 9106.837606837607, 17734.347826086956,
5, 2405.8309037900876, 1386.6666666666667, 1752.962962962963, 1852.145214521452, 1111.2540192926044, 1755.8139534883721, 390.70866141732284, 701.6563146997929, 476.214405360134, 487.1143375680581, 556.8738229755179, 1133.050847457627, 1285.8356940509916, 982.3979591836735, 1136.4303178484108, 990.5472636815921, 4183.955223880597, 4501.672240802675, 3695.779220779221, 4934.732824427481, 3283.4615384615386, 649.2866407263294, 1088.2440476190477, 1802.9906542056074, 1953.658536585366, 2375.438596491228, 3227.222222222222, 3356.3636363636365, 3352.972972972973, 3206.1688311688313, 3787.360594795539, 25650.9900990099, 31153.28947368421, 14708.247422680412, 9493.650793650793, 22870.899470899472,
6, 3884.3260188087775, 2206.048387096774, 1942.032967032967, 3635.311572700297, 1830.0, 2704.147465437788, 393.1854199683043, 844.9519230769231, 488.5145482388974, 353.7890044576523, 475.3532182103611, 1047.5247524752476, 1316.990291262136, 1585.5421686746988, 1244.1624365482232, 1520.6896551724137, 6022.909090909091, 5642.021276595745, 4662.121212121212, 5932.8, 6273.44398340249, 758.5790884718499, 1885.8119658119658, 2075.7417102966842, 2017.2077922077922, 5348.843930635838, 5832.0, 4741.290322580645, 5446.3917525773195, 4523.569023569024, 5404.379562043796, 34548.58757062147, 41269.40298507463, 19912.352941176472, 10105.494505494506, 27616.915422885573,
7, 6056.944444444444, 4540.845070422535, 5325.6024096385545, 8083.557046979866, 3334.6534653465346, 8190.584415584415, 284.5984598459846, 267.458432304038, 226.85297691373026, 202.07920792079207, 212.21281741233375, 1339.5, 1654.4072948328267, 2438.0281690140846, 1959.6774193548388, 2236.531365313653, 9034.677419354839, 7932.4324324324325, 6688.288288288289, 8799.512195121952, 8171.3675213675215, 4161.342592592592, 6949.2307692307695, 10286.900958466455, 9979.124579124578, 8368.266666666666, 9376.960784313726, 10675.094339622641, 10429.906542056075, 9626.714801444043, 8507.207207207208, 39061.53846153846, 44170.37037037037, 23248.387096774193, 10096.0, 30902.427184466018,
8, 9391.447368421053, 9893.886462882096, 11578.968253968254, 13590.513833992094, 8438.064516129032, 13448.192771084337, 1803.8610038610038, 421.4195183776933, 766.4886515353805, 2285.3365384615386, 947.8260869565217, 2565.2866242038217, 2780.0632911392404, 3643.157894736842, 2537.953795379538, 3305.5944055944055, 11481.38528138528, 10654.494382022473, 9694.545454545454, 9578.57142857143, 8855.023923444976, 12240.065146579804, 18063.003663003663, 17822.222222222223, 19021.25, 19133.451957295372, 17445.58823529412, 19001.593625498008, 17656.830601092897, 17213.654618473895, 10393.925233644859, 43490.15151515151, 43583.82352941176, 27186.956521739132, 12000.0, 36662.420382165605,
9, 15867.910447761195, 14063.942307692309, 16148.523206751055, 17746.311475409835, 15764.435146443515, 16676.293103448275, 4256.011730205279, 2631.9383259911892, 2945.2020202020203, 4881.60237388724, 3085.3470437017995, 3742.652329749104, 4318.021201413428, 4964.444444444444, 4167.474048442907, 5028.51711026616, 15923.144104803494, 12615.819209039548, 11833.480176211453, 9917.37089201878, 9401.754385964912, 19971.1743772242, 19924.20634920635, 23461.623616236164, 25375.109170305677, 23456.716417910447, 23635.023041474655, 24164.935064935064, 20453.74149659864, 22965.73705179283, 15628.019323671497, 43559.28571428572, 45248.55072463768, 29940.441176470587, 13250.0, 41333.09352517986,
