iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 2.6526315789473682, 2.316326530612245, 2.520408163265306, 2.5157894736842104, 2.41, 2.670103092783505, 2.5, 2.5392156862745097, 2.343137254901961, 2.5833333333333335, 2.39, 2.4285714285714284, 2.536082474226804, 2.404255319148936, 2.75, 2.5531914893617023, 2.6310679611650487, 2.9166666666666665, 2.295238095238095, 2.54, 2.7777777777777777, 2.3069306930693068, 2.12, 2.536082474226804, 2.3535353535353534, 2.247422680412371, 2.4479166666666665, 2.75, 2.5894736842105264, 2.343137254901961, 2.212121212121212, 3.7875, 3.183673469387755, 2.9081632653061225, 4.1647058823529415, 3.5157894736842104,
2, 3.1382978723404253, 3.06, 3.15625, 2.9782608695652173, 2.979381443298969, 3.202020202020202, 3.0526315789473686, 3.343137254901961, 3.0, 3.659340659340659, 3.0760869565217392, 3.5, 2.88659793814433, 2.96, 3.78021978021978, 2.877551020408163, 3.0606060606060606, 3.7954545454545454, 3.4361702127659575, 3.5054945054945055, 3.2083333333333335, 3.022222222222222, 2.893617021276596, 2.7745098039215685, 3.3191489361702127, 3.3870967741935485, 3.3684210526315788, 3.2747252747252746, 3.204081632653061, 3.8222222222222224, 3.311111111111111, 3.4269662921348316, 3.6451612903225805, 3.2, 3.539325842696629, 3.817204301075269,
3, 4.181818181818182, 3.8461538461538463, 4.558139534883721, 4.458823529411765, 4.704545454545454, 4.693181818181818, 4.530120481927711, 4.655172413793103, 4.395348837209302, 4.609756097560975, 4.862068965517241, 3.9565217391304346, 3.9157894736842107, 4.159090909090909, 4.269662921348314, 4.090909090909091, 4.43956043956044, 5.3875, 4.654320987654321, 4.385542168674699, 4.777777777777778, 3.8255813953488373, 3.3763440860215055, 3.3076923076923075, 3.797752808988764, 3.8777777777777778, 4.662650602409639, 5.1, 4.823529411764706, 5.076923076923077, 4.5058823529411764, 5.728571428571429, 5.666666666666667, 3.7, 7.349206349206349, 5.973684210526316,
4, 4.352941176470588, 5.035714285714286, 4.630952380952381, 4.962962962962963, 4.621951219512195, 4.7625, 5.608108108108108, 5.246753246753247, 5.924050632911392, 5.037974683544304, 5.786666666666667, 4.471264367816092, 4.773809523809524, 4.523255813953488, 4.929411764705883, 4.752941176470588, 6.357142857142857, 5.9480519480519485, 5.591549295774648, 6.352112676056338, 5.9714285714285715, 3.9885057471264367, 3.640449438202247, 4.185185185185185, 4.154761904761905, 3.8275862068965516, 5.513513513513513, 6.871428571428571, 6.5, 6.073529411764706, 5.026315789473684, 8.428571428571429, 15.775510204081632, 5.88, 14.361702127659575, 11.6,
5, 4.073170731707317, 3.8860759493670884, 4.012820512820513, 3.7948717948717947, 4.1688311688311686, 3.8313253012048194, 4.5375, 5.478260869565218, 5.7101449275362315, 4.652777777777778, 5.447761194029851, 3.988888888888889, 4.011363636363637, 4.464285714285714, 4.5, 3.853932584269663, 8.068965517241379, 6.7384615384615385, 6.6923076923076925, 7.67741935483871, 8.884615384615385, 3.4831460674157304, 4.5, 3.642857142857143, 4.375, 4.6455696202531644, 7.084745762711864, 8.472727272727273, 6.322033898305085, 7.071428571428571, 7.833333333333333, 12.473684210526315, 16.983333333333334, 15.0, 17.34, 16.81132075471698,
6, 4.454545454545454, 3.5060240963855422, 3.317073170731707, 3.9875, 3.721518987341772, 3.7, 5.986301369863014, 6.885245901639344, 5.135135135135135, 5.315068493150685, 5.774647887323944, 5.050632911392405, 4.518987341772152, 4.317073170731708, 4.386363636363637, 3.9157894736842107, 11.703703703703704, 11.981481481481481, 8.936507936507937, 11.813559322033898, 13.41304347826087, 4.767123287671233, 5.136986301369863, 4.217948717948718, 4.957746478873239, 4.384615384615385, 11.065217391304348, 15.319148936170214, 8.923076923076923, 11.155555555555555, 11.68, 13.419354838709678, 18.620689655172413, 21.452830188679247, 16.23728813559322, 19.69090909090909,
7, 4.511904761904762, 3.8684210526315788, 4.025316455696203, 4.139240506329114, 3.7948717948717947, 4.2625, 5.905405405405405, 6.927536231884058, 5.506849315068493, 6.3125, 6.071428571428571, 4.535714285714286, 4.3977272727272725, 4.540229885057471, 4.146067415730337, 4.8125, 16.72340425531915, 17.681818181818183, 14.313725490196079, 18.444444444444443, 18.59090909090909, 4.364705882352941, 5.828571428571428, 3.923076923076923, 4.8933333333333335, 4.894736842105263, 16.488888888888887, 19.91111111111111, 12.24, 14.934782608695652, 17.533333333333335, 17.436363636363637, 22.294117647058822, 24.591836734693878, 18.767857142857142, 21.12962962962963,
8, 4.909090909090909, 4.45945945945946, 4.586666666666667, 4.586666666666667, 4.414285714285715, 4.618421052631579, 6.089743589743589, 6.866666666666666, 7.1, 6.828125, 7.4393939393939394, 4.744186046511628, 4.602409638554217, 4.716049382716049, 4.137931034482759, 4.9125, 21.51219512195122, 21.46153846153846, 19.5609756097561, 21.166666666666668, 21.725, 5.405063291139241, 7.4, 4.91358024691358, 6.768115942028985, 5.51948051948052, 22.30952380952381, 23.761904761904763, 19.152173913043477, 20.155555555555555, 20.76595744680851, 19.60377358490566, 23.23076923076923, 27.88888888888889, 20.10909090909091, 22.22641509433962,
9, 6.082191780821918, 4.644736842105263, 4.904109589041096, 4.904109589041096, 4.773333333333333, 4.616438356164384, 5.426666666666667, 6.305555555555555, 6.416666666666667, 6.573529411764706, 6.347222222222222, 4.3604651162790695, 4.523809523809524, 4.411764705882353, 4.9125, 5.085365853658536, 22.475, 22.82051282051282, 22.307692307692307, 22.261904761904763, 23.43243243243243, 6.12987012987013, 6.430379746835443, 5.2405063291139244, 6.929577464788732, 6.246753246753247, 23.666666666666668, 25.38095238095238, 22.071428571428573, 23.642857142857142, 23.75, 21.358490566037737, 26.8, 28.195652173913043, 22.764705882352942, 25.36,
