iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 90.58568329718004, 93.81263616557735, 97.42081447963801, 94.17777777777778, 80.4201680672269, 84.12765957446808, 90.41394335511983, 88.22510822510823, 99.55257270693512, 102.67260579064587, 90.58064516129032, 111.7096018735363, 108.1118881118881, 85.54371002132196, 82.02105263157895, 81.63522012578616, 87.71929824561404, 85.7872340425532, 123.54679802955665, 121.3170731707317, 125.18337408312958, 116.87943262411348, 114.25837320574162, 89.57264957264957, 87.98283261802575, 95.55066079295155, 98.88888888888889, 97.62114537444934, 106.00461893764434, 109.37062937062937, 102.96127562642369, 110.88372093023256, 113.33333333333333, 229.84615384615384, 156.57320872274144, 155.4882154882155, 166.70807453416148, 131.95195195195194,
2, 193.1547619047619, 223.9087947882736, 210.47318611987382, 162.8415300546448, 162.47191011235955, 174.87031700288185, 161.84357541899442, 168.7608069164265, 145.94736842105263, 148.57908847184987, 163.65650969529085, 161.39664804469274, 152.22222222222223, 157.86096256684493, 133.46633416458852, 154.76190476190476, 142.32911392405063, 159.24932975871315, 263.45864661654133, 296.2096774193548, 253.84615384615384, 285.3815261044177, 268.94941634241246, 214.0506329113924, 170.9915014164306, 193.07462686567163, 187.9525222551929, 210.3514376996805, 216.5016501650165, 263.3207547169811, 219.0033222591362, 208.0379746835443, 259.3233082706767, 487.1794871794872, 432.1686746987952, 417.77777777777777, 568.1159420289855, 416.0869565217391,
3, 266.8864468864469, 289.96078431372547, 274.7328244274809, 228.17567567567568, 195.64102564102564, 224.29065743944636, 204.10423452768728, 205.98684210526315, 224.22442244224422, 172.24489795918367, 210.72100313479623, 190.69486404833836, 203.09148264984228, 281.003861003861, 239.52702702702703, 247.25978647686833, 226.97068403908796, 248.37370242214533, 308.22033898305085, 336.0180995475113, 301.1715481171548, 258.80149812734084, 349.4835680751174, 272.27436823104694, 291.96911196911196, 296.88715953307394, 288.1992337164751, 301.25984251968504, 309.78723404255317, 351.8867924528302, 262.46153846153845, 243.01754385964912, 308.92703862660943, 671.84, 667.4242424242424, 500.1162790697674, 731.7948717948718, 712.96,
4, 283.65019011406844, 303.6507936507937, 345.75342465753425, 217.5182481751825, 187.95847750865053, 204.14285714285714, 202.4548736462094, 205.92857142857142, 266.49056603773585, 248.4981684981685, 308.728813559322, 268.671875, 283.44262295081967, 261.15942028985506, 310.37974683544303, 327.7477477477477, 280.6083650190114, 268.64468864468864, 429.0217391304348, 433.7853107344633, 424.3478260869565, 352.27906976744185, 446.6666666666667, 306.2307692307692, 286.3703703703704, 333.9759036144578, 284.0287769784173, 347.38197424892707, 312.41379310344826, 458.2142857142857, 287.2803347280335, 325.0877192982456, 394.6938775510204, 719.4202898550725, 783.2758620689655, 716.9032258064516, 798.9090909090909, 633.3333333333334,
5, 327.2246696035242, 339.64285714285717, 375.2040816326531, 286.46017699115043, 192.84671532846716, 200.30188679245282, 226.66666666666666, 194.53846153846155, 266.15384615384613, 332.43243243243245, 294.375, 262.38461538461536, 261.67300380228136, 242.02797202797203, 299.1735537190083, 281.2403100775194, 300.65843621399176, 268.0608365019011, 450.7103825136612, 406.2637362637363, 500.253164556962, 421.55555555555554, 448.92857142857144, 340.9282700421941, 328.5140562248996, 330.0, 292.78195488721803, 334.77911646586347, 281.1965811965812, 308.8073394495413, 326.23762376237624, 339.90384615384613, 345.65656565656565, 909.6153846153846, 837.8378378378378, 1262.992125984252, 802.5225225225225, 970.6756756756756,
6, 445.45454545454544, 386.70103092783506, 351.9047619047619, 379.5833333333333, 278.3783783783784, 306.38497652582157, 316.90140845070425, 298.2692307692308, 264.3205574912892, 305.59055118110234, 286.2641509433962, 268.8888888888889, 271.685393258427, 298.62068965517244, 375.81151832460733, 337.66990291262135, 294.25, 292.23628691983123, 484.0223463687151, 501.02564102564105, 594.5578231292517, 462.875, 472.6829268292683, 377.3333333333333, 360.0, 359.74789915966386, 366.3063063063063, 339.83935742971886, 323.1336405529954, 389.78494623655916, 422.7932960893855, 372.0812182741117, 309.3457943925234, 1437.142857142857, 811.4285714285714, 1568.75, 811.858407079646, 1419.2857142857142,
7, 396.98924731182797, 382.2335025380711, 415.48387096774195, 395.54285714285714, 357.72151898734177, 369.20454545454544, 389.71751412429376, 375.0561797752809, 290.3623188405797, 284.22641509433964, 324.2857142857143, 308.75, 326.1344537815126, 381.5135135135135, 442.5301204819277, 415.20958083832335, 364.66321243523316, 360.3960396039604, 662.2666666666667, 720.0, 742.4590163934427, 524.4594594594595, 521.25, 413.39366515837105, 393.82488479262673, 358.3193277310924, 368.5217391304348, 406.6350710900474, 396.4, 415.1111111111111, 464.6511627906977, 508.6666666666667, 375.9139784946237, 1581.9298245614036, 799.5384615384615, 1618.3636363636363, 759.8571428571429, 1480.7142857142858,
8, 440.58479532163744, 469.6296296296296, 593.2846715328467, 526.5671641791045, 535.0, 458.6577181208054, 480.90909090909093, 479.5774647887324, 324.6840148698885, 404.71153846153845, 354.53061224489795, 348.4873949579832, 346.2068965517241, 384.9717514124294, 465.0980392156863, 418.25, 407.4418604651163, 380.1058201058201, 925.8730158730159, 1078.6666666666667, 721.8348623853211, 605.0, 592.824427480916, 525.8585858585859, 428.728813559322, 457.83505154639175, 408.3333333333333, 449.38388625592415, 606.2650602409639, 536.8707482993198, 479.27272727272725, 496.7701863354037, 361.95652173913044, 1676.2162162162163, 1060.9160305343512, 1626.4285714285713, 990.8843537414966, 1535.3982300884957,
9, 500.0, 541.3986013986014, 562.0689655172414, 619.52, 674.2105263157895, 550.6976744186046, 557.0967741935484, 506.1870503597122, 329.53333333333336, 406.1467889908257, 362.52788104089217, 389.6385542168675, 466.8, 513.6986301369863, 500.13698630136986, 581.71875, 438.9873417721519, 435.1764705882353, 1280.3703703703704, 1315.7142857142858, 1189.3181818181818, 729.2647058823529, 786.218487394958, 842.5316455696203, 469.3636363636364, 545.0632911392405, 503.4020618556701, 542.9834254143647, 841.4193548387096, 553.013698630137, 520.375, 612.2222222222222, 520.4137931034483, 1704.144144144144, 1471.3793103448277, 1632.6785714285713, 1354.4262295081967, 1573.2758620689656,
