iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, -16304.458536585365, -16490.853658536584, -16461.25, -16349.4, -16389.058823529413, -16343.676328502415, -16544.43, -16498.576354679804, -16179.845410628019, -16413.351219512195, -16334.669902912621, -16560.81280788177, -16551.103448275862, -16365.30243902439, -16323.796116504855, -16459.45812807882, -16567.925373134327, -16288.771844660194, -16338.453658536586, -16480.852216748768, -16401.764705882353, -16281.04326923077, -16221.454106280193, -16319.839024390243, -16398.379310344826, -16379.480392156862, -16429.70243902439, -16555.651960784315, -16457.05418719212, -16814.31282051282, -16444.435643564357, -16576.5223880597, -25990.31081081081, -18729.0, -17208.201438848922, -28267.171875, -27606.60606060606,
2, -16484.75879396985, -16477.268656716416, -20746.933823529413, -19152.980392156864, -21385.906976744187, -20362.88489208633, -20991.59541984733, -17438.123595505618, -16477.81683168317, -16461.48275862069, -16509.751243781095, -16487.646766169153, -17036.271276595744, -17252.662983425413, -17075.945945945947, -17244.44262295082, -17129.697297297298, -16572.071428571428, -17008.338541666668, -16950.69109947644, -16792.326530612245, -16598.356783919597, -17457.563535911602, -17175.652173913044, -16909.475935828876, -17451.955056179777, -16918.67027027027, -18126.89285714286, -18411.423312883435, -18226.436363636363, -17500.795454545456, -17966.082352941175, -19345.0, -21473.786324786324, -22149.464646464647, -29261.983333333334, -20570.353448275862,
3, -17873.242603550298, -17254.043956043955, -25922.190476190477, -24785.606741573032, -26096.44155844156, -27709.0, -21658.08130081301, -19327.50684931507, -17348.564245810056, -17099.748663101604, -16666.066666666666, -17073.33510638298, -18233.85802469136, -16888.659685863873, -18380.565217391304, -18383.273291925467, -18570.962264150945, -17017.01595744681, -17239.20108695652, -17462.265193370167, -17132.956521739132, -17117.962765957447, -18944.079470198674, -19128.979865771813, -19028.822368421053, -18692.825806451612, -19019.25, -19463.583333333332, -20225.436090225565, -20019.372262773722, -19922.97810218978, -20272.746268656716, -16824.79057591623, -17682.652694610777, -17208.66120218579, -19172.108695652172, -16889.047872340427,
4, -20066.762962962963, -18847.581699346407, -27197.86567164179, -29912.98181818182, -30086.385964912282, -29875.589285714286, -28037.71875, -22769.486486486487, -18631.78205128205, -18160.006172839505, -18288.864197530864, -18157.363636363636, -20128.941605839416, -17446.0, -20450.848484848484, -20648.727272727272, -20733.53846153846, -17797.176470588234, -18114.603658536584, -18416.26875, -19165.632653061224, -17924.156069364162, -21352.395161290322, -21992.26956521739, -21189.137096774193, -21226.983870967742, -21428.860655737706, -24390.83, -25246.32978723404, -24520.72, -25079.354166666668, -25439.397849462366, -16324.377450980392, -19290.72027972028, -16655.201005025127, -17653.289940828403, -17116.524590163935,
5, -23380.915094339623, -21227.84677419355, -29081.050847457627, -29699.10714285714, -29679.155172413793, -29631.258620689656, -29319.508771929824, -25996.494505494506, -19954.94927536232, -19956.355072463768, -20377.05223880597, -20128.268115942028, -21984.584745762713, -18441.895705521474, -22358.869565217392, -22155.853448275862, -22576.83035714286, -18890.826666666668, -19270.835616438355, -20250.626865671642, -20388.977099236643, -18613.83647798742, -24255.878787878788, -25418.926315789475, -24311.323232323233, -24970.583333333332, -24682.23469387755, -30023.442857142858, -31793.242424242424, -31355.453125, -31408.384615384617, -31476.4, -17013.51052631579, -18279.925925925927, -16695.252688172044, -18713.506329113923, -16594.0207253886,
6, -24110.20792079208, -22753.848214285714, -28909.79104477612, -30011.050847457627, -27578.84931506849, -26152.233766233767, -28270.79365079365, -26506.022471910113, -20126.755555555555, -19935.460431654676, -20204.116788321167, -19731.52142857143, -21526.02479338843, -18265.51851851852, -22173.879310344826, -21587.766666666666, -23159.201834862386, -20618.12598425197, -20531.740157480315, -20736.25581395349, -20671.3515625, -18730.120253164558, -24224.73, -24624.071428571428, -24565.85714285714, -24466.04081632653, -24504.646464646463, -31092.478260869564, -31837.215384615385, -30995.641791044774, -31288.421875, -31443.52380952381, -16911.328125, -18313.03125, -16620.106951871658, -17468.21546961326, -16846.994535519127,
7, -24658.5625, -23945.0, -22173.606837606836, -27104.151898734177, -21217.395161290322, -22127.61739130435, -29160.696969696968, -26846.86046511628, -20065.608695652172, -19901.38129496403, -20318.555555555555, -20207.71111111111, -22125.470085470086, -18105.618181818183, -22759.504424778763, -22486.57894736842, -22395.85087719298, -21329.614754098362, -21697.5593220339, -21572.12396694215, -22742.736363636363, -18642.24375, -23565.638095238097, -24117.58, -22498.535714285714, -24407.38613861386, -23727.745098039217, -30455.897058823528, -30842.40625, -30789.6875, -31703.953846153847, -31531.73015873016, -17072.16489361702, -17327.921787709496, -16337.711340206186, -17223.697802197803, -17370.31182795699,
8, -24990.729166666668, -25442.760869565216, -23719.09, -19528.440559440558, -18907.365384615383, -19723.81118881119, -23230.790476190476, -27397.4, -19888.592857142856, -19294.124137931034, -20044.152173913044, -20137.605839416057, -22022.555555555555, -18484.232704402515, -22799.9375, -22425.48245614035, -22036.75652173913, -21788.726495726496, -23043.556603773584, -21637.421487603307, -22024.870689655174, -20111.37323943662, -23590.057142857142, -23339.342857142856, -21894.41379310345, -23138.77570093458, -24626.39175257732, -30770.514705882353, -30910.761194029852, -30425.30769230769, -31420.66153846154, -31080.40625, -17178.03743315508, -17757.788235294116, -16920.6404494382, -18499.259493670885, -17295.86631016043,
9, -25461.516129032258, -25257.73404255319, -22156.721739130433, -19799.204225352114, -18746.26451612903, -20878.752, -19950.571428571428, -27566.761904761905, -19795.450704225354, -19487.744827586208, -19886.789855072464, -19771.89285714286, -22384.342105263157, -18273.478527607364, -22549.0796460177, -22638.589285714286, -22877.477477477478, -21731.118644067796, -23764.11650485437, -21397.90243902439, -22515.774774774774, -24317.0, -23767.134615384617, -23308.70754716981, -22380.610619469026, -24571.98979591837, -24013.61386138614, -30988.089552238805, -30673.727272727272, -31050.646153846155, -31648.921875, -30542.149253731342, -16705.833333333332, -16361.685, -17205.351648351647, -17450.38888888889, -16959.549222797927,
