iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 1948.1081081081081, 2786.6666666666665, 2286.285714285714, 2417.222222222222, 2276.7567567567567, 2090.2702702702704, 1968.888888888889, 1950.0, 2340.0, 2212.222222222222, 2091.6666666666665, 1967.027027027027, 2360.5555555555557, 2164.864864864865, 2101.6216216216217, 2342.162162162162, 1910.5263157894738, 2017.837837837838, 1891.7948717948718, 2001.764705882353, 2357.777777777778, 2705.5555555555557, 2510.5555555555557, 2556.6666666666665, 2174.054054054054, 2157.3684210526317, 2070.285714285714, 2077.222222222222, 2537.2972972972975, 2002.2857142857142, 2544.2105263157896, 2439.4444444444443, 2098.8888888888887, 2126.470588235294, 1860.0, 2256.470588235294, 2115.7894736842104,
2, 2274.4444444444443, 2212.0, 1836.6666666666667, 1996.0, 2334.4444444444443, 2234.705882352941, 2218.3333333333335, 2268.235294117647, 2104.5714285714284, 1917.837837837838, 1959.4285714285713, 2062.3529411764707, 2323.8888888888887, 1780.0, 2030.8108108108108, 2006.857142857143, 2403.4285714285716, 1894.5945945945946, 1944.3243243243244, 2089.4444444444443, 1817.2972972972973, 2317.777777777778, 1894.857142857143, 2226.4864864864867, 1961.081081081081, 2120.5714285714284, 2130.810810810811, 2288.823529411765, 1970.8108108108108, 2056.1111111111113, 2157.1428571428573, 2235.4285714285716, 2101.5789473684213, 1941.111111111111, 1988.9473684210527, 1835.7575757575758, 1996.0,
3, 2199.4117647058824, 1474.857142857143, 1604.8484848484848, 1900.0, 1853.5294117647059, 1546.4705882352941, 1976.969696969697, 2088.823529411765, 2005.4545454545455, 2157.714285714286, 1890.857142857143, 1793.5294117647059, 1765.0, 1885.5555555555557, 2125.1428571428573, 2430.8571428571427, 2009.7142857142858, 2032.3529411764705, 2153.529411764706, 1803.888888888889, 2441.764705882353, 2279.3548387096776, 1242.2222222222222, 1402.7777777777778, 1221.7142857142858, 1650.8108108108108, 1300.5714285714287, 1760.5714285714287, 2060.5555555555557, 2137.0588235294117, 2080.0, 1733.6842105263158, 3233.529411764706, 1883.7837837837837, 1912.4324324324325, 2011.111111111111, 2746.6666666666665,
4, 1448.4848484848485, 1441.2121212121212, 1729.6774193548388, 1603.030303030303, 1354.1935483870968, 1463.75, 1422.5, 965.5555555555555, 1382.0689655172414, 1508.125, 1420.5714285714287, 1285.3333333333333, 1876.969696969697, 2268.4848484848485, 1510.857142857143, 1457.142857142857, 1513.939393939394, 1531.1764705882354, 1408.2758620689656, 1377.142857142857, 1203.6842105263158, 1317.2222222222222, 1186.3157894736842, 1302.3529411764705, 1154.1176470588234, 911.875, 716.0, 1759.3939393939395, 1153.3333333333333, 1320.0, 1727.5, 1311.6666666666667, 2203.4285714285716, 1642.6315789473683, 1755.2631578947369, 2040.5555555555557, 1570.0,
5, 914.1176470588235, 994.8387096774194, 492.10526315789474, 675.0, 856.551724137931, 551.5151515151515, 700.6666666666666, 520.6896551724138, 627.2727272727273, 917.1428571428571, 549.7297297297297, 432.0, 1289.375, 1907.878787878788, 1426.060606060606, 1186.25, 1501.9354838709678, 756.1290322580645, 537.2413793103449, 648.6666666666666, 610.3225806451613, 573.125, 970.5555555555555, 654.5454545454545, 914.4444444444445, 776.1111111111111, 527.2727272727273, 388.4848484848485, 556.0, 308.2352941176471, 269.375, 567.741935483871, 1702.7027027027027, 1993.5135135135135, 1675.1351351351352, 1465.7142857142858, 2162.777777777778,
6, 1320.5714285714287, 1004.375, 607.0967741935484, 390.7692307692308, 552.5925925925926, 502.56410256410254, 572.4324324324324, 611.3513513513514, 510.6666666666667, 542.0512820512821, 460.0, 726.1538461538462, 1413.5294117647059, 1411.5151515151515, 1784.516129032258, 1501.25, 1291.25, 661.3793103448276, 587.0588235294117, 599.4594594594595, 1097.5757575757575, 692.0, 1333.5135135135135, 1166.25, 1348.4848484848485, 708.125, 847.6470588235294, 400.0, 420.0, 447.5, 394.83870967741933, 301.2903225806452, 1473.5294117647059, 1555.4285714285713, 1643.888888888889, 2081.212121212121, 1245.2941176470588,
7, 1186.4864864864865, 1008.0, 587.5862068965517, 738.918918918919, 580.5882352941177, 516.5714285714286, 600.5882352941177, 627.3333333333334, 533.0769230769231, 746.2068965517242, 491.7241379310345, 630.6666666666666, 1201.8181818181818, 1115.483870967742, 1281.875, 1385.5555555555557, 1110.0, 870.6666666666666, 686.6666666666666, 860.6451612903226, 1042.5806451612902, 727.0967741935484, 963.5, 918.2352941176471, 1109.4117647058824, 1155.7575757575758, 862.9411764705883, 441.2903225806452, 424.24242424242425, 333.3333333333333, 448.2758620689655, 399.3103448275862, 1764.1176470588234, 1485.4054054054054, 2037.7142857142858, 1692.1052631578948, 2072.0,
8, 1307.5862068965516, 1219.3939393939395, 660.0, 636.4705882352941, 803.125, 616.4705882352941, 528.4848484848485, 771.5151515151515, 740.7142857142857, 704.7058823529412, 636.7741935483871, 723.8709677419355, 1786.4705882352941, 1605.3333333333333, 1338.857142857143, 1320.6451612903227, 1489.3333333333333, 810.0, 825.5172413793103, 890.2857142857143, 1157.142857142857, 964.1379310344828, 694.5, 900.0, 673.5135135135135, 798.2857142857143, 605.5555555555555, 265.51724137931035, 453.5483870967742, 446.06060606060606, 465.0, 384.11764705882354, 2452.4137931034484, 1419.4444444444443, 1344.7058823529412, 1600.5882352941176, 1908.5714285714287,
9, 1220.0, 1020.6060606060606, 843.75, 593.3333333333334, 672.7777777777778, 770.625, 644.5714285714286, 724.2424242424242, 653.939393939394, 714.1176470588235, 775.1724137931035, 974.074074074074, 1527.0588235294117, 1238.8235294117646, 1702.5, 1553.125, 1490.0, 1221.4285714285713, 718.7096774193549, 975.0, 623.8709677419355, 755.483870967742, 718.5714285714286, 941.578947368421, 858.4615384615385, 896.0, 624.3243243243244, 508.57142857142856, 505.80645161290323, 444.51612903225805, 488.57142857142856, 512.9032258064516, 1666.875, 1287.2222222222222, 1092.3529411764705, 1800.625, 1989.4444444444443,
