iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 154.33194154488518, 142.78, 151.84804928131416, 153.06352459016392, 146.22718052738335, 156.15466101694915, 151.37214137214139, 154.17708333333334, 147.40816326530611, 163.24468085106383, 150.21472392638037, 152.41127348643008, 157.01461377870564, 156.044776119403, 149.42028985507247, 152.3913043478261, 151.1008230452675, 152.43801652892563, 158.40956340956342, 154.3312757201646, 157.2268907563025, 157.52620545073376, 150.98547717842322, 154.67775467775468, 150.25303643724698, 154.7489539748954, 154.55394190871368, 144.78395061728395, 156.14583333333334, 167.15811965811966, 160.57773109243698, 157.9423868312757, 153.90946502057614, 204.59619952494063, 249.5343137254902, 248.33333333333334, 258.88461538461536, 280.75136612021856,
2, 151.25, 169.3231441048035, 169.77801268498942, 164.43478260869566, 169.5268817204301, 162.5268817204301, 172.88716814159292, 163.21814254859612, 159.80769230769232, 158.4915611814346, 153.31967213114754, 165.96359743040685, 169.3099787685775, 163.3578947368421, 156.8238993710692, 152.01257861635222, 170.5982905982906, 167.2198275862069, 177.30603448275863, 169.52789699570815, 179.41758241758242, 166.51673640167365, 177.35106382978722, 165.5183585313175, 163.92094017094018, 155.4786150712831, 164.25531914893617, 160.97251585623678, 181.90064794816413, 179.752688172043, 170.53571428571428, 168.88888888888889, 175.39529914529913, 286.729797979798, 379.8441926345609, 298.54005167958655, 302.31362467866325, 337.27941176470586,
3, 184.06741573033707, 184.5021645021645, 207.65853658536585, 192.16666666666666, 205.35545023696682, 194.21428571428572, 195.86854460093898, 181.23842592592592, 175.84257206208426, 182.49430523917997, 182.97327394209353, 191.29290617848972, 173.6951754385965, 168.05066079295153, 172.52283105022832, 174.01111111111112, 191.62442396313364, 174.00442477876106, 209.82062780269058, 199.56896551724137, 193.1923890063425, 211.4943820224719, 224.29061784897024, 186.43835616438355, 184.80132450331126, 173.45833333333334, 164.36058700209642, 187.64705882352942, 181.2, 214.35729847494554, 171.67924528301887, 173.34615384615384, 202.93991416309012, 434.62418300653593, 443.05389221556885, 436.296875, 434.06148867313914, 413.4076433121019,
4, 210.04728132387706, 193.42650103519668, 210.39119804400977, 277.3098591549296, 294.9301675977654, 245.2230971128609, 310.4066265060241, 282.36918604651163, 197.87410926365797, 186.40330188679246, 196.0609756097561, 196.82669789227165, 194.00709219858157, 198.45605700712588, 189.52038369304557, 198.85390428211588, 213.89162561576356, 196.34567901234567, 221.91326530612244, 203.98058252427185, 218.16705336426915, 230.17811704834605, 223.75, 230.8872901678657, 223.3, 217.06140350877192, 199.05228758169935, 221.5632183908046, 264.45767195767195, 291.63461538461536, 262.6700251889169, 253.1986143187067, 275.5842391304348, 524.1970802919708, 534.5936395759717, 569.3659420289855, 606.0240963855422, 583.7103174603175,
5, 257.81094527363183, 243.92361111111111, 205.22435897435898, 434.01433691756273, 470.96590909090907, 418.57142857142856, 481.3306451612903, 403.0821917808219, 201.07390300230946, 208.67511520737327, 204.83050847457628, 197.34162895927602, 190.68522483940043, 215.4306220095694, 214.32911392405063, 206.0049019607843, 222.27864583333334, 212.48743718592965, 326.1527377521614, 369.0771812080537, 308.5857142857143, 326.4520958083832, 401.62629757785464, 257.47584541062804, 198.6, 253.7557603686636, 246.74887892376682, 227.61663286004057, 281.1559139784946, 423.36267605633805, 373.7258064516129, 309.36842105263156, 351.73850574712645, 640.6276150627615, 596.9011406844106, 645.1229508196722, 712.0132743362832, 668.7659574468086,
6, 319.84806629834253, 299.8453608247423, 275.13447432762837, 520.07299270073, 535.7765151515151, 538.0081300813008, 528.3596837944664, 526.692607003891, 229.52328159645234, 250.9122401847575, 229.281045751634, 235.66964285714286, 211.7766990291262, 230.82159624413146, 231.265664160401, 195.14285714285714, 238.90330188679246, 231.05200945626478, 535.1744186046511, 615.0, 500.1730103806228, 473.59205776173286, 572.06, 335.1808785529716, 304.1725768321513, 316.2015503875969, 262.2632794457275, 297.05399061032864, 435.8445945945946, 504.82213438735175, 400.8675078864353, 418.3724832214765, 420.1159420289855, 668.2157676348547, 644.6975806451613, 665.813492063492, 717.1702127659574, 710.8936170212766,
7, 390.1510574018127, 420.46268656716416, 382.49299719887955, 570.8188153310105, 651.78, 670.5777777777778, 658.7068965517242, 518.2482993197278, 255.81447963800906, 250.19911504424778, 237.52083333333334, 226.23700623700623, 231.7300380228137, 271.1934673366834, 263.7974683544304, 278.82978723404256, 269.20454545454544, 289.0829145728643, 691.6666666666666, 539.9830508474577, 592.3872180451128, 651.4912280701755, 620.2123552123552, 367.2983870967742, 392.4928774928775, 353.6578947368421, 401.9861111111111, 375.50666666666666, 543.2490974729242, 612.7149321266968, 429.149855907781, 567.04, 509.0451388888889, 750.4525862068965, 702.1638655462185, 687.7865612648221, 754.8728813559322, 698.3333333333334,
8, 423.7976539589443, 537.9891304347826, 428.07246376811594, 646.2218045112782, 716.9787234042553, 779.1479820627802, 683.2426778242677, 646.6135458167331, 324.7235576923077, 357.96758104738154, 358.1491002570694, 297.62731481481484, 301.0146443514644, 523.6347517730496, 548.5185185185185, 471.9964664310954, 500.6, 508.6151079136691, 682.2064777327935, 628.2442748091603, 661.2790697674419, 677.3236514522822, 656.496062992126, 431.165191740413, 511.08156028368796, 446.9626168224299, 508.7751677852349, 497.1753246753247, 693.7393162393163, 635.4320987654321, 532.859649122807, 754.1435185185185, 594.0858208955224, 787.7004219409283, 699.758064516129, 711.34765625, 775.8541666666666, 723.94,
9, 521.7697594501718, 625.536398467433, 516.7647058823529, 716.5991902834008, 726.7510548523206, 753.0, 717.2881355932203, 703.6585365853658, 383.2035175879397, 375.33251231527095, 349.8341232227488, 369.70737913486005, 308.83101851851853, 609.9603174603175, 635.2164502164502, 576.4478764478764, 641.0416666666666, 590.3307392996109, 686.468253968254, 675.9881422924901, 675.3359683794466, 657.8383458646616, 649.0, 569.570895522388, 642.0168067226891, 605.919540229885, 644.4488188976378, 561.8637992831541, 720.7231404958678, 677.5877192982456, 632.59765625, 724.6491228070175, 755.36866359447, 825.5043859649123, 760.4449152542373, 756.501976284585, 798.1914893617021, 747.0553359683795,
10, 661.8951612903226, 646.9607843137255, 617.2388059701492, 754.957805907173, 757.274678111588, 771.1160714285714, 699.8780487804878, 699.1322314049587, 398.8974358974359, 365.8830548926014, 376.39303482587064, 433.55405405405406, 372.4937965260546, 712.7991452991453, 670.082304526749, 650.5668016194332, 732.9555555555555, 587.3636363636364, 701.98, 740.9130434782609, 753.448275862069, 725.3991596638656, 703.0722891566265, 665.2008032128514, 668.8645418326694, 651.2062256809338, 646.284046692607, 656.5157480314961, 740.9957627118644, 749.3981481481482, 707.1914893617021, 697.14, 680.8775510204082, 820.7949790794979, 805.0643776824035, 777.390438247012, 810.2777777777778, 790.4564315352698,
11, 639.7191011235955, 676.6666666666666, 696.910569105691, 727.7459016393443, 736.218487394958, 770.5555555555555, 751.358024691358, 744.9574468085107, 486.8429003021148, 437.5141242937853, 370.5628272251309, 509.22712933753945, 452.6017441860465, 677.2154471544716, 669.277108433735, 670.080971659919, 720.5043859649123, 668.4584980237154, 686.4880952380952, 729.0336134453781, 710.8085106382979, 736.0759493670886, 676.3813229571984, 647.6953125, 713.6192468619247, 650.1296296296297, 680.9215686274509, 699.1525423728814, 774.0867579908676, 681.5157480314961, 715.6995884773662, 688.0971659919028, 726.7316017316017, 877.847533632287, 847.7312775330397, 802.1604938271605, 843.1277533039647, 854.7608695652174,
