iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 683.0188679245283, 684.9056603773585, 667.5925925925926, 650.4672897196261, 674.1935483870968, 690.9090909090909, 667.1232876712329, 646.3302752293578, 599.0867579908676, 637.1681415929204, 620.704845814978, 605.7268722466961, 590.4109589041096, 667.420814479638, 694.5945945945946, 623.8317757009346, 658.0645161290323, 665.1162790697674, 614.9532710280374, 627.8026905829596, 648.4018264840182, 687.0535714285714, 632.579185520362, 649.0909090909091, 609.7674418604652, 537.2294372294373, 541.0377358490566, 616.1290322580645, 652.0361990950227, 694.0092165898618, 597.7578475336323, 620.4347826086956, 655.7077625570777, 650.0, 600.4347826086956, 602.9535864978903, 588.0165289256198, 642.0849420849421,
2, 653.5714285714286, 626.1802575107296, 624.1228070175439, 661.9047619047619, 672.2222222222222, 634.9137931034483, 685.5813953488372, 648.2758620689655, 607.2727272727273, 578.9473684210526, 616.0377358490566, 547.1111111111111, 578.8546255506608, 702.7027027027027, 654.1284403669724, 668.2403433476395, 637.3913043478261, 650.438596491228, 693.8864628820961, 669.7095435684647, 659.3220338983051, 706.2222222222222, 691.5966386554621, 592.9166666666666, 582.6291079812206, 644.5454545454545, 570.6666666666666, 589.7321428571429, 657.2649572649573, 677.8260869565217, 643.1623931623932, 636.9565217391304, 680.0, 964.5680819912152, 997.4489795918367, 1006.4285714285714, 1039.5180722891566, 1071.1217183770882,
3, 619.5219123505976, 650.8333333333334, 652.3012552301255, 658.4677419354839, 638.9344262295082, 651.0548523206751, 642.0833333333334, 609.8765432098766, 610.6382978723404, 565.6, 605.0, 604.3103448275862, 602.9166666666666, 646.5863453815261, 661.2244897959183, 633.6, 645.748987854251, 673.728813559322, 633.6134453781513, 650.4065040650406, 595.4356846473029, 626.6932270916335, 623.1404958677685, 631.5175097276265, 619.1666666666666, 698.0392156862745, 600.0, 650.6024096385543, 683.2684824902724, 652.5, 645.7142857142857, 646.9387755102041, 682.4701195219124, 1132.5581395348838, 1334.771573604061, 1362.472885032538, 1252.2633744855966, 1369.8198198198197,
4, 652.8368794326241, 615.7142857142857, 629.3436293436293, 571.0743801652893, 529.5275590551181, 539.9209486166008, 573.8955823293172, 551.3725490196078, 537.6984126984127, 558.4313725490196, 545.4183266932271, 508.73015873015873, 531.578947368421, 598.8505747126437, 639.2307692307693, 622.9249011857708, 602.7667984189724, 591.0505836575876, 573.6641221374045, 604.4176706827309, 614.6938775510204, 624.2677824267782, 588.7096774193549, 675.0, 599.6376811594203, 698.7261146496816, 666.0958904109589, 678.3783783783783, 680.4270462633452, 723.4042553191489, 630.6273062730627, 629.5275590551181, 623.2931726907631, 1473.7885462555066, 1879.1773778920308, 1561.904761904762, 1488.6029411764705, 1497.4358974358975,
5, 632.7067669172932, 644.3708609271523, 611.2727272727273, 493.4959349593496, 497.5, 495.9016393442623, 499.5798319327731, 500.0, 460.3921568627451, 440.15748031496065, 477.8625954198473, 452.05992509363296, 471.42857142857144, 607.1969696969697, 590.3225806451613, 597.4169741697417, 624.1379310344828, 566.6666666666666, 544.015444015444, 566.2790697674419, 578.8104089219331, 556.2992125984252, 608.9219330855019, 652.6946107784431, 667.1469740634005, 717.6470588235294, 644.5820433436533, 642.5465838509317, 731.3479623824452, 772.3684210526316, 677.8911564625851, 637.8006872852234, 690.8771929824561, 2074.3455497382197, 2583.5106382978724, 1828.9256198347107, 1721.0, 1712.037037037037,
6, 650.5703422053232, 631.3868613138686, 575.6653992395437, 541.1764705882352, 543.6123348017621, 545.2282157676349, 467.43119266055044, 516.4444444444445, 500.0, 467.8030303030303, 473.03370786516854, 442.64150943396226, 486.04651162790697, 586.328125, 640.080971659919, 600.7905138339921, 592.2178988326848, 606.7729083665339, 598.00796812749, 640.080971659919, 605.3231939163499, 604.1152263374486, 637.5, 841.6666666666666, 730.6493506493506, 901.8421052631579, 815.8176943699732, 823.0, 849.390243902439, 886.8243243243244, 835.7859531772575, 701.4285714285714, 799.0196078431372, 3000.906344410876, 4554.225352112676, 3092.6153846153848, 3014.733542319749, 2676.1643835616437,
7, 723.1833910034602, 682.7464788732394, 614.7169811320755, 533.5, 535.1485148514852, 568.8679245283018, 456.94444444444446, 565.7004830917874, 466.29213483146066, 462.406015037594, 484.469696969697, 479.0874524714829, 477.9850746268657, 626.6409266409266, 628.744939271255, 611.336032388664, 555.3719008264463, 652.6515151515151, 776.0784313725491, 915.5642023346303, 800.3412969283277, 822.0973782771536, 809.0592334494773, 924.228028503563, 894.2857142857143, 882.6966292134831, 874.9367088607595, 880.9160305343512, 944.8170731707318, 1138.8059701492537, 982.1212121212121, 793.5251798561151, 930.1538461538462, 4905.36398467433, 8758.549222797927, 4866.283524904215, 5223.456790123457, 4845.895522388059,
8, 745.5479452054794, 718.9655172413793, 626.7924528301887, 500.531914893617, 590.4494382022472, 564.1711229946524, 523.1132075471698, 525.5, 460.4562737642586, 457.1969696969697, 477.15355805243445, 440.44943820224717, 487.26591760299624, 671.0743801652893, 608.0188679245283, 618.1434599156119, 520.5607476635514, 669.5278969957081, 935.3383458646616, 1089.0459363957598, 869.0851735015773, 1080.6201550387598, 1075.0865051903115, 970.6422018348624, 879.1767554479419, 896.75, 911.031175059952, 915.75, 1071.7948717948718, 1416.9354838709678, 1157.5971731448763, 1214.7859922178989, 1060.3896103896104, 6733.183856502242, 14048.666666666666, 6215.584415584415, 9575.0, 8308.673469387755,
9, 743.9446366782007, 812.6712328767123, 699.6610169491526, 515.2941176470588, 626.4705882352941, 557.3170731707318, 582.6347305389221, 580.7106598984772, 482.82442748091603, 483.3333333333333, 503.40909090909093, 493.56060606060606, 495.43726235741445, 754.8117154811715, 598.5436893203884, 586.8932038834952, 594.0909090909091, 599.0384615384615, 1045.1127819548872, 1300.0, 919.9395770392749, 1314.0684410646388, 1286.6906474820144, 947.1052631578947, 858.282208588957, 961.7256637168142, 914.320987654321, 907.2639225181598, 1277.741935483871, 1702.5316455696202, 1531.2727272727273, 1550.2024291497976, 1268.5714285714287, 9457.608695652174, 22643.396226415094, 8529.591836734693, 14395.238095238095, 11407.878787878788,
