iteration, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, -9.99090909090909, -10.0, -9.995515695067265, -9.986425339366516, -9.995515695067265, -9.986547085201794, -10.0, -9.991031390134529, -9.990950226244344, -10.0, -9.991031390134529, -9.991189427312776, -10.0, -9.995555555555555, -9.986547085201794, -10.0, -9.991031390134529, -9.995515695067265, -10.0, -9.986301369863014, -9.990950226244344, -9.991071428571429, -10.0, -9.990950226244344, -9.995475113122172, -9.982300884955752, -9.995535714285714, -9.991071428571429, -10.0, -9.995555555555555, -9.995433789954339, -10.0, -9.991189427312776, -9.98165137614679, -10.0,
2, -9.990654205607477, -9.976635514018692, -9.981220657276996, -9.986046511627906, -9.99074074074074, -9.976525821596244, -10.0, -9.995260663507109, -9.990610328638498, -9.985849056603774, -9.990654205607477, -10.0, -9.995412844036696, -9.990654205607477, -9.995348837209303, -9.976076555023923, -9.976415094339623, -9.985849056603774, -9.975961538461538, -9.975961538461538, -9.976190476190476, -9.985915492957746, -9.981042654028435, -9.971563981042655, -9.98076923076923, -9.995238095238095, -10.0, -9.966824644549764, -9.980676328502415, -9.971428571428572, -10.0, -9.995555555555555, -9.995555555555555, -9.986486486486486, -9.995454545454546,
3, -9.995098039215685, -9.990243902439024, -9.990243902439024, -9.985365853658537, -9.985436893203884, -9.965346534653465, -9.97549019607843, -9.985221674876847, -9.960591133004925, -9.990243902439024, -9.970731707317073, -9.971153846153847, -9.985781990521327, -9.990384615384615, -9.990338164251208, -9.964824120603016, -9.99, -9.954773869346734, -9.950738916256158, -9.954545454545455, -9.968421052631578, -9.984375, -9.958333333333334, -9.948717948717949, -9.946236559139784, -9.970731707317073, -9.980295566502463, -9.970873786407767, -9.985074626865671, -9.985294117647058, -9.98165137614679, -9.995515695067265, -10.0, -10.0, -9.990825688073395,
4, -9.979899497487438, -9.969849246231156, -9.97, -9.98, -9.970297029702971, -9.969072164948454, -9.969696969696969, -9.984536082474227, -9.969849246231156, -9.985074626865671, -9.955882352941176, -9.965686274509803, -9.955223880597014, -9.954773869346734, -9.96551724137931, -9.974489795918368, -9.975247524752476, -9.980487804878049, -9.97969543147208, -9.984924623115578, -9.937853107344633, -9.954802259887005, -9.954022988505747, -9.938202247191011, -9.942528735632184, -9.969696969696969, -9.975124378109452, -9.950738916256158, -9.970297029702971, -9.960199004975124, -9.96923076923077, -9.990291262135923, -9.994949494949495, -9.895348837209303, -9.952127659574469,
5, -9.976190476190476, -9.990430622009569, -9.985436893203884, -9.971428571428572, -9.971153846153847, -9.969072164948454, -9.970149253731343, -9.96875, -9.984924623115578, -9.975609756097562, -9.94300518134715, -9.975728155339805, -9.93939393939394, -9.983957219251337, -9.936507936507937, -9.985436893203884, -9.990430622009569, -9.990654205607477, -9.980676328502415, -9.995098039215685, -9.896341463414634, -9.928571428571429, -9.93939393939394, -9.929824561403509, -9.880239520958083, -9.989637305699482, -9.990610328638498, -9.990521327014218, -9.985645933014354, -9.984536082474227, -9.765151515151516, -9.919075144508671, -9.805755395683454, -9.6328125, -9.581395348837209,
6, -9.966507177033494, -9.995192307692308, -9.966183574879228, -9.95609756097561, -9.941176470588236, -9.958579881656805, -9.9438202247191, -9.829268292682928, -9.909604519774012, -9.944444444444445, -9.949720670391061, -9.95360824742268, -9.915254237288135, -9.942857142857143, -9.897727272727273, -9.98421052631579, -9.984848484848484, -9.959798994974875, -9.989690721649485, -9.97883597883598, -9.843537414965986, -9.842105263157896, -9.904761904761905, -9.822368421052632, -9.783783783783784, -9.941520467836257, -9.931818181818182, -9.995049504950495, -9.950819672131148, -9.919075144508671, -9.085714285714285, -9.727272727272727, -9.166666666666666, -9.05940594059406, -8.826530612244898,
7, -9.970443349753694, -9.98019801980198, -9.96551724137931, -9.98469387755102, -9.979899497487438, -9.846153846153847, -9.797385620915033, -9.732876712328768, -9.860759493670885, -9.906832298136646, -9.965116279069768, -9.931034482758621, -9.930232558139535, -9.887573964497042, -9.929411764705883, -9.890243902439025, -9.966101694915254, -9.873493975903614, -9.994318181818182, -9.919753086419753, -9.788321167883211, -9.809859154929578, -9.816176470588236, -9.797101449275363, -9.741007194244604, -9.819548872180452, -9.92258064516129, -9.96174863387978, -9.960526315789474, -9.785714285714286, -8.162790697674419, -8.193181818181818, -8.275862068965518, -7.126760563380282, -7.467532467532467,
8, -9.9438202247191, -9.949720670391061, -9.936170212765957, -9.939024390243903, -9.942857142857143, -9.729166666666666, -9.746575342465754, -9.666666666666666, -9.81081081081081, -9.855263157894736, -9.940119760479043, -9.923076923076923, -9.870588235294118, -9.868263473053892, -9.91566265060241, -9.863636363636363, -9.869565217391305, -9.863354037267081, -9.94047619047619, -9.835526315789474, -9.705426356589147, -9.824817518248175, -9.744186046511627, -9.765151515151516, -9.708955223880597, -9.450819672131148, -9.838028169014084, -9.952941176470588, -9.732824427480915, -9.669291338582678, -7.91358024691358, -6.294117647058823, -6.640625, -5.719298245614035, -6.742857142857143,
9, -9.841059602649006, -9.912751677852349, -9.937888198757763, -9.835714285714285, -9.893617021276595, -9.833333333333334, -9.73758865248227, -9.735714285714286, -9.76923076923077, -9.793103448275861, -9.884146341463415, -9.939759036144578, -9.915151515151516, -9.890243902439025, -9.903614457831326, -9.73049645390071, -9.848101265822784, -9.888157894736842, -9.84375, -9.856209150326798, -9.672, -9.736434108527131, -9.69672131147541, -9.753731343283581, -9.813432835820896, -9.009615384615385, -9.65625, -9.89375, -9.150442477876107, -9.605042016806722, -6.548387096774194, -6.171875, -4.5, -4.745454545454545, -5.0508474576271185,
10, -9.71111111111111, -9.672, -9.776978417266188, -9.708955223880597, -9.714285714285714, -9.692857142857143, -9.742857142857142, -9.698529411764707, -9.811188811188812, -9.84, -9.895705521472392, -9.904191616766466, -9.927710843373495, -9.884848484848485, -9.833333333333334, -9.507462686567164, -9.79746835443038, -9.784722222222221, -9.8375, -9.802721088435375, -9.529411764705882, -9.634146341463415, -9.610169491525424, -9.521008403361344, -9.62992125984252, -8.75, -9.470588235294118, -9.915584415584416, -8.489795918367347, -8.900990099009901, -5.732142857142857, -4.701754385964913, -2.5306122448979593, -3.56, -3.962962962962963,
11, -9.476190476190476, -9.640625, -9.592307692307692, -9.401709401709402, -9.483050847457626, -9.741007194244604, -9.72463768115942, -9.656716417910447, -9.806896551724138, -9.79020979020979, -9.879746835443038, -9.895705521472392, -9.871951219512194, -9.882716049382717, -9.8625, -9.070796460176991, -9.81578947368421, -9.80952380952381, -9.826923076923077, -9.866197183098592, -9.451327433628318, -9.601694915254237, -9.375, -9.413793103448276, -8.91, -8.655555555555555, -9.047169811320755, -9.845637583892618, -7.988505747126437, -8.022988505747126, -5.6909090909090905, -3.196078431372549, -3.2127659574468086, -4.84, -2.9183673469387754,
