iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, -23.87248322147651, -23.879194630872483, -23.906666666666666, -23.91946308724832, -23.905405405405407, -23.87248322147651, -23.91216216216216, -23.9527027027027, -23.904761904761905, -23.93793103448276, -23.87074829931973, -23.91946308724832, -23.85810810810811, -23.926174496644297, -23.892617449664428, -23.879194630872483, -23.897260273972602, -23.93243243243243, -23.91216216216216, -23.881944444444443, -23.85810810810811, -23.913333333333334, -23.906040268456376, -23.93288590604027, -23.925675675675677, -23.91390728476821, -23.906040268456376, -23.906666666666666, -23.87837837837838, -23.925675675675677, -23.899328859060404, -18.043478260869566, -23.900990099009903, -23.872549019607842, -19.428571428571427, -23.8796992481203,
2, -23.87837837837838, -23.82312925170068, -23.856164383561644, -23.844594594594593, -23.843537414965986, -23.863013698630137, -23.8768115942029, -23.916666666666668, -23.906474820143885, -23.868217054263567, -23.908333333333335, -23.904761904761905, -23.85234899328859, -23.862068965517242, -23.91946308724832, -23.828767123287673, -23.863309352517987, -23.880281690140844, -23.881481481481483, -23.82962962962963, -23.872180451127818, -23.853146853146853, -23.862068965517242, -23.856164383561644, -23.82191780821918, -23.838926174496645, -23.886524822695037, -23.900709219858157, -23.920289855072465, -23.884057971014492, -23.883211678832115, -6.6, -23.917241379310344, -23.899280575539567, -3.4444444444444446, -23.823529411764707,
3, -23.962962962962962, -23.841726618705035, -23.834532374100718, -23.798561151079138, -23.822695035460992, -23.830985915492956, -23.910714285714285, -23.92792792792793, -23.946428571428573, -23.920353982300885, -23.89108910891089, -23.76595744680851, -23.84285714285714, -23.84027777777778, -23.879432624113477, -23.88888888888889, -23.844827586206897, -23.89516129032258, -23.896, -23.883333333333333, -23.859649122807017, -23.854014598540147, -23.8768115942029, -23.827338129496404, -23.893617021276597, -23.841726618705035, -23.91, -23.913793103448278, -23.892857142857142, -23.948453608247423, -23.875, -7.4, -23.902255639097746, -23.908333333333335, -1.7777777777777777, -23.813084112149532,
4, -23.226190476190474, -23.911290322580644, -23.84297520661157, -23.866666666666667, -23.84426229508197, -23.92063492063492, -23.955882352941178, -23.943661971830984, -23.94871794871795, -23.946666666666665, -23.890625, -23.860294117647058, -23.863636363636363, -23.807407407407407, -23.865671641791046, -23.866666666666667, -23.897435897435898, -23.848484848484848, -23.97142857142857, -23.910112359550563, -23.872340425531913, -23.88976377952756, -23.83606557377049, -23.858333333333334, -23.804878048780488, -23.796747967479675, -23.609756097560975, -23.82608695652174, -23.92222222222222, -23.883333333333333, -23.857142857142858, -3.0, -23.95, -23.853211009174313, -0.5555555555555556, -23.602272727272727,
5, -19.846153846153847, -23.8659793814433, -23.891304347826086, -23.926315789473684, -23.84090909090909, -23.86315789473684, -23.93103448275862, -23.939393939393938, -23.967741935483872, -23.93103448275862, -23.933333333333334, -23.901639344262296, -23.776859504132233, -23.8, -23.764705882352942, -23.793650793650794, -23.423076923076923, -23.9375, -23.151515151515152, -23.862745098039216, -23.828125, -23.806122448979593, -23.867346938775512, -23.881720430107528, -23.78125, -23.87, -16.9375, -23.904761904761905, -23.608695652173914, -20.19047619047619, -21.142857142857142, -0.1111111111111111, -19.87878787878788, -7.181818181818182, -0.1111111111111111, -10.0,
6, -8.636363636363637, -23.855263157894736, -23.807692307692307, -23.91566265060241, -23.875, -23.902439024390244, -22.625, -23.55, -22.6875, -21.5, -23.7, -23.785123966942148, -23.79032258064516, -23.841269841269842, -23.78048780487805, -23.818897637795274, -16.5, -23.952380952380953, -16.733333333333334, -23.82051282051282, -23.789473684210527, -23.847826086956523, -23.797752808988765, -23.84090909090909, -23.846153846153847, -23.851063829787233, -4.2, -23.94, -21.65, -16.76923076923077, -19.53846153846154, 0.0, -2.0, 0.0, 0.0, -7.0,
7, -7.25, -23.90625, -23.84, -23.929577464788732, -23.916666666666668, -23.901234567901234, -23.125, -21.75, -24.0, -23.529411764705884, -23.0, -23.788617886178862, -23.896825396825395, -23.79527559055118, -23.862903225806452, -23.8130081300813, -19.8, -23.86842105263158, -17.142857142857142, -23.96969696969697, -23.703703703703702, -23.774193548387096, -23.80851063829787, -23.903614457831324, -23.863636363636363, -23.872340425531913, -7.083333333333333, -23.875, -5.909090909090909, -2.888888888888889, -3.111111111111111, 0.0, -1.4444444444444444, 0.0, 0.0, -1.2222222222222223,
8, -8.818181818181818, -23.840579710144926, -23.872093023255815, -23.929577464788732, -23.786666666666665, -23.88888888888889, -22.2, -24.0, -23.958333333333332, -24.0, -23.3, -23.77777777777778, -23.747967479674795, -23.811023622047244, -23.84297520661157, -23.808, -17.166666666666668, -23.962962962962962, -0.1111111111111111, -23.866666666666667, -22.705882352941178, -23.82758620689655, -23.914634146341463, -23.884057971014492, -23.772151898734176, -23.816091954022987, -2.6666666666666665, -7.3, -0.8888888888888888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
9, -6.5, -23.9, -23.852459016393443, -23.857142857142858, -23.873563218390803, -23.846153846153847, -23.470588235294116, -23.892857142857142, -23.653846153846153, -23.75, -23.928571428571427, -23.89830508474576, -23.830357142857142, -23.81651376146789, -23.893805309734514, -23.85217391304348, -2.7, -23.869565217391305, 0.0, -23.854545454545455, -21.705882352941178, -23.83529411764706, -23.738095238095237, -17.25, -23.877551020408163, -23.804597701149426, 0.0, -0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
10, -10.909090909090908, -23.88888888888889, -23.304347826086957, -23.901639344262296, -23.862068965517242, -22.655172413793103, -23.15, -23.923076923076923, -23.84, -23.89189189189189, -23.25, -23.911504424778762, -23.884955752212388, -23.862385321100916, -23.894736842105264, -23.847457627118644, -0.1111111111111111, -22.608695652173914, -5.888888888888889, -23.90909090909091, -11.545454545454545, -23.876923076923077, 0.0, -21.516129032258064, -22.08695652173913, -23.85333333333333, 0.0, -0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
11, -12.363636363636363, -14.153846153846153, -18.384615384615383, -13.555555555555555, -22.72222222222222, -12.222222222222221, -21.782608695652176, -23.862068965517242, -23.94736842105263, -23.838709677419356, -23.93103448275862, -23.80373831775701, -23.805825242718445, -23.843478260869563, -23.94495412844037, -23.843478260869563, -0.2222222222222222, -2.4444444444444446, -16.6, -19.7, -2.5, -23.914285714285715, -0.1111111111111111, -23.64516129032258, -21.04, -23.891304347826086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
