iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 3310.56338028169, 3461.5384615384614, 3298.639455782313, 3339.310344827586, 3507.9710144927535, 3378.5714285714284, 3532.3741007194244, 3295.1724137931033, 3397.2027972027972, 3536.231884057971, 3381.818181818182, 3271.8120805369126, 3368.0555555555557, 3251.048951048951, 3607.1428571428573, 3514.285714285714, 3392.3611111111113, 3408.904109589041, 3156.1643835616437, 3507.9136690647483, 3452.112676056338, 3560.5839416058393, 3407.7464788732395, 3119.0476190476193, 3444.285714285714, 3316.9014084507044, 3610.56338028169, 3500.0, 3186.8055555555557, 3614.388489208633, 3241.095890410959, 2433.3333333333335, 3147.5524475524476, 2636.3636363636365, 3032.8947368421054, 2592.6174496644294,
2, 3466.4335664335663, 3315.972222222222, 3170.344827586207, 3360.27397260274, 3501.3888888888887, 3290.344827586207, 3263.9455782312925, 3521.830985915493, 3709.5588235294117, 3310.06711409396, 3501.4285714285716, 3357.6388888888887, 3534.751773049645, 3344.285714285714, 3624.460431654676, 3534.285714285714, 3268.6666666666665, 3224.8322147651006, 3308.7837837837837, 3244.137931034483, 3052.9411764705883, 3679.259259259259, 3693.478260869565, 3516.3120567375886, 3383.0985915492956, 3042.0, 3506.4285714285716, 3385.0340136054424, 3277.027027027027, 3361.6438356164385, 3052.2580645161293, 3236.0544217687075, 3348.936170212766, 2985.3333333333335, 3016.891891891892, 3436.4285714285716,
3, 2694.7712418300653, 2889.032258064516, 2924.8366013071895, 2901.9108280254777, 3213.245033112583, 3323.6111111111113, 3123.684210526316, 2936.842105263158, 3313.605442176871, 3403.3333333333335, 2852.5974025974024, 3024.324324324324, 3451.063829787234, 2976.3513513513512, 3026.1744966442952, 3007.4324324324325, 2941.509433962264, 3128.6624203821657, 2815.757575757576, 2900.0, 2712.5, 3111.1111111111113, 3344.4444444444443, 3288.815789473684, 3227.2727272727275, 3182.4324324324325, 2884.242424242424, 2743.3155080213905, 2762.0111731843576, 2995.906432748538, 2752.5252525252527, 2227.1186440677966, 2750.617283950617, 2370.414201183432, 2233.5135135135133, 2565.1685393258426,
4, 2000.0, 1848.148148148148, 2108.695652173913, 1927.2727272727273, 1846.4705882352941, 1772.8323699421965, 2262.6506024096384, 2147.852760736196, 2303.680981595092, 2471.4285714285716, 2001.7441860465117, 2759.3333333333335, 2479.4871794871797, 2543.7908496732025, 2654.3046357615895, 2487.8205128205127, 1668.586387434555, 1947.846889952153, 1945.1162790697674, 1851.578947368421, 1843.9814814814815, 2961.3333333333335, 2867.5324675324673, 2793.4210526315787, 2749.6774193548385, 2805.6962025316457, 1867.3469387755101, 1741.4728682170542, 1802.0920502092051, 1836.6812227074236, 1839.9239543726235, 1587.6404494382023, 1463.6363636363637, 2183.402489626556, 1282.0, 1802.2641509433963,
5, 1018.5393258426966, 737.9888268156425, 652.9100529100529, 700.561797752809, 654.0540540540541, 675.7062146892655, 1077.0949720670392, 1077.0114942528735, 1145.8100558659219, 1144.2528735632184, 1108.7431693989072, 1744.5121951219512, 1803.6144578313254, 1807.7844311377246, 1963.2911392405063, 1914.792899408284, 1137.9166666666667, 1066.00790513834, 1239.4308943089432, 1008.1967213114754, 1067.3469387755101, 2239.759036144578, 2482.716049382716, 2334.5454545454545, 2073.96449704142, 2015.5688622754492, 1127.2727272727273, 1037.4558303886927, 1199.21875, 986.8913857677902, 1118.456375838926, 1943.835616438356, 1769.7674418604652, 1541.4965986394557, 1581.4935064935064, 1861.3475177304965,
6, 1310.5882352941176, 657.8378378378378, 594.3589743589744, 668.5082872928177, 626.063829787234, 618.7845303867404, 1061.5384615384614, 1104.3478260869565, 1220.9302325581396, 976.6666666666666, 1239.1304347826087, 1891.1949685534591, 1619.047619047619, 1890.9638554216867, 1864.6341463414635, 1837.9518072289156, 1184.7222222222222, 1023.0769230769231, 1246.1538461538462, 1040.7079646017698, 1262.5, 2287.4285714285716, 2179.885057471264, 2076.5714285714284, 2030.857142857143, 2174.4791666666665, 960.9053497942386, 1217.5355450236966, 1021.6981132075472, 1120.675105485232, 1348.4581497797358, 2740.3571428571427, 1600.0, 2101.090909090909, 2024.7457627118645, 2322.3443223443223,
7, 1397.8609625668448, 768.2291666666666, 725.1336898395722, 685.204081632653, 718.3783783783783, 713.6612021857924, 1202.247191011236, 1288.826815642458, 1219.6629213483145, 1242.1965317919075, 1039.6739130434783, 2035.8823529411766, 1951.4619883040937, 2044.7852760736196, 1691.907514450867, 1797.0588235294117, 1054.6448087431695, 1058.7301587301588, 938.8297872340426, 941.2371134020618, 1069.364161849711, 2444.38202247191, 1947.6683937823834, 2184.9740932642485, 2172.222222222222, 1996.551724137931, 1114.5631067961165, 1290.0523560209424, 1072.093023255814, 1191.8478260869565, 1422.754491017964, 3364.4787644787643, 2098.3498349834986, 2616.6666666666665, 2745.247148288973, 2982.608695652174,
8, 1186.008230452675, 738.1355932203389, 847.4264705882352, 791.4414414414415, 997.7186311787073, 688.9423076923077, 1701.775147928994, 1420.0, 1472.0, 1259.4594594594594, 1648.3333333333333, 1922.5433526011561, 1799.3975903614457, 1912.8048780487804, 1840.8045977011495, 1908.2872928176796, 2063.5036496350367, 1242.7745664739884, 1485.1851851851852, 1277.8443113772455, 1521.3333333333333, 2317.4603174603176, 2142.7184466019417, 2090.1960784313724, 2054.1237113402062, 2316.923076923077, 1085.3658536585365, 1425.0, 1006.9364161849711, 1264.2384105960266, 1795.5974842767296, 3768.9795918367345, 2581.785714285714, 2956.25, 3927.314814814815, 3711.7391304347825,
9, 1279.2114695340501, 945.8646616541354, 927.3026315789474, 775.9124087591241, 888.5521885521886, 745.679012345679, 2056.213017751479, 2023.5294117647059, 1965.142857142857, 1901.1764705882354, 2166.279069767442, 1792.0903954802259, 2002.3121387283236, 1796.6666666666667, 1975.1381215469614, 1582.5396825396826, 2130.9523809523807, 1814.2857142857142, 1783.3333333333333, 1665.5172413793102, 2451.2, 1926.6355140186915, 1811.4155251141553, 2069.1542288557216, 2041.1458333333333, 1877.3399014778324, 1420.8333333333333, 1450.2890173410406, 1026.5060240963855, 1328.2051282051282, 2100.6134969325153, 4608.181818181818, 3155.893536121673, 3405.7377049180327, 4374.881516587678, 3967.099567099567,
10, 1036.9175627240143, 811.2359550561798, 900.7575757575758, 844.9122807017544, 979.6363636363636, 804.0441176470588, 2158.9887640449438, 1951.3812154696132, 2368.208092485549, 2215.568862275449, 2178.191489361702, 1742.9411764705883, 1710.6508875739646, 1884.971098265896, 1661.9318181818182, 1746.0227272727273, 3051.4563106796118, 2088.8888888888887, 2428.4615384615386, 1985.2112676056338, 2584.6774193548385, 1930.4545454545455, 2030.4761904761904, 2303.960396039604, 1914.2131979695432, 2176.6497461928934, 1643.5294117647059, 1552.0710059171597, 1370.4545454545455, 1535.0993377483444, 2360.5442176870747, 4809.952606635071, 4005.4621848739494, 3396.4285714285716, 4660.975609756098, 4251.363636363636,
11, 1408.0152671755725, 924.9084249084249, 927.0386266094421, 947.457627118644, 894.9579831932773, 819.7841726618705, 2244.3298969072166, 2097.3958333333335, 2301.010101010101, 2192.063492063492, 1982.6291079812206, 1975.0, 1671.2643678160919, 1879.5180722891566, 1902.994011976048, 1902.3809523809523, 3410.6382978723404, 2549.586776859504, 2702.4, 2055.223880597015, 2857.7586206896553, 2141.0138248847925, 1829.951690821256, 2219.0243902439024, 2307.5, 2329.145728643216, 2045.6140350877192, 1802.3255813953488, 1693.7853107344633, 1558.282208588957, 2715.6028368794327, 5559.595959595959, 4423.981900452489, 3677.2908366533866, 5195.336787564767, 4577.419354838709,
12, 1156.8093385214008, 925.2707581227437, 855.9183673469388, 958.0, 990.0, 754.8951048951049, 2022.6415094339623, 1681.2785388127854, 2265.8536585365855, 1842.3728813559321, 1835.1931330472103, 1732.3353293413174, 1823.6686390532545, 1935.3658536585365, 1878.313253012048, 1920.9302325581396, 3479.4117647058824, 2264.8, 3119.4690265486724, 2189.285714285714, 3264.864864864865, 2138.222222222222, 1959.2417061611375, 2279.207920792079, 2263.451776649746, 2498.469387755102, 2411.176470588235, 2358.823529411765, 1655.3299492385786, 1764.9484536082475, 2544.6540880503144, 5895.238095238095, 4831.279620853081, 3815.139442231076, 5556.4766839378235, 5142.926829268293,
13, 1257.707509881423, 1088.380281690141, 1025.1908396946565, 1146.9924812030076, 938.4083044982699, 892.9078014184397, 1627.734375, 1406.5637065637065, 1899.5575221238937, 1905.179282868526, 1334.7670250896058, 1652.0710059171597, 1947.878787878788, 1842.3312883435583, 1924.404761904762, 1861.2121212121212, 3035.8490566037735, 2501.5873015873017, 3365.4867256637167, 2389.1156462585036, 3708.823529411765, 2226.48401826484, 2285.572139303483, 2407.2115384615386, 2090.5, 2170.892018779343, 2509.659090909091, 2475.625, 1638.755980861244, 1511.111111111111, 2650.2958579881656, 6318.617021276596, 4883.644859813084, 4182.478632478633, 5507.0, 5740.540540540541,
14, 1490.6882591093117, 1209.5709570957097, 1130.5084745762713, 1171.6911764705883, 1123.469387755102, 970.1149425287356, 1334.364261168385, 1360.6382978723404, 1790.376569037657, 1931.2252964426877, 1571.0247349823321, 1801.2048192771085, 1841.764705882353, 2171.7241379310344, 1585.9550561797753, 1990.625, 3571.1111111111113, 3272.357723577236, 3443.4343434343436, 2779.136690647482, 3492.4528301886794, 2366.0377358490564, 2180.5825242718447, 2328.3720930232557, 2316.6666666666665, 2233.823529411765, 2924.7191011235955, 3020.9580838323354, 1873.8532110091744, 2532.4175824175823, 2851.123595505618, 7220.481927710844, 5244.607843137255, 4484.162895927602, 6188.461538461538, 5825.96685082873,
