iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 482.2834645669291, 510.90909090909093, 423.6994219653179, 481.86138613861385, 464.20432220039294, 502.23762376237624, 429.51171875, 477.9207920792079, 436.70542635658916, 459.04761904761904, 477.9805825242718, 397.37254901960785, 471.437125748503, 455.5795677799607, 438.3984375, 486.8910891089109, 493.2283464566929, 484.3452380952381, 503.0724070450098, 489.04, 522.6464646464647, 497.7062374245473, 430.2901353965184, 455.0489236790607, 422.05825242718447, 456.6147859922179, 502.81437125748505, 434.015444015444, 482.0272904483431, 434.8837209302326, 503.89662027833003, 918.8565488565489, 842.5954198473282, 1593.3093525179856, 1046.139534883721, 1196.3636363636363,
2, 782.3157894736842, 760.7723577235772, 753.4297520661157, 885.610278372591, 719.6487603305785, 810.954356846473, 545.2417794970986, 708.2435129740519, 692.5, 653.9314516129032, 652.4547283702213, 658.5743380855397, 625.010060362173, 684.6985446985447, 618.0846774193549, 669.5731707317074, 730.5183585313175, 709.9583333333334, 814.8608137044968, 637.2327044025158, 793.6673773987206, 643.7931034482758, 616.5294117647059, 624.8893360160965, 522.1272365805169, 708.8405797101449, 913.5683760683761, 830.1656314699793, 829.5689655172414, 888.7931034482758, 868.6825053995681, 4769.747292418772, 1881.4705882352941, 2583.8502673796793, 3465.3846153846152, 1464.6296296296296,
3, 1243.186274509804, 1108.2272727272727, 1043.4649122807018, 1174.6188340807175, 1069.351851851852, 1080.890410958904, 806.1458333333334, 876.6191446028513, 915.2542372881356, 898.5185185185185, 1009.0987124463519, 1101.0344827586207, 986.8, 1101.4823529411765, 1008.8565022421525, 1110.0, 1380.7960199004974, 1364.7836538461538, 1519.974293059126, 1278.9430894308944, 1405.311004784689, 866.2186788154897, 809.835390946502, 925.3728070175439, 869.1363636363636, 1006.9515011547344, 1400.327868852459, 1327.4031890660592, 1393.5023041474653, 1440.9692671394798, 1354.6875, 10307.41935483871, 7011.521739130435, 3476.8382352941176, 4369.72972972973, 3146.487804878049,
4, 1864.3304843304843, 1531.5591397849462, 1691.8852459016393, 1641.04, 1766.5722379603399, 1785.4341736694678, 952.1205357142857, 1040.4545454545455, 1042.013888888889, 1062.7397260273972, 981.934065934066, 1593.5844155844156, 1560.140056022409, 1704.4615384615386, 1637.3643410852712, 1661.0526315789473, 2168.818897637795, 1943.5223880597016, 2247.752808988764, 1985.4761904761904, 2192.060606060606, 1613.5142857142857, 1332.5925925925926, 1557.4338624338625, 1616.0058309037902, 1516.1538461538462, 1783.739837398374, 1611.3868613138686, 1601.021377672209, 1766.9251336898396, 1646.2189054726368, 17514.722222222223, 7690.416666666667, 4511.393442622951, 6534.545454545455, 4291.283783783784,
5, 2768.6692015209123, 2512.572463768116, 2520.1006711409395, 2711.491525423729, 2465.955882352941, 2624.7796610169494, 1232.704081632653, 1523.9074550128535, 1779.489247311828, 1373.1675392670156, 1672.125340599455, 2374.5741324921137, 2297.322033898305, 2319.6686746987953, 2083.75, 2463.151515151515, 2573.2178217821784, 2946.1685823754788, 2897.3423423423424, 2822.3762376237623, 2823.3571428571427, 2911.195652173913, 2453.8028169014083, 2434.4981412639404, 2309.2549019607845, 2621.346153846154, 2494.074074074074, 2529.503105590062, 2858.31884057971, 1974.3648208469056, 2849.0615835777126, 23724.94382022472, 8748.536585365853, 4759.36, 9901.764705882353, 5212.058823529412,
6, 3069.5726495726494, 3129.6039603960394, 3102.6666666666665, 3603.7619047619046, 3421.6751269035535, 2868.078602620087, 2396.440129449838, 2481.3981762917933, 2737.6315789473683, 2395.3627760252366, 2415.3179190751443, 2620.7017543859647, 3052.5, 2766.553191489362, 2466.496598639456, 2756.542750929368, 3610.294117647059, 3357.65625, 3758.2417582417584, 3663.7012987012986, 3228.214285714286, 3123.3333333333335, 3232.1951219512193, 3454.6330275229357, 3215.854922279793, 3392.95, 3355.321888412017, 3303.7, 3438.75, 2906.6279069767443, 3033.6610169491523, 30237.671232876713, 10293.75, 6934.7191011235955, 25903.2, 12659.0625,
7, 3794.0, 4303.051948051948, 3873.699421965318, 4629.490445859873, 4092.422360248447, 4200.320512820513, 2819.029126213592, 3063.0662020905925, 3209.705882352941, 2936.3052208835343, 2832.9180327868853, 2961.673151750973, 3068.785046728972, 2840.0, 2846.3878326996196, 3226.1728395061727, 4038.3802816901407, 4139.319727891157, 3950.6944444444443, 4599.846153846154, 4799.777777777777, 3528.6363636363635, 4082.0, 4374.354838709677, 4342.272727272727, 4189.526627218935, 3558.2741116751267, 3689.0416666666665, 3072.1052631578946, 3109.537037037037, 2343.1799163179917, 39512.93103448276, 11280.54054054054, 8251.948051948051, 27831.739130434784, 42693.80952380953,
8, 4679.777777777777, 4832.571428571428, 4761.8125, 5092.0, 5304.967320261438, 4646.533333333334, 3148.8475836431226, 3704.0476190476193, 3609.96336996337, 3506.381909547739, 3328.1467181467183, 3217.079646017699, 3439.9492385786803, 2865.1528384279477, 2771.3818181818183, 3030.269058295964, 4639.206349206349, 4534.076923076923, 5119.411764705882, 3982.3571428571427, 6031.696428571428, 4231.776315789473, 5538.181818181818, 5225.54794520548, 4975.731707317073, 4459.219858156029, 4196.023391812865, 5017.151898734177, 3274.91452991453, 4215.8490566037735, 3445.5851063829787, 54326.818181818184, 13194.390243902439, 15772.727272727272, 31093.809523809523, 58256.875,
9, 4820.359712230216, 5562.428571428572, 5572.281879194631, 5645.602836879432, 4919.117647058823, 4883.035714285715, 3872.453703703704, 3981.9736842105262, 3691.733333333333, 3617.277486910995, 3676.9469026548672, 3243.811659192825, 3040.0, 2966.3090128755366, 3215.536480686695, 3351.324200913242, 4922.586206896552, 4745.433070866142, 6170.3, 4418.050847457627, 7100.288461538462, 4781.843971631206, 5261.145038167939, 5251.95652173913, 4949.060402684564, 5474.918032786885, 4639.455782312925, 5666.524822695035, 4756.78391959799, 6703.660714285715, 4821.280487804878, 67434.70588235294, 13127.441860465116, 25151.333333333332, 27961.25, 58203.88888888889,
