iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 25442.0987654321, 26187.24096385542, 21629.03, 20799.60824742268, 22128.886363636364, 20377.956043956045, 21834.122448979593, 25598.761363636364, 22024.897727272728, 25100.86813186813, 23210.684210526317, 24620.858695652172, 21507.824175824175, 23335.135416666668, 26714.68604651163, 22282.701149425287, 23264.548780487807, 22921.302083333332, 19323.076923076922, 23982.072916666668, 23076.054347826088, 26275.786516853932, 25952.113924050635, 20814.030612244896, 20831.114942528737, 23114.941176470587, 25261.202127659573, 22197.46153846154, 23400.024691358023, 27232.883720930233, 21089.112359550563, 7354.6, 11354.470588235294, 7383.142857142857, 5027.580882352941, 7633.981818181818,
2, 13821.072, 10586.295081967213, 13403.453846153847, 11434.514925373134, 11624.625954198473, 13545.992125984252, 13067.780303030304, 14036.618644067798, 13961.068965517241, 13782.642276422765, 15620.89, 20374.59, 18914.79207920792, 17896.93396226415, 18790.25, 18756.949367088608, 12947.469696969696, 12069.624060150376, 11077.083333333334, 12382.931818181818, 10378.737588652482, 13701.22950819672, 14905.052173913044, 15854.49090909091, 18231.160714285714, 15108.396396396396, 14205.666666666666, 14192.408333333333, 12976.008403361344, 12641.688524590163, 13818.15306122449, 8118.746575342466, 13296.964705882352, 8253.676056338029, 20977.274193548386, 7420.687116564417,
3, 3711.48, 3056.8387096774195, 3068.8479262672813, 3399.0267379679144, 3381.9859154929577, 3238.339366515837, 3574.633333333333, 3267.340206185567, 3614.0641711229946, 4027.905, 3320.338383838384, 6095.078651685393, 7203.821656050955, 6717.423841059603, 7678.075342465753, 6744.086956521739, 3452.1420765027324, 2854.4502923976606, 3821.547738693467, 3523.7817258883247, 3408.5, 4130.6894736842105, 4108.9889502762435, 5252.157608695652, 3414.6881720430106, 3936.6067415730336, 3527.628712871287, 4025.948275862069, 3852.392156862745, 3373.2708333333335, 4652.307692307692, 7667.89928057554, 18205.112903225807, 13262.018018018018, 25034.721518987342, 7596.571428571428,
4, 3613.0773809523807, 2660.9633507853405, 2676.913875598086, 3270.5375, 3268.980198019802, 2984.854368932039, 2103.060606060606, 2239.080808080808, 2218.25, 2250.852380952381, 2093.296943231441, 2046.01244813278, 2124.7719298245615, 2071.6778242677824, 1919.8897959183673, 2179.1967213114754, 4805.46511627907, 3618.932584269663, 4713.518072289156, 4306.461538461538, 4398.751592356688, 3390.4747474747473, 3095.4871794871797, 2789.0104166666665, 3130.4745762711864, 3945.0, 3531.7525773195875, 3302.7580645161293, 3453.7616822429904, 3830.872340425532, 4381.340314136126, 12320.29203539823, 18584.91, 17621.14285714286, 23788.86567164179, 8021.066176470588,
5, 5862.412280701755, 3783.08, 3810.5555555555557, 4267.569105691057, 3706.9919354838707, 3643.8394160583944, 2678.405714285714, 2743.201342281879, 2743.923529411765, 2941.8275862068967, 3207.309090909091, 1868.6839826839828, 2131.5102040816328, 1634.3411214953271, 1506.283105022831, 1862.5813953488373, 4417.78640776699, 5344.419047619048, 6129.198675496688, 5480.675213675214, 5296.311258278146, 5938.708737864078, 5502.072072072072, 5072.669811320755, 6306.633587786259, 6734.168421052632, 4933.081632653061, 3750.6458333333335, 4585.490683229814, 4009.475, 5829.986301369863, 22733.89534883721, 22583.41379310345, 27372.158536585364, 28781.714285714286, 6673.841584158416,
6, 9927.461538461539, 10225.71264367816, 6860.326923076923, 7132.7191011235955, 8994.157894736842, 7515.728155339806, 6933.927272727273, 4857.162962962963, 6955.292682926829, 5614.229357798165, 7341.946666666667, 2445.4163265306124, 2320.069387755102, 2370.512, 2375.724696356275, 2239.0916666666667, 9788.219512195123, 10893.454545454546, 10058.204379562043, 10730.11214953271, 10736.060344827587, 10380.876404494382, 11347.911764705883, 13018.348837209302, 10586.301886792453, 12223.741176470588, 6473.383458646616, 7073.659574468085, 8768.243902439024, 6453.226086956522, 6965.490196078431, 31375.691176470587, 32318.238095238095, 38846.21875, 28487.855072463768, 7620.268907563025,
7, 16315.732673267326, 16189.0625, 11824.59349593496, 13907.264705882353, 17505.7311827957, 14207.541666666666, 8399.148148148148, 9472.72602739726, 9631.35576923077, 10881.953846153847, 12614.87012987013, 2403.961373390558, 3100.543103448276, 2793.8349514563106, 2652.8809523809523, 2617.5564853556484, 10433.772727272728, 9166.360294117647, 12326.590476190477, 10805.341085271319, 11513.575, 14986.494505494506, 15232.518072289156, 12955.786324786324, 14574.295918367347, 16741.81818181818, 9209.694029850747, 10116.96062992126, 7609.707142857143, 9002.618320610687, 9843.185840707965, 50992.291666666664, 33659.298507462685, 42308.017857142855, 29283.342465753423, 8864.32075471698,
8, 14996.66, 17904.4358974359, 18363.255555555555, 16846.56043956044, 20577.729411764707, 16355.166666666666, 12034.86170212766, 13516.460784313726, 9640.519379844962, 13204.854545454546, 17507.609523809522, 3037.9322033898306, 4520.222772277228, 3746.433628318584, 2691.4212765957445, 3778.4123222748817, 9675.02962962963, 11191.918518518518, 12996.277227722772, 9909.427419354839, 10116.906976744185, 19983.73404255319, 17836.98076923077, 15995.103773584906, 13757.300884955752, 27423.61842105263, 8327.90909090909, 8648.507142857143, 8550.525179856115, 7098.766917293233, 10486.851239669422, 46533.11538461538, 36661.566666666666, 59411.9, 33476.65573770492, 10759.21,
9, 18295.630434782608, 20369.12987012987, 19549.114942528737, 23563.933333333334, 24493.373333333333, 20110.168674698794, 9723.7299270073, 8527.739837398374, 8309.730263157895, 7798.270072992701, 7853.83125, 3236.362831858407, 4089.739534883721, 3745.027397260274, 3129.7035398230087, 3259.6296296296296, 8252.113821138211, 10733.068376068377, 10499.823076923078, 9355.083333333334, 8139.426573426574, 22478.633333333335, 20165.315789473683, 15042.711538461539, 20478.8875, 48346.75409836065, 7754.821705426357, 9368.525925925926, 7685.012578616353, 7670.2421875, 9284.421487603306, 54380.02173913043, 38908.31343283582, 57384.895833333336, 35235.21666666667, 18207.898876404495,
10, 21353.128571428573, 19259.112359550563, 17250.22340425532, 22654.3125, 21002.324675324675, 13864.591836734693, 7933.5, 6852.315436241611, 10613.236111111111, 9673.732283464567, 6981.653225806452, 3698.635135135135, 4120.276595744681, 3837.552380952381, 3491.135, 4152.683417085427, 8382.506944444445, 10661.624, 11814.555555555555, 9761.528455284553, 8050.41134751773, 26088.31081081081, 18753.57608695652, 16554.463917525773, 13741.882978723404, 42526.898305084746, 9526.677685950413, 11203.730434782608, 6594.404109589041, 9038.655737704918, 8743.942857142858, 62262.41860465116, 52796.107142857145, 55101.80392156863, 42609.944444444445, 26601.144736842107,
11, 15394.787878787878, 27458.09677419355, 15950.864583333334, 20293.662790697676, 28033.97014925373, 15187.4375, 7817.413333333333, 8967.892307692307, 8898.050314465409, 9212.540372670808, 7002.850649350649, 3482.057591623037, 4396.783251231527, 3294.5231481481483, 3391.6936936936936, 5027.509554140127, 9715.633802816901, 13064.50847457627, 15282.645161290322, 14823.68932038835, 8858.5390625, 27355.125, 21461.655172413793, 24442.59259259259, 18309.045977011494, 54709.38, 9460.937007874016, 13700.509433962265, 8518.269565217392, 10016.598214285714, 9329.79831932773, 60528.90243902439, 57406.0, 56791.69387755102, 46397.555555555555, 32067.662162162163,
12, 21033.710843373494, 40310.96428571428, 30919.33766233766, 23599.428571428572, 33305.38961038961, 28710.9375, 6628.175438596491, 6758.369047619048, 5530.377049180328, 9231.48275862069, 6540.79012345679, 4616.2786885245905, 3786.3762376237623, 3219.1401869158876, 3922.6777251184835, 5395.014084507042, 10189.93220338983, 12322.655737704918, 14099.752380952381, 13621.925233644859, 11879.91304347826, 38265.454545454544, 38098.08955223881, 22789.182926829268, 27665.20512820513, 88758.72093023256, 11137.978723404256, 12097.59633027523, 10126.040322580646, 10577.81981981982, 9223.863636363636, 106372.09090909091, 64897.681818181816, 67672.76595744681, 54150.67924528302, 36377.469696969696,
13, 20042.115384615383, 48875.639344262294, 57261.392857142855, 34237.890410958906, 45314.42105263158, 33399.818181818184, 7199.083333333333, 4818.4390243902435, 8288.116959064328, 6175.907514450867, 6229.153225806452, 2828.8177339901476, 4889.944751381216, 3990.090909090909, 4112.746031746032, 6134.585185185185, 11680.126213592233, 15412.135922330097, 14672.254716981131, 12548.035714285714, 10589.288888888888, 35674.16071428572, 41341.94827586207, 26778.430555555555, 46566.98, 49761.36363636364, 12641.548076923076, 13296.2, 11849.521739130434, 10396.910714285714, 10566.627906976744, 79102.62857142858, 89281.0, 71043.60416666667, 53911.204081632655, 39672.35384615385,
