iteration, Cramer_ncLR0.00005_1, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 666.2650602409639, 604.2424242424242, 678.9808917197453, 601.219512195122, 664.8148148148148, 673.4177215189874, 716.6666666666666, 678.9473684210526, 715.2777777777778, 736.7741935483871, 629.1925465838509, 720.0, 689.0243902439024, 633.9622641509434, 700.6493506493506, 530.2857142857143, 643.1952662721893, 632.5714285714286, 705.1612903225806, 661.5853658536586, 620.6060606060606, 664.9350649350649, 706.4516129032259, 689.261744966443, 763.0872483221476, 640.5228758169935, 695.4248366013072, 610.3658536585366, 707.6923076923077, 739.4736842105264, 623.5668789808917, 288.8888888888889, 210.40462427745663, 264.0287769784173, 239.68253968253967, 257.3333333333333,
2, 655.3072625698323, 568.4491978609626, 563.8297872340426, 623.4285714285714, 570.6806282722513, 637.9888268156425, 627.6243093922652, 648.314606741573, 629.1428571428571, 585.4922279792746, 582.7027027027027, 677.439024390244, 583.4254143646409, 623.2044198895028, 629.608938547486, 637.2093023255813, 581.8652849740932, 570.5583756345178, 623.936170212766, 551.2562814070352, 591.7948717948718, 655.27950310559, 632.9545454545455, 640.1129943502825, 600.0, 715.0837988826815, 600.5025125628141, 606.8062827225131, 588.5416666666666, 709.7826086956521, 537.5661375661375, 1078.723404255319, 685.8064516129032, 547.457627118644, 803.90625, 488.8268156424581,
3, 431.9148936170213, 489.82300884955754, 465.4867256637168, 486.0986547085202, 393.00411522633743, 436.40167364016736, 493.3920704845815, 444.11764705882354, 494.29824561403507, 471.72131147540983, 439.0243902439024, 476.4192139737991, 444.24778761061947, 509.5022624434389, 455.1111111111111, 437.117903930131, 494.8356807511737, 491.8918918918919, 425.3968253968254, 496.98275862068965, 472.22222222222223, 576.6304347826087, 525.9090909090909, 600.0, 501.85185185185185, 662.5, 485.7142857142857, 429.82456140350877, 471.8487394957983, 433.46938775510205, 508.48214285714283, 1135.5555555555557, 1232.716049382716, 943.918918918919, 968.1818181818181, 863.905325443787,
4, 279.44785276073617, 298.29931972789115, 281.72757475083057, 311.1498257839721, 291.958041958042, 269.2556634304207, 270.404984423676, 254.84848484848484, 320.46204620462044, 313.2450331125828, 274.83660130718954, 359.3869731800766, 344.7761194029851, 373.8636363636364, 331.20567375886526, 324.5353159851301, 284.09090909090907, 258.76623376623377, 259.62145110410097, 301.7182130584192, 299.6551724137931, 426.0869565217391, 422.5531914893617, 425.86206896551727, 396.7741935483871, 469.26229508196724, 286.4516129032258, 307.85714285714283, 279.4701986754967, 286.27450980392155, 259.2356687898089, 1547.6190476190477, 1781.1688311688313, 1301.010101010101, 1235.0282485875707, 1346.1538461538462,
5, 130.57471264367817, 151.66666666666666, 198.13664596273293, 190.49079754601226, 172.53731343283582, 172.83236994219652, 132.1867321867322, 140.73107049608356, 131.0, 139.23076923076923, 139.94708994708995, 229.88165680473372, 227.67295597484278, 227.89317507418397, 217.01492537313433, 233.63914373088684, 178.08641975308643, 167.5438596491228, 225.83892617449663, 226.98961937716263, 223.05194805194805, 337.90613718411555, 334.90909090909093, 378.0487804878049, 364.05693950177937, 434.44444444444446, 151.0928961748634, 190.4153354632588, 192.60355029585799, 219.73684210526315, 157.54985754985756, 2727.027027027027, 1763.6871508379888, 2372.560975609756, 1931.7365269461077, 1595.5056179775281,
6, 119.5227765726681, 254.1044776119403, 254.88721804511277, 241.8181818181818, 228.9655172413793, 258.52713178294573, 147.32620320855614, 142.71099744245524, 144.64751958224542, 151.9893899204244, 163.73626373626374, 240.625, 214.98470948012232, 225.39184952978056, 229.28348909657322, 231.07692307692307, 257.72058823529414, 287.551867219917, 324.0506329113924, 375.6880733944954, 306.0344827586207, 481.93277310924367, 475.6198347107438, 548.8038277511962, 524.0343347639486, 544.3037974683544, 242.4812030075188, 341.93548387096774, 338.7096774193548, 386.1244019138756, 256.47058823529414, 3879.464285714286, 2616.9398907103823, 2576.9662921348313, 1797.4358974358975, 1590.566037735849,
7, 180.22598870056498, 342.34234234234236, 390.3061224489796, 359.61538461538464, 325.70093457943926, 323.8532110091743, 171.22507122507122, 165.73816155988857, 184.59383753501402, 183.6206896551724, 195.12893982808023, 269.9658703071672, 250.84175084175084, 270.03610108303246, 263.2450331125828, 284.05797101449275, 431.21387283236993, 388.8888888888889, 465.40880503144655, 871.6981132075472, 621.1267605633802, 642.156862745098, 624.0384615384615, 732.5842696629213, 631.8407960199005, 744.041450777202, 437.4331550802139, 501.2121212121212, 530.5732484076433, 635.3658536585366, 461.67664670658684, 4316.981132075472, 2977.4725274725274, 2913.529411764706, 2374.7252747252746, 2178.723404255319,
8, 255.14950166112956, 388.0208333333333, 399.01960784313724, 394.1463414634146, 458.04597701149424, 368.8073394495413, 192.30769230769232, 189.04899135446686, 245.625, 206.4327485380117, 232.62839879154077, 306.8181818181818, 306.08365019011404, 320.7171314741036, 319.24528301886795, 298.8847583643123, 657.5539568345324, 757.5221238938053, 590.5797101449275, 1374.6478873239437, 1159.0361445783133, 764.5502645502645, 781.5533980582525, 886.7403314917127, 819.5266272189349, 952.3255813953489, 610.5263157894736, 949.1071428571429, 647.8260869565217, 1005.8394160583941, 577.7777777777778, 4523.008849557522, 3675.141242937853, 3579.640718562874, 3364.1618497109826, 2968.5714285714284,
9, 394.91525423728814, 486.8263473053892, 461.02564102564105, 575.1552795031056, 528.7581699346405, 429.7979797979798, 228.30769230769232, 212.83582089552237, 274.38271604938274, 255.4140127388535, 290.8474576271187, 359.9099099099099, 380.6306306306306, 402.3696682464455, 342.38683127572017, 355.75221238938053, 954.0, 947.4226804123712, 911.7647058823529, 1476.5625, 1158.6206896551723, 837.5661375661375, 958.6206896551724, 989.3491124260355, 1041.3793103448277, 1094.4444444444443, 926.5625, 1162.1052631578948, 981.8181818181819, 1033.5526315789473, 913.4020618556701, 3757.042253521127, 4748.192771084337, 4503.125, 4204.819277108434, 3779.0849673202615,
