iteration, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, 3562.8625, 3610.8619246861927, 3530.570833333333, 3579.016666666667, 3656.5466101694915, 3564.3391608391607, 3528.06015037594, 3474.2304964539007, 3501.603773584906, 3565.4210526315787, 3552.5105485232066, 3516.0753138075315, 3611.4135021097045, 3538.560669456067, 3511.8, 3624.7837837837837, 3563.4236641221373, 3719.6617100371745, 3542.736641221374, 3590.5171102661598, 3556.626506024096, 3594.4691358024693, 3514.0247933884298, 3669.1610169491523, 3652.219008264463, 3618.72030651341, 3530.9049429657794, 3600.863813229572, 3612.741176470588, 3517.778195488722, 7421.235204855842, 4685.825203252032, 6521.135860979462, 4471.701149425287, 6397.814885496183,
2, 4140.210862619809, 4260.968152866242, 4173.773913043478, 3982.0375426621163, 4212.750778816199, 4269.718681318681, 4081.591836734694, 4206.237986270023, 3952.834355828221, 4029.18115942029, 3800.1271186440677, 3759.212, 3740.2697095435683, 3833.0853658536585, 3753.498023715415, 3860.545150501672, 3611.554054054054, 3778.2696629213483, 3822.623693379791, 3779.106463878327, 4088.7623456790125, 4206.860869565217, 3968.9142857142856, 4211.292899408284, 4012.7841945288756, 3654.042471042471, 3934.6704545454545, 3589.776515151515, 3724.846153846154, 4207.262589928057, 9948.93536121673, 6490.092643051771, 10580.689655172413, 5039.2558139534885, 13251.071604938272,
3, 4493.75, 3662.980769230769, 4423.398230088495, 4540.58988764045, 4691.72319201995, 4472.225872689938, 4617.578125, 4768.475845410628, 4721.064655172414, 4633.762637362637, 4115.9353846153845, 4083.6382352941177, 4150.4077380952385, 4105.722741433022, 3986.221902017291, 2029.6470588235295, 2145.306569343066, 2270.7843137254904, 2283.8478260869565, 2599.125475285171, 4547.308068459658, 4449.64, 4615.4758269720105, 4613.630136986301, 4431.952261306533, 2176.4636363636364, 3574.5759717314486, 2456.0184331797236, 2085.3388429752067, 2425.8705882352942, 9545.113636363636, 6723.830645161291, 13077.746666666666, 5531.005291005291, 12081.256723716382,
4, 4268.027777777777, 2422.1403508771928, 4099.65606361829, 3840.1669394435353, 4139.442834138486, 4383.629116117851, 4468.789391575663, 4632.4934086629, 4455.192307692308, 4627.8030560271645, 4162.658097686375, 4340.933806146572, 4348.7541371158395, 4266.807228915663, 4253.044444444445, 2253.3732718894007, 2975.412844036697, 2541.444976076555, 2830.6372093023256, 2996.5555555555557, 4481.9209183673465, 4348.296208530805, 4296.523002421308, 4263.498905908096, 4574.220140515223, 2401.266990291262, 2839.6018518518517, 2581.1447368421054, 2162.323943661972, 2369.9857142857145, 9773.326359832636, 6746.834355828221, 11079.236245954693, 6012.092391304348, 10922.780120481928,
5, 6497.019847328244, 3000.4774193548387, 4576.715404699739, 4718.360262008734, 5451.118892508143, 5346.770903010033, 5419.599427753934, 5204.14265129683, 5513.200964630225, 4854.812280701754, 4728.915921288014, 4492.0589198036005, 4554.207126948775, 4465.878048780488, 4937.879928315412, 3176.401960784314, 3411.9411764705883, 2978.1088082901556, 3421.377450980392, 4738.370909090909, 4536.351201478743, 5269.165413533835, 4152.525, 4244.347022587269, 5632.909090909091, 1904.212669683258, 3201.737451737452, 2181.680412371134, 2339.5789473684213, 1944.212389380531, 9852.352173913043, 7016.316455696203, 11133.097902097903, 5975.940594059406, 10676.205323193917,
6, 7445.623556581986, 5736.801507537689, 5207.338935574229, 6642.1212871287125, 6938.946308724832, 7161.1518518518515, 7021.392273402675, 6419.839137645108, 6435.024630541872, 6402.259075907591, 4520.389443651926, 4607.28511821975, 4576.226788432268, 4918.366998577525, 4460.524017467249, 4289.8379888268155, 4931.467391304348, 4394.608695652174, 5248.444881889764, 5717.745358090186, 5045.301546391753, 6230.371657754011, 5113.515151515152, 2981.510714285714, 6267.433234421365, 2284.557142857143, 5134.008460236887, 1781.8235294117646, 2723.65625, 1674.6945812807883, 9285.073170731708, 7932.225296442688, 11317.094059405941, 6163.0, 10495.416666666666,
7, 7818.576923076923, 6963.5382262996945, 7118.167647058824, 8628.661870503596, 10131.932835820895, 8394.621568627452, 8884.033391915642, 7753.296943231441, 8568.215106732348, 7601.582677165355, 5084.5729984301415, 5022.474870017331, 4728.577335375191, 5188.9985119047615, 4807.1233974358975, 4925.719780219781, 5269.822742474917, 5731.569105691057, 5682.186813186813, 6134.378494623656, 6830.240853658536, 7369.5125, 5852.941379310345, 3536.460465116279, 8389.84776119403, 2967.3317972350233, 5869.811715481172, 2139.9744897959185, 3443.4505928853755, 1843.5844155844156, 8697.992125984252, 8280.887096774193, 11856.828877005348, 6280.28, 12424.384057971014,
8, 9635.537433155081, 7758.346820809248, 9246.852272727272, 8580.285714285714, 9812.332225913622, 9328.186761229314, 10581.690366972478, 9356.062256809339, 10367.018656716418, 9087.095652173914, 5777.81660899654, 5776.901673640167, 6005.344506517691, 6728.873990306946, 5276.315904139434, 5289.04347826087, 5765.932853717027, 6793.810026385224, 6723.740976645436, 7699.565315315315, 8064.972972972973, 8125.4006968641115, 7992.451724137931, 7088.313492063492, 8943.833887043189, 4021.96, 6327.573643410853, 3691.5231481481483, 4257.353065539112, 2818.615, 9286.987288135593, 8059.953389830508, 11778.161904761904, 6443.132275132275, 11777.689795918368,
9, 9887.147887323943, 7447.959044368601, 8842.653374233128, 9735.570281124497, 9921.161616161617, 11015.55707762557, 10687.176334106729, 10587.378313253012, 11250.684065934065, 11200.757009345794, 6870.745916515427, 6719.221635883905, 7032.349122807018, 6933.407035175879, 7037.576131687243, 6047.784360189574, 6143.616197183099, 8039.734417344173, 6870.147286821705, 8402.337142857143, 8670.013100436681, 8566.349462365592, 8180.807106598984, 8031.882113821138, 7931.1040892193305, 4886.716738197425, 7756.035714285715, 2101.3719806763283, 5476.024653312789, 3469.8254716981132, 9132.948275862069, 8450.885593220339, 12163.872727272726, 6268.2095238095235, 12742.772727272728,
