, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 206.38297872340425, 205.4751238802549, 210.96087506127006, 201.25979597612113, 219.30263382004347, 208.5963182582273, 215.4816333975166, 259.49445914078177,
2, 288.586387434555, 283.324059126552, 266.7951840498725, 250.7125123578534, 302.32721924, 274.4615955721732, 311.0327583638481, 492.0160893342636,
3, 366.4810126582278, 348.42732247703333, 316.0534757092217, 322.6770588280824, 382.4217843673908, 366.7539104196095, 432.23222381047674, 664.3577372979396,
4, 449.9519230769231, 390.37217853509696, 386.63216768884223, 398.043365961615, 435.8959836953633, 442.76397904230254, 515.8579774662154, 765.4526714354869,
5, 484.73809523809524, 427.1342490794301, 443.59427623225673, 475.61941340343617, 468.29458621572456, 524.6931504105321, 491.556229855905, 844.0012286256272,
6, 560.3990024937656, 528.7544164352422, 520.2852001392442, 514.1317454553831, 521.1668104139413, 603.5437713844714, 503.7231388985016, 898.144151222564,
7, 602.03125, 620.5685915538842, 611.9658031900229, 562.6511135279243, 582.2444222903517, 619.7072447498851, 541.490566145701, 1012.1063244543648,
8, 639.2753623188406, 668.135455197762, 706.8601458846113, 589.9253020374529, 630.3740056471154, 695.8168111651786, 613.614467433706, 1107.2706100412943,
9, 636.0143198090692, 724.3110161006759, 718.1785857731846, 619.3168037302605, 638.6122144788284, 733.0248113564115, 661.5561169418377, 1217.7600319933076,
10, 646.6997518610422, 784.7436470998827, 711.0439149097924, 680.5592170387009, 640.8519001376346, 759.6986700079331, 698.6346453838927, 1263.402224064353,
11, 701.4215686274509, 864.6840079961481, 746.9692850727475, 720.7562044100281, 695.2495953271608, 770.110015156685, 759.0125952165201, 1277.0836695474454,
12, 706.5871121718377, 911.4542497799891, 803.9536636332125, 797.8285376859183, 727.7820502019592, 826.8618154253924, 794.088804831794, 1349.5986166281366,
13, 762.5263157894736, 949.0915359580101, 866.3745046358414, 875.1102031782375, 804.412012836209, 887.2456430550171, 838.4013048254523, 1363.5197945441264,
14, 782.3711340206186, 963.7756853579656, 983.0024350701867, 931.3947051060479, 840.1119925872284, 909.2454765651661, 866.2224471751472, 1426.1804154280067,
15, 815.5524861878453, 1013.17834234569, 996.0073394085181, 985.6640481371323, 877.5770948087372, 964.6477271326418, 881.6201309073261, 1511.0594680461693,
16, 878.6486486486486, 1051.8384755086963, 995.9716715386921, 990.7617977027285, 903.7230255175533, 1003.7241390262288, 889.9867829668481, 1566.5372516271248,
17, 868.5975609756098, 1113.0896609490956, 1001.8649255898757, 1067.1739348429714, 933.6216168644708, 1044.1702049998016, 934.5891776139537, 1642.6166880482233,
18, 919.6153846153846, 1140.1133223953257, 1094.4693295541106, 1115.3586148155332, 962.3484184415065, 1059.969137803321, 975.7365843537227, 1670.1760395540173,
19, 944.516129032258, 1167.3597469572485, 1145.1783761312267, 1167.110799469157, 1000.265203950976, 1116.8895470687537, 1008.3466261619545, 1788.2649510456824,
20, 1046.5202702702702, 1237.908506635472, 1150.7059047458167, 1237.8685382480558, 1001.2634036272824, 1176.9392496916996, 1041.528077120083, 1876.674816393405,
21, 1150.886524822695, 1256.0158772953484, 1189.0063648192652, 1303.1874077195343, 1071.7250959515427, 1218.0622030020447, 1039.899384395121, 1918.1145555859225,
22, 1112.048611111111, 1280.0813960233106, 1167.3746472000498, 1316.8283784136856, 1088.9927645878172, 1240.2286553479953, 1078.5118989811588, 2019.5378461856794,
23, 1157.3234200743495, 1303.2688864729212, 1235.0315358094365, 1342.8818758291739, 1133.6554099576808, 1214.4870269548176, 1089.7139252973527, 2141.998857683577,
24, 1184.6007604562737, 1325.5900709407083, 1235.3133229186965, 1348.7261574247837, 1171.4614120787646, 1251.7270694316778, 1102.482500212035, 2175.068459529161,
25, 1174.6946564885495, 1335.3615060466186, 1300.8274063007098, 1367.3161767288752, 1150.801683071892, 1342.2889051544523, 1108.5427126359214, 2325.3444308132757,
26, 1208.953488372093, 1385.0387491552606, 1306.5735239949388, 1390.905717050568, 1181.82475362797, 1351.6933860006898, 1111.5519143913184, 2276.3805211202216,
27, 1323.8866396761134, 1379.5053541612656, 1334.6089542046225, 1374.7193877176048, 1220.856326340658, 1372.6731602356367, 1172.4100432263897, 2417.343189523435,
28, 1279.1769547325102, 1413.5057471425334, 1293.9406017434985, 1428.4542168990608, 1242.2847193803466, 1387.6927445529832, 1195.4154788778494, 2482.852264019505,
29, 1322.905982905983, 1451.8407545059763, 1277.293791480152, 1391.2267511813632, 1315.9509060146818, 1354.1336048982962, 1200.0391197062659, 2670.396728994835,
30, 1382.304347826087, 1507.2483945691517, 1295.227302043138, 1469.7460616268193, 1289.1455412742357, 1399.6237917733536, 1262.6546518323562, 2628.3245338665333,
31, 1425.982142857143, 1501.7740213542568, 1302.7198127307358, 1384.1248376067135, 1332.0204154423204, 1426.8815506869557, 1260.0964953139858, 2716.1130847612985,
32, 1477.9816513761468, 1545.5721770330606, 1272.462744076649, 1408.8167824353895, 1357.9041704571846, 1415.2651738250665, 1271.5514260809782, 2756.9089488402215,
33, 1510.5882352941176, 1534.1768004782004, 1218.384940883466, 1420.8210972431566, 1403.0430791293957, 1432.7857217470305, 1313.8292410604247, 2901.5845091546644,
34, 1420.8636363636363, 1583.7699421757463, 1217.0411823628149, 1405.4742979962125, 1414.549332296509, 1447.7995708051853, 1354.5478675438408, 2927.96660598093,
