, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 231.845155160736, 232.85429046424628, 226.20037750003513, 232.69181738886778, 237.74356903968888, 232.8431916988347, 232.29752850664727, 269.1554847743953,
2, 258.70441195325003, 254.79129015667363, 247.37711821663657, 240.01812390051663, 277.69818925618745, 266.41677692501435, 264.8209387483936, 524.7902161165996,
3, 332.45695068691225, 362.2200394596145, 310.0717171371121, 302.5497461933822, 402.06907539919814, 379.354940536132, 357.19146507333755, 1169.4703012452264,
4, 501.2863755764219, 1035.4023868871175, 458.612619151185, 442.11097985397953, 688.6984270174589, 584.0434768504736, 521.7099212117673, 2001.3815988098445,
5, 765.7158243707134, 2258.9617232201103, 719.9597450879514, 880.986647100522, 1210.9293619228615, 1005.6249077807504, 800.3701077611047, 2512.3676095380906,
6, 1226.6763353651977, 2382.44498365687, 1042.9265885999746, 1828.6306781784583, 1942.3629402108004, 1763.351117555812, 1244.329641007491, 2738.510639850319,
7, 2013.626100889358, 2417.357140151294, 1497.7935808703655, 2276.1031849698675, 2443.5604518445575, 2436.1082966792856, 1810.1360369533863, 3016.935737546715,
8, 2482.209675469003, 2508.9028295947896, 2182.413416926119, 2479.564412806071, 2566.801016909866, 2630.7183437994945, 2427.4316726028865, 3075.8286344310945,
9, 2632.6986644937965, 2632.5231531954387, 2484.8437915105724, 2543.022399481887, 2581.0017219857186, 2654.3400463017047, 2628.0885772402926, 3282.5601774232236,
10, 2676.1636360295693, 2841.886031373365, 2454.1056762558774, 2521.5999425929913, 2574.989176075903, 2645.198448881742, 2649.41605032966, 3516.4174620409904,
11, 2667.9107235285255, 3120.0673198142804, 2423.8402644784496, 2568.0020819805386, 2637.893340513663, 2699.5579964967765, 2603.8023561585624, 3747.556359583819,
12, 2735.372386759582, 3309.097823422154, 2405.249272871576, 2575.1299103769124, 2749.946080339031, 2740.072736615478, 2599.7809818788837, 4158.935148410621,
13, 2841.562600348854, 3464.293327788135, 2445.220961665368, 2657.867899105167, 2902.469291031133, 2848.8997598508367, 2613.2585280532544, 4889.989824095471,
14, 3082.3835945964006, 3944.870004942399, 2462.540760456407, 2747.265697068099, 3026.4230197483603, 2948.494623185136, 2691.2105598852295, 5412.610303932137,
15, 3241.1097016032786, 4815.472434681577, 2554.2188716182327, 2698.440804591474, 3154.8207750229885, 3141.3428009917384, 2732.2182165390063, 6249.7580595283125,
16, 3387.656656158398, 6240.565255542354, 2622.7577294609646, 2896.0937079082264, 3200.2627410618543, 3294.7887923578337, 2797.086313808902, 6792.586300503839,
17, 3713.5803779161165, 7883.745629766936, 2651.536303426403, 2937.684085640206, 3389.626769707587, 3504.2475481462143, 2845.5013960941574, 7390.357836051195,
18, 3781.6573532679026, 9348.164451341981, 2714.3946711981253, 2981.6215138268317, 3696.1786798063467, 3774.106744216956, 2980.0117215512178, 8000.315345335616,
19, 3736.3892246125747, 12510.568794002498, 2786.0553520082203, 3074.8978156063254, 3876.4438992347846, 4104.526227621549, 3081.7657215681966, 8866.983342424252,
20, 4129.985536435633, 14218.510907704043, 2841.078137770462, 3054.891921249197, 4181.743809812096, 4392.329666923315, 3171.3553964601138, 9899.759993343692,
21, 4462.478005117697, 16585.216712674875, 2944.6907286475566, 3218.205768860908, 4641.973907243751, 4782.996371479634, 3370.6406231378446, 10146.127587174202,
22, 4818.214026638292, 18442.09271433831, 3042.8728673287496, 3226.4563932458063, 5183.2006935461595, 5241.562926654684, 3759.117928698136, 11488.61613310943,
23, 4897.919805170529, 20477.171873847125, 3104.7717658495494, 3226.2731681169407, 5690.341704738754, 5632.468898756187, 4098.366145999072, 12001.66755956263,
24, 5605.939869597464, 22506.125939036378, 3236.0437973031235, 3357.4105966220695, 6245.997218277205, 5779.3374731557515, 4404.631214607055, 12609.273463717242,
25, 6118.267705976868, 24028.469080011757, 3453.350250613688, 3450.1215729111414, 6617.3836981781715, 6110.9905600861075, 4533.117295254691, 14226.820575854435,
26, 6641.5318396683115, 24719.725024586965, 3527.858773512162, 3531.8680772210437, 7254.129612927124, 6362.8698752228165, 4998.348790517599, 14783.237344053545,
27, 6620.155993830918, 24340.75904738927, 3691.1594776337797, 3619.200860879212, 8125.427418226306, 6569.676139433124, 5281.575099085717, 15445.614713741877,
28, 7040.702649261567, 25488.32362383145, 3863.0479392107663, 3658.6035267058787, 8817.940428785074, 6721.826737204853, 5726.034448200649, 17830.34474879223,
29, 7612.602693602694, 26855.1706676485, 4235.651676914673, 3729.0998003284826, 9253.147643485167, 6879.251014936689, 5995.773261198066, 18134.62664708051,
30, 8206.358430240783, 26300.46172440619, 4426.374604354659, 3681.3926017594486, 10132.560892647465, 6828.645303759296, 6245.86140691607, 19027.55103922447,
31, 9116.60913100192, 27132.58739356264, 4630.987805127499, 3637.7798619137457, 10443.82923422039, 7140.538064969187, 6606.874409838872, 19914.00015016058,
32, 10318.01499691255, 27821.107998067535, 4671.6064548479135, 3729.5891045005637, 11708.473849292594, 7320.23410897366, 7056.331658268285, 20590.955746865126,
33, 10819.436454381206, 29371.747719201463, 4820.796510476479, 3726.6797144626726, 12680.29659433308, 7697.32239237524, 7421.488105399512, 21507.439697586495,
34, 13683.447501048917, 29978.010049221986, 4803.967108763178, 3590.642449356061, 12750.29736309369, 7550.465155487211, 8002.962899417228, 21443.62605915461,
35, 13656.214545725967, 30395.57601600931, 4857.6095453526095, 3681.217918576782, 16328.598507938314, 7918.842698934505, 8061.793536882273, 23546.453254696375,
36, 16595.04262193228, 30476.839453704284, 4604.805103175489, 3646.6807172209274, 16276.727697457158, 8200.032645688378, 8642.117420787907, 23528.135567909023,
37, 18844.376305322843, 30932.40412144562, 4949.079420191868, 3696.342115135306, 18978.679204102627, 8592.21083204084, 9095.787805320599, 24663.15139119294,
38, 19167.51545911764, 33719.08813073719, 4923.526226919573, 3774.500273153156, 18999.109761354244, 9102.741013318686, 10080.136033302984, 25033.754448533124,
39, 20059.335904663007, 33210.50382596174, 4995.628861497966, 3701.7779958051433, 20478.094299478336, 9634.153068711223, 9874.430197478243, 25639.81593755891,
40, 23074.310611603225, 34440.14980115975, 5240.419377599399, 3656.9136304001668, 22007.085778340595, 10702.082911935959, 10587.648126784441, 25713.870786297815,
41, 23368.83249621303, 39913.15799000515, 5329.673259379176, 3781.181671077221, 22154.059968232286, 10343.898234476754, 11255.49530769054, 26875.27490207812,
42, 23963.094368217367, 41616.662818920544, 5272.402308274711, 3794.890979347793, 22915.37295423607, 11699.996127657956, 12701.667968582084, 27939.85108539799,
43, 23887.28728873466, 41799.174791225116, 5226.797341482247, 3799.136593836783, 23978.025087692546, 12889.538392274688, 12950.50821220085, 27689.398217683403,
44, 23948.8113521992, 41305.218885618975, 5193.846438307559, 3737.2687782378607, 23752.14929214929, 14011.206942150267, 13174.567125640518, 28621.218620903594,
45, 25499.564586677985, 45434.14224068403, 5354.063949125668, 3740.694298895959, 27245.067609472415, 15053.66580681077, 13151.869897772038, 28907.72804843971,
46, 28067.99022230615, 50136.7823070388, 5587.770647491844, 3746.289106218147, 27308.201936229783, 16080.3124481787, 14545.975733392119, 29350.856119210202,
