, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 17917.647058823528, 17249.687142198807, 17060.968012269994, 17319.146249569538, 17186.38054102263, 16963.401363809615, 17112.535540494726, 9977.056474213045,
2, 15627.722772277228, 15927.985463302679, 15774.69139725858, 16249.286894329187, 15289.563796533106, 16278.02090359081, 15430.841148594805, 11829.598766511688,
3, 13534.562211981567, 12573.423993659042, 13341.830443075896, 13272.977676467946, 11780.50834368264, 13542.17508651806, 11916.431878193476, 16979.551367102733,
4, 9569.201520912547, 8148.719598743203, 9187.72862644309, 9994.061698163589, 7167.9969288935245, 9606.621267921355, 7286.360845768062, 33263.73016861549,
5, 6625.625, 4650.821840080191, 6572.9935676776895, 6481.225553008568, 4570.283690388715, 5790.955815247771, 3804.60319538271, 44208.242870988746,
6, 6258.1039755351685, 5054.237537659538, 7316.0476309473215, 6445.9107993685875, 5236.704781908202, 6416.283982090234, 4440.2240108791975, 63048.32958385257,
7, 5941.98250728863, 5556.415902630883, 6891.227922815879, 6972.808066347573, 5663.224273381679, 6398.4898647945765, 4842.334478584317, 129275.67493926636,
8, 6473.2558139534885, 6385.640211763683, 6631.135357568988, 7206.323110450821, 5895.631976824746, 6518.90263215384, 5043.960642351965, 352055.80000000005,
9, 6077.528089887641, 6886.955267418484, 6552.452345846519, 7483.2753910805095, 6091.398691965673, 6623.432817034246, 5885.553701902398, 557249.1303418803,
10, 6136.918604651163, 6990.970461516992, 7340.89266745347, 7998.9730070142305, 6343.547049554742, 7193.721365764478, 6182.913556032802, 815473.1111111111,
11, 6313.01775147929, 7568.581029346385, 6684.627091661832, 8465.23062706438, 6584.141962606036, 7041.394268128146, 6257.961248380021, 863666.6666666666,
12, 6394.047619047619, 8015.743568351312, 6899.553287222673, 8596.481528014914, 6819.726532410859, 7940.18061688365, 5976.2536088673905, 884724.4444444444,
13, 7173.584905660377, 8628.64486538902, 7433.2255770101065, 8755.687630935488, 7047.913535989021, 8494.449365777753, 6376.009797660357, 895506.6666666666,
14, 7377.429467084639, 9038.821737004635, 7088.078413389204, 9340.164698917612, 7330.691860249439, 9125.569431089822, 6617.357064573074, 907268.888888889,
15, 7808.2508250825085, 10162.714880933821, 7108.88908013431, 9467.28970215117, 7941.545825127099, 9538.319757284338, 6903.618385693769, 917844.4444444444,
16, 7524.75884244373, 11231.018936659826, 7500.936547501287, 9996.43202171467, 8632.072273919914, 10095.67658435271, 7277.060217107724, 910784.4444444444,
