, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 8411.627906976744, 8044.184658744285, 8260.8682507809, 8377.17429952681, 9130.772393759547, 8062.880215103092, 8622.744387395549, 4205.377755664422,
2, 11897.894736842105, 11691.01080101486, 12336.407385453715, 11959.3660899836, 12879.446240890244, 12508.63061820121, 12042.214360726864, 11839.837571561711,
3, 18725.8064516129, 14134.489653568937, 19490.774617063522, 16788.445561938457, 19490.017387987155, 18497.51070834879, 14914.296879933021, 36995.65614246634,
4, 25164.634146341465, 22564.910238391745, 29835.35100803205, 23590.251129644388, 27669.42824712517, 29707.885217891522, 19900.5945667032, 66405.10487106272,
5, 29097.058823529413, 23321.167763302605, 37198.32908153596, 27099.05056199695, 30020.680498416557, 45565.63085992857, 16293.25516995629, 78804.19090226485,
6, 34649.253731343284, 42025.3617272612, 44244.402928502765, 27259.395131018635, 37405.22026844608, 50953.37306634789, 17054.489576828913, 94530.80898165717,
7, 44759.09090909091, 59303.73336233257, 58372.20539993535, 29450.90346362498, 43239.97115748214, 63528.08420842646, 20998.481505515898, 104768.22242968378,
8, 58336.92307692308, 77530.7481058123, 67058.69073647895, 32338.06421289554, 53906.72635431589, 66865.18406520766, 20456.686537819704, 107384.06683175119,
9, 62309.67741935484, 90102.7474014324, 66638.34622125993, 36528.893464259316, 60735.04591318443, 71743.30612218005, 19220.51979653488, 109280.77921314833,
10, 65679.66101694915, 94486.36261497605, 71655.99206349207, 38011.890811160665, 65530.812180776964, 65723.98927193829, 22774.819379391098, 113876.7605810249,
11, 73989.6551724138, 100141.63515067863, 79163.9640372278, 40140.12244909381, 76193.90303152763, 60521.12763566066, 25546.406213906215, 115453.78285918213,
12, 92734.61538461539, 106707.7886303592, 78895.1273533466, 38041.08359598946, 73014.56382835619, 59691.00756967849, 27129.154381936467, 116091.25943452548,
13, 98700.0, 110139.5633572578, 77686.78724306326, 42012.43212327601, 75221.81209000153, 57314.83998949643, 30058.57762221804, 118908.82516636417,
14, 77771.69811320755, 111243.87325265034, 89781.9673646929, 44508.913218096146, 72451.43917377396, 57137.11758795001, 33037.514715657904, 120414.78971024873,
15, 86758.82352941176, 113168.66159393052, 91889.23694795888, 47031.95538585783, 74512.51933102112, 56502.54589900002, 33873.9904004367, 122915.99905667148,
16, 87587.5, 112956.86685056456, 90129.64189297291, 50180.58969790448, 81814.80488873515, 63625.74732724903, 40010.214402567726, 123649.35489659275,
17, 87305.6603773585, 115168.62720038583, 92390.02314018091, 54038.99279834501, 84680.52181736394, 66760.51762004592, 41944.29638134776, 125967.08408953417,
18, 77383.01886792453, 120805.82498453927, 99612.5606125653, 52259.15207779335, 87169.50328552743, 61470.49267480674, 41480.68591347533, 126606.14285501225,
19, 98258.18181818182, 120017.67243867244, 95520.85874799913, 56743.6924926347, 88072.80383061609, 64368.87783572359, 45353.91694442709, 128050.12645249488,
20, 99770.37037037036, 119545.6328320802, 99318.588257233, 56855.190684624016, 91334.28145738223, 60592.092033877896, 52227.6150533434, 127124.56455042286,
21, 90800.0, 120291.4651520986, 97319.56616496624, 54560.23019675193, 94969.72577652473, 61828.96032399987, 48961.068070362475, 132422.72932491126,
22, 97253.0612244898, 123600.9472934473, 99427.07840761615, 57368.18431032199, 96243.86762360446, 63056.873729080624, 46513.91465142746, 131225.72923126872,
23, 93954.54545454546, 124288.82961035203, 97795.67805662577, 58563.64905629612, 95772.34051398338, 62857.05671439491, 53190.009475994346, 136454.75720867826,
24, 97723.07692307692, 124998.30709707373, 97601.93714568131, 62787.39094422131, 98393.60627227458, 65134.055710536835, 61160.6912506082, 134013.19833460153,
25, 95221.42857142857, 127774.25650485085, 103003.91077813887, 61142.02238160571, 95156.38672754887, 62654.013450301965, 64465.64327371189, 137956.11135161135,
26, 100740.0, 130584.77916419091, 102043.80438995993, 62095.817674675505, 95864.97028262785, 58170.387300808914, 57809.96755368814, 141029.46711889663,
27, 105380.39215686274, 128482.31672903367, 102025.34808506677, 57803.745263031175, 97935.845992438, 61968.072415761046, 60733.209108780124, 138556.46782554677,
28, 103008.92857142857, 130317.0809850527, 99599.86853206572, 62742.478531138484, 107173.01878837659, 66132.96356285224, 64013.93116684039, 141395.91306596965,
29, 92340.4255319149, 130178.9769119769, 102593.46030785776, 67248.01323215854, 104413.33065996855, 64076.85584976904, 65982.6591400565, 141328.88307220818,
30, 95851.85185185185, 132902.39105339107, 105035.02616852797, 67504.41549295775, 108461.56445814073, 69160.79515259656, 67036.03060474501, 144591.00799200797,
31, 97774.50980392157, 130647.3695595231, 99008.04945335323, 65714.6306389059, 107011.27849932034, 68230.7332330179, 64407.36952646806, 142516.731824779,
32, 103026.78571428571, 130107.45981783122, 106154.17877550144, 62881.57880310784, 110424.11404307182, 74647.3822086689, 73798.32748277004, 145670.62237762235,
33, 108575.92592592593, 132986.8539709766, 109424.37772533107, 71032.82403571757, 106986.15675203335, 72794.12230850318, 66200.08535267788, 144787.08176624213,
34, 117635.84905660378, 132273.48980278982, 104619.74725584014, 72222.89274106175, 109628.48832373231, 73469.5310966811, 74500.85781544256, 147929.19233359236,
35, 112289.28571428571, 135999.77066927397, 105516.07788070201, 71097.47756316458, 110357.39295297067, 78927.80571759897, 76751.95396831367, 148774.34702182762,
36, 106916.36363636363, 130534.44159269235, 103804.33215542641, 71947.70747066944, 107081.20937263794, 69809.87487801837, 77684.47007631784, 151431.13441981212,
37, 107033.96226415095, 132657.40427034075, 108776.78740970073, 70156.04815765865, 115238.0503341811, 77609.69287747078, 77287.63772175537, 150911.78984034833,
38, 113137.03703703704, 132742.61462826346, 108820.31953824972, 70780.82002801119, 108817.03853164378, 73980.01503759398, 77543.67700770343, 151283.04994450609,
39, 121512.5, 135803.06397306398, 107865.46330977848, 72849.65158089876, 111479.54959854958, 73070.72748421403, 78457.60799479538, 152087.94144777406,
40, 116498.11320754717, 136432.28116188495, 108311.29009634056, 73579.81315714691, 115327.56788459618, 75561.36357854043, 79942.76847252219, 152116.08793105432,
41, 119298.11320754717, 135186.75244388025, 106690.25774400934, 68446.18812759599, 111772.62598284284, 82359.28633461047, 79943.95993364073, 154620.64961027147,
42, 123469.09090909091, 134560.9357903476, 104571.95088377161, 72368.18718625032, 117197.15242451712, 81900.98393268239, 89238.09337287748, 156092.7283018868,
43, 117259.61538461539, 133231.4170400749, 106959.71956856703, 72107.43740219092, 115088.56780062043, 84513.75659506313, 78443.24297729795, 158119.31794871791,
44, 114885.71428571429, 136356.8231574197, 107355.78693947561, 77302.56594640305, 119156.92423256641, 82460.4318511677, 79050.24893899928, 155105.87861269325,
45, 118260.0, 135690.92770845714, 109776.05093516762, 73182.44737996977, 118529.34671628338, 77670.29659027574, 85364.89739026039, 154925.68028875798,
46, 128237.5, 136391.2880491828, 112422.63512595047, 76785.00942569312, 118906.44582845527, 82699.1782170358, 90387.9775528054, 154650.13812572922,
47, 129869.81132075471, 137481.9035224035, 112218.07331872507, 81853.19421101773, 119960.15006385694, 83606.67898241265, 93876.69613218504, 156712.43438914028,
48, 125575.47169811321, 140362.36503496504, 111388.1510035609, 79488.64687792305, 120203.66281080619, 84824.6874663984, 85606.0282445375, 156339.79717425432,
49, 120901.85185185185, 139345.37605946485, 109550.86776277614, 76169.32043194091, 120617.34364952784, 84466.35018300443, 83784.22970939925, 155944.46555678875,
50, 119512.96296296296, 138311.82427076768, 111993.09028834393, 81084.66573235394, 119330.19710179218, 83595.8058049978, 89355.1325982933, 160660.61441191862,
51, 123200.0, 140925.42654410578, 111100.97261178025, 79830.23936847466, 119832.36847359489, 84550.49644788969, 95320.57819373609, 158857.16206482594,
52, 126841.07142857143, 138839.5854617081, 110717.19022960923, 80430.63338768343, 122981.39964849726, 87976.83597800299, 93048.1556980057, 159635.41628959277,
53, 124369.64285714286, 143315.21388045917, 111755.8663195367, 74684.69528521583, 125877.80393191714, 87723.37662337662, 97270.41643320626, 164323.5583033213,
54, 132281.4814814815, 140548.25725251032, 112028.12271091605, 76212.33974438685, 122400.39848401917, 88617.70330486093, 97094.32405005755, 161893.8116138763,
55, 131192.45283018867, 137338.61693373014, 108682.47489413188, 76734.3908317875, 123601.99944305207, 90192.21614493751, 93854.61032820541, 163969.028202443,
56, 123013.2075471698, 139261.46412846414, 109813.69963058426, 76989.45145559107, 127327.26309539517, 90548.94985754986, 100677.57697565593, 162535.09119496855,
57, 127291.22807017544, 141606.49764405034, 108504.33837915875, 78032.79558048319, 124835.2861952862, 91803.42690058479, 95816.10620085991, 163730.35727521777,
58, 124733.33333333333, 137885.88811188814, 112577.13486457846, 77471.5929038282, 123505.54190149475, 94840.4444257794, 93791.96881091618, 165804.37412965187,
59, 128323.21428571429, 142286.78778364492, 108153.61348175634, 73589.91347774056, 124708.03115158775, 92250.5567834681, 95289.77383318545, 166493.1669067627,
60, 134366.66666666666, 142295.7063180828, 111084.16443068456, 74684.51095948878, 124047.56349206348, 99447.5727116199, 94893.30988081588, 164969.86394557822,
61, 130970.37037037036, 139865.61192476287, 108984.67044501656, 79468.23137963815, 126367.76858216632, 96838.57729228733, 93808.10515046066, 167544.89395758306,
62, 137087.03703703705, 139781.56160438186, 110998.14712643679, 79410.55751154217, 129311.1350319841, 97783.89722260312, 102082.66913692476, 167493.67721088434,
63, 136690.56603773584, 137177.1840612218, 110131.80744651293, 76862.38716277767, 127545.03433940627, 94685.92146438586, 98715.34873855086, 166046.96020025032,
64, 133214.8148148148, 143730.11852926947, 112294.17861528089, 78056.5966871886, 128070.73175601478, 94699.18467354236, 94343.58787672737, 167145.33373860182,
65, 131250.9090909091, 144110.62612481858, 109359.3515031552, 75290.51106639838, 130756.69347319347, 99549.10753659953, 102620.18155342815, 172866.06057316542,
66, 126734.54545454546, 142255.78464280817, 110245.88609454672, 78222.87861970902, 128064.86492752528, 97843.8363296984, 110184.81974427596, 169053.88639455783,
