, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 3246.969696969697, 3334.0073436979496, 3320.408232870154, 3269.3191706840844, 3369.532685866365, 3265.2919083173174, 3300.007415131503, 2739.4385620210664,
2, 3585.2272727272725, 3398.9337546052434, 3470.0659404362677, 3346.0548231247667, 3469.8409151282444, 3358.774306504486, 3414.967544591269, 3007.97919051318,
3, 3249.4117647058824, 3332.0443652200966, 3388.477898914383, 3212.062159225804, 3337.100530444106, 3269.8487236730903, 3220.7144442922804, 2974.107314068363,
4, 3294.6236559139784, 3036.170465195638, 2966.5465921905984, 2929.7923460106454, 3233.7054186261275, 3245.9566189807, 3014.492577029471, 4721.11048010016,
5, 2853.0150753768844, 2718.7830952379736, 2634.98498277267, 2695.9893119422895, 3018.0577809976967, 2982.2590322816786, 2754.7269779665903, 7840.97994249131,
6, 3018.4895833333335, 2747.6173240297185, 2684.592733983366, 2727.4388957463325, 2971.014170054977, 3046.085706194913, 2737.436275951345, 12249.997650241388,
7, 3065.0510204081634, 2775.184301190654, 2743.738006522537, 2769.7365415642817, 3073.4193605185565, 3094.547317488071, 2837.2998843819905, 17224.858198529982,
8, 2985.164835164835, 2743.584576071794, 2764.8417892477364, 2774.9487459101883, 2989.6761517074056, 3249.1051696109344, 2820.2214964491372, 23279.770243799194,
9, 3050.5347593582887, 2761.499787788405, 2757.3897206748697, 2813.98934271666, 3108.2511258826235, 3259.8292537278994, 2835.7466518194865, 27456.031401065637,
10, 2986.516853932584, 2809.5443251517636, 2811.861771505069, 2795.2604938238283, 3142.091046979817, 3272.376520132673, 2799.340497629461, 33262.23164953226,
11, 3068.9265536723165, 2863.641129715794, 2899.264345671563, 2854.4865360367603, 3178.9275547619677, 3281.124837657826, 2822.560078946307, 36973.92017777156,
12, 3164.835164835165, 2858.927651582755, 3012.9853321730257, 2839.4114748699144, 3169.176389307796, 3384.1980892682514, 2784.474228715814, 37784.449744177466,
13, 3194.551282051282, 2855.178424516049, 3058.783078976482, 2934.5729477893547, 3277.4354405212944, 3410.66321096935, 2785.218183510992, 37808.77333751154,
14, 3183.0459770114944, 2959.318774115581, 3176.801502178195, 2973.1320250394383, 3362.415739875151, 3392.473884222031, 2811.4110819110583, 40798.94268526114,
15, 3241.768292682927, 2953.397644392385, 2992.35783843764, 2994.9715062523946, 3427.491721589677, 3466.356772073753, 2903.8946587585974, 40422.781934388375,
16, 3201.5723270440253, 2946.851840475853, 3130.6928674225205, 3064.159254348656, 3532.531148933626, 3574.5657736306284, 2929.6689224559836, 41050.321710318305,
17, 3211.5384615384614, 3005.1467376424253, 3124.529762831347, 3070.57155141599, 3646.821953979631, 3595.328163891719, 2890.4491649714523, 40946.93553093562,
18, 3364.450867052023, 3131.390724264339, 3153.037475785888, 3107.8827910618015, 3883.320902154593, 3573.490312976309, 2945.1259473768014, 41430.043111849176,
19, 3456.2874251497005, 3123.0805292343803, 3182.6277632638494, 3151.0619375752894, 4140.693553375306, 3698.063787655848, 2946.955074345979, 42477.149307091255,
20, 3667.751479289941, 3219.1838677501282, 3198.347477519331, 3125.052336636751, 4443.203671604245, 3807.5070583425695, 3087.0238552146056, 42937.05443167155,
21, 3806.5068493150684, 3349.7576675597775, 3260.92258467883, 3208.688213443632, 4778.168477961074, 3878.719255614603, 3157.5070130539034, 43164.64662811118,
