, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 169.3801652892562, 159.0353492342662, 162.0314425289797, 155.70672608156298, 158.24505592855115, 156.36169735329813, 160.20985925778697, 234.90659510382793,
2, 136.86746987951807, 243.85329651553403, 173.39472950771233, 155.50319523953016, 162.3776786634365, 162.43288043679152, 169.52195123311145, 1252.959223884624,
3, 188.54166666666666, 1528.0364593471145, 178.66305152978094, 144.91948939766823, 623.6142304090934, 131.7581155815303, 352.9129937590244, 2613.9584915513283,
4, 666.5540540540541, 2865.4098421593626, 149.7399705238507, 162.3641985361307, 5094.690771646308, 145.92991521541646, 2780.794972630366, 7305.914507904131,
5, 5813.928571428572, 7077.740358056265, 130.25814249052792, 780.5207533593191, 11358.724035287556, 269.83909946287815, 7064.957381959126, 9253.538164171234,
6, 7975.810810810811, 9038.595503169105, 171.89067463858754, 4571.972185701748, 14981.516168091166, 1097.2036742483822, 9458.370338164252, 13875.464457743394,
7, 10781.666666666666, 11132.023177034096, 226.26720044067534, 4416.152880452881, 23200.925040688213, 3200.209062853887, 8974.218978790408, 23981.31730469966,
8, 9288.536585365853, 14172.12446277446, 482.1850632766269, 4109.164950553673, 23848.07722477614, 5105.426540676464, 10200.244469338295, 35857.299999999996,
9, 13062.5, 15279.39039408867, 1753.5281669932506, 3767.8480247253633, 23767.930253623188, 8136.917369597615, 11113.41777701434, 32969.35500889906,
10, 11216.25, 17459.759717537283, 3388.589265251555, 3588.0551101692604, 31040.143333333333, 10388.384551971327, 14166.900933706816, 41222.21909301999,
11, 16976.379310344826, 19090.924968071522, 5127.733792815372, 3742.7869828065427, 47795.21037296038, 18315.05350877193, 19331.34874231951, 39216.945540935674,
12, 17552.74193548387, 21198.52621082621, 7237.269050102242, 3792.489560384066, 49704.79465240642, 23806.11136280599, 20846.753452950557, 36162.70384615385,
13, 32217.63157894737, 26593.160776068013, 9049.898333108988, 4323.935089751825, 51455.58076923077, 35277.77584541063, 20866.39852216749, 46336.21521493213,
14, 24847.5, 27896.01354679803, 8598.014177978885, 4694.9804133395555, 58363.870396270395, 40590.53970588236, 22645.6689735303, 42469.12975311582,
