, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, -18.5545881043257, -18.19581211144261, -18.13578977859823, -18.20047206601627, -18.305622264616765, -18.12889537987218, -18.089593649146288, -18.747938554818113,
2, -18.8382991711083, -18.49571623918835, -18.451950651591652, -18.29754947380397, -18.037071712860048, -18.429667936377218, -18.25282778555634, -16.312860677796024,
3, -19.155942655868607, -18.98147607461476, -18.735479547149474, -18.56072040200528, -18.477239023004, -18.769491026250193, -18.525604765604765, -7.956854256854257,
4, -20.470429485696663, -21.503440977175284, -20.07994747615185, -19.539039396671875, -20.049045467711917, -19.790334116073456, -20.322609080968, -2.5333333333333337,
5, -22.040589198036006, -23.439521250610653, -21.6905692595492, -20.340863761495463, -21.984278364442524, -20.627119070745962, -22.53230173265983, -1.511111111111111,
6, -21.63997113997114, -23.283600838424004, -21.204280344345232, -19.852817914646586, -21.568239053006497, -20.073627209746775, -22.06860716519253, -1.777777777777778,
7, -21.686198847665633, -22.863551576453435, -20.685137459699433, -19.557177936524788, -21.290986449864498, -19.87963543480785, -21.47804590375609, -2.311111111111111,
8, -21.326810616284302, -22.741031411157998, -20.4625007104291, -19.341066265990193, -20.889593137071532, -19.59237156201349, -21.473027319093067, -1.4666666666666666,
9, -21.333180076628352, -22.35578509378156, -20.337877576403695, -18.826837496392315, -20.238218242069443, -19.18696097006442, -20.821408624081293, -1.7333333333333336,
10, -21.25992161716172, -21.93714182836063, -20.07874753042352, -18.422869180238404, -19.874002634137973, -18.846722218350127, -20.476063203785838, -1.511111111111111,
11, -20.75866900714462, -21.87458571114521, -20.055498329039118, -18.529358574030706, -19.13055667195487, -18.73394777265745, -21.06249736958219, -1.3777777777777775,
12, -20.46285283344107, -21.460612612612614, -20.22131128582178, -18.72385404791447, -18.67645100915937, -18.50215423396198, -20.771387163561077, -1.4666666666666666,
13, -20.123536737235366, -21.32004770810741, -20.109715281993807, -18.59863967509405, -18.369942737286998, -18.06817292473453, -20.24472208395553, -1.1555555555555557,
14, -20.51553473848556, -20.874551765904197, -19.679828111624722, -18.14283922153566, -18.2899185520362, -17.949425287356323, -19.72425442719973, -1.422222222222222,
15, -20.453834115805947, -20.77292470061368, -19.428891068285388, -18.186034278327856, -18.43669881674969, -18.082616091218863, -19.04286022814923, -1.911111111111111,
16, -20.049314377183226, -20.778004425529954, -19.817421202944153, -18.238205490791692, -17.668169732709337, -17.58055546167127, -18.5980239933023, -1.911111111111111,
17, -19.774323109762946, -20.27770111635708, -19.327985183525776, -18.53554436891682, -17.494679802955666, -18.123161066251797, -18.80487222816914, -1.1111111111111112,
18, -19.77004134987328, -20.087823288785664, -19.050589407842732, -18.275546699752308, -17.247024827024827, -17.9650315641805, -18.58497669934019, -1.6888888888888889,
19, -19.491268618387263, -20.018394909395788, -19.12018373755105, -18.13892533774898, -16.790705130609847, -17.218879518884577, -18.263697884463845, -1.6266666666666665,
20, -19.63750985027581, -19.91802004214103, -18.92745247017568, -17.981029890371452, -17.123642174695604, -17.392652661064425, -17.661678462559365, -1.6,
21, -19.326242481798037, -19.945869074025758, -19.0639200073472, -17.999281743634725, -16.446809219923974, -17.427912158301474, -17.58730864763652, -1.777777777777778,
22, -19.464867539055422, -19.653668712362133, -19.207444364160782, -17.93494276231118, -16.957533316356844, -17.252264140038825, -17.105736274307702, -1.7333333333333336,
23, -19.014152298850576, -19.292645320234094, -19.171828631138975, -17.80805025208695, -15.872100091486782, -16.86347687400319, -17.310144527956588, -1.8222222222222222,
24, -19.56767676767677, -18.913516143299425, -19.4350588174112, -18.04272663686394, -15.94502853680936, -16.841439374185136, -16.898061265937635, -1.511111111111111,
25, -19.046801002633366, -18.94482030211948, -19.42834249084249, -18.030349751294786, -15.978355838228339, -16.57705627143383, -16.404037414965984, -1.2888888888888888,
26, -18.98766441124584, -18.838881289326732, -19.24539634146341, -18.18501376093119, -16.003071311866915, -16.56822156768977, -16.121428571428574, -1.511111111111111,
27, -18.814015155559826, -18.02452232698808, -19.41277909441901, -18.38469855832241, -15.79236739159705, -16.352619226259296, -16.085265176858915, -1.8666666666666667,
28, -19.024327956989247, -18.029672540658055, -19.61367738218205, -18.006337105738908, -15.35155728100207, -16.702647527910685, -16.169050769799934, -1.511111111111111,
29, -18.049897998470414, -17.924014137294517, -19.104892037786776, -18.00022311022311, -15.448572573935877, -17.116392488029692, -15.994178101829181, -1.2,
30, -18.515026937241146, -17.787532410477944, -18.541664976365436, -18.06274159303296, -15.408833497126182, -16.887871127093096, -15.902670888433601, -1.2444444444444447,
31, -18.901707393483708, -17.07702036426901, -18.464423926924315, -17.87690574866562, -15.66978273316503, -16.45287178623563, -15.396209067779276, -2.088888888888889,
