, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 405.0914636067475, 368.17168168345677, 380.474728938027, 391.63867131516645, 421.4667759220571, 411.71338901617594, 411.3753655704104, 305.93119572962246,
2, 423.11320124947923, 397.4701232750588, 425.3252336364893, 449.98557951468655, 673.0978023122483, 454.8883492486145, 689.6957421205746, 397.6988452965483,
3, 619.5110211977951, 343.82263041101197, 422.6695630089354, 592.9321574083739, 1101.72609696225, 724.1047881541998, 959.508403332747, 789.559758059698,
4, 758.6373509531404, 344.61227956791, 557.5137092006331, 746.5485835252096, 832.2390229385059, 639.5545237453377, 880.9014921272508, 1156.1690466996695,
5, 560.9223283868149, 319.1138999806484, 317.39502065686867, 685.9543993426023, 364.76719942432896, 323.80766385950034, 391.05088117918933, 2477.500087829697,
6, 685.5924007285497, 390.33450586349534, 351.9138714240288, 850.1429715271073, 365.3047215726193, 389.6064681319277, 360.22705366143924, 3321.3850628514483,
7, 731.220987654321, 504.3090576754374, 544.5683785531407, 1010.4218684114451, 419.42109803116773, 471.4947675986779, 415.92889750005327, 3777.5595981877937,
8, 808.7986645741604, 623.2975079014268, 747.3358264903153, 1025.2886197593843, 441.5707924863581, 595.1245498462889, 428.8436250772967, 4448.8579698914255,
9, 944.2001121375303, 833.8494295467532, 944.7512128883793, 1067.784938187835, 470.1493988630502, 854.6617807841372, 459.1937986434606, 5127.000251389293,
10, 1216.76601342769, 1088.3422310310402, 1234.5159070178715, 1132.076627095062, 576.7638507208512, 1297.16198433815, 606.4762969340975, 5792.302729895418,
11, 1443.9872440256074, 1500.6672705787407, 1495.950244606504, 1154.1444028448848, 786.480978224861, 1718.5340081806276, 859.7989285955576, 6208.6459781818285,
12, 1487.1975614290443, 2076.0509844744874, 1756.1928343961445, 1194.7507752164388, 1021.6018832615662, 2066.744347578019, 1127.3959937939749, 6762.039373669808,
13, 1648.792578569681, 2552.8131861430275, 2057.9322930541884, 1226.7125895120832, 1230.637530637297, 2408.8810560673032, 1322.6260109943062, 7929.134659745701,
14, 1837.5167857633276, 2861.0622493905557, 2241.975826899416, 1280.5423856327745, 1380.2971580028366, 2635.1785249334916, 1547.3219304934476, 8443.006994178664,
15, 1991.16638465877, 3402.8973640472213, 2326.8463575172514, 1306.8084945537512, 1563.552161036157, 2831.617573646358, 1712.758957518278, 8602.218911625338,
16, 2186.4521023426655, 3629.0916452402475, 2375.08131783828, 1319.9624612353164, 1773.2997757574794, 2946.3035467702125, 1791.0549877224307, 9330.892459639126,
17, 2215.0885272252362, 4372.701894262219, 2560.851420345848, 1383.5258627337575, 1945.6183851832357, 3121.7992448479395, 2017.1837773067837, 10187.395337995338,
18, 2365.9864080333305, 4784.809633430819, 2705.0439106042018, 1508.404657048354, 2075.674200744136, 3429.4525323443804, 2204.799986028953, 11249.967342218673,
19, 2406.920394458048, 5489.403600407083, 2716.7688191302464, 1442.4035985855203, 2297.0167614420193, 3604.0267807896294, 2424.3029371321604, 11655.928364389234,
20, 2515.570916538659, 5818.635005561476, 2916.5628728774864, 1503.540960430207, 2548.5489050141377, 3879.870443324955, 2629.370960760886, 12725.11344003736,
21, 2596.943500489921, 6012.009960884054, 3020.9195929446787, 1583.168017477627, 2702.1120598156117, 3999.399532253159, 2679.4619499693026, 13497.336667717527,
22, 2734.168818979646, 6574.210435887579, 3135.593755996321, 1661.7613804706539, 2881.2420154817273, 4352.486394183526, 2770.176994569075, 14505.7615709875,
23, 2783.6006827191304, 7258.195734743509, 3247.6796920095667, 1665.032590651336, 3112.997450246042, 4578.4359004634125, 2971.0007927975835, 15682.249279972175,
24, 2899.1691729323306, 7303.9845481151015, 3520.576018326301, 1679.1405108774575, 3292.6574909125, 5014.341419393737, 3142.960595278367, 16395.33930403421,
25, 3197.3378885034513, 7650.677805661151, 3659.505364870638, 1832.3024942516163, 3352.8765012549375, 4836.38250828142, 3203.5582126000063, 16363.992821609409,
26, 3432.4984023339257, 7779.784528992491, 3859.0596138315645, 1940.6301848109792, 3431.757748284888, 5088.053227513227, 3131.554776699504, 16136.260097449718,
27, 3802.1055423449793, 8054.236177337079, 4094.8320938324528, 1943.2660378771477, 3702.2641917293236, 5267.3019429183205, 3079.7658948554113, 16689.97775924705,
28, 4148.43491543399, 8041.136085894781, 4463.887360626458, 2077.653472962838, 3657.0423452061905, 5794.231144606287, 3135.9751945178514, 17324.616194834914,
29, 4256.032178512509, 8605.857379580162, 4680.065602382702, 2162.359697507636, 3878.5640723251527, 5874.723763009477, 3220.936893803226, 18148.54259770539,
30, 5052.097430790332, 8544.90910030621, 4916.046058982472, 2196.041868633361, 3990.577418720729, 6639.7329813582255, 3373.2394355465794, 18409.06922603667,
31, 5248.2939232138315, 8170.809647285368, 5060.59369406423, 2326.860142857262, 4227.596914539594, 6994.676451130015, 3350.305561074184, 20136.13311577312,
32, 6202.517657780816, 8288.497065789392, 5300.865910269694, 2378.230263906228, 4252.4412299721935, 6724.318769052593, 3398.01788782722, 18847.215580923967,
33, 8392.906693262412, 8728.283838074123, 5352.785301520185, 2355.967965303701, 4609.883103113029, 7443.731235251114, 3546.854187362433, 18840.29962531721,
34, 8467.928060453041, 8655.79953603356, 5956.578507821499, 2489.3347937485923, 4977.963827299342, 7462.280612864044, 3620.1520244808744, 21111.79839447974,
35, 9796.492755478735, 8736.680654164968, 5994.649582590953, 2600.0811103122373, 5198.864908948478, 8500.524231755931, 3562.8924568590373, 21291.29180095267,
36, 8925.141618941534, 8945.04239417563, 6328.694816933637, 2608.8211435150442, 5636.799800531686, 9036.477737970492, 3651.7889203410277, 20429.321061547147,
37, 7668.104268416769, 8985.36617405583, 6131.173947246015, 2590.33813857306, 5994.683644962283, 9419.669656095815, 3812.221459466452, 20962.418219461695,
38, 8131.334976559858, 9029.811389460427, 6463.929104836399, 2715.1802445182116, 6408.307094021768, 8312.122456844538, 3825.6719842026528, 22193.409983495323,
39, 9925.523787003338, 9381.146302034645, 6508.413337984137, 2645.0614734347064, 7368.135869187373, 8708.114024592503, 3962.9505576881893, 22128.14474234899,
40, 8610.663785936997, 9702.810065153739, 6830.1167052524615, 2739.8533469560016, 8083.641741124928, 8964.762667429188, 4237.523076062665, 22954.364882869068,
41, 8797.750308515015, 9670.845915901027, 7075.9714580456875, 2856.904091682335, 8861.692876022262, 8977.69398021185, 4072.4481434227228, 22137.670074428497,
42, 9038.666971031618, 8937.048473107676, 7250.086967840945, 2818.586943830164, 9454.941752106499, 11462.24790844396, 4207.831826617695, 26620.92103174603,
43, 9852.774378466911, 9418.637871559486, 7405.023361149091, 2872.636505363057, 9694.42331533058, 11415.3350131937, 4459.728875434704, 24947.875652663253,
44, 11460.648886526078, 9051.399263051326, 6946.76979976439, 2989.3720439107533, 11026.831452040638, 11825.976441587029, 4360.71253486364, 24465.636126126126,
45, 10854.316372296571, 9651.843016398056, 6744.327197055175, 3101.7169771470103, 13320.141726711649, 11331.438867161381, 4574.349814265557, 24153.711502992388,
46, 11057.41835016835, 10088.29103391643, 7253.189381210394, 3120.8668942516183, 14088.41107271358, 13385.81429954301, 4747.938059380316, 23482.769897959188,
47, 12570.567910160016, 9398.241540192976, 7189.94677853256, 3205.9807755046704, 15972.763234659267, 12673.936858795361, 4773.232562319067, 23739.269869796444,
48, 12843.179989944698, 9679.06480836237, 7212.688428842885, 3196.2996500049294, 16063.718004627797, 12914.49652014652, 5256.773577966919, 24256.510555458415,
49, 14268.592461465392, 10371.349186288946, 7264.243423967831, 3247.6184249168964, 16607.76501231007, 12320.257577513763, 5445.958606017155, 26173.21988077282,
50, 17254.69376869932, 9548.000971034635, 7231.690770054539, 3369.552805690185, 16817.138732284082, 13242.91935110778, 5630.06391825091, 26839.853353814648,
51, 17032.231481481478, 9907.11862011047, 7044.018860983128, 3416.8867103606412, 17049.61842373313, 13715.802968961778, 5832.649635133543, 26076.344367588936,
52, 18307.326393004358, 10273.383964927343, 7222.789217101786, 3515.833445041169, 17489.554463464232, 14620.877390956384, 5751.227176553177, 29592.074276629573,
53, 17256.383239171377, 9675.412818196559, 7163.864224664225, 3603.5747121833474, 18318.78243902439, 15428.206603764313, 6179.201969360042, 23587.53350998057,
54, 19173.05541770058, 10156.547686495109, 7493.254552202173, 3725.9448259807164, 17503.625944976004, 16375.540604493546, 6292.0826018808775, 25203.242424242424,
55, 17351.466180770556, 10226.644912065762, 7420.599343955013, 3641.822124198713, 19964.7768616718, 12458.119677236424, 6531.586317717245, 25227.237748216696,
56, 16516.244631185808, 10603.20285048285, 7593.317043037894, 3998.832175894281, 19981.22244442198, 14558.814265188834, 6769.699105962766, 28127.441300940438,
57, 17577.49695945946, 10435.27351323449, 7530.5578764851525, 3745.1564862279674, 18955.908028010715, 15309.865385035631, 7471.535652429872, 28280.95979705148,
58, 17391.5081806581, 9862.682359213863, 7990.632517775984, 4005.321232747211, 19747.124362120587, 17202.694257096777, 7083.767177833355, 29849.1456622879,
59, 18761.078028526557, 9910.45776383329, 7964.1975559041775, 4106.767947003412, 20438.712588585004, 14403.168526523988, 7486.845021852498, 26573.11149710505,
60, 17549.051878354207, 10814.344235358247, 7360.035278151384, 3989.772431553049, 23516.754831219412, 18050.999862435867, 8113.901611807893, 27679.49344161437,
61, 19290.277777777777, 10121.087639813883, 7114.6087222963015, 4296.916600097249, 24228.29691824808, 19599.762494231025, 8278.206400157233, 30510.803552769074,
62, 17158.1963071955, 9698.240456531603, 7502.361117678638, 4037.4665413548123, 21131.643896643895, 18779.706395110545, 9054.708039383171, 28175.383847525023,
63, 24526.39768728004, 10467.883727383729, 7889.277075610426, 4315.777267417461, 21102.641150129544, 19607.53533983991, 9926.39477914765, 30940.119835605456,
64, 19999.152743652743, 10777.326266671935, 7359.2355757154855, 4073.477335083217, 20926.58692201518, 15726.581818181818, 9587.839790625907, 30777.09531351002,
65, 19195.346488137187, 10753.647114779717, 6875.903914890901, 4406.923463724693, 21173.973042550355, 15631.10881245274, 9692.313379431027, 30666.96028001037,
66, 21378.965675057207, 10662.599648999649, 7295.990953746073, 4435.618356694741, 25726.710152505446, 15861.867123429727, 10512.586941229085, 31883.700593524125,
67, 20148.147562582348, 10816.088695617063, 7627.515761905788, 4394.970160151659, 24296.502374731826, 16642.3389496884, 9775.20607008859, 32678.583888727902,
68, 22458.861538461537, 10729.257489037762, 8156.008845350052, 4484.062046455545, 23905.261632305184, 15556.168716674947, 10167.963449858682, 31612.80870112272,
69, 21522.232687946973, 10371.762885516311, 7922.460552287052, 4525.532029450643, 26679.91755007903, 16081.637239816944, 10864.073146483137, 33261.75253615128,
70, 21996.655699855695, 10843.77214456304, 7657.718456173117, 4627.284602857957, 27725.52307099966, 15170.591534391535, 12187.214192372989, 30176.33762641899,
71, 24897.323124406455, 10511.857784834918, 7521.165505443738, 4586.436208616082, 27528.448120300753, 17575.064151362025, 10982.14153331504, 30301.725409568295,
72, 21567.33160431152, 10456.80346588396, 7351.67384639736, 4569.943718117038, 24586.243465807373, 17850.440504884125, 12782.27877385772, 32693.625680580764,
73, 23523.97435897436, 10904.587034743721, 7832.583739151865, 4576.555929038283, 24918.99220779221, 19560.011672006352, 11555.265663314505, 30072.633439321675,
74, 20129.883344883347, 11251.735519205362, 7715.0812292701985, 4738.157746674452, 25590.992737019922, 18608.736886604813, 11789.815635781142, 29372.755717576772,
75, 21671.17040568902, 11510.150731842032, 7838.645709533339, 4708.230150470337, 23271.832776576783, 18876.17301744928, 12706.464516611548, 34838.23295985061,
76, 27262.514295240475, 10941.381271779843, 7965.839750385118, 4504.336237753317, 32546.160324604472, 18066.23105711493, 13702.21917686789, 38020.27545454546,
77, 22417.09904900064, 10931.718056351385, 7420.488847178509, 4684.852687458333, 28079.76795322146, 18244.1707841911, 12206.16872971822, 34278.088093453276,
78, 21726.15718009335, 10966.240885040886, 7988.752599743381, 4492.302184155448, 25452.794848288966, 15835.391819291817, 12914.067806444904, 34211.652090800475,
79, 21974.106586721773, 11294.774674714956, 7570.4735256386775, 4396.005038966943, 25276.77252819302, 17919.738552167422, 12492.589160848893, 40172.27566877892,
80, 30504.739858906523, 11328.255117933091, 7771.289539798529, 4523.14611390039, 28674.690649493878, 20859.983099556273, 14016.678768138756, 38132.94652014652,
81, 22932.70646665995, 11428.24815227139, 7574.724596347709, 4538.600646800647, 27216.43790849673, 19696.416563146995, 14278.670655270656, 31571.41378261378,
82, 32687.078924162255, 11120.113848491794, 8205.49587911848, 4654.010734049593, 25790.860039625608, 16903.893415959392, 14571.646427095586, 31574.797634836432,
83, 25611.318747318746, 11416.57988478818, 8069.732508795243, 4916.448264593673, 23810.370343882234, 18881.989939317005, 15027.858791117262, 32920.13253043253,
84, 27485.017194906588, 11716.39452021346, 8108.971991532324, 4714.6992662303, 33241.50419034011, 17233.181908705512, 16532.37326760491, 37279.94265504611,
85, 28672.16549438111, 11099.29699337809, 7982.8265606592995, 4572.244360264131, 26822.061600561603, 17044.226620231166, 14472.204134945514, 36409.671428571426,
86, 24957.33893557423, 11086.834844588835, 7703.484155934215, 4633.162092127821, 29212.188336626637, 21183.600796596416, 15152.930043253069, 34362.0688814832,
87, 25416.91368788143, 10794.84672449854, 7505.79525962825, 4589.683874457742, 28315.587850230728, 22025.70527807068, 17111.2523473731, 37497.265993265995,
88, 23768.49707602339, 11778.404427051486, 7869.292842278051, 4603.371456994717, 31319.603028083027, 22916.72810085627, 17027.20782607047, 35414.32501391122,
89, 25613.35775335775, 11889.34443402118, 7754.083934923217, 4887.28961014467, 29540.091877681523, 16820.493763883173, 17595.996976568404, 35894.40385362874,
90, 28777.553113553116, 11594.512808130836, 7904.539789879736, 4891.290230038687, 27933.73252831874, 20789.21052907575, 17043.616006469576, 35727.027532250366,
91, 22095.057098765432, 11148.17119020342, 7841.07783093472, 4653.508679959699, 27231.882855196825, 20429.72665100857, 18485.0621978022, 33906.69369258023,
92, 21385.826421640377, 10953.106201959748, 8011.857930367505, 4652.69793117487, 29545.013718495826, 22349.305921481675, 17491.84226004348, 40111.88,
93, 25430.33367208672, 11445.438937728937, 7632.591290084162, 4938.5578100161465, 26662.48623691126, 20481.5432163414, 17049.482177858437, 37328.672053872055,
94, 23716.277316179756, 11416.875486012688, 8425.573721720892, 4812.794576121513, 32125.01271253774, 20662.850765354913, 16687.317982017983, 37535.236301314966,
95, 24548.974517755007, 11457.862809495447, 8171.245097341134, 4977.251513544142, 30676.15326219637, 19184.356716428138, 18182.534747294343, 36873.17839023721,
96, 26831.816201227968, 11972.608396776504, 7709.914466215238, 4688.975056594091, 31894.82268037005, 20822.334737784848, 16730.247278911564, 36584.60742424242,
97, 22454.22545726017, 12793.07658048045, 7621.978777221954, 4933.261150610881, 29015.681073076565, 17459.16001359998, 18573.969446333464, 36607.31149425287,
98, 22264.4819678966, 11851.989505661419, 8775.499803562074, 4728.68456593234, 31856.582836495032, 20306.86940887423, 17329.799458739006, 34875.826912551056,
99, 24311.77011673963, 11819.924410362535, 7821.230485776157, 4824.036067926334, 37574.44307400379, 18605.18617382071, 19806.674395468508, 38972.616483965816,
100, 27320.210978835978, 12044.745691758206, 8160.799081406398, 4771.295285194562, 30616.411116999352, 20319.46621258604, 19361.851943160415, 38798.55538461538,
101, 22370.028449502133, 11782.486948993019, 7461.295948977703, 4815.777846766126, 32832.691584277796, 21795.56483393693, 18215.744698223545, 43747.864935064936,
102, 21760.036534253177, 11348.120458411675, 8072.36146803354, 4796.803022234057, 36853.17849462365, 19547.201437556156, 16731.902948757768, 33918.12196969697,
103, 22330.026737967914, 11977.25448754462, 8338.166035998884, 4593.138536361359, 33775.00742447517, 17529.15933346017, 17842.392199539852, 33070.98051282052,
104, 22749.10297506809, 12183.404913387267, 7948.788443590776, 4819.301206362214, 31565.70782873466, 20821.97507370678, 19707.353774078805, 42181.77922077922,
105, 23463.69279166526, 12257.032676803938, 8072.59399984046, 4692.498889524976, 30770.487333208137, 23127.389807852964, 18941.97260981912, 35059.16567451041,
106, 27853.78295834463, 12071.691503726313, 7560.16278665079, 4895.698360824395, 27277.242407443788, 24134.428136633018, 19710.23906953923, 38279.24178649775,
107, 24202.293447293447, 12038.032063137563, 8219.54831100984, 4744.6680587665, 35347.51824581951, 26613.651196651197, 19437.478179960348, 37838.1783908046,
108, 28657.038074489057, 12288.892643202207, 8044.738072353766, 4972.990707517637, 35625.93384276413, 20278.970995670996, 19614.41675579323, 34481.25284832331,
109, 28693.830050786568, 11525.172833641811, 7886.070345217883, 4807.2770270617475, 33787.87860102035, 19171.97069757728, 18405.484941864685, 41789.16952380953,
110, 31825.42941732597, 12437.090147981813, 7829.455585409542, 4782.685610046466, 38815.998692810455, 17070.85031980469, 18194.882173925165, 42934.00399648661,
111, 28052.632597754546, 12333.249023021419, 7569.905231957906, 4838.060897160264, 36535.72408026756, 23907.649103942655, 16826.405871086572, 43896.14310134309,
112, 27131.30303030303, 12531.701935200921, 7889.844149825059, 4824.772203026331, 36799.12912280702, 20591.378307602114, 18341.239215686273, 37599.93939393939,
113, 25177.172098107534, 12555.940274641644, 7848.283375132701, 4690.728926705175, 34598.983417366944, 20791.390681003584, 18803.56887234698, 46304.1687846204,
114, 26795.584387601197, 12184.659848103325, 7354.72173499185, 4702.988855010541, 33035.39641459641, 21840.489887329786, 19346.491435913245, 36402.86358974359,
