, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, -9.72, -10.01009009009009, -10.220036036036035, -9.991063063063063, -10.27318918918919, -9.64744238975818, -9.781333333333333, -11.250126126126125,
2, -11.876712328767123, -11.786338393187709, -12.007145501666049, -11.286264346538319, -13.591666666666665, -10.969048500555349, -13.522222222222222, -10.918882882882881,
3, -14.305555555555555, -13.191780821917808, -13.754642313546423, -13.141419844502035, -13.682838660578387, -13.54461433747079, -12.577009543790366, -10.976724669875356,
4, -17.1, -15.175352112676057, -15.450547730829419, -14.817369820138486, -11.697926693817104, -16.332997987927563, -14.128179196947283, -9.887711711711713,
5, -17.957142857142856, -16.011267605633805, -15.474491392801252, -15.597652582159622, -12.809483113250234, -15.647456964006262, -13.111431004326613, -8.328273852273853,
6, -15.28169014084507, -16.38865414710485, -13.420187793427232, -15.169561815336465, -13.076083960673003, -12.42935475993068, -13.9570813771518, -7.797335121019332,
7, -14.166666666666666, -15.706695500246534, -12.570026475443223, -14.71038812785388, -12.685735735735737, -11.137208441318029, -13.530604326108861, -6.825541125541126,
8, -12.95890410958904, -15.746557120500782, -13.492797060853329, -14.596283255086073, -11.611585954080649, -11.488036529680366, -11.480138220412192, -5.9191565843540825,
9, -11.135135135135135, -15.64718309859155, -13.534364807772466, -14.582689669217743, -11.431280060882802, -11.661606812291744, -9.998178946069357, -4.493030443879471,
10, -10.162162162162161, -15.269444444444446, -12.356981891348088, -13.98588280060883, -10.431055930713658, -11.588087087087086, -9.668693693693694, -3.571846935138074,
11, -11.205479452054794, -14.680712050078247, -11.731907876565412, -14.167884322678841, -9.948907811921512, -11.003694434160186, -8.53366242955284, -3.0905118492433616,
12, -10.364864864864865, -14.85414710485133, -11.050265855282255, -14.244330289193304, -9.657645645645646, -10.364040935672515, -8.509388498087128, -2.875639658587027,
13, -11.216216216216216, -14.97609546165884, -10.191207412892343, -13.98614916286149, -10.262717916084183, -9.922666926479472, -7.959476556239821, -2.3255402492244595,
14, -11.2, -14.948708920187793, -9.394640009872887, -14.05894216133942, -9.609907812653377, -9.223707314970472, -7.259345304208317, -1.9575513855513857,
15, -11.824324324324325, -15.015297339593113, -9.546004689621128, -14.196118721461186, -9.630102686132014, -9.199135572430453, -6.702193919947345, -1.8308751504540979,
16, -11.445945945945946, -14.491908375672605, -9.830872516351969, -13.70958904109589, -9.992779278410186, -8.562765119523592, -6.7215419920899375, -1.5117112555593568,
17, -11.486486486486486, -14.65426447574335, -9.609276944961156, -14.112975646879756, -10.462251285490721, -8.196102048733628, -5.905398782770911, -1.4240682788051209,
18, -11.333333333333334, -14.887363067292643, -8.718558980202816, -14.232191780821918, -9.871596244131455, -7.754512706828495, -5.282232876712329, -1.0610033536096983,
19, -10.64, -14.150892876283578, -8.569136341136339, -14.112252663622527, -8.883624071101107, -7.599201936044042, -5.5038051750380514, -0.7885832251533655,
20, -11.356164383561644, -13.712386648659077, -7.805321515847832, -14.050304414003046, -8.230422470358006, -7.518134426976533, -5.177033197581143, -0.7983987886727614,
21, -11.094594594594595, -13.431545972945742, -7.761009657009657, -14.106773211567731, -7.705509770954495, -7.070687663213978, -4.824640791476408, -0.4547307692307692,
22, -10.546666666666667, -13.505631659056316, -7.376831309041835, -14.112252663622527, -7.190407100135057, -6.920099339257234, -4.8964965592642615, -0.34402388004442797,
23, -9.84, -13.05007610350076, -7.195326978595466, -14.131240487062405, -6.535532081377153, -7.05151114887957, -5.000391236306728, -0.2981652216634877,
24, -9.586666666666666, -12.505294335431321, -7.211067080820579, -14.456164383561646, -6.124298010283925, -6.837873627557838, -5.015084947961659, -0.30865584415584413,
25, -9.426666666666666, -12.624905549385002, -7.135968672677533, -14.2470700152207, -6.431737672411279, -6.522067084172347, -4.473048048048048, -0.020433521471496196,
26, -10.621621621621621, -11.71682191780822, -6.785114885114885, -14.476902587519026, -6.278869156970811, -6.34636090225564, -4.317931506849314, -0.4296519302615193,
27, -9.486486486486486, -11.558026533382698, -7.072727272727273, -14.64988584474886, -6.142713673344414, -6.415167895167896, -4.2316788432267884, -0.15425173715012452,
28, -9.426666666666666, -11.412858447488585, -7.0025641025641026, -13.745471841704719, -6.697823462514217, -5.494485829959514, -4.036636636636636, 0.2267290104261935,
29, -8.223684210526315, -11.045890410958904, -6.7493670886075945, -13.802739726027397, -6.542691511387163, -5.404761449077239, -4.154128100703443, 0.20605628811108262,
30, -8.828947368421053, -10.597308554446261, -6.902336903602726, -14.03755707762557, -6.290344968360889, -5.304604405902171, -3.871212308198609, 0.062344368207381914,
31, -8.592105263157896, -9.894050784461744, -6.962724195635589, -13.731543872639762, -6.0179609112475365, -5.3794917022285444, -4.053559192995812, 0.8288222439660796,
32, -7.8133333333333335, -9.576144612144613, -6.956712907345819, -13.975342465753425, -5.9755616049236595, -5.4237631286657955, -4.141356082109507, 0.8679620539739146,
33, -7.653333333333333, -9.614365669989317, -6.9978708211619605, -13.93165905631659, -5.25210057732013, -4.999089161259313, -3.6411493685466283, 0.9548479173845207,
34, -8.592105263157896, -8.907080488066791, -6.803103700097371, -13.727508330248057, -5.515084711165544, -4.560169748696064, -3.4107576206343326, 0.9742554456267692,
35, -7.594594594594595, -9.284695740640945, -6.933169425511198, -13.435159817351598, -6.056622051147464, -4.677513513513514, -3.3153523386400097, 1.6051680008676719,
36, -6.84, -8.999658440093912, -6.952591691009412, -13.336245834875973, -5.786418219461698, -4.7218624940730205, -3.6081561561561557, 1.2539016270292085,
37, -8.216216216216216, -8.901617084890336, -7.156577599615575, -13.04875971862273, -6.175569358178055, -4.5336159317211955, -3.344082871624328, 1.4751140191195682,
38, -7.973333333333334, -8.445993677555322, -7.095578545926648, -12.87123287671233, -5.952653757155035, -4.46836036036036, -3.5287192397877325, 1.479629530390607,
39, -7.253333333333333, -7.927126477373053, -7.140376501135995, -13.267770167427702, -5.196449181019622, -4.279412108575771, -3.1360473487185816, 1.235220191568294,
40, -6.493333333333333, -7.75546693607256, -7.224998998891404, -12.98936504998149, -5.649939637826962, -4.15310773787486, -3.2921654531243574, 1.4623001025003801,
41, -5.905405405405405, -7.811317788453032, -7.0475655146541225, -12.95142539800074, -5.309684264989018, -4.084673330865111, -3.260393304624018, 1.2966140190823734,
42, -6.54054054054054, -7.551259656417552, -6.807543511340979, -12.707838660578386, -5.882987172183769, -3.8448332976090724, -3.032839689004073, 1.3991029003687232,
43, -6.0675675675675675, -7.9943738536384545, -7.015014942863044, -12.849992801020198, -5.421977834612106, -3.872743922004196, -3.0046114607758447, 1.613740914219353,
44, -6.226666666666667, -7.8388107119469765, -6.749455544455545, -12.964383561643837, -5.877918900201223, -3.76243761569789, -3.3001071208194497, 1.1688840446877555,
45, -6.5, -8.251196288074443, -6.688130203130203, -12.897001110699742, -5.769438621524416, -3.897036185428399, -3.13003003003003, 1.4768619545331874,
46, -5.48, -8.03096775370748, -6.169239310545107, -12.661010325393887, -6.114070349749245, -3.6204426690569447, -3.105230161668518, 1.5697061481404524,
47, -4.5, -7.359450097871149, -6.467932245413924, -12.72843391336542, -5.859116365559851, -3.8778149483297284, -2.5862757003578922, 1.6012676054109587,
48, -4.662162162162162, -7.714603469866627, -6.5442384064969, -11.989010983586326, -5.696036186837661, -3.5009246088193455, -2.5986227323213624, 1.6905005197490488,
49, -4.96, -7.491403447982395, -6.445564562020259, -12.697667530544242, -5.771839559964155, -3.480617432140143, -2.4862331690017343, 1.608357203282922,
50, -4.712328767123288, -7.8404618722210655, -6.221337818299843, -12.273158089596446, -6.021578443187788, -3.363699751662261, -2.770825620140689, 1.7201463722134758,
51, -5.4324324324324325, -7.838723845302793, -5.999499922684467, -12.356348512896458, -5.927088779703965, -3.590878154289834, -2.455683573984944, 1.6139157049016206,
52, -4.835616438356165, -7.477284441559855, -6.1389593085129395, -12.217337776132297, -5.536481876332622, -3.634234234234234, -2.7252128841169934, 1.73602866155056,
53, -4.824324324324325, -7.584324775763132, -5.927638051488818, -12.155080834258916, -5.111562725424617, -3.2237077625570776, -2.866345797852647, 1.852236756722366,
54, -5.726027397260274, -7.60014683149146, -5.885869915117084, -11.888256201406886, -5.260088278709876, -3.2356895843211633, -2.727977662594101, 1.6152330079293225,
55, -5.533333333333333, -7.781719138027718, -5.569386900019811, -12.241158583240775, -5.571210740373621, -3.5312554804263527, -2.409096096096096, 1.8857759874352582,
56, -5.162162162162162, -7.516386686033405, -5.668972394693914, -12.361193709931994, -5.207918313570487, -3.4517341985099734, -2.51592002961866, 1.9261562261292144,
57, -5.493333333333333, -7.7834974786488855, -5.464842788790158, -12.380731210662717, -5.424459196692658, -3.3869185291997113, -2.771368628902876, 1.8052724967281928,
58, -4.8, -7.8950649350649345, -5.6030449102307855, -12.038592620017278, -5.502033083787102, -3.4685712027817295, -2.56479476737011, 2.3111748699960226,
59, -5.945945945945946, -7.738198176226345, -5.5257958230976225, -11.833801801801801, -5.592792970030821, -3.1856949451253707, -2.588138138138138, 2.174159886037974,
60, -5.851351351351352, -7.609403428662982, -5.4964832968497195, -11.71236036036036, -5.148915617217332, -2.9065248738284066, -2.7558846517750624, 1.9200252386582697,
61, -4.864864864864865, -7.412331971481214, -5.391255890456423, -11.397585585585585, -5.17031698054716, -3.180757211429165, -2.5319655271710064, 1.9489865159814996,
62, -4.351351351351352, -7.5491582070254655, -5.438945157932499, -11.707918119994542, -5.004865834118801, -3.106280247335042, -2.5680982352215227, 1.9108201886650662,
63, -4.891891891891892, -7.796693720602876, -5.227610937585622, -11.642954954954956, -4.656295018744918, -2.904186015339584, -2.499252334526307, 2.0925856791610213,
64, -5.013513513513513, -7.542892869880137, -5.235919206805283, -11.606450450450449, -5.23973107029373, -2.638642954418009, -2.663141223415196, 2.3261447729980445,
65, -5.346666666666667, -7.959021325678108, -4.919887049659201, -11.401220483641536, -4.951117179571964, -2.9122231718807163, -2.329994652186433, 2.163082191780822,
66, -5.066666666666666, -7.968124114602988, -5.049436572199729, -11.21818397344713, -5.278613327225763, -3.0606291079812205, -2.2364295117034847, 2.1609287618934543,
67, -5.626666666666667, -7.3792869144981825, -5.075477675477676, -11.675963963963962, -4.597843669353765, -3.5121796157059313, -2.1843812991073266, 2.056941331119414,
68, -5.653333333333333, -7.1933063622026525, -5.089613036752278, -11.09493175367148, -4.946671316748043, -3.2491893465406063, -2.1007096137233123, 1.7143933463796475,
69, -5.626666666666667, -7.484724737724738, -5.271724766461608, -11.076341264119202, -4.661020519351626, -2.798105147400922, -2.341038298572545, 2.175376445075671,
70, -4.972972972972973, -7.173603101957792, -5.3160443416232885, -11.064508297771457, -4.800790513833993, -2.9249685319121936, -2.456081081081081, 1.8041024728695962,
71, -4.733333333333333, -7.343601020940602, -5.241966033966034, -10.91717591275486, -4.124992935453294, -3.211482167860967, -2.518892179851084, 1.968899091775804,
72, -5.026666666666666, -7.588143885622334, -5.307393939393939, -10.871514461830252, -4.613023582390303, -2.8668638497652585, -2.2103881278538813, 2.120053143534382,
73, -4.9324324324324325, -7.334235358824399, -5.403222111222112, -11.071303935514461, -4.753562141183624, -2.7243027847449994, -2.0208101937553993, 2.445133645920499,
74, -4.837837837837838, -7.8282000846924635, -5.22665920577313, -11.327423423423424, -4.606885995504921, -2.6449440038452297, -2.3925716812703115, 2.3419032120348717,
75, -5.328947368421052, -7.5438881085574225, -5.033006642036622, -11.319603603603602, -5.000831867169616, -2.7920913242009133, -2.0471021716294726, 1.9966569580580973,
76, -5.276315789473684, -7.491606381405015, -5.4423331054910005, -10.869416804101736, -4.5379950399131985, -2.8893699431226465, -2.1818069145466406, 2.215833860827108,
77, -5.026666666666666, -8.013611325611325, -5.266940842856899, -10.579567099567099, -4.188975432070061, -2.756901394207811, -2.4113754454821406, 1.607255178418597,
78, -4.746666666666667, -7.59396302851854, -5.100324620527152, -10.251848853900764, -4.561367847838436, -2.527170273129898, -2.3032343987823443, 1.7211619906236924,
79, -5.026315789473684, -7.592272582865616, -5.0579228841334105, -10.719912754860122, -3.9221851019919507, -2.4458971076339497, -2.415752888717388, 2.1661271011271013,
80, -4.946666666666666, -7.1803235779542165, -4.969849448796817, -10.2273475580844, -3.960135673642945, -2.0668771371395738, -2.4622526636225266, 2.4914221645486756,
81, -5.0131578947368425, -7.590541033592406, -4.931613123718387, -10.514032268750364, -3.990658002531118, -2.376554811686751, -2.3417839071948663, 2.615093481397829,
82, -4.8533333333333335, -7.229220363625946, -5.25761641866905, -10.236967283072547, -4.10941526135556, -2.299626849763836, -2.4303735242091404, 1.8785065532009728,
