, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 2077.2447916666665, 2388.630958779465, 2310.046404331579, 2265.9864930227195, 2537.7038263704044, 2279.2629318096983, 2359.997866159284, 2235.3880002097326,
2, 2898.4656084656085, 3380.6298315716253, 3535.249697472648, 3274.9783918319276, 3143.6325418526253, 3337.272209905652, 3134.1334487068393, 4437.694669490264,
3, 2816.5511363636365, 3811.5894587682315, 4264.104347926039, 3815.3292616257386, 2790.5095977571714, 3358.5490013695926, 2692.239386918553, 6024.1368814076295,
4, 2019.5367231638418, 4201.393171863294, 4491.324412094064, 3990.8080271247004, 2068.0852579409666, 3262.906243024844, 1968.9848406435747, 6774.978901802382,
5, 1454.5606936416184, 4725.962683934524, 4649.374896665749, 3896.3092632524117, 1576.940390324151, 2986.970613118364, 1141.287887844163, 7263.358691515365,
6, 1758.9545454545455, 5541.088472990769, 5026.3860947803905, 3956.180896499216, 1837.7130733245388, 3366.2692192525733, 1254.9008078012741, 7802.587387091352,
7, 1964.2670454545455, 6429.569682047545, 5941.803884480657, 4069.56271845585, 1948.50990377062, 3981.5228742617865, 1348.543204598601, 8078.717768731633,
8, 1946.0056179775281, 7329.851890599741, 6431.767239872022, 4309.276551600386, 1949.770005941697, 4628.596891092742, 1523.9342249827873, 8388.72897712821,
9, 2033.252808988764, 7835.821304072434, 6697.543573339079, 4886.054784708674, 2034.2518087937176, 5389.452158715984, 1649.89413797318, 8081.809701453973,
10, 2070.85, 8049.126851851851, 6721.1764554526335, 5256.483009722107, 2039.995201546874, 6151.737186520481, 1852.444526791846, 8264.370063792536,
11, 2130.078212290503, 8256.422719007856, 6855.352955463977, 5617.144737891254, 2260.442091517826, 6459.26241271482, 1883.8075084570369, 8058.617926006229,
12, 2111.1918604651164, 8337.990106132002, 6942.07778044437, 5742.151142589194, 2792.1431802589927, 6861.329047673227, 1921.907396681579, 7939.508988143278,
13, 2441.7808988764045, 8387.84778344988, 7021.214233028089, 5798.7480267104975, 3849.7559380978373, 7211.731809622186, 2075.0367146869203, 7673.508440542432,
14, 2666.445714285714, 8563.011304589869, 6931.456792983559, 5826.776389548513, 4966.971316549399, 7329.904740617354, 2372.0022267223458, 7642.405197787872,
15, 3164.5245901639346, 8686.9838066232, 7047.085338566352, 5921.327116322208, 5534.477857581083, 7558.235486589971, 2805.269118859317, 7672.0337404808215,
16, 4033.769230769231, 8721.303198261896, 7251.187829754691, 5946.252628281034, 5896.697321481033, 7651.1379555191725, 3740.103327304143, 7258.814813349769,
17, 4766.576086956522, 8694.983572515874, 7288.330865294052, 5968.292121807407, 6174.27567196572, 7786.012020237892, 4326.3112264077, 7091.460560520015,
18, 5407.327868852459, 8799.454470626084, 7179.939345870187, 6027.1089738102255, 6434.367029277115, 8009.870750197913, 4895.814351884162, 7031.28683871907,
19, 5692.335135135135, 8734.518854946558, 7306.048020204193, 5962.649396366203, 6508.630133385775, 7882.618797746286, 5616.779098008631, 7198.533813317385,
20, 6185.459459459459, 8782.017841678782, 7539.317682052967, 6006.134760833377, 6793.227364909768, 8110.504561485986, 6156.065896630383, 7293.903395180709,
21, 6549.502732240438, 8775.647407201857, 7419.27554926367, 6027.3383951485175, 7038.969086816309, 8205.24367755083, 6440.818970463346, 7439.556326257012,
22, 6659.331550802139, 8752.857403005853, 7460.309918070023, 6018.510287233899, 6986.324904307447, 8196.205283765605, 6748.846527250904, 7397.190157449311,
23, 6994.717391304348, 8812.542957308518, 7495.676585194007, 6072.011579268124, 7103.322188682221, 8050.49401396133, 7146.283337386075, 7434.46858742499,
24, 7057.584699453552, 8847.55735312024, 7405.347227436554, 6078.428123302506, 7343.531529900043, 8118.292133862344, 7121.635842679748, 7357.7916893956835,
25, 7083.383783783784, 8902.69356404701, 7700.807382550267, 6090.539146058136, 7437.577211824335, 8213.777669668252, 7442.744156417221, 7308.992884894597,
26, 7196.772972972973, 8868.6227707435, 7560.240444434768, 6224.12759880991, 7643.425587960027, 8212.377464052657, 7427.378130925279, 7431.528680224199,
27, 7197.027173913043, 8758.433976536997, 7469.6312900189705, 6181.285491072588, 7632.635015378885, 8283.773494386562, 7647.49219247123, 7303.306073370883,
