, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 515.1291512915129, 492.2779865128433, 499.95094750023657, 470.3346723592228, 563.7780294111724, 513.9423981282177, 545.9385695383114, 594.1274421804092,
2, 807.3643410852713, 545.879294605386, 656.9956025887584, 563.2739684479548, 1241.1640914941593, 974.3976395863881, 1304.5172885606626, 4359.637481624819,
3, 2214.4796380090497, 585.1689595783163, 690.2072148353484, 790.9782722440202, 3323.3900509521286, 2493.790483774975, 3357.2487327938798, 11875.456150022668,
4, 6203.389830508475, 460.4839317369322, 923.2302086117516, 1347.9173947490644, 6739.129278084321, 6084.097865589263, 6663.5877238929315, 20534.389039675854,
5, 9829.605263157895, 770.1918733416844, 4398.167187797251, 4064.4096390502573, 9668.804895256544, 9139.131002944496, 9565.352605557306, 19117.469390023514,
6, 11505.223880597016, 4348.89336101318, 9333.337329945363, 6417.062648213765, 11957.576039412783, 10272.630621588174, 11677.977663600093, 23946.294857268746,
7, 14987.85046728972, 7986.756036087955, 10280.609201713074, 8353.373804093742, 15135.255010514098, 12002.224702055955, 12806.722691923896, 24465.868281323426,
8, 16039.39393939394, 10818.207666058694, 12293.818476049219, 9522.104078766299, 18040.315861138348, 13973.703463257587, 15485.190654989681, 24694.02781788989,
9, 15398.019801980197, 12403.496046010065, 12437.009183521883, 12007.144182050102, 17988.992511898687, 16974.646317320592, 15991.862960403774, 24820.58508129991,
10, 15871.27659574468, 13617.725022262613, 15379.280597725901, 12020.169033822174, 17917.79887784513, 20251.736587489322, 17047.669975613062, 25357.018630612358,
11, 15469.565217391304, 14923.207605622894, 15427.08217875201, 12602.787705277613, 20088.076327805815, 19243.144684540064, 17300.75475494443, 25839.037454298646,
12, 17244.18604651163, 14837.355460365052, 16814.72858275373, 13141.676698282074, 21210.36336896217, 20143.00581604163, 18985.977325306274, 26754.10236912073,
13, 21082.894736842107, 15283.536893275828, 18331.31736348758, 13038.533082726832, 22332.310415075124, 18075.30397840117, 18495.261229998072, 27511.910143590467,
14, 18487.17948717949, 15867.107217417553, 17387.807795604323, 14126.836735391731, 22150.948900001273, 22464.93809327574, 18366.38588753919, 28288.177668543307,
15, 21617.80821917808, 16137.820396223757, 17993.227298562102, 13803.705473551328, 21775.36301193764, 21537.67823179078, 19158.371133575543, 27483.019834789797,
16, 20467.5, 16831.38726029865, 19691.90752199616, 13983.954006954786, 22667.08184213099, 22915.988774586243, 19133.74328578786, 27340.631495982532,
17, 19283.13253012048, 16802.05637254104, 20197.30146959355, 13953.777722608405, 22919.00123427297, 22190.962962962964, 19601.654150197628, 27089.111281031306,
18, 19413.095238095237, 16896.478199307272, 18533.03347904438, 13583.533990924308, 23149.74297904781, 21946.1738626674, 19925.40210287013, 28012.621199282898,
19, 18746.98795180723, 16756.51191124334, 18927.3472296581, 13977.907753688845, 23014.425654824627, 23747.070568273764, 19709.784071953083, 27510.465025416393,
20, 21392.85714285714, 16983.038053223787, 18551.52408805767, 13597.886557886557, 24135.653769841272, 24517.89915414518, 20668.504942233652, 27908.04443481871,
21, 18642.391304347828, 16869.77901120362, 18884.518632837753, 13844.617982190164, 24904.170755262225, 23826.98047500445, 21000.505802263382, 29523.28296202887,
22, 19300.0, 17430.119777397067, 18427.673527397135, 13633.90982353797, 24077.62833160219, 22832.3170066897, 20904.269555233866, 28959.6242825392,
23, 19155.81395348837, 17294.84376237176, 18916.948539983856, 12967.634838706266, 24646.592015568116, 24445.48214813913, 21761.751583944297, 28277.165530200837,
24, 20379.518072289156, 17768.928619023824, 19659.335400856326, 12838.527561968183, 25895.28326761534, 24295.178716709874, 21419.870766488417, 28537.15091210613,
25, 19255.81395348837, 17888.10716687003, 19873.26807938024, 13338.170211667504, 24965.201433442464, 23087.301717418188, 21536.215378040473, 27307.640654031962,
26, 20511.904761904763, 17674.109321873002, 19325.904930706773, 12643.374167723681, 26187.600876908786, 24976.126222430892, 22474.044417336394, 27636.136678140192,
27, 18834.48275862069, 17640.64273317851, 19747.454365079364, 13023.343512511066, 24814.40929408466, 24031.791806811274, 22882.20551010186, 28409.230391548925,
28, 21712.5, 17783.153107329643, 19349.64966526631, 13085.596267696268, 24748.974668128125, 24188.951106146742, 22123.09539735627, 27899.486995827836,
29, 22348.71794871795, 17663.130903304507, 20641.54340658454, 12703.17778082747, 25192.68508301845, 25215.878976243075, 23177.16702822781, 28258.674084932478,
30, 20445.121951219513, 17950.565554551486, 20414.254481511696, 12137.815600567319, 26130.1271784519, 25276.236519983784, 23278.69642857143, 27911.290703376766,
31, 20912.345679012345, 18383.249490298676, 19883.85210552923, 11934.040798588701, 25960.56681529702, 24478.226330594414, 22251.91919191919, 28617.589175453362,
32, 20657.471264367818, 18288.630792115182, 20622.960691945984, 11338.455836526366, 27788.935631707038, 25375.318754633063, 22809.351768450128, 28226.685043124384,
33, 19578.16091954023, 18212.41593027629, 20855.85989730858, 10444.160858812003, 26581.37692473045, 25954.74118993135, 23420.005194518126, 28244.202779220137,
34, 19620.689655172413, 17733.292263493426, 19560.52670162281, 10455.401465567124, 27142.49097455359, 25345.73960115722, 23201.55499692519, 28140.249902821797,
35, 21200.0, 18085.66266623926, 20524.98550281536, 10326.129102430972, 27143.437885006737, 25051.36827444398, 23103.426387137453, 29417.73116704512,
36, 22568.354430379746, 18162.983337959526, 20947.475655015303, 9438.27592886, 28308.67182931789, 25925.851120067084, 24104.04455727229, 28208.850938672105,
37, 23708.86075949367, 17954.90373665508, 20421.05554459175, 8108.170395695505, 27821.626063243835, 25121.70394488141, 23440.42757444169, 28021.812279102225,
38, 21859.52380952381, 17765.76426962472, 20768.18813102517, 7618.115607281387, 28594.327361428586, 23189.930358257272, 24018.108504007017, 28908.442072107155,
39, 21376.74418604651, 18584.51288265515, 21198.773085174333, 7667.645234904667, 28349.903870435646, 25256.97564103804, 23669.891749021535, 28005.023834167096,
40, 21619.767441860466, 18210.039021365108, 21406.494462564697, 7677.3686980678785, 29235.822843822843, 25339.259699971983, 23679.24694332458, 28802.60345036654,
41, 23691.35802469136, 18664.298774854997, 20957.10921963468, 7675.963058628367, 28901.05092556432, 23992.01793807068, 24729.84078384407, 28795.420274170272,
42, 21858.333333333332, 18551.31071045495, 21067.658608636775, 7097.794086113451, 30656.47760901998, 24874.323461272794, 24403.469483063865, 27983.36773376098,
43, 24288.46153846154, 19164.121380009383, 21167.099474199647, 7102.311914881578, 30761.847986837827, 23267.286383307266, 25170.299891428214, 28546.203969407536,
44, 22228.9156626506, 19022.676241688878, 21497.1802743137, 7416.776281509391, 29382.096774193553, 24944.162700316934, 24976.10528752391, 28135.689590301005,
45, 24710.0, 19335.893966213633, 21375.227636696407, 6626.765438134945, 30814.216204352688, 23418.477043179115, 24350.81808975146, 28172.934360202984,
46, 22918.51851851852, 19327.151497447667, 21401.00586038258, 6963.5689224782545, 29648.457037215656, 25096.32679843013, 24858.4883461817, 28136.7268794077,
47, 22686.25, 19497.52746794327, 21580.483972524675, 6575.936630512968, 29551.191850594227, 24270.800930711077, 25541.594591682828, 29253.619101347314,
48, 24111.392405063292, 20179.744020685197, 20939.991762278085, 5931.014276785011, 30252.648910812255, 23619.77414107605, 26213.43925620789, 28350.271094655105,
49, 23641.772151898735, 19246.770602754237, 21206.398052212986, 4897.227627274338, 30365.028591593924, 24197.889440780717, 25791.560762766643, 28487.539154153503,
50, 23436.25, 19224.389200510643, 21185.007972058662, 4953.283225136915, 32873.16633942864, 24191.898618876643, 25243.698011734028, 29144.40416584824,
51, 26471.23287671233, 19612.39216050889, 21430.529299581125, 4998.314950468175, 32720.542779362197, 23760.211832934372, 25879.031692133558, 28827.61236526288,
52, 24182.05128205128, 19591.178000825857, 21338.504396439428, 5075.786132442352, 33225.25953152634, 25433.492518597595, 26482.578904701855, 29424.816116334958,
53, 25085.333333333332, 19984.75761348802, 21206.210398971354, 4988.481750692446, 31840.649420160575, 24798.245506738982, 27332.213698730648, 29107.98730517137,
54, 27020.54794520548, 19963.890159235954, 21224.22195450798, 4775.120979324255, 31261.71929824561, 23965.258392104774, 27413.072349106835, 29503.245233286358,
55, 25525.0, 19859.108593250035, 21831.535047417437, 4822.3799703627865, 31076.38496560936, 22887.63455344977, 26860.855652054877, 29274.326264198637,
56, 25934.666666666668, 19589.45012151218, 21824.946769587135, 4876.788910917557, 30692.229179963168, 23786.793884220355, 28162.474335388863, 30082.867958271236,
57, 27358.571428571428, 19739.275749871904, 21447.739112334304, 5078.019683011315, 32453.09600851126, 23641.481593791228, 26533.676073170092, 29687.8963283813,
58, 25290.666666666668, 19849.052239467397, 21506.26290412554, 4491.269593793802, 32975.329108949794, 22616.5079313234, 27315.588616981833, 30193.160452032047,
59, 23408.86075949367, 20387.910047929647, 22444.206982379324, 4908.232006100903, 31840.280798504613, 23716.865275944267, 28573.094192333392, 29979.460814204205,
60, 26088.157894736843, 20913.554548231776, 22248.578814460394, 5076.481918362434, 31845.212515345767, 22614.41210083358, 27439.51134360597, 30268.532434805493,
61, 28781.690140845072, 20790.371119777177, 21477.430254658248, 4152.334702901844, 32283.5700685011, 21266.66008968274, 27658.268813083472, 30369.36029890462,
62, 27694.444444444445, 20214.97297388617, 22954.527724382122, 4548.908549719673, 32251.36401106235, 21988.372824030117, 27722.548894005693, 30108.26423844425,
63, 27345.833333333332, 20578.888627975168, 21821.58081354583, 4599.848045187077, 31354.172856657715, 22031.35455016336, 27547.976018828842, 29975.04800828842,
64, 28848.61111111111, 20804.81243714912, 22479.102368187083, 4883.578175812641, 32591.996584325585, 20921.052545311013, 27857.61432353437, 29957.02892464086,
65, 28601.38888888889, 20729.411108371587, 21531.852514201557, 5536.893921094923, 31905.71158281159, 21173.1491319412, 28327.245370370372, 29984.05589695721,
66, 28306.756756756757, 20974.101784888808, 23006.860592420242, 5818.171281896453, 33904.73063758942, 21270.23850422149, 28074.058892885467, 30026.773230188024,
67, 26413.157894736843, 20523.183137129254, 21678.54691457588, 5258.248677934034, 32762.46327683616, 20927.604067152806, 27752.208718313195, 30566.653241895467,
