, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 269.58579881656806, 264.8874119647626, 266.0188762889078, 260.33520820227506, 281.5522110753699, 268.1516361987968, 268.63405787391355, 612.6240321705889,
2, 380.6471816283925, 381.44411770630006, 375.27611407644025, 351.69751265751654, 393.84941483180626, 376.92583627942247, 394.9997334987065, 1017.1442529595182,
3, 621.9239904988124, 646.7193195810208, 691.9393386399126, 545.5582966505306, 573.3801314852835, 637.658741721198, 579.808620438576, 1137.9421606548935,
4, 903.879781420765, 1074.1983400973688, 1111.395834169791, 870.6703693018337, 812.106723450571, 952.2686186205683, 770.0048277092212, 1327.9940335768963,
5, 1043.536231884058, 1332.2957523948023, 1263.6331531029628, 1017.3098342212794, 982.6715222701187, 1116.6646386883072, 874.3550075070905, 1492.167881841087,
6, 1101.5561959654178, 1512.247728207346, 1345.3769653469687, 1027.0053131981708, 1064.243863592865, 1261.5093703235366, 941.7352187296532, 1601.7952368586812,
7, 1084.985835694051, 1663.127885870929, 1468.8249417211168, 1299.312493460389, 1120.077988581666, 1318.162081349546, 973.0125871806929, 1704.2870263710072,
8, 1153.1179775280898, 1718.7169576349509, 1663.4183157794541, 1438.1381298362994, 1193.1053983296074, 1325.4797285104667, 962.8001455717516, 1913.6860583605892,
9, 1360.6508875739646, 1813.935139605707, 1715.00651889234, 1545.1686625416503, 1353.403994731631, 1477.2611486779413, 992.7402542551966, 1975.354412438385,
10, 1407.9076923076923, 1883.5578949605028, 1799.2268699583954, 1581.1973597359738, 1448.9968156223856, 1605.2881504728136, 1152.5860536376867, 2024.503731551126,
11, 1416.2616822429907, 1966.40083262486, 1717.6857764119118, 1599.3465491501233, 1588.617520071185, 1599.5413611747276, 1266.0137466004403, 2120.9775114380336,
12, 1497.524115755627, 1999.1761788318788, 1834.8942796473075, 1589.8723431078774, 1635.7173744278728, 1662.9656516079299, 1403.1874487922946, 2198.2523039759953,
13, 1558.1045751633987, 2022.6636924736497, 1882.5676020442188, 1564.904739069604, 1723.4472188587697, 1705.5678258506844, 1517.1984411765795, 2242.081262161094,
14, 1652.1523178807947, 2065.7410504162144, 1935.4170359034913, 1596.8899747614128, 1715.5296766789074, 1721.248651424204, 1585.2842581996472, 2303.0192936341896,
15, 1628.1939799331103, 2128.298944325754, 2012.663716081711, 1638.6772624366754, 1752.7935441822742, 1692.4934016506795, 1648.076039775753, 2343.9761193834784,
