, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 2366.015590689504, 2363.3371118255486, 2279.653744613632, 2310.9635072474152, 2417.668538340132, 2351.877278749619, 2359.520204186685, 1996.5444947050987,
2, 2424.96231884058, 2513.867188880458, 2250.39665460402, 2489.2279084252395, 2302.6396767150536, 2352.840287663671, 2433.1958399166483, 2803.7676473662004,
3, 2124.687352604272, 2243.2916352654684, 2073.53939878601, 2447.3708500964613, 2238.8377275106586, 2252.907397117263, 2097.961377925123, 5309.345209002904,
4, 1883.7288242191664, 1841.2271482096246, 1976.7833619575188, 2101.4439123657266, 2601.2495894459694, 1983.5862045943886, 2284.7528532784595, 6680.274221643836,
5, 2552.243877172217, 1839.1272328502378, 1817.2718588903451, 1798.9682858876754, 4128.901737015785, 2485.7699057489494, 3646.4166085406496, 7545.203246600808,
6, 3992.650956284153, 2959.644730518555, 2324.703157940736, 2674.5847937881313, 5643.939838269003, 4819.510686233467, 5746.627652071662, 8143.40377156327,
7, 5493.801537386443, 4231.415150484073, 3584.3336192054658, 4048.1699180278374, 6527.443056812468, 5962.482136131288, 6663.505366634845, 8839.25713902708,
8, 6548.078653348132, 5255.72993989854, 5069.844089267606, 4709.553343924635, 7195.18728530692, 6912.987162436136, 7499.604693877552, 9189.700613582701,
9, 6981.097002903724, 6046.429886973713, 5774.343984714852, 5061.790774053973, 7618.00468229475, 6992.996271929825, 7540.539455605607, 9551.485,
10, 7003.797018807522, 6383.396654429951, 6519.9736761065515, 5175.462300423591, 8106.5838139603675, 6626.424325021665, 8136.206857210969, 9548.742923513699,
11, 7386.567901234568, 6474.415357866177, 6662.577916210168, 5106.792361737747, 8486.179621749408, 6729.075011408868, 8371.607896222318, 9636.372741425674,
12, 7637.081439049524, 6634.419058861761, 6556.312336597247, 4914.604493464052, 8754.15891603635, 6708.149622629733, 8527.25368147259, 9429.908698588903,
13, 7881.930054072912, 6768.893736060125, 6510.013294531988, 4788.1974279195165, 8614.05085106383, 6497.299238771515, 8836.408308004053, 9589.872166876074,
14, 8019.255470304063, 7387.377860676344, 6720.765644248345, 4265.266326351429, 8876.320036247616, 6506.479959729752, 9310.299209486166, 9164.029556025369,
15, 7783.271744595274, 7300.976385767839, 6174.481208597319, 4187.769658619941, 8928.546530570293, 6426.043509932097, 9178.939130434785, 9748.821165734256,
16, 8205.170068027212, 7444.098649970923, 5738.818147758167, 4227.0016687856405, 8973.83106575964, 6418.004444606627, 9563.45280714118, 9773.377715038585,
17, 8174.0888888888885, 7505.755993431856, 5928.620204567745, 4097.456479696037, 9277.739459313572, 6324.946409409535, 9655.865656565657, 9778.49468599034,
18, 8273.099319727893, 7803.391737891737, 5595.04312417352, 4294.528918209884, 9669.000483091786, 6114.5103332143135, 9601.063346013318, 9836.104949314253,
19, 8082.227099044746, 7531.638697152717, 5554.180774059283, 4399.453273026271, 9884.239061356915, 6225.636363636364, 9661.37269590313, 9977.302056706765,
20, 8514.801570048308, 7513.756560787707, 6152.305205347287, 4609.927085826656, 9604.898244323927, 6195.180786408864, 10132.887507765441, 9891.859836775966,
21, 8360.816326530612, 7777.241854636591, 6024.198682868772, 4434.36522388657, 9617.787732041495, 5896.23583389822, 10098.24585331477, 9759.536325992849,
22, 8185.670800627944, 7496.985183852848, 6097.008399744966, 4390.901753855019, 9471.041802323485, 5828.330409928235, 10504.749656617685, 9877.765210241956,
23, 8262.897825796987, 7593.070598430943, 6458.307878150276, 4544.805608354635, 9920.081590057642, 5838.131096681097, 10185.435873214694, 10258.679524889933,
24, 8191.749937154348, 7693.313771790044, 6465.705271860205, 4671.0505584545945, 9890.214674113662, 5891.2322842679605, 10370.76778415383, 9769.559240734055,
25, 8042.245098039216, 7746.019386585867, 6566.348451045647, 4736.661475320722, 10068.636363636364, 5690.748016733311, 10406.911726390457, 9815.963875690704,
26, 8180.966666666667, 8262.575944643591, 6674.7702056261205, 4814.15964968003, 9882.899835564951, 5911.196465308132, 10374.461767009698, 9778.674418604653,
27, 8404.471371882086, 8081.4930897463055, 6648.259136364732, 4820.501675311274, 9923.777890708325, 5690.992546783971, 10271.697728439078, 9844.019396697,
28, 8706.406272653987, 8133.957540769729, 7047.530037744541, 4735.17787114846, 10049.874902792504, 5697.386313798385, 10445.148664343786, 9811.420893318567,
29, 8743.048951850244, 8356.540318302386, 6584.308291708292, 4774.72822648516, 9862.438148440682, 5705.220326651492, 10369.922912783946, 10124.142285876347,
30, 8838.12629399586, 8168.802564417778, 6444.54811266866, 4860.330063551112, 10187.70084902178, 5910.870656487232, 10786.377220812841, 9911.918755662942,
31, 8803.231292517006, 8417.09571979219, 7007.303051622718, 4883.549566726806, 10341.192012254463, 5943.252942047899, 10673.142857142857, 9793.938818130253,
32, 8790.829473633423, 8502.289565336623, 7367.562635208456, 4742.661473726692, 10458.705182609665, 6085.112101572479, 10632.069092185939, 10173.035497835497,
33, 8610.388071895424, 8722.526087079244, 7562.994188165832, 4681.1506767354995, 10517.89814709775, 6029.703378184118, 10810.733190802392, 9984.466154904529,
34, 8506.114285714286, 8622.880602749083, 7900.307284550481, 4929.5617613786435, 10292.110060740293, 6253.077234025492, 10436.628628886712, 10131.966642357454,
35, 9205.61731678487, 8703.580864970101, 7633.389371133069, 4786.629438631974, 10560.038089836047, 6010.059787366549, 10631.225999808472, 10278.776564567972,
36, 8876.576928643797, 8975.024295272937, 8003.550219023779, 4946.183048630412, 10407.220671834624, 6007.83078888335, 10873.914617940198, 10224.486110599555,
37, 8994.058441558444, 8947.98072736787, 8022.3253164211665, 4961.838545683707, 10171.954959095505, 6155.417341933471, 10869.778081192771, 10350.57012987013,
38, 9034.490740740739, 8992.024761904762, 8042.178562465904, 4883.417734709006, 10530.188311688311, 6227.343292209106, 11073.45243902439, 10171.114718614717,
39, 9342.953774563395, 8876.719833779667, 8065.464999999999, 5007.776846365082, 10870.95108446101, 6016.9934457989675, 10972.945322969714, 10557.088827838827,
40, 9623.608658203199, 9030.2784084272, 7878.988694400838, 4874.81494075539, 10535.91849390919, 6367.134094002781, 10564.240580179889, 10108.189420090213,
